date,agegroup,hosp
2022-02-19,0-17,59
2022-02-19,18-49,100.571428571429
2022-02-19,50-64,125.5
2022-02-19,65+,329.357142857143
2022-02-26,0-17,42.4285714285714
2022-02-26,18-49,67
2022-02-26,50-64,78.9285714285714
2022-02-26,65+,223.357142857143
2022-03-05,0-17,33
2022-03-05,18-49,45.4285714285714
2022-03-05,50-64,55.7857142857143
2022-03-05,65+,152.928571428571
2022-03-12,0-17,33
2022-03-12,18-49,33.2857142857143
2022-03-12,50-64,39.2857142857143
2022-03-12,65+,104.714285714286
2022-03-19,0-17,29.4285714285714
2022-03-19,18-49,24.8571428571429
2022-03-19,50-64,23.6428571428571
2022-03-19,65+,75.5
2022-03-26,0-17,28.1428571428571
2022-03-26,18-49,21.7142857142857
2022-03-26,50-64,18.5
2022-03-26,65+,63.9285714285714
2022-04-02,0-17,28.8571428571429
2022-04-02,18-49,18.4285714285714
2022-04-02,50-64,20.5
2022-04-02,65+,52.6428571428572
2022-04-09,0-17,28
2022-04-09,18-49,17.5714285714286
2022-04-09,50-64,17.2142857142857
2022-04-09,65+,53.7857142857143
2022-04-16,0-17,32.7142857142857
2022-04-16,18-49,23.4285714285714
2022-04-16,50-64,20.5714285714286
2022-04-16,65+,62.5714285714286
2022-04-23,0-17,31.4285714285714
2022-04-23,18-49,27.4285714285714
2022-04-23,50-64,24.8571428571429
2022-04-23,65+,73.7142857142857
2022-04-30,0-17,35.2857142857143
2022-04-30,18-49,35.4285714285714
2022-04-30,50-64,28.5
2022-04-30,65+,94.5
2022-05-07,0-17,38.5714285714286
2022-05-07,18-49,42.5714285714286
2022-05-07,50-64,36.6428571428571
2022-05-07,65+,117.357142857143
2022-05-14,0-17,39.1428571428571
2022-05-14,18-49,49.1428571428572
2022-05-14,50-64,44.0714285714286
2022-05-14,65+,145.071428571429
2022-05-21,0-17,39.4285714285714
2022-05-21,18-49,60.4285714285714
2022-05-21,50-64,59.5714285714286
2022-05-21,65+,176.714285714286
2022-05-28,0-17,44.8571428571429
2022-05-28,18-49,79.2857142857143
2022-05-28,50-64,72.5
2022-05-28,65+,227.642857142857
2022-06-04,0-17,44.2857142857143
2022-06-04,18-49,91.4285714285714
2022-06-04,50-64,87.2142857142857
2022-06-04,65+,265.5
2022-06-11,0-17,47.8571428571429
2022-06-11,18-49,99.4285714285714
2022-06-11,50-64,102
2022-06-11,65+,311.571428571429
2022-06-18,0-17,51.2857142857143
2022-06-18,18-49,115.285714285714
2022-06-18,50-64,114.571428571429
2022-06-18,65+,330.857142857143
2022-06-25,0-17,50.1428571428572
2022-06-25,18-49,119.428571428571
2022-06-25,50-64,120.857142857143
2022-06-25,65+,333.857142857143
2022-07-02,0-17,48.2857142857143
2022-07-02,18-49,120
2022-07-02,50-64,122.5
2022-07-02,65+,379.071428571429
2022-07-09,0-17,49.1428571428572
2022-07-09,18-49,128.714285714286
2022-07-09,50-64,128.285714285714
2022-07-09,65+,405.571428571429
2022-07-16,0-17,49.2857142857143
2022-07-16,18-49,126
2022-07-16,50-64,142.928571428571
2022-07-16,65+,419.642857142857
2022-07-23,0-17,49.4285714285714
2022-07-23,18-49,135
2022-07-23,50-64,147.857142857143
2022-07-23,65+,428.571428571429
2022-07-30,0-17,49.1428571428572
2022-07-30,18-49,132.571428571429
2022-07-30,50-64,138.785714285714
2022-07-30,65+,421.928571428571
2022-08-06,0-17,48.8571428571429
2022-08-06,18-49,120.142857142857
2022-08-06,50-64,136.571428571429
2022-08-06,65+,410.142857142857
2022-08-13,0-17,49.8571428571429
2022-08-13,18-49,109.428571428571
2022-08-13,50-64,132.928571428571
2022-08-13,65+,381.5
2022-08-20,0-17,48.1428571428572
2022-08-20,18-49,100.857142857143
2022-08-20,50-64,102.714285714286
2022-08-20,65+,336
2022-08-27,0-17,35.4285714285714
2022-08-27,18-49,83
2022-08-27,50-64,97.8571428571429
2022-08-27,65+,304.142857142857
2022-09-03,0-17,27
2022-09-03,18-49,83.7142857142857
2022-09-03,50-64,86.7857142857143
2022-09-03,65+,271.785714285714
2022-09-10,0-17,33.7142857142857
2022-09-10,18-49,70.5714285714286
2022-09-10,50-64,70.3571428571429
2022-09-10,65+,238.5
2022-09-17,0-17,40.4285714285714
2022-09-17,18-49,56.8571428571429
2022-09-17,50-64,55.5
2022-09-17,65+,212.642857142857
2022-09-24,0-17,41.1428571428572
2022-09-24,18-49,43.4285714285714
2022-09-24,50-64,51.4285714285714
2022-09-24,65+,184.428571428571
2022-10-01,0-17,30.7142857142857
2022-10-01,18-49,30.5714285714286
2022-10-01,50-64,42.1428571428571
2022-10-01,65+,149.857142857143
2022-10-08,0-17,6.28571428571429
2022-10-08,18-49,23.1428571428571
2022-10-08,50-64,37.8571428571429
2022-10-08,65+,130.285714285714
2022-10-15,0-17,8
2022-10-15,18-49,22.4285714285714
2022-10-15,50-64,30.6428571428571
2022-10-15,65+,123.928571428571
2022-10-22,0-17,6.42857142857143
2022-10-22,18-49,20.5714285714286
2022-10-22,50-64,28.3571428571429
2022-10-22,65+,110.214285714286
2022-10-29,0-17,34.5714285714286
2022-10-29,18-49,18.7142857142857
2022-10-29,50-64,29.5
2022-10-29,65+,119.357142857143
2022-11-05,0-17,37.8571428571429
2022-11-05,18-49,18.7142857142857
2022-11-05,50-64,25.8571428571429
2022-11-05,65+,112.571428571429
2022-11-12,0-17,32
2022-11-12,18-49,18.4285714285714
2022-11-12,50-64,25.8571428571429
2022-11-12,65+,118.857142857143
2022-11-19,0-17,31.4285714285714
2022-11-19,18-49,22.5714285714286
2022-11-19,50-64,31.4285714285714
2022-11-19,65+,115.857142857143
2022-11-26,0-17,39.4285714285714
2022-11-26,18-49,17.1428571428571
2022-11-26,50-64,30.7857142857143
2022-11-26,65+,122.357142857143
2022-12-03,0-17,12.1428571428571
2022-12-03,18-49,27.8571428571429
2022-12-03,50-64,41
2022-12-03,65+,159
2022-12-10,0-17,10.7142857142857
2022-12-10,18-49,33.1428571428572
2022-12-10,50-64,41.3571428571429
2022-12-10,65+,162.357142857143
2022-12-17,0-17,7.42857142857143
2022-12-17,18-49,38.8571428571429
2022-12-17,50-64,47.2857142857143
2022-12-17,65+,205.142857142857
2022-12-24,0-17,13
2022-12-24,18-49,48.2857142857143
2022-12-24,50-64,53.5714285714286
2022-12-24,65+,228.857142857143
2022-12-31,0-17,10.7142857142857
2022-12-31,18-49,54.1428571428572
2022-12-31,50-64,68.2142857142857
2022-12-31,65+,283.5
2023-01-14,0-17,12.2857142857143
2023-01-14,18-49,50.5714285714286
2023-01-14,50-64,69.3571428571429
2023-01-14,65+,298.214285714286
2023-01-21,0-17,10.8571428571429
2023-01-21,18-49,51.4285714285714
2023-01-21,50-64,59.0714285714286
2023-01-21,65+,263.357142857143
2023-01-28,0-17,12.5714285714286
2023-01-28,18-49,45.7142857142857
2023-01-28,50-64,57.0714285714286
2023-01-28,65+,231.928571428571
2023-02-04,0-17,12.1428571428571
2023-02-04,18-49,37.8571428571429
2023-02-04,50-64,50.1428571428572
2023-02-04,65+,212.714285714286
2023-02-11,0-17,9.57142857142857
2023-02-11,18-49,35.2857142857143
2023-02-11,50-64,45.5
2023-02-11,65+,192.5
2023-02-18,0-17,8.71428571428571
2023-02-18,18-49,27.1428571428571
2023-02-18,50-64,38.3571428571429
2023-02-18,65+,168.5
2023-02-25,0-17,8.85714285714286
2023-02-25,18-49,26.7142857142857
2023-02-25,50-64,37
2023-02-25,65+,163.857142857143
