date,agegroup,hosp
2022-02-19,0-17,52.7142857142857
2022-02-19,18-49,157.571428571429
2022-02-19,50-64,151.357142857143
2022-02-19,65+,328.357142857143
2022-02-26,0-17,40.7142857142857
2022-02-26,18-49,107.428571428571
2022-02-26,50-64,104
2022-02-26,65+,221.571428571429
2022-03-05,0-17,25.1428571428571
2022-03-05,18-49,80.8571428571429
2022-03-05,50-64,79.7857142857143
2022-03-05,65+,165.642857142857
2022-03-12,0-17,25.1428571428571
2022-03-12,18-49,66.2857142857143
2022-03-12,50-64,59.2857142857143
2022-03-12,65+,111.428571428571
2022-03-19,0-17,16
2022-03-19,18-49,52.4285714285714
2022-03-19,50-64,43.8571428571429
2022-03-19,65+,85.2857142857143
2022-03-26,0-17,16.8571428571429
2022-03-26,18-49,42.1428571428571
2022-03-26,50-64,41.7857142857143
2022-03-26,65+,63.3571428571429
2022-04-02,0-17,14
2022-04-02,18-49,35
2022-04-02,50-64,34
2022-04-02,65+,55.4285714285714
2022-04-09,0-17,15
2022-04-09,18-49,31.1428571428571
2022-04-09,50-64,30.5
2022-04-09,65+,50.6428571428572
2022-04-16,0-17,13.1428571428571
2022-04-16,18-49,27.7142857142857
2022-04-16,50-64,27.3571428571429
2022-04-16,65+,46.0714285714286
2022-04-23,0-17,14
2022-04-23,18-49,29
2022-04-23,50-64,24.7857142857143
2022-04-23,65+,46.2142857142857
2022-04-30,0-17,9.71428571428571
2022-04-30,18-49,26.4285714285714
2022-04-30,50-64,24.9285714285714
2022-04-30,65+,43.7857142857143
2022-05-07,0-17,12.8571428571429
2022-05-07,18-49,30
2022-05-07,50-64,25
2022-05-07,65+,49.2857142857143
2022-05-14,0-17,11.8571428571429
2022-05-14,18-49,30.7142857142857
2022-05-14,50-64,26.7857142857143
2022-05-14,65+,52.0714285714286
2022-05-21,0-17,13.7142857142857
2022-05-21,18-49,36.7142857142857
2022-05-21,50-64,26.9285714285714
2022-05-21,65+,67.2142857142857
2022-05-28,0-17,15.8571428571429
2022-05-28,18-49,47.8571428571429
2022-05-28,50-64,37.2142857142857
2022-05-28,65+,80.7857142857143
2022-06-04,0-17,23.8571428571429
2022-06-04,18-49,49.5714285714286
2022-06-04,50-64,44.8571428571429
2022-06-04,65+,109.714285714286
2022-06-11,0-17,26.2857142857143
2022-06-11,18-49,66
2022-06-11,50-64,53.4285714285714
2022-06-11,65+,131
2022-06-18,0-17,30.7142857142857
2022-06-18,18-49,71.1428571428571
2022-06-18,50-64,62.2857142857143
2022-06-18,65+,163.428571428571
2022-06-25,0-17,35
2022-06-25,18-49,91.4285714285714
2022-06-25,50-64,69.7857142857143
2022-06-25,65+,196.785714285714
2022-07-02,0-17,50.1428571428572
2022-07-02,18-49,103
2022-07-02,50-64,87.6428571428571
2022-07-02,65+,231.642857142857
2022-07-09,0-17,50.1428571428572
2022-07-09,18-49,117.285714285714
2022-07-09,50-64,103.5
2022-07-09,65+,282.928571428571
2022-07-16,0-17,57
2022-07-16,18-49,131.428571428571
2022-07-16,50-64,112.071428571429
2022-07-16,65+,299.357142857143
2022-07-23,0-17,45
2022-07-23,18-49,133.857142857143
2022-07-23,50-64,123.571428571429
2022-07-23,65+,330.857142857143
2022-07-30,0-17,50.8571428571429
2022-07-30,18-49,127.285714285714
2022-07-30,50-64,120.214285714286
2022-07-30,65+,329.071428571429
2022-08-06,0-17,44
2022-08-06,18-49,126.428571428571
2022-08-06,50-64,120.928571428571
2022-08-06,65+,315.785714285714
2022-08-13,0-17,40
2022-08-13,18-49,111.571428571429
2022-08-13,50-64,107.214285714286
2022-08-13,65+,288.214285714286
2022-08-20,0-17,30.8571428571429
2022-08-20,18-49,107
2022-08-20,50-64,92.7857142857143
2022-08-20,65+,247.5
2022-08-27,0-17,40.7142857142857
2022-08-27,18-49,94.1428571428571
2022-08-27,50-64,85.0714285714286
2022-08-27,65+,216.071428571429
2022-09-03,0-17,48.8571428571429
2022-09-03,18-49,90.5714285714286
2022-09-03,50-64,75.7857142857143
2022-09-03,65+,202.071428571429
2022-09-10,0-17,36.4285714285714
2022-09-10,18-49,84.2857142857143
2022-09-10,50-64,71.6428571428572
2022-09-10,65+,191.214285714286
2022-09-17,0-17,26
2022-09-17,18-49,76.4285714285714
2022-09-17,50-64,68.5
2022-09-17,65+,186.5
2022-09-24,0-17,18.2857142857143
2022-09-24,18-49,66.8571428571429
2022-09-24,50-64,59.7142857142857
2022-09-24,65+,159.571428571429
2022-10-01,0-17,14.1428571428571
2022-10-01,18-49,48.2857142857143
2022-10-01,50-64,50.2142857142857
2022-10-01,65+,122.642857142857
2022-10-08,0-17,8.42857142857143
2022-10-08,18-49,38.4285714285714
2022-10-08,50-64,45.2142857142857
2022-10-08,65+,109.785714285714
2022-10-15,0-17,7.14285714285714
2022-10-15,18-49,32.4285714285714
2022-10-15,50-64,35.1428571428571
