"Geography","Date","Weekly COVID-19 Hospital Admissions"
"Idaho",2024-03-30,"33"
"Idaho",2024-03-23,"50"
"Idaho",2024-03-16,"54"
"Idaho",2024-03-09,"42"
"Idaho",2024-03-02,"68"
"Idaho",2024-02-24,"94"
"Idaho",2024-02-17,"53"
"Idaho",2024-02-10,"68"
"Idaho",2024-02-03,"82"
"Idaho",2024-01-27,"103"
"Idaho",2024-01-20,"104"
"Idaho",2024-01-13,"168"
"Idaho",2024-01-06,"202"
"Idaho",2023-12-30,"185"
"Idaho",2023-12-23,"164"
"Idaho",2023-12-16,"162"
"Idaho",2023-12-09,"166"
"Idaho",2023-12-02,"157"
"Idaho",2023-11-25,"116"
"Idaho",2023-11-18,"89"
"Idaho",2023-11-11,"100"
"Idaho",2023-11-04,"94"
"Idaho",2023-10-28,"88"
"Idaho",2023-10-21,"111"
"Idaho",2023-10-14,"112"
"Idaho",2023-10-07,"134"
"Idaho",2023-09-30,"124"
"Idaho",2023-09-23,"99"
"Idaho",2023-09-16,"80"
"Idaho",2023-09-09,"77"
"Idaho",2023-09-02,"79"
"Idaho",2023-08-26,"63"
"Idaho",2023-08-19,"55"
"Idaho",2023-08-12,"40"
"Idaho",2023-08-05,"37"
"Idaho",2023-07-29,"25"
"Idaho",2023-07-22,"27"
"Idaho",2023-07-15,"22"
"Idaho",2023-07-08,"27"
"Idaho",2023-07-01,"30"
"Idaho",2023-06-24,"22"
"Idaho",2023-06-17,"28"
"Idaho",2023-06-10,"31"
"Idaho",2023-06-03,"27"
"Idaho",2023-05-27,"35"
"Idaho",2023-05-20,"31"
"Idaho",2023-05-13,"40"
"Idaho",2023-05-06,"55"
"Idaho",2023-04-29,"57"
"Idaho",2023-04-22,"62"
"Idaho",2023-04-15,"74"
"Idaho",2023-04-08,"95"
"Idaho",2023-04-01,"110"
"Idaho",2023-03-25,"86"
"Idaho",2023-03-18,"104"
"Idaho",2023-03-11,"121"
"Idaho",2023-03-04,"99"
"Idaho",2023-02-25,"110"
"Idaho",2023-02-18,"117"
"Idaho",2023-02-11,"100"
"Idaho",2023-02-04,"86"
"Idaho",2023-01-28,"91"
"Idaho",2023-01-21,"93"
"Idaho",2023-01-14,"122"
"Idaho",2023-01-07,"112"
"Idaho",2022-12-31,"160"
"Idaho",2022-12-24,"136"
"Idaho",2022-12-17,"161"
"Idaho",2022-12-10,"153"
"Idaho",2022-12-03,"164"
"Idaho",2022-11-26,"149"
"Idaho",2022-11-19,"123"
"Idaho",2022-11-12,"97"
"Idaho",2022-11-05,"88"
"Idaho",2022-10-29,"105"
"Idaho",2022-10-22,"110"
"Idaho",2022-10-15,"124"
"Idaho",2022-10-08,"106"
"Idaho",2022-10-01,"125"
"Idaho",2022-09-24,"122"
"Idaho",2022-09-17,"125"
"Idaho",2022-09-10,"143"
"Idaho",2022-09-03,"140"
"Idaho",2022-08-27,"167"
"Idaho",2022-08-20,"163"
"Idaho",2022-08-13,"144"
"Idaho",2022-08-06,"202"
"Idaho",2022-07-30,"244"
"Idaho",2022-07-23,"235"
"Idaho",2022-07-16,"242"
"Idaho",2022-07-09,"220"
"Idaho",2022-07-02,"218"
"Idaho",2022-06-25,"182"
"Idaho",2022-06-18,"120"
"Idaho",2022-06-11,"139"
"Idaho",2022-06-04,"95"
"Idaho",2022-05-28,"83"
"Idaho",2022-05-21,"63"
"Idaho",2022-05-14,"49"
"Idaho",2022-05-07,"55"
"Idaho",2022-04-30,"53"
"Idaho",2022-04-23,"37"
"Idaho",2022-04-16,"29"
"Idaho",2022-04-09,"24"
"Idaho",2022-04-02,"18"
"Idaho",2022-03-26,"36"
"Idaho",2022-03-19,"48"
"Idaho",2022-03-12,"103"
"Idaho",2022-03-05,"94"
"Idaho",2022-02-26,"153"
"Idaho",2022-02-19,"278"
"Idaho",2022-02-12,"396"
"Idaho",2022-02-05,"528"
"Idaho",2022-01-29,"577"
"Idaho",2022-01-22,"495"
"Idaho",2022-01-15,"365"
"Idaho",2022-01-08,"289"
"Idaho",2022-01-01,"176"
"Idaho",2021-12-25,"176"
"Idaho",2021-12-18,"170"
"Idaho",2021-12-11,"225"
"Idaho",2021-12-04,"199"
"Idaho",2021-11-27,"235"
"Idaho",2021-11-20,"239"
"Idaho",2021-11-13,"234"
"Idaho",2021-11-06,"312"
"Idaho",2021-10-30,"340"
"Idaho",2021-10-23,"393"
"Idaho",2021-10-16,"446"
"Idaho",2021-10-09,"513"
"Idaho",2021-10-02,"559"
"Idaho",2021-09-25,"627"
"Idaho",2021-09-18,"617"
"Idaho",2021-09-11,"548"
"Idaho",2021-09-04,"475"
"Idaho",2021-08-28,"422"
"Idaho",2021-08-21,"336"
"Idaho",2021-08-14,"292"
"Idaho",2021-08-07,"200"
"Idaho",2021-07-31,"167"
"Idaho",2021-07-24,"106"
"Idaho",2021-07-17,"89"
"Idaho",2021-07-10,"62"
"Idaho",2021-07-03,"56"
"Idaho",2021-06-26,"82"
"Idaho",2021-06-19,"70"
"Idaho",2021-06-12,"72"
"Idaho",2021-06-05,"78"
"Idaho",2021-05-29,"93"
"Idaho",2021-05-22,"99"
"Idaho",2021-05-15,"89"
"Idaho",2021-05-08,"91"
"Idaho",2021-05-01,"109"
"Idaho",2021-04-24,"106"
"Idaho",2021-04-17,"110"
"Idaho",2021-04-10,"124"
"Idaho",2021-04-03,"115"
"Idaho",2021-03-27,"142"
"Idaho",2021-03-20,"133"
"Idaho",2021-03-13,"115"
"Idaho",2021-03-06,"109"
"Idaho",2021-02-27,"129"
"Idaho",2021-02-20,"113"
"Idaho",2021-02-13,"166"
"Idaho",2021-02-06,"153"
"Idaho",2021-01-30,"172"
"Idaho",2021-01-23,"177"
"Idaho",2021-01-16,"255"
"Idaho",2021-01-09,"319"
"Idaho",2021-01-02,"339"
"Idaho",2020-12-26,"305"
"Idaho",2020-12-19,"401"
"Idaho",2020-12-12,"423"
"Idaho",2020-12-05,"440"
"Idaho",2020-11-28,"438"
"Idaho",2020-11-21,"381"
"Idaho",2020-11-14,"368"
"Idaho",2020-11-07,"309"
"Idaho",2020-10-31,"276"
"Idaho",2020-10-24,"240"
"Idaho",2020-10-17,"187"
"Idaho",2020-10-10,"152"
"Idaho",2020-10-03,"150"
"Idaho",2020-09-26,"138"
"Idaho",2020-09-19,"84"
"Idaho",2020-09-12,"95"
"Idaho",2020-09-05,"104"
"Idaho",2020-08-29,"106"
"Idaho",2020-08-22,"147"
"Idaho",2020-08-15,"124"
"Idaho",2020-08-08,"145"
"Idaho",2020-08-01,"N/A"
"Idaho",2020-07-25,"N/A"
"Idaho",2020-07-18,"N/A"
"Idaho",2020-07-11,"N/A"
"Idaho",2020-07-04,"N/A"
"Idaho",2020-06-27,"N/A"
"Idaho",2020-06-20,"N/A"
"Idaho",2020-06-13,"N/A"
"Idaho",2020-06-06,"N/A"
"Idaho",2020-05-30,"N/A"
"Idaho",2020-05-23,"N/A"
"Idaho",2020-05-16,"N/A"
"Idaho",2020-05-09,"N/A"
"Idaho",2020-05-02,"N/A"
"Idaho",2020-04-25,"N/A"
"Idaho",2020-04-18,"N/A"
"Idaho",2020-04-11,"N/A"
"Idaho",2020-04-04,"N/A"
"Idaho",2020-03-28,"N/A"
"Idaho",2020-03-21,"N/A"
"Idaho",2020-03-14,"N/A"
"Idaho",2020-03-07,"N/A"
"Idaho",2020-02-29,"N/A"
"Idaho",2020-02-22,"N/A"
"Idaho",2020-02-15,"N/A"
"Idaho",2020-02-08,"N/A"
"Idaho",2020-02-01,"N/A"
"Idaho",2020-01-25,"N/A"
"Idaho",2020-01-18,"N/A"
"Idaho",2020-01-11,"N/A"
