"Geography","Date","Weekly COVID-19 Hospital Admissions"
"Nevada",2024-03-30,"69"
"Nevada",2024-03-23,"80"
"Nevada",2024-03-16,"67"
"Nevada",2024-03-09,"94"
"Nevada",2024-03-02,"116"
"Nevada",2024-02-24,"91"
"Nevada",2024-02-17,"118"
"Nevada",2024-02-10,"138"
"Nevada",2024-02-03,"151"
"Nevada",2024-01-27,"170"
"Nevada",2024-01-20,"212"
"Nevada",2024-01-13,"218"
"Nevada",2024-01-06,"247"
"Nevada",2023-12-30,"264"
"Nevada",2023-12-23,"246"
"Nevada",2023-12-16,"205"
"Nevada",2023-12-09,"205"
"Nevada",2023-12-02,"201"
"Nevada",2023-11-25,"162"
"Nevada",2023-11-18,"169"
"Nevada",2023-11-11,"163"
"Nevada",2023-11-04,"160"
"Nevada",2023-10-28,"183"
"Nevada",2023-10-21,"182"
"Nevada",2023-10-14,"179"
"Nevada",2023-10-07,"136"
"Nevada",2023-09-30,"184"
"Nevada",2023-09-23,"183"
"Nevada",2023-09-16,"148"
"Nevada",2023-09-09,"174"
"Nevada",2023-09-02,"134"
"Nevada",2023-08-26,"125"
"Nevada",2023-08-19,"142"
"Nevada",2023-08-12,"101"
"Nevada",2023-08-05,"74"
"Nevada",2023-07-29,"79"
"Nevada",2023-07-22,"84"
"Nevada",2023-07-15,"63"
"Nevada",2023-07-08,"74"
"Nevada",2023-07-01,"84"
"Nevada",2023-06-24,"86"
"Nevada",2023-06-17,"72"
"Nevada",2023-06-10,"103"
"Nevada",2023-06-03,"82"
"Nevada",2023-05-27,"91"
"Nevada",2023-05-20,"82"
"Nevada",2023-05-13,"83"
"Nevada",2023-05-06,"94"
"Nevada",2023-04-29,"87"
"Nevada",2023-04-22,"108"
"Nevada",2023-04-15,"114"
"Nevada",2023-04-08,"122"
"Nevada",2023-04-01,"129"
"Nevada",2023-03-25,"163"
"Nevada",2023-03-18,"131"
"Nevada",2023-03-11,"168"
"Nevada",2023-03-04,"132"
"Nevada",2023-02-25,"173"
"Nevada",2023-02-18,"164"
"Nevada",2023-02-11,"136"
"Nevada",2023-02-04,"129"
"Nevada",2023-01-28,"150"
"Nevada",2023-01-21,"191"
"Nevada",2023-01-14,"226"
"Nevada",2023-01-07,"283"
"Nevada",2022-12-31,"295"
"Nevada",2022-12-24,"335"
"Nevada",2022-12-17,"277"
"Nevada",2022-12-10,"329"
"Nevada",2022-12-03,"329"
"Nevada",2022-11-26,"268"
"Nevada",2022-11-19,"224"
"Nevada",2022-11-12,"192"
"Nevada",2022-11-05,"186"
"Nevada",2022-10-29,"170"
"Nevada",2022-10-22,"153"
"Nevada",2022-10-15,"129"
"Nevada",2022-10-08,"118"
"Nevada",2022-10-01,"132"
"Nevada",2022-09-24,"107"
"Nevada",2022-09-17,"114"
"Nevada",2022-09-10,"138"
"Nevada",2022-09-03,"142"
"Nevada",2022-08-27,"174"
"Nevada",2022-08-20,"182"
"Nevada",2022-08-13,"236"
"Nevada",2022-08-06,"245"
"Nevada",2022-07-30,"353"
"Nevada",2022-07-23,"402"
"Nevada",2022-07-16,"495"
"Nevada",2022-07-09,"481"
"Nevada",2022-07-02,"487"
"Nevada",2022-06-25,"425"
"Nevada",2022-06-18,"381"
"Nevada",2022-06-11,"340"
"Nevada",2022-06-04,"320"
"Nevada",2022-05-28,"238"
"Nevada",2022-05-21,"184"
"Nevada",2022-05-14,"157"
"Nevada",2022-05-07,"149"
"Nevada",2022-04-30,"83"
"Nevada",2022-04-23,"88"
"Nevada",2022-04-16,"87"
"Nevada",2022-04-09,"75"
"Nevada",2022-04-02,"115"
"Nevada",2022-03-26,"122"
"Nevada",2022-03-19,"120"
"Nevada",2022-03-12,"160"
"Nevada",2022-03-05,"241"
"Nevada",2022-02-26,"323"
"Nevada",2022-02-19,"498"
"Nevada",2022-02-12,"737"
"Nevada",2022-02-05,"1027"
"Nevada",2022-01-29,"1304"
"Nevada",2022-01-22,"1488"
"Nevada",2022-01-15,"1542"
"Nevada",2022-01-08,"1230"
"Nevada",2022-01-01,"774"
"Nevada",2021-12-25,"571"
"Nevada",2021-12-18,"490"
"Nevada",2021-12-11,"497"
"Nevada",2021-12-04,"488"
