"Geography","Date","Weekly COVID-19 Hospital Admissions"
"New Jersey",2024-03-30,"223"
"New Jersey",2024-03-23,"237"
"New Jersey",2024-03-16,"343"
"New Jersey",2024-03-09,"412"
"New Jersey",2024-03-02,"521"
"New Jersey",2024-02-24,"552"
"New Jersey",2024-02-17,"646"
"New Jersey",2024-02-10,"694"
"New Jersey",2024-02-03,"812"
"New Jersey",2024-01-27,"897"
"New Jersey",2024-01-20,"1083"
"New Jersey",2024-01-13,"1312"
"New Jersey",2024-01-06,"1442"
"New Jersey",2023-12-30,"1373"
"New Jersey",2023-12-23,"980"
"New Jersey",2023-12-16,"753"
"New Jersey",2023-12-09,"645"
"New Jersey",2023-12-02,"622"
"New Jersey",2023-11-25,"484"
"New Jersey",2023-11-18,"429"
"New Jersey",2023-11-11,"439"
"New Jersey",2023-11-04,"401"
"New Jersey",2023-10-28,"455"
"New Jersey",2023-10-21,"542"
"New Jersey",2023-10-14,"588"
"New Jersey",2023-10-07,"689"
"New Jersey",2023-09-30,"619"
"New Jersey",2023-09-23,"525"
"New Jersey",2023-09-16,"446"
"New Jersey",2023-09-09,"450"
"New Jersey",2023-09-02,"356"
"New Jersey",2023-08-26,"314"
"New Jersey",2023-08-19,"294"
"New Jersey",2023-08-12,"286"
"New Jersey",2023-08-05,"247"
"New Jersey",2023-07-29,"200"
"New Jersey",2023-07-22,"166"
"New Jersey",2023-07-15,"129"
"New Jersey",2023-07-08,"119"
"New Jersey",2023-07-01,"142"
"New Jersey",2023-06-24,"145"
"New Jersey",2023-06-17,"154"
"New Jersey",2023-06-10,"142"
"New Jersey",2023-06-03,"171"
"New Jersey",2023-05-27,"147"
"New Jersey",2023-05-20,"129"
"New Jersey",2023-05-13,"171"
"New Jersey",2023-05-06,"183"
"New Jersey",2023-04-29,"172"
"New Jersey",2023-04-22,"235"
"New Jersey",2023-04-15,"270"
"New Jersey",2023-04-08,"307"
"New Jersey",2023-04-01,"372"
"New Jersey",2023-03-25,"443"
"New Jersey",2023-03-18,"484"
"New Jersey",2023-03-11,"590"
"New Jersey",2023-03-04,"581"
"New Jersey",2023-02-25,"793"
"New Jersey",2023-02-18,"1023"
"New Jersey",2023-02-11,"1174"
"New Jersey",2023-02-04,"1147"
"New Jersey",2023-01-28,"1248"
"New Jersey",2023-01-21,"1434"
"New Jersey",2023-01-14,"1587"
"New Jersey",2023-01-07,"1793"
"New Jersey",2022-12-31,"1679"
"New Jersey",2022-12-24,"1599"
"New Jersey",2022-12-17,"1458"
"New Jersey",2022-12-10,"1264"
"New Jersey",2022-12-03,"1323"
"New Jersey",2022-11-26,"1060"
"New Jersey",2022-11-19,"1053"
"New Jersey",2022-11-12,"1102"
"New Jersey",2022-11-05,"1129"
"New Jersey",2022-10-29,"1093"
"New Jersey",2022-10-22,"1163"
"New Jersey",2022-10-15,"1145"
"New Jersey",2022-10-08,"1113"
"New Jersey",2022-10-01,"1015"
"New Jersey",2022-09-24,"912"
"New Jersey",2022-09-17,"799"
"New Jersey",2022-09-10,"865"
"New Jersey",2022-09-03,"967"
"New Jersey",2022-08-27,"1048"
"New Jersey",2022-08-20,"1054"
"New Jersey",2022-08-13,"1118"
"New Jersey",2022-08-06,"1139"
"New Jersey",2022-07-30,"1167"
"New Jersey",2022-07-23,"1133"
"New Jersey",2022-07-16,"1124"
"New Jersey",2022-07-09,"1025"
"New Jersey",2022-07-02,"934"
"New Jersey",2022-06-25,"850"
"New Jersey",2022-06-18,"851"
"New Jersey",2022-06-11,"948"
"New Jersey",2022-06-04,"986"
"New Jersey",2022-05-28,"1047"
"New Jersey",2022-05-21,"969"
"New Jersey",2022-05-14,"840"
"New Jersey",2022-05-07,"703"
"New Jersey",2022-04-30,"531"
"New Jersey",2022-04-23,"463"
"New Jersey",2022-04-16,"401"
"New Jersey",2022-04-09,"351"
"New Jersey",2022-04-02,"306"
"New Jersey",2022-03-26,"280"
"New Jersey",2022-03-19,"333"
"New Jersey",2022-03-12,"388"
"New Jersey",2022-03-05,"522"
"New Jersey",2022-02-26,"679"
"New Jersey",2022-02-19,"817"
"New Jersey",2022-02-12,"1192"
"New Jersey",2022-02-05,"1670"
"New Jersey",2022-01-29,"2798"
"New Jersey",2022-01-22,"3994"
"New Jersey",2022-01-15,"5560"
"New Jersey",2022-01-08,"6243"
"New Jersey",2022-01-01,"4574"
"New Jersey",2021-12-25,"2485"
"New Jersey",2021-12-18,"1784"
"New Jersey",2021-12-11,"1603"
"New Jersey",2021-12-04,"1159"
"New Jersey",2021-11-27,"845"
"New Jersey",2021-11-20,"757"
"New Jersey",2021-11-13,"594"
"New Jersey",2021-11-06,"526"
"New Jersey",2021-10-30,"574"
"New Jersey",2021-10-23,"681"
"New Jersey",2021-10-16,"726"
"New Jersey",2021-10-09,"772"
"New Jersey",2021-10-02,"907"
"New Jersey",2021-09-25,"900"
"New Jersey",2021-09-18,"995"
"New Jersey",2021-09-11,"1037"
"New Jersey",2021-09-04,"991"
"New Jersey",2021-08-28,"990"
"New Jersey",2021-08-21,"946"
"New Jersey",2021-08-14,"763"
"New Jersey",2021-08-07,"622"
"New Jersey",2021-07-31,"456"
"New Jersey",2021-07-24,"355"
"New Jersey",2021-07-17,"268"
"New Jersey",2021-07-10,"245"
"New Jersey",2021-07-03,"210"
