"Geography","Date","Weekly COVID-19 Hospital Admissions"
"New Mexico",2024-03-30,"53"
"New Mexico",2024-03-23,"55"
"New Mexico",2024-03-16,"46"
"New Mexico",2024-03-09,"70"
"New Mexico",2024-03-02,"42"
"New Mexico",2024-02-24,"68"
"New Mexico",2024-02-17,"73"
"New Mexico",2024-02-10,"66"
"New Mexico",2024-02-03,"72"
"New Mexico",2024-01-27,"61"
"New Mexico",2024-01-20,"62"
"New Mexico",2024-01-13,"50"
"New Mexico",2024-01-06,"110"
"New Mexico",2023-12-30,"131"
"New Mexico",2023-12-23,"135"
"New Mexico",2023-12-16,"126"
"New Mexico",2023-12-09,"111"
"New Mexico",2023-12-02,"157"
"New Mexico",2023-11-25,"182"
"New Mexico",2023-11-18,"196"
"New Mexico",2023-11-11,"190"
"New Mexico",2023-11-04,"146"
"New Mexico",2023-10-28,"147"
"New Mexico",2023-10-21,"117"
"New Mexico",2023-10-14,"116"
"New Mexico",2023-10-07,"97"
"New Mexico",2023-09-30,"89"
"New Mexico",2023-09-23,"57"
"New Mexico",2023-09-16,"44"
"New Mexico",2023-09-09,"70"
"New Mexico",2023-09-02,"57"
"New Mexico",2023-08-26,"38"
"New Mexico",2023-08-19,"46"
"New Mexico",2023-08-12,"40"
"New Mexico",2023-08-05,"26"
"New Mexico",2023-07-29,"27"
"New Mexico",2023-07-22,"26"
"New Mexico",2023-07-15,"30"
"New Mexico",2023-07-08,"30"
"New Mexico",2023-07-01,"28"
"New Mexico",2023-06-24,"37"
"New Mexico",2023-06-17,"33"
"New Mexico",2023-06-10,"23"
"New Mexico",2023-06-03,"40"
"New Mexico",2023-05-27,"54"
"New Mexico",2023-05-20,"55"
"New Mexico",2023-05-13,"82"
"New Mexico",2023-05-06,"91"
"New Mexico",2023-04-29,"90"
"New Mexico",2023-04-22,"121"
"New Mexico",2023-04-15,"115"
"New Mexico",2023-04-08,"107"
"New Mexico",2023-04-01,"108"
"New Mexico",2023-03-25,"121"
"New Mexico",2023-03-18,"95"
"New Mexico",2023-03-11,"106"
"New Mexico",2023-03-04,"114"
"New Mexico",2023-02-25,"83"
"New Mexico",2023-02-18,"94"
"New Mexico",2023-02-11,"79"
"New Mexico",2023-02-04,"84"
"New Mexico",2023-01-28,"106"
"New Mexico",2023-01-21,"110"
"New Mexico",2023-01-14,"116"
"New Mexico",2023-01-07,"106"
"New Mexico",2022-12-31,"158"
"New Mexico",2022-12-24,"151"
"New Mexico",2022-12-17,"175"
"New Mexico",2022-12-10,"208"
"New Mexico",2022-12-03,"251"
"New Mexico",2022-11-26,"237"
"New Mexico",2022-11-19,"215"
"New Mexico",2022-11-12,"173"
"New Mexico",2022-11-05,"164"
"New Mexico",2022-10-29,"134"
"New Mexico",2022-10-22,"150"
"New Mexico",2022-10-15,"101"
"New Mexico",2022-10-08,"98"
"New Mexico",2022-10-01,"101"
"New Mexico",2022-09-24,"125"
"New Mexico",2022-09-17,"86"
"New Mexico",2022-09-10,"135"
"New Mexico",2022-09-03,"148"
"New Mexico",2022-08-27,"144"
"New Mexico",2022-08-20,"163"
"New Mexico",2022-08-13,"213"
"New Mexico",2022-08-06,"193"
"New Mexico",2022-07-30,"220"
"New Mexico",2022-07-23,"220"
"New Mexico",2022-07-16,"229"
"New Mexico",2022-07-09,"198"
"New Mexico",2022-07-02,"234"
"New Mexico",2022-06-25,"226"
"New Mexico",2022-06-18,"188"
"New Mexico",2022-06-11,"146"
"New Mexico",2022-06-04,"143"
"New Mexico",2022-05-28,"126"
"New Mexico",2022-05-21,"108"
"New Mexico",2022-05-14,"77"
"New Mexico",2022-05-07,"46"
"New Mexico",2022-04-30,"53"
"New Mexico",2022-04-23,"59"
"New Mexico",2022-04-16,"58"
"New Mexico",2022-04-09,"45"
"New Mexico",2022-04-02,"71"
"New Mexico",2022-03-26,"87"
"New Mexico",2022-03-19,"106"
"New Mexico",2022-03-12,"138"
"New Mexico",2022-03-05,"171"
"New Mexico",2022-02-26,"248"
"New Mexico",2022-02-19,"317"
"New Mexico",2022-02-12,"471"
"New Mexico",2022-02-05,"681"
"New Mexico",2022-01-29,"687"
"New Mexico",2022-01-22,"736"
"New Mexico",2022-01-15,"614"
"New Mexico",2022-01-08,"500"
"New Mexico",2022-01-01,"426"
"New Mexico",2021-12-25,"421"
"New Mexico",2021-12-18,"441"
"New Mexico",2021-12-11,"551"
"New Mexico",2021-12-04,"536"
"New Mexico",2021-11-27,"491"
"New Mexico",2021-11-20,"527"
"New Mexico",2021-11-13,"493"
"New Mexico",2021-11-06,"462"
"New Mexico",2021-10-30,"473"
"New Mexico",2021-10-23,"392"
"New Mexico",2021-10-16,"345"
"New Mexico",2021-10-09,"358"
"New Mexico",2021-10-02,"344"
"New Mexico",2021-09-25,"312"
"New Mexico",2021-09-18,"398"
"New Mexico",2021-09-11,"386"
"New Mexico",2021-09-04,"459"
"New Mexico",2021-08-28,"447"
"New Mexico",2021-08-21,"383"
"New Mexico",2021-08-14,"309"
"New Mexico",2021-08-07,"232"
"New Mexico",2021-07-31,"167"
"New Mexico",2021-07-24,"135"
"New Mexico",2021-07-17,"88"
"New Mexico",2021-07-10,"106"
"New Mexico",2021-07-03,"84"
"New Mexico",2021-06-26,"80"
"New Mexico",2021-06-19,"99"
"New Mexico",2021-06-12,"94"
"New Mexico",2021-06-05,"101"
"New Mexico",2021-05-29,"140"
"New Mexico",2021-05-22,"163"
"New Mexico",2021-05-15,"157"
"New Mexico",2021-05-08,"191"
"New Mexico",2021-05-01,"158"
"New Mexico",2021-04-24,"127"
"New Mexico",2021-04-17,"121"
"New Mexico",2021-04-10,"110"
"New Mexico",2021-04-03,"107"
"New Mexico",2021-03-27,"108"
"New Mexico",2021-03-20,"138"
"New Mexico",2021-03-13,"145"
"New Mexico",2021-03-06,"253"
"New Mexico",2021-02-27,"183"
"New Mexico",2021-02-20,"229"
"New Mexico",2021-02-13,"272"
"New Mexico",2021-02-06,"481"
"New Mexico",2021-01-30,"595"
"New Mexico",2021-01-23,"728"
"New Mexico",2021-01-16,"734"
"New Mexico",2021-01-09,"699"
"New Mexico",2021-01-02,"885"
"New Mexico",2020-12-26,"854"
"New Mexico",2020-12-19,"860"
"New Mexico",2020-12-12,"876"
"New Mexico",2020-12-05,"945"
"New Mexico",2020-11-28,"810"
"New Mexico",2020-11-21,"847"
"New Mexico",2020-11-14,"712"
"New Mexico",2020-11-07,"528"
"New Mexico",2020-10-31,"406"
"New Mexico",2020-10-24,"282"
"New Mexico",2020-10-17,"162"
"New Mexico",2020-10-10,"132"
"New Mexico",2020-10-03,"115"
"New Mexico",2020-09-26,"107"
"New Mexico",2020-09-19,"74"
"New Mexico",2020-09-12,"43"
"New Mexico",2020-09-05,"48"
"New Mexico",2020-08-29,"155"
"New Mexico",2020-08-22,"102"
"New Mexico",2020-08-15,"59"
"New Mexico",2020-08-08,"78"
"New Mexico",2020-08-01,"N/A"
"New Mexico",2020-07-25,"N/A"
"New Mexico",2020-07-18,"N/A"
"New Mexico",2020-07-11,"N/A"
"New Mexico",2020-07-04,"N/A"
"New Mexico",2020-06-27,"N/A"
"New Mexico",2020-06-20,"N/A"
"New Mexico",2020-06-13,"N/A"
"New Mexico",2020-06-06,"N/A"
"New Mexico",2020-05-30,"N/A"
"New Mexico",2020-05-23,"N/A"
"New Mexico",2020-05-16,"N/A"
"New Mexico",2020-05-09,"N/A"
"New Mexico",2020-05-02,"N/A"
"New Mexico",2020-04-25,"N/A"
"New Mexico",2020-04-18,"N/A"
"New Mexico",2020-04-11,"N/A"
"New Mexico",2020-04-04,"N/A"
"New Mexico",2020-03-28,"N/A"
"New Mexico",2020-03-21,"N/A"
"New Mexico",2020-03-14,"N/A"
"New Mexico",2020-03-07,"N/A"
"New Mexico",2020-02-29,"N/A"
"New Mexico",2020-02-22,"N/A"
"New Mexico",2020-02-15,"N/A"
"New Mexico",2020-02-08,"N/A"
"New Mexico",2020-02-01,"N/A"
"New Mexico",2020-01-25,"N/A"
"New Mexico",2020-01-18,"N/A"
"New Mexico",2020-01-11,"N/A"
