"Geography","Date","Weekly COVID-19 Hospital Admissions"
"New York",2024-03-30,"505"
"New York",2024-03-23,"555"
"New York",2024-03-16,"604"
"New York",2024-03-09,"761"
"New York",2024-03-02,"915"
"New York",2024-02-24,"1097"
"New York",2024-02-17,"1324"
"New York",2024-02-10,"1580"
"New York",2024-02-03,"1686"
"New York",2024-01-27,"1988"
"New York",2024-01-20,"2403"
"New York",2024-01-13,"2875"
"New York",2024-01-06,"3221"
"New York",2023-12-30,"2965"
"New York",2023-12-23,"2379"
"New York",2023-12-16,"1862"
"New York",2023-12-09,"1611"
"New York",2023-12-02,"1510"
"New York",2023-11-25,"1315"
"New York",2023-11-18,"1097"
"New York",2023-11-11,"1044"
"New York",2023-11-04,"1028"
"New York",2023-10-28,"1265"
"New York",2023-10-21,"1266"
"New York",2023-10-14,"1431"
"New York",2023-10-07,"1675"
"New York",2023-09-30,"1731"
"New York",2023-09-23,"1563"
"New York",2023-09-16,"1448"
"New York",2023-09-09,"1498"
"New York",2023-09-02,"1273"
"New York",2023-08-26,"1104"
"New York",2023-08-19,"1056"
"New York",2023-08-12,"926"
"New York",2023-08-05,"673"
"New York",2023-07-29,"637"
"New York",2023-07-22,"533"
"New York",2023-07-15,"400"
"New York",2023-07-08,"382"
"New York",2023-07-01,"455"
"New York",2023-06-24,"370"
"New York",2023-06-17,"471"
"New York",2023-06-10,"470"
"New York",2023-06-03,"506"
"New York",2023-05-27,"530"
"New York",2023-05-20,"562"
"New York",2023-05-13,"552"
"New York",2023-05-06,"608"
"New York",2023-04-29,"593"
"New York",2023-04-22,"671"
"New York",2023-04-15,"748"
"New York",2023-04-08,"846"
"New York",2023-04-01,"921"
"New York",2023-03-25,"996"
"New York",2023-03-18,"1145"
"New York",2023-03-11,"1299"
"New York",2023-03-04,"1508"
"New York",2023-02-25,"1710"
"New York",2023-02-18,"1914"
"New York",2023-02-11,"1950"
"New York",2023-02-04,"2241"
"New York",2023-01-28,"2487"
"New York",2023-01-21,"2652"
"New York",2023-01-14,"3208"
"New York",2023-01-07,"3745"
"New York",2022-12-31,"3471"
"New York",2022-12-24,"3544"
"New York",2022-12-17,"3392"
"New York",2022-12-10,"3186"
"New York",2022-12-03,"2964"
"New York",2022-11-26,"2457"
"New York",2022-11-19,"2385"
"New York",2022-11-12,"2421"
"New York",2022-11-05,"2529"
"New York",2022-10-29,"2593"
"New York",2022-10-22,"2571"
"New York",2022-10-15,"2566"
"New York",2022-10-08,"2429"
"New York",2022-10-01,"2293"
"New York",2022-09-24,"2141"
"New York",2022-09-17,"1936"
"New York",2022-09-10,"1904"
"New York",2022-09-03,"2041"
"New York",2022-08-27,"2188"
"New York",2022-08-20,"2309"
"New York",2022-08-13,"2309"
"New York",2022-08-06,"2443"
"New York",2022-07-30,"2556"
"New York",2022-07-23,"2656"
"New York",2022-07-16,"2547"
"New York",2022-07-09,"2266"
"New York",2022-07-02,"2031"
