"Geography","Date","Weekly COVID-19 Hospital Admissions"
"North Carolina",2024-03-30,"274"
"North Carolina",2024-03-23,"348"
"North Carolina",2024-03-16,"364"
"North Carolina",2024-03-09,"548"
"North Carolina",2024-03-02,"567"
"North Carolina",2024-02-24,"705"
"North Carolina",2024-02-17,"711"
"North Carolina",2024-02-10,"692"
"North Carolina",2024-02-03,"674"
"North Carolina",2024-01-27,"671"
"North Carolina",2024-01-20,"703"
"North Carolina",2024-01-13,"870"
"North Carolina",2024-01-06,"844"
"North Carolina",2023-12-30,"888"
"North Carolina",2023-12-23,"691"
"North Carolina",2023-12-16,"549"
"North Carolina",2023-12-09,"549"
"North Carolina",2023-12-02,"462"
"North Carolina",2023-11-25,"417"
"North Carolina",2023-11-18,"385"
"North Carolina",2023-11-11,"387"
"North Carolina",2023-11-04,"381"
"North Carolina",2023-10-28,"420"
"North Carolina",2023-10-21,"422"
"North Carolina",2023-10-14,"453"
"North Carolina",2023-10-07,"565"
"North Carolina",2023-09-30,"558"
"North Carolina",2023-09-23,"598"
"North Carolina",2023-09-16,"607"
"North Carolina",2023-09-09,"625"
"North Carolina",2023-09-02,"481"
"North Carolina",2023-08-26,"469"
"North Carolina",2023-08-19,"412"
"North Carolina",2023-08-12,"318"
"North Carolina",2023-08-05,"254"
"North Carolina",2023-07-29,"222"
"North Carolina",2023-07-22,"191"
"North Carolina",2023-07-15,"178"
"North Carolina",2023-07-08,"127"
"North Carolina",2023-07-01,"148"
"North Carolina",2023-06-24,"120"
"North Carolina",2023-06-17,"145"
"North Carolina",2023-06-10,"117"
"North Carolina",2023-06-03,"155"
"North Carolina",2023-05-27,"150"
"North Carolina",2023-05-20,"176"
"North Carolina",2023-05-13,"170"
"North Carolina",2023-05-06,"197"
"North Carolina",2023-04-29,"152"
"North Carolina",2023-04-22,"232"
"North Carolina",2023-04-15,"225"
"North Carolina",2023-04-08,"294"
"North Carolina",2023-04-01,"341"
"North Carolina",2023-03-25,"376"
"North Carolina",2023-03-18,"405"
"North Carolina",2023-03-11,"491"
"North Carolina",2023-03-04,"613"
"North Carolina",2023-02-25,"697"
"North Carolina",2023-02-18,"742"
"North Carolina",2023-02-11,"797"
"North Carolina",2023-02-04,"792"
"North Carolina",2023-01-28,"970"
"North Carolina",2023-01-21,"1056"
"North Carolina",2023-01-14,"1296"
"North Carolina",2023-01-07,"1629"
"North Carolina",2022-12-31,"1631"
"North Carolina",2022-12-24,"1059"
"North Carolina",2022-12-17,"793"
"North Carolina",2022-12-10,"644"
"North Carolina",2022-12-03,"596"
"North Carolina",2022-11-26,"472"
"North Carolina",2022-11-19,"450"
"North Carolina",2022-11-12,"521"
"North Carolina",2022-11-05,"541"
"North Carolina",2022-10-29,"567"
"North Carolina",2022-10-22,"571"
"North Carolina",2022-10-15,"552"
"North Carolina",2022-10-08,"686"
"North Carolina",2022-10-01,"770"
"North Carolina",2022-09-24,"885"
"North Carolina",2022-09-17,"891"
"North Carolina",2022-09-10,"1034"
"North Carolina",2022-09-03,"950"
"North Carolina",2022-08-27,"1032"
"North Carolina",2022-08-20,"1098"
"North Carolina",2022-08-13,"1229"
"North Carolina",2022-08-06,"1207"
"North Carolina",2022-07-30,"1239"
"North Carolina",2022-07-23,"1180"
"North Carolina",2022-07-16,"1016"
"North Carolina",2022-07-09,"850"
"North Carolina",2022-07-02,"846"
"North Carolina",2022-06-25,"748"
"North Carolina",2022-06-18,"774"
"North Carolina",2022-06-11,"781"
"North Carolina",2022-06-04,"808"
"North Carolina",2022-05-28,"689"
"North Carolina",2022-05-21,"600"
"North Carolina",2022-05-14,"493"
"North Carolina",2022-05-07,"424"
"North Carolina",2022-04-30,"372"
"North Carolina",2022-04-23,"257"
"North Carolina",2022-04-16,"281"
"North Carolina",2022-04-09,"237"
"North Carolina",2022-04-02,"275"
"North Carolina",2022-03-26,"305"
"North Carolina",2022-03-19,"383"
"North Carolina",2022-03-12,"519"
"North Carolina",2022-03-05,"812"
"North Carolina",2022-02-26,"1218"
"North Carolina",2022-02-19,"1761"
"North Carolina",2022-02-12,"2418"
"North Carolina",2022-02-05,"3273"
"North Carolina",2022-01-29,"4198"
"North Carolina",2022-01-22,"4198"
"North Carolina",2022-01-15,"3975"
"North Carolina",2022-01-08,"3339"
"North Carolina",2022-01-01,"2208"
"North Carolina",2021-12-25,"1521"
"North Carolina",2021-12-18,"1289"
"North Carolina",2021-12-11,"1206"
"North Carolina",2021-12-04,"958"
"North Carolina",2021-11-27,"890"
"North Carolina",2021-11-20,"772"
"North Carolina",2021-11-13,"729"
"North Carolina",2021-11-06,"749"
"North Carolina",2021-10-30,"795"
"North Carolina",2021-10-23,"965"
"North Carolina",2021-10-16,"1371"
"North Carolina",2021-10-09,"1623"
"North Carolina",2021-10-02,"1797"
"North Carolina",2021-09-25,"2255"
"North Carolina",2021-09-18,"2407"
"North Carolina",2021-09-11,"2559"
"North Carolina",2021-09-04,"2681"
"North Carolina",2021-08-28,"2612"
"North Carolina",2021-08-21,"2408"
"North Carolina",2021-08-14,"2072"
"North Carolina",2021-08-07,"1460"
"North Carolina",2021-07-31,"1043"
"North Carolina",2021-07-24,"744"
"North Carolina",2021-07-17,"471"
"North Carolina",2021-07-10,"330"
"North Carolina",2021-07-03,"332"
"North Carolina",2021-06-26,"303"
"North Carolina",2021-06-19,"360"
"North Carolina",2021-06-12,"383"
"North Carolina",2021-06-05,"463"
"North Carolina",2021-05-29,"527"
"North Carolina",2021-05-22,"596"
"North Carolina",2021-05-15,"720"
"North Carolina",2021-05-08,"763"
"North Carolina",2021-05-01,"881"
"North Carolina",2021-04-24,"944"
"North Carolina",2021-04-17,"902"
"North Carolina",2021-04-10,"770"
"North Carolina",2021-04-03,"770"
"North Carolina",2021-03-27,"687"
"North Carolina",2021-03-20,"758"
"North Carolina",2021-03-13,"795"
"North Carolina",2021-03-06,"846"
"North Carolina",2021-02-27,"981"
"North Carolina",2021-02-20,"1254"
"North Carolina",2021-02-13,"1522"
"North Carolina",2021-02-06,"1913"
"North Carolina",2021-01-30,"2356"
"North Carolina",2021-01-23,"2588"
"North Carolina",2021-01-16,"3122"
"North Carolina",2021-01-09,"3190"
"North Carolina",2021-01-02,"2749"
"North Carolina",2020-12-26,"2560"
"North Carolina",2020-12-19,"2300"
"North Carolina",2020-12-12,"2158"
"North Carolina",2020-12-05,"1891"
"North Carolina",2020-11-28,"1547"
"North Carolina",2020-11-21,"1447"
"North Carolina",2020-11-14,"1224"
"North Carolina",2020-11-07,"1099"
"North Carolina",2020-10-31,"1007"
"North Carolina",2020-10-24,"1022"
"North Carolina",2020-10-17,"1019"
"North Carolina",2020-10-10,"976"
"North Carolina",2020-10-03,"683"
"North Carolina",2020-09-26,"683"
"North Carolina",2020-09-19,"666"
"North Carolina",2020-09-12,"674"
"North Carolina",2020-09-05,"1661"
"North Carolina",2020-08-29,"1666"
"North Carolina",2020-08-22,"742"
"North Carolina",2020-08-15,"572"
"North Carolina",2020-08-08,"863"
"North Carolina",2020-08-01,"N/A"
"North Carolina",2020-07-25,"N/A"
"North Carolina",2020-07-18,"N/A"
"North Carolina",2020-07-11,"N/A"
"North Carolina",2020-07-04,"N/A"
"North Carolina",2020-06-27,"N/A"
"North Carolina",2020-06-20,"N/A"
"North Carolina",2020-06-13,"N/A"
"North Carolina",2020-06-06,"N/A"
"North Carolina",2020-05-30,"N/A"
"North Carolina",2020-05-23,"N/A"
"North Carolina",2020-05-16,"N/A"
"North Carolina",2020-05-09,"N/A"
"North Carolina",2020-05-02,"N/A"
"North Carolina",2020-04-25,"N/A"
"North Carolina",2020-04-18,"N/A"
"North Carolina",2020-04-11,"N/A"
"North Carolina",2020-04-04,"N/A"
"North Carolina",2020-03-28,"N/A"
"North Carolina",2020-03-21,"N/A"
"North Carolina",2020-03-14,"N/A"
"North Carolina",2020-03-07,"N/A"
"North Carolina",2020-02-29,"N/A"
"North Carolina",2020-02-22,"N/A"
"North Carolina",2020-02-15,"N/A"
"North Carolina",2020-02-08,"N/A"
"North Carolina",2020-02-01,"N/A"
"North Carolina",2020-01-25,"N/A"
"North Carolina",2020-01-18,"N/A"
"North Carolina",2020-01-11,"N/A"
