"Geography","Date","Weekly COVID-19 Hospital Admissions"
"North Dakota",2024-03-30,"18"
"North Dakota",2024-03-23,"23"
"North Dakota",2024-03-16,"30"
"North Dakota",2024-03-09,"38"
"North Dakota",2024-03-02,"36"
"North Dakota",2024-02-24,"39"
"North Dakota",2024-02-17,"42"
"North Dakota",2024-02-10,"45"
"North Dakota",2024-02-03,"34"
"North Dakota",2024-01-27,"39"
"North Dakota",2024-01-20,"55"
"North Dakota",2024-01-13,"59"
"North Dakota",2024-01-06,"77"
"North Dakota",2023-12-30,"100"
"North Dakota",2023-12-23,"91"
"North Dakota",2023-12-16,"82"
"North Dakota",2023-12-09,"81"
"North Dakota",2023-12-02,"89"
"North Dakota",2023-11-25,"77"
"North Dakota",2023-11-18,"81"
"North Dakota",2023-11-11,"50"
"North Dakota",2023-11-04,"35"
"North Dakota",2023-10-28,"51"
"North Dakota",2023-10-21,"55"
"North Dakota",2023-10-14,"58"
"North Dakota",2023-10-07,"44"
"North Dakota",2023-09-30,"40"
"North Dakota",2023-09-23,"35"
"North Dakota",2023-09-16,"28"
"North Dakota",2023-09-09,"24"
"North Dakota",2023-09-02,"20"
"North Dakota",2023-08-26,"21"
"North Dakota",2023-08-19,"14"
"North Dakota",2023-08-12,"15"
"North Dakota",2023-08-05,"14"
"North Dakota",2023-07-29,"13"
"North Dakota",2023-07-22,"19"
"North Dakota",2023-07-15,"11"
"North Dakota",2023-07-08,"7"
"North Dakota",2023-07-01,"8"
"North Dakota",2023-06-24,"5"
"North Dakota",2023-06-17,"17"
"North Dakota",2023-06-10,"12"
"North Dakota",2023-06-03,"14"
"North Dakota",2023-05-27,"12"
"North Dakota",2023-05-20,"17"
"North Dakota",2023-05-13,"34"
"North Dakota",2023-05-06,"22"
"North Dakota",2023-04-29,"36"
"North Dakota",2023-04-22,"30"
"North Dakota",2023-04-15,"34"
"North Dakota",2023-04-08,"24"
"North Dakota",2023-04-01,"46"
"North Dakota",2023-03-25,"36"
"North Dakota",2023-03-18,"58"
"North Dakota",2023-03-11,"47"
"North Dakota",2023-03-04,"70"
"North Dakota",2023-02-25,"69"
"North Dakota",2023-02-18,"69"
"North Dakota",2023-02-11,"71"
"North Dakota",2023-02-04,"65"
"North Dakota",2023-01-28,"47"
"North Dakota",2023-01-21,"51"
"North Dakota",2023-01-14,"57"
"North Dakota",2023-01-07,"47"
"North Dakota",2022-12-31,"68"
"North Dakota",2022-12-24,"80"
"North Dakota",2022-12-17,"66"
"North Dakota",2022-12-10,"51"
"North Dakota",2022-12-03,"85"
"North Dakota",2022-11-26,"89"
"North Dakota",2022-11-19,"68"
"North Dakota",2022-11-12,"69"
"North Dakota",2022-11-05,"62"
"North Dakota",2022-10-29,"83"
"North Dakota",2022-10-22,"47"
"North Dakota",2022-10-15,"48"
"North Dakota",2022-10-08,"68"
"North Dakota",2022-10-01,"67"
"North Dakota",2022-09-24,"71"
"North Dakota",2022-09-17,"67"
"North Dakota",2022-09-10,"65"
"North Dakota",2022-09-03,"81"
"North Dakota",2022-08-27,"87"
"North Dakota",2022-08-20,"91"
"North Dakota",2022-08-13,"96"
"North Dakota",2022-08-06,"105"
"North Dakota",2022-07-30,"75"
"North Dakota",2022-07-23,"84"
"North Dakota",2022-07-16,"82"
"North Dakota",2022-07-09,"77"
"North Dakota",2022-07-02,"54"
"North Dakota",2022-06-25,"54"
"North Dakota",2022-06-18,"75"
"North Dakota",2022-06-11,"66"
"North Dakota",2022-06-04,"50"
"North Dakota",2022-05-28,"54"
"North Dakota",2022-05-21,"33"
"North Dakota",2022-05-14,"37"
"North Dakota",2022-05-07,"35"
"North Dakota",2022-04-30,"28"
"North Dakota",2022-04-23,"27"
"North Dakota",2022-04-16,"17"
"North Dakota",2022-04-09,"15"
"North Dakota",2022-04-02,"21"
"North Dakota",2022-03-26,"23"
"North Dakota",2022-03-19,"50"
"North Dakota",2022-03-12,"41"
"North Dakota",2022-03-05,"77"
"North Dakota",2022-02-26,"100"
"North Dakota",2022-02-19,"157"
"North Dakota",2022-02-12,"182"
"North Dakota",2022-02-05,"249"
"North Dakota",2022-01-29,"309"
"North Dakota",2022-01-22,"272"
"North Dakota",2022-01-15,"241"
"North Dakota",2022-01-08,"160"
"North Dakota",2022-01-01,"164"
"North Dakota",2021-12-25,"132"
"North Dakota",2021-12-18,"129"
"North Dakota",2021-12-11,"193"
"North Dakota",2021-12-04,"216"
"North Dakota",2021-11-27,"211"
"North Dakota",2021-11-20,"182"
"North Dakota",2021-11-13,"174"
"North Dakota",2021-11-06,"191"
"North Dakota",2021-10-30,"207"
"North Dakota",2021-10-23,"219"
"North Dakota",2021-10-16,"264"
"North Dakota",2021-10-09,"210"
"North Dakota",2021-10-02,"240"
"North Dakota",2021-09-25,"200"
"North Dakota",2021-09-18,"160"
"North Dakota",2021-09-11,"158"
"North Dakota",2021-09-04,"144"
"North Dakota",2021-08-28,"158"
"North Dakota",2021-08-21,"107"
"North Dakota",2021-08-14,"52"
"North Dakota",2021-08-07,"33"
"North Dakota",2021-07-31,"20"
"North Dakota",2021-07-24,"22"
"North Dakota",2021-07-17,"13"
"North Dakota",2021-07-10,"13"
"North Dakota",2021-07-03,"12"
"North Dakota",2021-06-26,"18"
"North Dakota",2021-06-19,"21"
"North Dakota",2021-06-12,"23"
"North Dakota",2021-06-05,"27"
"North Dakota",2021-05-29,"49"
"North Dakota",2021-05-22,"59"
"North Dakota",2021-05-15,"61"
"North Dakota",2021-05-08,"60"
"North Dakota",2021-05-01,"80"
"North Dakota",2021-04-24,"69"
"North Dakota",2021-04-17,"77"
"North Dakota",2021-04-10,"95"
"North Dakota",2021-04-03,"56"
"North Dakota",2021-03-27,"41"
"North Dakota",2021-03-20,"38"
"North Dakota",2021-03-13,"56"
"North Dakota",2021-03-06,"40"
"North Dakota",2021-02-27,"56"
"North Dakota",2021-02-20,"64"
"North Dakota",2021-02-13,"68"
"North Dakota",2021-02-06,"64"
"North Dakota",2021-01-30,"71"
"North Dakota",2021-01-23,"78"
"North Dakota",2021-01-16,"103"
"North Dakota",2021-01-09,"111"
"North Dakota",2021-01-02,"140"
"North Dakota",2020-12-26,"160"
"North Dakota",2020-12-19,"175"
"North Dakota",2020-12-12,"231"
"North Dakota",2020-12-05,"279"
