"Geography","Date","Weekly COVID-19 Hospital Admissions"
"Texas",2024-03-30,"695"
"Texas",2024-03-23,"806"
"Texas",2024-03-16,"906"
"Texas",2024-03-09,"1098"
"Texas",2024-03-02,"1241"
"Texas",2024-02-24,"1530"
"Texas",2024-02-17,"1756"
"Texas",2024-02-10,"1902"
"Texas",2024-02-03,"1962"
"Texas",2024-01-27,"1883"
"Texas",2024-01-20,"1823"
"Texas",2024-01-13,"2013"
"Texas",2024-01-06,"2250"
"Texas",2023-12-30,"1890"
"Texas",2023-12-23,"1774"
"Texas",2023-12-16,"1452"
"Texas",2023-12-09,"1282"
"Texas",2023-12-02,"1208"
"Texas",2023-11-25,"1051"
"Texas",2023-11-18,"1022"
"Texas",2023-11-11,"1248"
"Texas",2023-11-04,"1073"
"Texas",2023-10-28,"1213"
"Texas",2023-10-21,"958"
"Texas",2023-10-14,"1113"
"Texas",2023-10-07,"1223"
"Texas",2023-09-30,"1402"
"Texas",2023-09-23,"1653"
"Texas",2023-09-16,"1844"
"Texas",2023-09-09,"1953"
"Texas",2023-09-02,"1856"
"Texas",2023-08-26,"1567"
"Texas",2023-08-19,"1300"
"Texas",2023-08-12,"1058"
"Texas",2023-08-05,"977"
"Texas",2023-07-29,"854"
"Texas",2023-07-22,"772"
"Texas",2023-07-15,"641"
"Texas",2023-07-08,"464"
"Texas",2023-07-01,"497"
"Texas",2023-06-24,"410"
"Texas",2023-06-17,"471"
"Texas",2023-06-10,"545"
"Texas",2023-06-03,"595"
"Texas",2023-05-27,"633"
"Texas",2023-05-20,"732"
"Texas",2023-05-13,"796"
"Texas",2023-05-06,"901"
"Texas",2023-04-29,"930"
"Texas",2023-04-22,"1120"
"Texas",2023-04-15,"1273"
"Texas",2023-04-08,"1262"
"Texas",2023-04-01,"1237"
"Texas",2023-03-25,"1346"
"Texas",2023-03-18,"1405"
"Texas",2023-03-11,"1623"
"Texas",2023-03-04,"1739"
"Texas",2023-02-25,"1940"
"Texas",2023-02-18,"1993"
"Texas",2023-02-11,"2129"
"Texas",2023-02-04,"2188"
"Texas",2023-01-28,"2568"
"Texas",2023-01-21,"2792"
"Texas",2023-01-14,"3349"
"Texas",2023-01-07,"3837"
"Texas",2022-12-31,"3696"
"Texas",2022-12-24,"2713"
"Texas",2022-12-17,"2502"
"Texas",2022-12-10,"2324"
"Texas",2022-12-03,"2125"
"Texas",2022-11-26,"1511"
"Texas",2022-11-19,"1175"
"Texas",2022-11-12,"1072"
"Texas",2022-11-05,"991"
"Texas",2022-10-29,"1085"
"Texas",2022-10-22,"1100"
"Texas",2022-10-15,"1210"
"Texas",2022-10-08,"1398"
"Texas",2022-10-01,"1600"
"Texas",2022-09-24,"2094"
"Texas",2022-09-17,"2469"
"Texas",2022-09-10,"2686"
"Texas",2022-09-03,"2934"
"Texas",2022-08-27,"2995"
"Texas",2022-08-20,"3176"
"Texas",2022-08-13,"3650"
"Texas",2022-08-06,"3991"
"Texas",2022-07-30,"4246"
"Texas",2022-07-23,"4374"
"Texas",2022-07-16,"4208"
"Texas",2022-07-09,"3842"
"Texas",2022-07-02,"3255"
"Texas",2022-06-25,"2757"
"Texas",2022-06-18,"2289"
"Texas",2022-06-11,"1940"
"Texas",2022-06-04,"1579"
"Texas",2022-05-28,"1253"
"Texas",2022-05-21,"1012"
"Texas",2022-05-14,"852"
"Texas",2022-05-07,"796"
"Texas",2022-04-30,"715"
"Texas",2022-04-23,"791"
"Texas",2022-04-16,"778"
"Texas",2022-04-09,"876"
"Texas",2022-04-02,"977"
"Texas",2022-03-26,"1153"
"Texas",2022-03-19,"1400"
"Texas",2022-03-12,"1849"
"Texas",2022-03-05,"2493"
"Texas",2022-02-26,"3374"
"Texas",2022-02-19,"5070"
"Texas",2022-02-12,"6439"
"Texas",2022-02-05,"10276"
"Texas",2022-01-29,"13004"
"Texas",2022-01-22,"14307"
"Texas",2022-01-15,"13913"
"Texas",2022-01-08,"11536"
"Texas",2022-01-01,"8098"
"Texas",2021-12-25,"3821"
"Texas",2021-12-18,"2881"
"Texas",2021-12-11,"2961"
"Texas",2021-12-04,"2778"
"Texas",2021-11-27,"2077"
"Texas",2021-11-20,"2314"
"Texas",2021-11-13,"2274"
"Texas",2021-11-06,"2183"
"Texas",2021-10-30,"2677"
"Texas",2021-10-23,"3271"
"Texas",2021-10-16,"3950"
"Texas",2021-10-09,"4790"
"Texas",2021-10-02,"6105"
"Texas",2021-09-25,"7621"
"Texas",2021-09-18,"9303"
"Texas",2021-09-11,"10550"
"Texas",2021-09-04,"11457"
"Texas",2021-08-28,"11768"
"Texas",2021-08-21,"11880"
"Texas",2021-08-14,"11422"
"Texas",2021-08-07,"9217"
"Texas",2021-07-31,"6632"
"Texas",2021-07-24,"4416"
"Texas",2021-07-17,"2952"
"Texas",2021-07-10,"2006"
"Texas",2021-07-03,"1572"
"Texas",2021-06-26,"1352"
"Texas",2021-06-19,"1392"
"Texas",2021-06-12,"1537"
"Texas",2021-06-05,"1535"
"Texas",2021-05-29,"1676"
"Texas",2021-05-22,"1831"
"Texas",2021-05-15,"2114"
"Texas",2021-05-08,"2272"
"Texas",2021-05-01,"2477"
"Texas",2021-04-24,"2615"
"Texas",2021-04-17,"2873"
"Texas",2021-04-10,"2613"
"Texas",2021-04-03,"2583"
"Texas",2021-03-27,"2818"
"Texas",2021-03-20,"3048"
