"Geography","Date","Weekly COVID-19 Hospital Admissions"
"Washington",2024-03-30,"144"
"Washington",2024-03-23,"194"
"Washington",2024-03-16,"189"
"Washington",2024-03-09,"227"
"Washington",2024-03-02,"268"
"Washington",2024-02-24,"254"
"Washington",2024-02-17,"283"
"Washington",2024-02-10,"333"
"Washington",2024-02-03,"356"
"Washington",2024-01-27,"372"
"Washington",2024-01-20,"380"
"Washington",2024-01-13,"362"
"Washington",2024-01-06,"433"
"Washington",2023-12-30,"363"
"Washington",2023-12-23,"306"
"Washington",2023-12-16,"279"
"Washington",2023-12-09,"297"
"Washington",2023-12-02,"254"
"Washington",2023-11-25,"222"
"Washington",2023-11-18,"257"
"Washington",2023-11-11,"250"
"Washington",2023-11-04,"246"
"Washington",2023-10-28,"238"
"Washington",2023-10-21,"301"
"Washington",2023-10-14,"380"
"Washington",2023-10-07,"362"
"Washington",2023-09-30,"345"
"Washington",2023-09-23,"369"
"Washington",2023-09-16,"355"
"Washington",2023-09-09,"318"
"Washington",2023-09-02,"288"
"Washington",2023-08-26,"283"
"Washington",2023-08-19,"232"
"Washington",2023-08-12,"197"
"Washington",2023-08-05,"174"
"Washington",2023-07-29,"153"
"Washington",2023-07-22,"140"
"Washington",2023-07-15,"126"
"Washington",2023-07-08,"132"
"Washington",2023-07-01,"140"
"Washington",2023-06-24,"131"
"Washington",2023-06-17,"124"
"Washington",2023-06-10,"144"
"Washington",2023-06-03,"142"
"Washington",2023-05-27,"173"
"Washington",2023-05-20,"165"
"Washington",2023-05-13,"170"
"Washington",2023-05-06,"198"
"Washington",2023-04-29,"225"
"Washington",2023-04-22,"211"
"Washington",2023-04-15,"210"
"Washington",2023-04-08,"243"
"Washington",2023-04-01,"308"
"Washington",2023-03-25,"342"
"Washington",2023-03-18,"315"
"Washington",2023-03-11,"365"
"Washington",2023-03-04,"390"
"Washington",2023-02-25,"365"
"Washington",2023-02-18,"410"
"Washington",2023-02-11,"416"
"Washington",2023-02-04,"379"
"Washington",2023-01-28,"384"
"Washington",2023-01-21,"411"
"Washington",2023-01-14,"423"
"Washington",2023-01-07,"474"
"Washington",2022-12-31,"467"
"Washington",2022-12-24,"468"
"Washington",2022-12-17,"418"
"Washington",2022-12-10,"430"
"Washington",2022-12-03,"488"
"Washington",2022-11-26,"378"
"Washington",2022-11-19,"341"
"Washington",2022-11-12,"276"
"Washington",2022-11-05,"306"
"Washington",2022-10-29,"323"
"Washington",2022-10-22,"270"
"Washington",2022-10-15,"324"
"Washington",2022-10-08,"395"
"Washington",2022-10-01,"427"
"Washington",2022-09-24,"450"
"Washington",2022-09-17,"421"
"Washington",2022-09-10,"433"
"Washington",2022-09-03,"497"
"Washington",2022-08-27,"490"
"Washington",2022-08-20,"540"
"Washington",2022-08-13,"597"
"Washington",2022-08-06,"630"
"Washington",2022-07-30,"685"
"Washington",2022-07-23,"804"
"Washington",2022-07-16,"796"
"Washington",2022-07-09,"789"
"Washington",2022-07-02,"723"
"Washington",2022-06-25,"668"
"Washington",2022-06-18,"577"
"Washington",2022-06-11,"538"
"Washington",2022-06-04,"543"
"Washington",2022-05-28,"522"
"Washington",2022-05-21,"586"
"Washington",2022-05-14,"497"
"Washington",2022-05-07,"433"
"Washington",2022-04-30,"307"
"Washington",2022-04-23,"259"
"Washington",2022-04-16,"212"
"Washington",2022-04-09,"186"
"Washington",2022-04-02,"190"
"Washington",2022-03-26,"198"
"Washington",2022-03-19,"245"
"Washington",2022-03-12,"365"
"Washington",2022-03-05,"499"
"Washington",2022-02-26,"640"
"Washington",2022-02-19,"840"
"Washington",2022-02-12,"1062"
"Washington",2022-02-05,"1416"
"Washington",2022-01-29,"1669"
"Washington",2022-01-22,"1957"
"Washington",2022-01-15,"1723"
"Washington",2022-01-08,"1424"
"Washington",2022-01-01,"906"
"Washington",2021-12-25,"561"
"Washington",2021-12-18,"465"
"Washington",2021-12-11,"499"
"Washington",2021-12-04,"507"
"Washington",2021-11-27,"462"
"Washington",2021-11-20,"517"
"Washington",2021-11-13,"604"
"Washington",2021-11-06,"678"
"Washington",2021-10-30,"689"
"Washington",2021-10-23,"669"
"Washington",2021-10-16,"740"
"Washington",2021-10-09,"778"
"Washington",2021-10-02,"866"
"Washington",2021-09-25,"870"
"Washington",2021-09-18,"1044"
"Washington",2021-09-11,"1116"
"Washington",2021-09-04,"1192"
"Washington",2021-08-28,"1110"
"Washington",2021-08-21,"1002"
"Washington",2021-08-14,"781"
"Washington",2021-08-07,"626"
"Washington",2021-07-31,"524"
"Washington",2021-07-24,"358"
"Washington",2021-07-17,"287"
"Washington",2021-07-10,"261"
"Washington",2021-07-03,"237"
"Washington",2021-06-26,"293"
"Washington",2021-06-19,"260"
"Washington",2021-06-12,"322"
"Washington",2021-06-05,"387"
"Washington",2021-05-29,"435"
"Washington",2021-05-22,"473"
"Washington",2021-05-15,"466"
"Washington",2021-05-08,"478"
"Washington",2021-05-01,"541"
"Washington",2021-04-24,"491"
"Washington",2021-04-17,"434"
"Washington",2021-04-10,"350"
"Washington",2021-04-03,"345"
"Washington",2021-03-27,"251"
"Washington",2021-03-20,"290"
"Washington",2021-03-13,"274"
"Washington",2021-03-06,"271"
"Washington",2021-02-27,"312"
"Washington",2021-02-20,"377"
"Washington",2021-02-13,"381"
"Washington",2021-02-06,"500"
"Washington",2021-01-30,"571"
"Washington",2021-01-23,"633"
"Washington",2021-01-16,"658"
"Washington",2021-01-09,"710"
"Washington",2021-01-02,"707"
"Washington",2020-12-26,"752"
"Washington",2020-12-19,"711"
"Washington",2020-12-12,"702"
"Washington",2020-12-05,"694"
"Washington",2020-11-28,"687"
"Washington",2020-11-21,"593"
"Washington",2020-11-14,"420"
"Washington",2020-11-07,"272"
"Washington",2020-10-31,"251"
"Washington",2020-10-24,"187"
"Washington",2020-10-17,"204"
"Washington",2020-10-10,"172"
"Washington",2020-10-03,"141"
"Washington",2020-09-26,"168"
"Washington",2020-09-19,"202"
"Washington",2020-09-12,"152"
"Washington",2020-09-05,"193"
"Washington",2020-08-29,"144"
"Washington",2020-08-22,"162"
"Washington",2020-08-15,"187"
"Washington",2020-08-08,"190"
"Washington",2020-08-01,"N/A"
"Washington",2020-07-25,"N/A"
"Washington",2020-07-18,"N/A"
"Washington",2020-07-11,"N/A"
"Washington",2020-07-04,"N/A"
"Washington",2020-06-27,"N/A"
"Washington",2020-06-20,"N/A"
"Washington",2020-06-13,"N/A"
"Washington",2020-06-06,"N/A"
"Washington",2020-05-30,"N/A"
"Washington",2020-05-23,"N/A"
"Washington",2020-05-16,"N/A"
"Washington",2020-05-09,"N/A"
"Washington",2020-05-02,"N/A"
"Washington",2020-04-25,"N/A"
"Washington",2020-04-18,"N/A"
"Washington",2020-04-11,"N/A"
"Washington",2020-04-04,"N/A"
"Washington",2020-03-28,"N/A"
"Washington",2020-03-21,"N/A"
"Washington",2020-03-14,"N/A"
"Washington",2020-03-07,"N/A"
"Washington",2020-02-29,"N/A"
"Washington",2020-02-22,"N/A"
"Washington",2020-02-15,"N/A"
"Washington",2020-02-08,"N/A"
"Washington",2020-02-01,"N/A"
"Washington",2020-01-25,"N/A"
"Washington",2020-01-18,"N/A"
"Washington",2020-01-11,"N/A"
