age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.1369896482551091,0.0,0.0,0.0,0.0,0.1369896482551091
0-17,None,1,0.013352138228097223,0.0006393599574199088,0.005338967078359252,0.0012772284073096407,0.005995954159036201,0.00010062862597222281
0-17,None,2,0.0639060288133226,0.024723493692775992,0.008225515457425827,0.010360577755997092,0.020478548518556506,0.00011789338856718794
0-17,PreOmicron,0,0.21150323243218863,0.007698023204442028,0.02148440253945934,0.05004192835633832,0.014485959870596504,0.11779291846135237
0-17,PreOmicron,1,0.020614845217099356,0.0017039014136349243,0.0090990409471047,0.003923256613435086,0.0058028300607388195,3.5067251287179915e-05
0-17,PreOmicron,2,0.09866681050783861,0.040414676085915695,0.01709281856643312,0.02125108183178457,0.019807272242935877,0.00010075320308966388
0-17,Omicron,0,0.10276684130178193,0.1027485701912974,1.6312592582182836e-05,7.341340869776851e-07,1.2243838153528885e-06,0.0
0-17,Omicron,1,0.01001650188758075,0.01001480907205911,1.5884442335340455e-06,5.09859242453043e-08,5.338536386160818e-08,0.0
0-17,Omicron,2,0.047940999958300805,0.04793582007248053,4.739883785987223e-06,2.589845042852319e-07,1.8101753000551678e-07,0.0
0-17,Both,0,0.1881383883977594,0.18810493891894647,2.9863960399334647e-05,1.3440016472457955e-06,2.2415167663307173e-06,0.0
0-17,Both,1,0.018337515278674634,0.0183344161897072,2.908013269369872e-06,9.334148541466822e-08,9.773421264799347e-08,0.0
0-17,Both,2,0.08776704972224703,0.08775756674740838,8.67744970451713e-06,4.741308250696548e-07,3.313943090551181e-07,0.0
18-49,None,0,0.060341986514308235,0.0,0.0,0.0,0.0,0.060341986514308235
18-49,None,1,0.03728612924671537,0.003980207620140797,0.0015613924285764543,0.004288537473138539,0.01718747145893435,0.010268520265925245
18-49,None,2,0.20498797771832547,0.04908662597966817,0.038884485975035785,0.01804299530141585,0.08297091080726975,0.016002959654936116
18-49,PreOmicron,0,0.04925003096416498,0.002001058112275807,0.004650419334516628,0.01218816138290998,0.0017152851791264773,0.028695106955336076
18-49,PreOmicron,1,0.030432259957155323,0.004362014005171962,0.003677177747435495,0.008577280256588023,0.008969798853387742,0.0024687139359714926
18-49,PreOmicron,2,0.1673074559372555,0.04527197951007876,0.03946096459998095,0.03269009004045099,0.04232493645680813,0.007545533455544833
18-49,Omicron,0,0.041471997285322,0.04146723632549015,4.46824608024124e-06,2.2749728592177843e-07,6.521646566750908e-08,0.0
18-49,Omicron,1,0.02562610779367167,0.02562348280095198,2.4708279504964317e-06,1.2444512409211306e-07,2.971964509832121e-08,0.0
18-49,Omicron,2,0.14088466997092033,0.1408724307395205,1.1672643445127892e-05,4.602402261784334e-07,1.0634772853818321e-07,0.0
18-49,Both,0,0.04833710042648483,0.04833155135702636,5.207901081419813e-06,2.6515624701407135e-07,7.601213003422175e-08,0.0
18-49,Both,1,0.029868147835769597,0.029865088312596957,2.879838604300399e-06,1.4504525594565017e-07,3.4639312398524797e-08,0.0
18-49,Both,2,0.16420613634990675,0.16419187108669198,1.3604884630174048e-05,5.364264923157849e-07,1.23952092278374e-07,0.0
50-64,None,0,0.03195023897981339,0.0,0.0,0.0,0.0,0.03195023897981339
50-64,None,1,0.044120693073121775,0.003045176973284314,0.002320061961508704,0.002327663614527839,0.01947664335066082,0.016951147173140127
50-64,None,2,0.3155828396126398,0.07824125794656689,0.08977322340291669,0.017245228474355313,0.10751374191301434,0.022809387875786583
50-64,PreOmicron,0,0.015854795858990783,0.0006973277548500443,0.0013800059345017005,0.004024572590940723,0.0003046495856008198,0.009448239993097496
50-64,PreOmicron,1,0.021894189344671373,0.002413087251300798,0.0027810564491512727,0.005602691263084951,0.006118147032839579,0.0018431193476793194
50-64,PreOmicron,2,0.15660294440427552,0.04403188683133759,0.04895328042034862,0.02383120160988294,0.03308137740165835,0.0066943197695187775
50-64,Omicron,0,0.018727966954645455,0.01872639145925194,1.4903294318853452e-06,8.497522901382198e-08,1.9073261879982368e-10,0.0
50-64,Omicron,1,0.025861805991859447,0.025859784067775088,1.918547295473469e-06,1.0315917732728702e-07,2.1761155649354856e-10,0.0
50-64,Omicron,2,0.18498218418500276,0.1849705979357989,1.119328889103868e-05,3.921880835244633e-07,7.722293151802978e-10,0.0
50-64,Both,0,0.015044762270814355,0.015043496626032321,1.1972282983098257e-06,6.826326223860856e-08,1.5322148496323675e-10,0.0
50-64,Both,1,0.02077559854647947,0.020773974271551362,1.5412291166261614e-06,8.287099730047539e-08,1.74814177254581e-10,0.0
50-64,Both,2,0.14860198077768594,0.14859267318090807,8.991919454046912e-06,3.1505696781509173e-07,6.203559891779665e-10,0.0
65+,None,0,0.003445242463430761,0.0,0.0,0.0,0.0,0.003445242463430761
65+,None,1,0.05497075576111232,1.4787264297749328e-05,0.004372417772931783,0.0013677713266209393,1.5820526623830485e-05,0.049199958870638
65+,None,2,0.4860327505752003,0.0785148945534991,0.23424322579787196,0.02871040698786428,0.08153023516003284,0.0630339880759316
65+,PreOmicron,0,0.0008439431267708736,4.364685710485311e-05,7.359229049585501e-05,0.00022333256988067742,1.290149882098504e-05,0.0004904699104685026
65+,PreOmicron,1,0.013465581012197891,0.0007051357138053296,0.0021099813303065307,0.0035033638811870845,0.00018795736911903958,0.002069779426862131
65+,PreOmicron,2,0.11905809346870255,0.024421664778744554,0.058121282879047546,0.015408895740666643,0.012164237474746644,0.008924911107609339
65+,Omicron,0,0.0014072209619549038,0.001407130402485223,8.546403503657333e-08,5.0954346443265145e-09,0.0,0.0
65+,Omicron,1,0.02245299151587424,0.02245154711026603,1.3696087189733243e-06,7.479688923648428e-08,0.0,0.0
65+,Omicron,2,0.19852172439699367,0.19851109111972343,1.037820337198762e-05,2.550738982614515e-07,0.0,0.0
65+,Both,0,0.0006315397807644583,0.000631499139025048,3.8354984333990593e-08,2.2867550762654967e-09,0.0,0.0
65+,Both,1,0.010076567733714497,0.010075919506019057,6.146599670544297e-07,3.356772838620245e-08,0.0,0.0
65+,Both,2,0.08909358920328347,0.08908881714702677,4.657582895275306e-06,1.1447336142789436e-07,0.0,0.0
