age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.20818202195856542,0.0,0.0,0.0,0.0,0.20818202195856542
0-17,None,1,0.020291132718430555,0.0009716299763552007,0.008113583586061884,0.0019409933211995275,0.009112001354105762,0.00015292448070818555
0-17,None,2,0.0971174571448223,0.03757208644887502,0.012500246999608425,0.015744883305968835,0.031121078794438577,0.0001791615959313818
0-17,PreOmicron,0,0.15474114017456103,0.0074987914754499835,0.015633314801105257,0.02030037149024277,0.00931398480755014,0.10199467760021289
0-17,PreOmicron,1,0.015082344684442611,0.0014197768292711355,0.0065771025517850825,0.0021311334583088365,0.004880139988767321,3.0320756979840933e-05
0-17,PreOmicron,2,0.07218714617170409,0.030082797760981887,0.012370238045643297,0.012983101783654137,0.016663601756177752,8.72680356079015e-05
0-17,Omicron,0,0.13148962611901507,0.1314742868289037,1.4128341057556284e-05,4.303288431468118e-07,7.806202106712298e-07,0.0
0-17,Omicron,1,0.012816060818204446,0.01281464030388334,1.3564742703253232e-06,3.047645614578956e-08,3.356359463587789e-08,0.0
0-17,Omicron,2,0.06134025411735007,0.061335904877935395,4.076563809618181e-06,1.56680845628579e-07,1.1599475942977916e-07,0.0
0-17,Both,0,0.1449853221346975,0.14496840846641995,1.55784310893439e-05,4.744964891072089e-07,8.607406990919767e-07,0.0
0-17,Both,1,0.014131462390374348,0.014129896078776079,1.4956986711068372e-06,3.360446707652695e-08,3.700846008852893e-08,0.0
0-17,Both,2,0.06763603156783256,0.06763123593568887,4.494969942382921e-06,1.727620919329031e-07,1.2790010937167954e-07,0.0
18-49,None,0,0.09040900644364612,0.0,0.0,0.0,0.0,0.09040900644364612
18-49,None,1,0.055864947345172056,0.005963453263028256,0.0023393982580065735,0.006425416769314735,0.025751592011514564,0.015385087043307936
18-49,None,2,0.3071287584145345,0.07354535938985633,0.05825972836080363,0.027033403649738635,0.12431340171459093,0.023976865299544962
18-49,PreOmicron,0,0.03313208346512982,0.0018068786814855868,0.0027594648475370675,0.003977509484198609,0.0007586673849411442,0.023829563066967426
18-49,PreOmicron,1,0.020472762294639783,0.003190517962378554,0.0022684984694106704,0.0038488221962065068,0.007150803558629224,0.0020438912373653352
18-49,PreOmicron,2,0.11255311897133675,0.031639142558503926,0.02553411985950343,0.015056706035933216,0.03405247879218986,0.006259924896595876
18-49,Omicron,0,0.04652221507587887,0.046519288794102075,2.8176413746660083e-06,1.0405592180889935e-07,4.584480322754427e-09,0.0
18-49,Omicron,1,0.028746705641707622,0.028745092077526242,1.5563406575443381e-06,5.513399794877037e-08,2.089525889602843e-09,0.0
