age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.21977148595794235,0.0,0.0,0.0,0.0,0.21977148595794235
0-17,None,1,0.021420737234394163,0.00102572048102868,0.008565265647711354,0.002049048147487794,0.00961926519303947,0.00016143776512687414
0-17,None,2,0.10252397237943256,0.03966371923822026,0.013196133998986875,0.01662139875399939,0.032853584891346925,0.00018913549687913495
0-17,PreOmicron,0,0.1474438892480503,0.011471159269157512,0.02422042211275136,0.016704922434184227,0.01988913867495501,0.0751582467570022
0-17,PreOmicron,1,0.014371094569584039,0.0017564138845619203,0.006601074084973942,0.0017876132148597979,0.004171319355563206,2.2322778077854507e-05
0-17,PreOmicron,2,0.06878295954952078,0.029899005084618513,0.013626273833749472,0.010953376207211494,0.014240089942524061,6.407229466890231e-05
0-17,Omicron,0,0.1346143685632511,0.1345852694503805,2.7404493222897383e-05,3.442478303617235e-07,1.350371817359035e-06,0.0
0-17,Omicron,1,0.013120623926249988,0.01311792777725079,2.60765990969006e-06,3.115994667129598e-08,5.7329142835959814e-08,0.0
0-17,Omicron,2,0.06279795463136034,0.06278970560136607,7.866721999683676e-06,1.8082432063296742e-07,2.0148367394897676e-07,0.0
0-17,Both,0,0.13756836661759528,0.1375386289493927,2.8005861565108858e-05,3.518020567935246e-07,1.3800045806642795e-06,0.0
0-17,Both,1,0.013408544881223772,0.013405789567523339,2.6648827929664218e-06,3.184372525171722e-08,5.858718221319821e-08,0.0
0-17,Both,2,0.06417600244139535,0.06416757239343983,8.03935053651192e-06,1.847923568614099e-07,2.0590506214980416e-07,0.0
18-49,None,0,0.08344308093205977,0.0,0.0,0.0,0.0,0.08344308093205977
18-49,None,1,0.05156060779734472,0.005503975022351259,0.002159149910543906,0.005930344692354745,0.023767457036325008,0.014199681135769728
18-49,None,2,0.2834647880011974,0.0678787613883406,0.0537708732782121,0.024950506341646844,0.11473517571146008,0.022129471281537718
18-49,PreOmicron,0,0.036095347798988986,0.003170614455770346,0.006053697535453749,0.003994597524730728,0.004544510642993538,0.018331927640040636
18-49,PreOmicron,1,0.022303803387697857,0.004140142334165536,0.004047768086772084,0.0037360826742613806,0.007285548677027726,0.0015750167079014758
18-49,PreOmicron,2,0.12261963481430782,0.037592558931571624,0.032950662952734744,0.014597337038261977,0.03266077302979591,0.0048039015811155395
18-49,Omicron,0,0.04641299419140722,0.04640485994308037,7.77175606850885e-06,9.208986411101154e-08,2.704023942299157e-07,0.0
18-49,Omicron,1,0.028679216580606112,0.02867473068277649,4.294872396215191e-06,6.776745771315337e-08,1.2325797569339252e-07,0.0
18-49,Omicron,2,0.15766974819254545,0.1576488340709184,2.0214757524149667e-05,2.5968559479200246e-07,4.396785081128495e-07,0.0
18-49,Both,0,0.033449692267824044,0.0334438299418073,5.601079038342757e-06,6.636886219397074e-08,1.94878116205398e-07,0.0
18-49,Both,1,0.02066901706766326,0.020665784095850948,3.0953004107105732e-06,4.883978389606735e-08,8.88316177037814e-08,0.0
18-49,Both,2,0.1136320689683573,0.11361699622968434,1.4568709264111061e-05,1.8715455409656645e-07,3.16874854755086e-07,0.0
50-64,None,0,0.04371336051980969,0.0,0.0,0.0,0.0,0.04371336051980969
50-64,None,1,0.060364611479363235,0.004166319975381209,0.003174239323086248,0.003184639677186318,0.0266473603856644,0.02319205211804505
50-64,None,2,0.43177099396873353,0.10704734691664207,0.12282503683670527,0.023594405350841754,0.14709708318760187,0.03120712167694275
50-64,PreOmicron,0,0.01076813614519828,0.001045608300376354,0.0017309438153608274,0.0010997103296586299,0.0012261601893207095,0.005665713510481758
50-64,PreOmicron,1,0.014869924138346986,0.0023774980564676353,0.002814288298207561,0.0018425360579543723,0.004851715043334,0.0011032108220006057
50-64,PreOmicron,2,0.10636036194233894,0.0341703353374558,0.03530076219981636,0.00881016197665726,0.024066584979270805,0.003999799837872534
50-64,Omicron,0,0.018693882128527843,0.018691382825264037,2.4130247680212216e-06,2.677741096033948e-08,5.950108482467303e-08,0.0
50-64,Omicron,1,0.025814737606783014,0.02581152990202002,3.102962912919356e-06,3.6846104792649956e-08,6.789574528512712e-08,0.0
50-64,Omicron,2,0.1846455173381383,0.18462713601185382,1.7984101223054135e-05,1.5584873774793407e-07,2.4137632370408995e-07,0.0
50-64,Both,0,0.008402385270728162,0.008401261902730736,1.0845881892976525e-06,1.2035708896336656e-08,2.67440992344885e-08,0.0
50-64,Both,1,0.011603013731638813,0.011601571956673712,1.3946963876134482e-06,1.6561309527089093e-08,3.051726795999595e-08,0.0
50-64,Both,2,0.08299307573039318,0.08298481383036795,8.08335829791468e-06,7.004971623932789e-08,1.0849201107878574e-07,0.0
65+,None,0,0.004390183331794766,0.0,0.0,0.0,0.0,0.004390183331794766
65+,None,1,0.07004781179849941,1.8843028301171308e-05,0.005571658839724533,0.0017429156129285998,2.0159687749521377e-05,0.06269423462979559
65+,None,2,0.6193389588484298,0.1000494987000566,0.2984900820186713,0.036584928795302174,0.1038918692185327,0.08032258011586729
65+,PreOmicron,0,0.0005271811113064632,5.6859733017017364e-05,8.277774742466128e-05,5.1152039915506095e-05,5.679673116456736e-05,0.0002795948597847113
65+,PreOmicron,1,0.008411467238982543,0.0009161797261897785,0.001823697641771242,0.000890936809847783,0.0008188352501457525,0.0011782407968158426
65+,PreOmicron,2,0.07437133621197181,0.018771529925895272,0.03614032502781362,0.005379538365524814,0.008997714840001057,0.0050653047339695055
