age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.3417428521759454,0.0,0.0,0.0,0.0,0.3417428521759454
0-17,None,1,0.033309070129298915,0.0015949869073966455,0.013318917599045067,0.0031862530078279687,0.01495787821872032,0.0002510343963089291
0-17,None,2,0.1594239333853352,0.06167675702465467,0.02051987977809258,0.025846138285803323,0.0510870541555243,0.0002941041412604343
0-17,PreOmicron,0,0.06188971895816928,0.006177078272868131,0.007782566308790376,0.019916261132741832,0.007363565687716474,0.020650247556052475
0-17,PreOmicron,1,0.006032281219444231,0.0008638461165456716,0.0025893348872193336,0.0013347062449014237,0.0012293419206644736,6.145279316728303e-06
0-17,PreOmicron,2,0.028871715588492986,0.012951712481811347,0.005109528575413141,0.006595772192334018,0.004196994456403134,1.7654872931164162e-05
0-17,Omicron,0,0.1768101325549028,0.17680449797653885,3.5522355796991288e-06,6.220814115719076e-07,1.460261372636689e-06,0.0
0-17,Omicron,1,0.01723337025878675,0.01723285084365704,4.0924759105933e-07,4.7149869904089884e-08,6.301766874292888e-08,0.0
0-17,Omicron,2,0.08248238877509195,0.08248078305221603,1.13613574255004e-06,2.517880256498147e-07,2.177991077046661e-07,0.0
0-17,Both,0,0.05895540669782165,0.05895352790923519,1.1844541388068047e-06,2.0742624921107682e-07,4.869081984437893e-07,0.0
0-17,Both,1,0.0057462790039220744,0.005746105810622719,1.3645913739425883e-07,1.5721608913345735e-08,2.1012553048871956e-08,0.0
0-17,Both,2,0.02750285125278893,0.027502315842041675,3.788320488090257e-07,8.395596586760642e-08,7.262273257537469e-08,0.0
18-49,None,0,0.11714028547919925,0.0,0.0,0.0,0.0,0.11714028547919925
18-49,None,1,0.07238256604858198,0.0077266706620475935,0.003031089385582897,0.008325223164016533,0.03336557892219469,0.01993400391474028
18-49,None,2,0.3979376818168655,0.09529055492903883,0.07548541324120223,0.03502638448945556,0.16106921133808108,0.03106611781908811
18-49,PreOmicron,0,0.01705984029863524,0.0016585372242892574,0.001663169894403333,0.005508197904179782,0.0016744711844254234,0.006555464091337448
18-49,PreOmicron,1,0.010541505957090202,0.0020432515085158217,0.0012758831254401884,0.0034856853514477256,0.0026272375725625873,0.0005654859864900123
18-49,PreOmicron,2,0.057954044356587624,0.01818593573149904,0.013157184089692488,0.013129421897890542,0.011756813566275006,0.0017200813315210541
18-49,Omicron,0,0.051146554409601905,0.051145870518122916,1.9464239208574625e-07,1.7272565255084232e-07,3.165234343440133e-07,0.0
18-49,Omicron,1,0.03160414743370069,0.03160376954648059,1.2011792799463407e-07,1.1351090169243718e-07,1.4425839041845215e-07,0.0
18-49,Omicron,2,0.17375014250149914,0.17374837897943743,8.176002649796981e-07,4.296757401557894e-07,5.162460565668982e-07,0.0
18-49,Both,0,0.014054435002843639,0.014054247077998041,5.348530081732285e-08,4.746285424544326e-08,8.697669053596387e-08,0.0
18-49,Both,1,0.008684425393939087,0.008684321555245851,3.300690791714229e-08,3.119137952430743e-08,3.964040579379389e-08,0.0
18-49,Both,2,0.04774437130145571,0.047743886707596384,2.2466635172412866e-07,1.1806953238641981e-07,1.4185797520960086e-07,0.0
50-64,None,0,0.05358832788746298,0.0,0.0,0.0,0.0,0.05358832788746298
50-64,None,1,0.07400114185431911,0.005107503021270515,0.0038913086437666797,0.003904058466224454,0.03266707177626512,0.028431199946792378
50-64,None,2,0.5293092391422719,0.1312296345519443,0.1505715476578907,0.028924445872278215,0.18032671548037157,0.03825689557978743
50-64,PreOmicron,0,0.005756050450206407,0.0005896928119176083,0.0005476824943074012,0.0018638499372319803,0.0005378042480174198,0.0022170209587320006
50-64,PreOmicron,1,0.00794863961385132,0.0013086809627828862,0.0010412539335803407,0.0024657643510423346,0.0019639585210246024,0.00043302699078339823
50-64,PreOmicron,2,0.05685437117316865,0.018495261648839283,0.01705078935957451,0.010088308107125103,0.009647607455509093,0.0015687503910467475
50-64,Omicron,0,0.01841377542532014,0.01841355913593316,6.060777661638265e-08,5.709955269704396e-08,9.858205766574489e-08,0.0
50-64,Omicron,1,0.025427932929429603,0.025427654782911296,8.916253629673596e-08,7.650132686429588e-08,1.1248265515016082e-07,0.0
50-64,Omicron,2,0.18187881287471716,0.18187720928171125,8.856953430227078e-07,3.1691244117501327e-07,4.00985221704575e-07,0.0
50-64,Both,0,0.003819610301274449,0.0038195654358869078,1.2572005607440558e-08,1.1844286934220635e-08,2.0449094999993165e-08,0.0
50-64,Both,1,0.005274572558532031,0.0052745148619824595,1.849518277813192e-08,1.586884000715178e-08,2.3332526785108555e-08,0.0
50-64,Both,2,0.03772752578944627,0.03772719315259028,1.837217505839937e-07,6.573785098137027e-08,8.317725442526861e-08,0.0
65+,None,0,0.005035161338079175,0.0,0.0,0.0,0.0,0.005035161338079175
65+,None,1,0.08033879387917522,2.1611327004788706e-05,0.006390211765320313,0.0019989737663563493,2.312142174314184e-05,0.07190487559875067
65+,None,2,0.7103283268776271,0.11474813912675075,0.34234235957660375,0.04195975545995641,0.11915500645301731,0.09212306626129958
65+,PreOmicron,0,0.00026801759225804947,2.962640304584831e-05,2.28352970147763e-05,8.66529739439078e-05,2.2260602907475274e-05,0.00010664231534604184
65+,PreOmicron,1,0.004276369445715999,0.0004760062205928523,0.0006400250472770715,0.0013293223286832542,0.00032001706878521236,0.00045063220487775296
65+,PreOmicron,2,0.03781020608866074,0.009625994601222133,0.017359354891541837,0.005421115587463352,0.0034570638106944302,0.0019422269915346977
65+,Omicron,0,0.0009270263297527374,0.0009270177993748814,2.120242782975082e-09,2.5053767000400724e-09,3.9047583730541035e-09,0.0
65+,Omicron,1,0.014791219630508374,0.014791083613913398,4.191023964351176e-08,3.832632377368738e-08,5.578003155917291e-08,0.0
65+,Omicron,2,0.13077893985338968,0.1307779335877994,6.845012127730472e-07,1.5799170055548585e-07,1.6377267695680663e-07,0.0
