age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.1888182276425344,0.0,0.0,0.0,0.0,0.1888182276425344
0-17,None,1,0.018403778004980904,0.000881255011041544,0.007358908603811505,0.0017604542185099671,0.0082644597730973,0.0001387003985205866
0-17,None,2,0.08808419650609824,0.03407736511234701,0.011337551923814733,0.014280392381159924,0.02822638998798418,0.00016249710079242315
0-17,PreOmicron,0,0.23950582122583736,0.016389493050432167,0.0470068752650864,0.040049326002822294,0.03436476688869516,0.10169536001880142
0-17,PreOmicron,1,0.02334420791771071,0.002646017653377484,0.011216070769478247,0.0034304885079782404,0.005977439679652672,3.0276112977681595e-05
0-17,PreOmicron,2,0.111730091340285,0.047958633874819724,0.024006161284504723,0.019312416476084785,0.020365733918748248,8.688750994776962e-05
0-17,Omicron,0,0.0737886596398601,0.07374191179201141,4.21376177956606e-05,6.326075297513238e-07,3.97762252328446e-06,0.0
0-17,Omicron,1,0.00719204987914615,0.0071877174996637615,4.087247831530756e-06,7.123232294029002e-08,1.7389932791580237e-07,0.0
0-17,Omicron,2,0.03442260250394858,0.034409351849076154,1.2216780713674103e-05,4.4644141585382437e-07,5.874327428984737e-07,0.0
0-17,Both,0,0.13728540187860713,0.13719842649363345,7.839795195520073e-05,1.1769800315823714e-06,7.400452986891275e-06,0.0
0-17,Both,1,0.01338096480961419,0.013372904323609526,7.604413250868328e-06,1.3252928199717297e-07,3.235434717998879e-07,0.0
0-17,Both,2,0.06404399865137717,0.0640193455205547,2.2729585523377124e-05,8.306139383732384e-07,1.0929313607142025e-06,0.0
18-49,None,0,0.07177462641557554,0.0,0.0,0.0,0.0,0.07177462641557554
18-49,None,1,0.04435051200263821,0.00473431405716636,0.001857220232923713,0.005101061346906888,0.02044388019444575,0.01221403617119547
18-49,None,2,0.24382583952433212,0.05838677917665755,0.046251699942926064,0.021461495088001933,0.09869091938396367,0.0190349459327828
18-49,PreOmicron,0,0.06466546419896972,0.004648270620559574,0.012331332354639932,0.010198387431936715,0.007520028042732399,0.029967445749101103
18-49,PreOmicron,1,0.039957664558323856,0.006838898735369545,0.008052633948993712,0.00804174756698497,0.011959327262113077,0.0025808607658681024
18-49,PreOmicron,2,0.21967527918923274,0.06467574035302907,0.06255160164087326,0.03098940096674646,0.05355809956140489,0.007876878035959134
18-49,Omicron,0,0.02588794957670297,0.025873805521747305,1.3026806641630316e-05,1.8815052589834385e-07,9.29097788138415e-07,0.0
18-49,Omicron,1,0.015996514029588925,0.015988712348281316,7.212832113978986e-06,1.6528895244753534e-07,4.235602411824039e-07,0.0
18-49,Omicron,2,0.08794404588824728,0.08790766800824355,3.421639771148224e-05,6.437321307639551e-07,1.517750161485945e-06,0.0
18-49,Both,0,0.03707307499903179,0.03705281987575104,1.8655157612700855e-05,2.694426817029105e-07,1.3305229863429293e-06,0.0
18-49,Both,1,0.022907954242760955,0.02289678177367921,1.0329202207563306e-05,2.3670355631847214e-07,6.065633178648642e-07,0.0
18-49,Both,2,0.12594107537459584,0.1258889800987731,4.89999053341804e-05,9.21862486342886e-07,2.1735080022404473e-06,0.0
50-64,None,0,0.036206046733034326,0.0,0.0,0.0,0.0,0.036206046733034326
50-64,None,1,0.049997618994605746,0.003450797969766413,0.0026290968231878296,0.0026377110249355216,0.022070954142227386,0.01920905903448859
50-64,None,2,0.3576188286534578,0.08866308147036392,0.10173111769069204,0.01954231229565624,0.12183469321169758,0.02584762398504785
50-64,PreOmicron,0,0.02120834238975394,0.0017481811845990766,0.004352006569561955,0.0034231136840673633,0.0023468736950671104,0.009338167256458429
50-64,PreOmicron,1,0.029287003635848127,0.004274426702055819,0.006702267026361862,0.005015189430021892,0.00837118409526279,0.001822998017366508
50-64,PreOmicron,2,0.20948165423940618,0.0649811055299339,0.07470442394555897,0.022136854858922316,0.04102600451136879,0.006610599648309574
50-64,Omicron,0,0.012059073951590246,0.012053270352876443,5.402291211347789e-06,7.277491266081724e-08,3.285325897945704e-07,0.0
50-64,Omicron,1,0.016652604723875482,0.016645154865800094,6.962623872316782e-06,1.123139116660168e-07,3.7492029140696674e-07,0.0
50-64,Omicron,2,0.11911137200401292,0.1190686648901114,4.08548830868369e-05,5.140115241653043e-07,1.3382192905072472e-06,0.0
50-64,Both,0,0.012104300989885464,0.012098475625024249,5.422552272228447e-06,7.304785184130941e-08,3.2976473714514755e-07,0.0
50-64,Both,1,0.016715059601802695,0.016707581803354948,6.988736893745502e-06,1.127351401620353e-07,3.763264138376933e-07,0.0
50-64,Both,2,0.11955809408272702,0.1195152267976313,4.100810756902623e-05,5.159393022833364e-07,1.3432382244106402e-06,0.0
65+,None,0,0.0037516815347012843,0.0,0.0,0.0,0.0,0.0037516815347012843
65+,None,1,0.0598601612300382,1.610252602058372e-05,0.0047613249850557504,0.0014894285334762147,1.7227692458187937e-05,0.0535760774930275
65+,None,2,0.5292632129517172,0.08549844698072605,0.2550781241618704,0.031264070640436015,0.08878198879075665,0.06864058237792764
65+,PreOmicron,0,0.0011169135747262928,0.00010690013044297048,0.00024331634240138975,0.00018087173214378788,0.00010973319895918286,0.00047609217077896156
65+,PreOmicron,1,0.01782097601961239,0.0017184773311396898,0.004872210015788246,0.002901575427171937,0.0015775492135989798,0.0020130923926028033
65+,PreOmicron,2,0.15756701673136375,0.03815846099712307,0.08085474812841656,0.013978668582879893,0.01589150026692283,0.008651798983235204
65+,Omicron,0,0.0009374648085823585,0.0009370890748709094,3.545239587851022e-07,4.416198430081699e-09,1.679355423380141e-08,0.0
65+,Omicron,1,0.01495777135403765,0.014951778223732655,5.681740880118612e-06,7.14909757244471e-08,2.3989844915061676e-07,0.0
65+,Omicron,2,0.13225153362036932,0.13220739512676286,4.3072505402758446e-05,3.6124900852625647e-07,7.047391951805549e-07,0.0
65+,Both,0,0.0005218864149110619,0.0005216772440517037,1.9736339557132247e-07,2.4584965164681377e-09,9.348967270511828e-09,0.0
65+,Both,1,0.008326987419210724,0.008323651045129976,3.1630236689767136e-06,3.9799007576344296e-08,1.3355140419539275e-07,0.0
65+,Both,2,0.07362439434072977,0.07359982245282852,2.397845254572895e-05,2.0110722901165918e-07,3.923281265099089e-07,0.0
