age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.15054791143130847,0.0,0.0,0.0,0.0,0.15054791143130847
0-17,None,1,0.014673638110514675,0.0007026392685024483,0.005867380149415948,0.00140363941064453,0.006589391148736682,0.00011058813321506179
0-17,None,2,0.07023099400765065,0.02717044963719541,0.009039618601365509,0.011385994213828222,0.02250536991577695,0.00012956163948459444
0-17,PreOmicron,0,0.22774251338693108,0.011019286117376384,0.026709626481604694,0.016165166562936314,0.009196166714175287,0.16465226751083836
0-17,PreOmicron,1,0.022197659150812343,0.002087871573322743,0.00987258214151722,0.0024938788714095163,0.00762277876563593,4.9276798201485005e-05
0-17,PreOmicron,2,0.10624247750034588,0.0442538039122714,0.01903095009674413,0.01679006616456947,0.026026187943510276,0.0001412796491801993
0-17,Omicron,0,0.08923497107947226,0.08921584892173433,1.879040785677114e-05,3.042503881842296e-07,2.7499492975496904e-08,0.0
0-17,Omicron,1,0.008697574479602586,0.008695803794105412,1.752911736475757e-06,1.664868672148563e-08,1.1250739770533499e-09,0.0
0-17,Omicron,2,0.041628347145917136,0.041622925610464136,5.3466432261588344e-06,7.07755021737001e-08,4.116724670941167e-09,0.0
0-17,Both,0,0.17187271448912728,0.17183588389325716,3.6191622697169374e-05,5.860072510700196e-07,5.29659218532611e-08,0.0
0-17,Both,1,0.01675212887052236,0.016748718408018434,3.3762290138428076e-06,3.2066519940398994e-08,2.1669701474439135e-09,0.0
0-17,Both,2,0.08017907034779537,0.08016862809624604,1.0298003950339356e-05,1.3631850305741027e-07,7.929095907577243e-09,0.0
18-49,None,0,0.06244179996051395,0.0,0.0,0.0,0.0,0.06244179996051395
18-49,None,1,0.038583632363067895,0.00411871306157966,0.001615726616191428,0.0044377723454196855,0.01778557049014854,0.010625849849728601
18-49,None,2,0.2121212614696218,0.05079476923472225,0.04023760958292058,0.018670865319164693,0.0858581779361987,0.016559839396615733
18-49,PreOmicron,0,0.05071041156697134,0.0028331281837228185,0.005135159607183235,0.002665693220225296,0.000494866214220689,0.039581564341619316
18-49,PreOmicron,1,0.03133464887490703,0.004910996462778115,0.003942820119806248,0.004256751712348948,0.01151167458274829,0.0034241426912228878
18-49,PreOmicron,2,0.17226852009442178,0.048568001197384976,0.0407740550576211,0.0171514205156202,0.055301042988016184,0.010460118309034597
18-49,Omicron,0,0.03952703337001859,0.0395221126968665,4.8504022521264445e-06,7.027089996681512e-08,0.0,0.0
18-49,Omicron,1,0.02442428829591608,0.0244215757092019,2.675575762839258e-06,3.701095134120425e-08,0.0,0.0
18-49,Omicron,2,0.13427742611363325,0.13426477877775364,1.2511183332258928e-05,1.361525473642163e-07,0.0,0.0
18-49,Both,0,0.046721870292776156,0.04671605394297289,5.733287969532595e-06,8.306183372963411e-08,0.0,0.0
18-49,Both,1,0.02887007529942096,0.028866868959004987,3.1625926130011657e-06,4.3747802972929756e-08,0.0,0.0
18-49,Both,2,0.1587190322987312,0.1587040828543602,1.4788508901918374e-05,1.6093546911130062e-07,0.0,0.0
50-64,None,0,0.027289305018708236,0.0,0.0,0.0,0.0,0.027289305018708236
50-64,None,1,0.03768432066094862,0.0026009434017819585,0.0019816089191043453,0.001988101635106145,0.01663537044191095,0.014478296263045245
50-64,None,2,0.2695452880430914,0.06682734218358456,0.07667701257266579,0.014729476679386733,0.09182952586428694,0.019481930743167196
50-64,PreOmicron,0,0.019332058867655544,0.0010969483646907966,0.0018399074486971322,0.0009381985749402974,0.00011575032068374241,0.015341254158643583
50-64,PreOmicron,1,0.026696008011403427,0.003254904706909861,0.003558371010876121,0.0022677738108426194,0.009495535250660462,0.00300961892360733
50-64,PreOmicron,2,0.19094899530698545,0.05548396296825938,0.05968684405360121,0.012678360850785528,0.052163609463519015,0.01092068645756434
50-64,Omicron,0,0.01692785631329145,0.016926012268426813,1.8183435163258871e-06,2.5701348310349664e-08,0.0,0.0
50-64,Omicron,1,0.023375998948130586,0.023373632715300956,2.3350363176398157e-06,3.119651199436174e-08,0.0,0.0
50-64,Omicron,2,0.1672019094216637,0.16718835280299502,1.3437995441981006e-05,1.1862322672471057e-07,0.0,0.0
50-64,Both,0,0.01802854386460875,0.018026579915771102,1.9365763294711013e-06,2.7372508179249293e-08,0.0,0.0
50-64,Both,1,0.024895959335649424,0.024893439245002775,2.4868656667985696e-06,3.322497985002008e-08,0.0,0.0
50-64,Both,2,0.17807375620786342,0.17805931810714934,1.4311764336512182e-05,1.2633637755352874e-07,0.0,0.0
65+,None,0,0.002796772635484877,0.0,0.0,0.0,0.0,0.002796772635484877
65+,None,1,0.04462405972771713,1.2003978408081348e-05,0.0035494333150840394,0.001110326909788818,1.2842758212270678e-05,0.03993945276622393
65+,None,2,0.39455077870036387,0.06373667772181758,0.19015353807836888,0.02330648175552025,0.06618446541296953,0.05116961573168787
65+,PreOmicron,0,0.0010858373669540911,7.49959285656883e-05,0.00011622267192038938,5.76787424632443e-05,7.782131942056001e-06,0.000829157892062713
65+,PreOmicron,1,0.017325137875981077,0.0012061850030959402,0.0029994310369468227,0.0011840357192606347,0.0001154792004237246,0.0035266629507175427
65+,PreOmicron,2,0.15318298428624838,0.03362962616303386,0.07453920754257574,0.00987218218046025,0.019976279152764124,0.015139236827517777
65+,Omicron,0,0.0014718631759989948,0.0014717287459538797,1.326347710359959e-07,1.7952740789941568e-09,0.0,0.0
65+,Omicron,1,0.02348439392014415,0.023482249754637988,2.1178149158296254e-06,2.6350590331053544e-08,0.0,0.0
65+,Omicron,2,0.20764103412007023,0.20762525263939488,1.569170577848829e-05,8.977489687652943e-08,0.0,0.0
65+,Both,0,0.0009734731544830345,0.000973384244017572,8.772309210529101e-08,1.1873733573461313e-09,0.0,0.0
65+,Both,1,0.0155323044990566,0.015530886372974602,1.4006981085892026e-06,1.7427973408364107e-08,0.0,0.0
65+,Both,2,0.13733136053749756,0.1373209228500644,1.0378311362424563e-05,5.937607073868669e-08,0.0,0.0
