age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.16318696414067313,0.0,0.0,0.0,0.0,0.16318696414067313
0-17,None,1,0.015905544177850315,0.0007616284279390707,0.006359968364485178,0.0015214801188111967,0.0071425948515293596,0.00011987241508550917
0-17,None,2,0.07612714511764986,0.02945150914733241,0.009798527940518593,0.012341890444130676,0.024394778768446698,0.0001404388172214949
0-17,PreOmicron,0,0.19285679018754884,0.009334500921986282,0.020570631657957895,0.026002970916411062,0.0036030197729676125,0.13334566691822597
0-17,PreOmicron,1,0.018797409538682124,0.0017681521618191384,0.008251543822817483,0.0026770584764884663,0.006003395662762757,3.97558714159361e-05
0-17,PreOmicron,2,0.08996819648458913,0.0374847572795848,0.01565861783399154,0.016204429702881423,0.020506017487084197,0.00011418605140504742
0-17,Omicron,0,0.11122851121668302,0.11120678572708623,2.1109508014238295e-05,4.896681602396517e-07,1.2631342233789327e-07,0.0
0-17,Omicron,1,0.010841245857533073,0.010839231480022795,1.9814987279585204e-06,2.756715102521206e-08,5.311631295850294e-09,0.0
0-17,Omicron,2,0.051888391080756116,0.051882235399807776,6.016612680732947e-06,1.201454824780395e-07,1.892278513175076e-08,0.0
0-17,Both,0,0.17212584484193397,0.17209222470074403,3.266691122090071e-05,7.577602617484628e-07,1.9546970733457832e-07,0.0
0-17,Both,1,0.016776801037386442,0.01677368379319253,3.0663643599314978e-06,4.266009774109165e-08,8.219736237465328e-09,0.0
0-17,Both,2,0.0802971563187139,0.08028763041773562,9.310693179560608e-06,1.8592483572118982e-07,2.9282962991564852e-08,0.0
18-49,None,0,0.07098146680086591,0.0,0.0,0.0,0.0,0.07098146680086591
18-49,None,1,0.04386040795377125,0.004681996589266847,0.0018366966557496916,0.005044691066007113,0.02021796107862467,0.012079062564122925
18-49,None,2,0.24113139416680945,0.057741564598907495,0.045740586443094075,0.02122433061881289,0.0976003159840839,0.018824596521910934
18-49,PreOmicron,0,0.04503500388128604,0.0022418637607324464,0.003539487588122393,0.005032106067080174,0.0,0.034221546465351034
