age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.26131803517522373,0.0,0.0,0.0,0.0,0.26131803517522373
0-17,None,1,0.02547020575347912,0.0012196271030023177,0.01018448039361259,0.002436409043452578,0.011437732557150455,0.00019195665626116395
0-17,None,2,0.12190554613476694,0.04716191972718863,0.01569078806330743,0.019763579635122656,0.03906436822250978,0.0002248904866384877
0-17,PreOmicron,0,0.13569566930879506,0.011326267043317358,0.017866959959584382,0.009819825944667586,0.02014709838417525,0.07653551797705048
0-17,PreOmicron,1,0.01322601639352431,0.001687804932841098,0.00580581090350077,0.001432506030704584,0.004244200821992742,2.274248972745904e-05
0-17,PreOmicron,2,0.06330238425418785,0.027728838699453234,0.011495749690273952,0.009530816380321244,0.014481514784315495,6.532646045789422e-05
0-17,Omicron,0,0.13062397149456462,0.13059597058884212,2.6413319094652688e-05,2.2445184058242815e-07,1.3631347872605977e-06,0.0
0-17,Omicron,1,0.01273168699616258,0.01272909270275329,2.510854441471662e-06,2.4819971425931762e-08,5.861899639214094e-08,0.0
0-17,Omicron,2,0.060936423973414686,0.06092848768936051,7.579265357373456e-06,1.547467763356203e-07,2.022719204591405e-07,0.0
0-17,Both,0,0.11176043440825556,0.111736477141059,2.259894552589904e-05,1.9203852799919267e-07,1.1662831426587623e-06,0.0
0-17,Both,1,0.010893091468285945,0.010890871819357136,2.148259464966946e-06,2.1235694771981802e-08,5.015376907013002e-08,0.0
0-17,Both,2,0.0521365346393395,0.05212974444192525,6.484736141028652e-06,1.3239964111231865e-07,1.7306163210667904e-07,0.0
18-49,None,0,0.0930457893934279,0.0,0.0,0.0,0.0,0.0930457893934279
18-49,None,1,0.057494251177219194,0.00613737765954925,0.0024076269188679877,0.006612814353350036,0.026502638410725046,0.015833793834726884
18-49,None,2,0.3160861831826065,0.07569031327556933,0.059958876094458206,0.02782183414601482,0.1279390079563178,0.02467615171024634
18-49,PreOmicron,0,0.03540487231270748,0.0032525552664344043,0.0048817210082215635,0.002608482572192182,0.005292428795171915,0.019369684670687403
18-49,PreOmicron,1,0.021877149250000946,0.004140150322953997,0.003409312077459328,0.0031347113891449273,0.007920683063544348,0.0016654164168806989
18-49,PreOmicron,2,0.12027401807589697,0.037238818475475034,0.030187238711829815,0.012447915625143378,0.03530635272495504,0.005078271443850303
18-49,Omicron,0,0.04272110258712668,0.04271289521881375,7.776928588010404e-06,6.3835125256992e-08,3.666045996644471e-07,0.0
18-49,Omicron,1,0.026397946846646883,0.02639342046402693,4.299531520152766e-06,5.973481963185212e-08,1.6711628016627326e-07,0.0
18-49,Omicron,2,0.1451280100491172,0.14510690712538443,2.027151340138503e-05,2.3381507385134626e-07,5.975952575333365e-07,0.0
18-49,Both,0,0.028229350897017957,0.028223927612832482,5.138857209133697e-06,4.218112458028488e-08,2.422458517610211e-07,0.0
18-49,Both,1,0.017443297559444935,0.01744030660566484,2.8410545754911125e-06,3.9471714961443e-08,1.1042748964160992e-07,0.0
18-49,Both,2,0.09589802866878731,0.09588408422908586,1.3395058422339e-05,1.5450087579787217e-07,3.948804033064859e-07,0.0
50-64,None,0,0.04217236258371944,0.0,0.0,0.0,0.0,0.04217236258371944
50-64,None,1,0.058236618101676484,0.0040194474767490315,0.00306233998184673,0.0030723736992020567,0.025707978767132655,0.022374478176746083
50-64,None,2,0.4165500591639629,0.10327367820984637,0.11849516775286306,0.02276264751944722,0.141911567846262,0.030106997835544342
50-64,PreOmicron,0,0.01270007579057924,0.0011875801268324947,0.0015409924194936444,0.0006922557985179808,0.0016671930637673358,0.007612054381967781
50-64,PreOmicron,1,0.017537776362660674,0.002745769817840024,0.002713869420927832,0.0015222301816107942,0.006543474019491658,0.0014831243021361375
50-64,PreOmicron,2,0.12544275439751804,0.039954620210473794,0.03946528695350116,0.008219391379953728,0.03240784176402146,0.005379019262981198
50-64,Omicron,0,0.01731886824229322,0.01731610653426657,2.695884777474909e-06,1.9223020137175552e-08,4.660022903873462e-08,0.0
50-64,Omicron,1,0.023915954762492926,0.023912410342352957,3.4645080772858063e-06,2.6735400235514364e-08,5.317666244690586e-08,0.0
50-64,Omicron,2,0.17106406065485977,0.17104375240726158,2.000517459687316e-05,1.139940749121206e-07,1.8907892641873168e-07,0.0
50-64,Both,0,0.009386457447672067,0.00938496066078551,1.461112088479314e-06,1.0418467189022836e-08,2.5256330887470072e-08,0.0
50-64,Both,1,0.012961937729301955,0.012960016729132946,1.877689534304894e-06,1.449001708115705e-08,2.8820617622587266e-08,0.0
50-64,Both,2,0.0927130747632631,0.09270206812592105,1.0842378235099737e-05,6.178235889781681e-08,1.0247674803292685e-07,0.0
65+,None,0,0.0039124412124424595,0.0,0.0,0.0,0.0,0.0039124412124424595
65+,None,1,0.062425171116902683,1.679251979269476e-05,0.0049653479180096,0.0015532505953557844,1.7965899649332914e-05,0.055871814184095286
65+,None,2,0.5519421591168937,0.08916205825925827,0.2660082302115971,0.03260373710054084,0.0925862999443576,0.07158183360113975
65+,PreOmicron,0,0.0007391568003706364,7.4658446335374e-05,8.434800786075708e-05,3.37396685229003e-05,9.291671054697331e-05,0.000453493967104632
65+,PreOmicron,1,0.011793657013584551,0.0012040009747411955,0.0020970665998354078,0.0007180967240447647,0.0013404783644280578,0.001912154249361027
65+,PreOmicron,2,0.1042755093738048,0.02570403064311323,0.0494410610491201,0.00625702862953989,0.014619843427871374,0.00823029456017378
65+,Omicron,0,0.0012347301601138923,0.0012345676989974986,1.5970923429889492e-07,9.997629485098192e-10,1.7521191463467648e-09,0.0
65+,Omicron,1,0.019700805032720724,0.019698213672252985,2.5509607555084246e-06,1.537043534275578e-08,2.502927689014917e-08,0.0
