age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.21808112558762746,0.0,0.0,0.0,0.0,0.21808112558762746
0-17,None,1,0.021255980804932347,0.0010178312080204286,0.008499386375206993,0.002033288005673749,0.009545279140649685,0.00016019607538148603
0-17,None,2,0.10173541485040619,0.039358647909938774,0.013094636655707674,0.016493556174101018,0.03260089333911463,0.00018768077154408634
0-17,PreOmicron,0,0.17469064702103373,0.010424726045451705,0.03374018788080033,0.00827352765524813,0.01595631571367559,0.10629588972585796
0-17,PreOmicron,1,0.017026787760173637,0.0017875819457530556,0.008203339550876392,0.0015896480925332687,0.00536831787881752,3.179159421256463e-05
0-17,PreOmicron,2,0.08149364323612526,0.03451024806369698,0.0174608404463875,0.011119553639555663,0.018311632652471432,9.119507699985788e-05
0-17,Omicron,0,0.11099071604551794,0.11094925728841779,4.0932801015079014e-05,1.9045063357940165e-07,3.3550545150037157e-07,0.0
0-17,Omicron,1,0.010818068383644993,0.010814228133305149,3.813086587283339e-06,1.3391829546179247e-08,1.3771923015055004e-08,0.0
0-17,Omicron,2,0.051777459012138455,0.05176571408661665,1.1626082241898637e-05,6.859669491642533e-08,5.024658498424345e-08,0.0
0-17,Both,0,0.1356356217326599,0.135584957276245,5.002171454288671e-05,2.3273919671197833e-07,4.100026752713909e-07,0.0
0-17,Both,1,0.013220163662700988,0.013215470704938285,4.65976244152294e-06,1.6365414976590532e-08,1.6829906204364426e-08,0.0
0-17,Both,2,0.06327437190303913,0.06326001907847766,1.4207592755309888e-05,8.382823082229018e-08,6.140357533584909e-08,0.0
18-49,None,0,0.07690988504210314,0.0,0.0,0.0,0.0,0.07690988504210314
18-49,None,1,0.04752365773291038,0.005073039987441333,0.001990098754189182,0.005466026942610302,0.02190657832846826,0.013087913720201294
18-49,None,2,0.26127084492969566,0.06256417760303284,0.04956086995167361,0.022997000506737593,0.10575195780988385,0.0203968390583679
18-49,PreOmicron,0,0.0497579480610261,0.0028083459219019596,0.008619245681162119,0.0013256359810805834,0.00331962807001009,0.033685092406871335
18-49,PreOmicron,1,0.030746108797973477,0.004837060232391539,0.005754787545941986,0.003334685009663965,0.011107438698811,0.0029117613005373083
18-49,PreOmicron,2,0.16903290291950615,0.04775647349292912,0.04690582530021745,0.013652911019327618,0.051794877840503614,0.008903723607572848
18-49,Omicron,0,0.035612132229144014,0.03560052641398402,1.1548902921110342e-05,3.5150579278969444e-08,2.1761659601282313e-08,0.0
18-49,Omicron,1,0.022005217954369563,0.021998820369391575,6.367605344949482e-06,2.006296609603442e-08,9.916666941735203e-09,0.0
18-49,Omicron,2,0.12097810147763119,0.12094827697314837,2.9714634432034184e-05,7.464282957200395e-08,3.5227221207696267e-08,0.0
18-49,Both,0,0.03712114985800678,0.03710905226157514,1.2038272610907183e-05,3.664003920390184e-08,2.2683781527606387e-08,0.0
18-49,Both,1,0.022937660348058532,0.02293099167376604,6.637424311624721e-06,2.0913108101893178e-08,1.033687276199755e-08,0.0
18-49,Both,2,0.12610439064957504,0.12607330237063616,3.097375328806427e-05,7.780572206514632e-08,3.671992873433962e-08,0.0
50-64,None,0,0.03320588896845523,0.0,0.0,0.0,0.0,0.03320588896845523
50-64,None,1,0.04585464403953357,0.00316485296175916,0.002411240803002107,0.0024191412023164766,0.0202420788460726,0.01761733022638325
50-64,None,2,0.3279853004901792,0.08131615308941709,0.09330132680826009,0.017922968974250532,0.11173905080341769,0.02370580081483391
50-64,PreOmicron,0,0.019208459559477316,0.0011064636172306258,0.0033258360172994197,0.00047046634896536643,0.0012278556430756643,0.013077837932906233
50-64,PreOmicron,1,0.026525327374440827,0.0032569246751496294,0.005353651441325179,0.0016166435830124338,0.009377181688018744,0.00256354270126192
50-64,PreOmicron,2,0.18972816498162584,0.05529834769292792,0.06612533416334367,0.009912313412574904,0.04905860882692213,0.00930934873739362
50-64,Omicron,0,0.014934235934990823,0.014929575577723696,4.6405707463567e-06,1.2783545888558083e-08,7.002974882296852e-09,0.0
50-64,Omicron,1,0.020622970625841754,0.020616990848525973,5.955759926609178e-06,1.6027533598311747e-08,7.989855570686611e-09,0.0
50-64,Omicron,2,0.14751027642664152,0.14747602643196828,3.4158843668009695e-05,6.27975208071132e-08,2.835348443068065e-08,0.0
50-64,Both,0,0.014229179601340614,0.014224739262989925,4.421485966210384e-06,1.2180025224061397e-08,6.672359254108723e-09,0.0
50-64,Both,1,0.0196493449163159,0.019643647448713764,5.6745840916863295e-06,1.52708618726559e-08,7.612648574655154e-09,0.0
50-64,Both,2,0.14054620708115742,0.1405135740540865,3.254617937215046e-05,5.983280336356138e-08,2.7014895441868326e-08,0.0
65+,None,0,0.0031062713105775327,0.0,0.0,0.0,0.0,0.0031062713105775327
65+,None,1,0.04956228287383625,1.3332372202415622e-05,0.003942223524202271,0.0012331987883030988,1.426397372360737e-05,0.04435926421540488
65+,None,2,0.4382128703967693,0.07078995658311121,0.21119645996366287,0.025885642153789124,0.07350862330021894,0.056832188395987436
65+,PreOmicron,0,0.0012020569990001835,7.43134440476572e-05,0.0002087008758974035,2.3519883903148672e-05,6.776602470419057e-05,0.0008277567704477834
65+,PreOmicron,1,0.01917948661214819,0.0011941153765717097,0.004504068175131756,0.000702845340589673,0.0009747675849239841,0.003526604091117297
65+,PreOmicron,2,0.1695785059465587,0.036219671985568684,0.08709225398959737,0.008658490462906208,0.022451509140414244,0.015118625609964076
65+,Omicron,0,0.0011995112365104311,0.0011991852326087371,3.2520812616306614e-07,6.414970277784777e-10,1.5427850295769243e-10,0.0
65+,Omicron,1,0.01913886755861701,0.019133667601564798,5.188276587088925e-06,9.476574161744024e-09,2.2038909603453955e-09,0.0
65+,Omicron,2,0.1692193660722715,0.16918109602032613,3.82302364372334e-05,3.335230739353294e-08,6.463200734829097e-09,0.0
65+,Both,0,0.0008201067868328498,0.0008198838977058661,2.2234505462025735e-07,4.385920283204082e-10,1.0548033522895239e-10,0.0
65+,Both,1,0.013085258978297508,0.013081703763523394,3.5472288308160433e-06,6.479141294733097e-09,1.506802003186661e-09,0.0
65+,Both,2,0.11569541522858048,0.11566924996361459,2.6138043071284714e-05,2.2802999102821616e-08,4.418895485061442e-09,0.0
