age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.24027140942088004,0.0,0.0,0.0,0.0,0.24027140942088004
0-17,None,1,0.023418828442226352,0.0011213980038146858,0.009364219567745425,0.0022401799952444794,0.010516534460558297,0.00017649641486345527
0-17,None,2,0.11208724023346579,0.043363485862151496,0.014427047717419258,0.01817181554632688,0.0359181133619995,0.0002067777455687078
0-17,PreOmicron,0,0.19506982631404912,0.015159111740511051,0.0209353323280182,0.019029728279192464,0.042470998274588785,0.09747465569173858
0-17,PreOmicron,1,0.019013110247758896,0.002322064304601886,0.008140588360142484,0.00233185479680011,0.006147863250630868,2.8884197030408553e-05
0-17,PreOmicron,2,0.09100058361943072,0.03956029357657953,0.015530012568156868,0.01487710167178717,0.020949959487637348,8.303748111099792e-05
0-17,Omicron,0,0.08838519092809935,0.08836119790452804,2.0218129662934715e-05,3.117382652538947e-07,3.463155643122291e-06,0.0
0-17,Omicron,1,0.008614747914317196,0.008612525455135146,2.0221341432363514e-06,4.913717139531779e-08,1.511878674200015e-07,0.0
0-17,Omicron,2,0.04123192248514645,0.04122511675200855,5.958446787575439e-06,3.347885796388361e-07,5.124977706824645e-07,0.0
0-17,Both,0,0.11567168372381044,0.11564028351518978,2.6459920211751994e-05,4.079788666451123e-07,4.5323095422563154e-06,0.0
0-17,Both,1,0.01127431400714951,0.011271405424921018,2.646412352651163e-06,6.430691939496488e-08,1.9786295644606658e-07,0.0
0-17,Both,2,0.053961142663666015,0.05395223584791137,7.797953085356325e-06,4.3814533058858317e-07,6.707173386972139e-07,0.0
18-49,None,0,0.09734604084952127,0.0,0.0,0.0,0.0,0.09734604084952127
18-49,None,1,0.06015143468819382,0.006421025822342262,0.002518899027268447,0.006918435539835203,0.027727497806932032,0.016565576491815885
18-49,None,2,0.33069458274956215,0.07918845523338715,0.06272996596227258,0.02910766216228009,0.13385190212210318,0.02581659726951915
18-49,PreOmicron,0,0.04049900144299256,0.00409233148765978,0.003736806025139102,0.0031304672143976997,0.007732676602992932,0.021806720112803057
18-49,PreOmicron,1,0.025024880508504155,0.004945494153194769,0.0029188026829970264,0.0037605467367799635,0.009721653631361873,0.0018705435048226872
18-49,PreOmicron,2,0.13757930232280424,0.0435645336718532,0.030734627322322326,0.014922454884068534,0.042628745601650885,0.005711353048670051
18-49,Omicron,0,0.03550237722214658,0.03549684749781739,5.016429286438424e-06,7.026889836795968e-08,4.430261443877017e-07,0.0
18-49,Omicron,1,0.021937398851738427,0.021934347860149448,2.7803892824086624e-06,6.858591746311072e-08,2.0201638910654085e-07,0.0
18-49,Omicron,2,0.12060525235169911,0.12059102559963167,1.3233833166800022e-05,2.6932914401981587e-07,7.235897566249583e-07,0.0
18-49,Both,0,0.026053695675619597,0.026049637644408298,3.681345651569582e-06,5.156737764585023e-08,3.2511818208669225e-07,0.0
18-49,Both,1,0.01609893078487554,0.01609669179096618,2.040410301833014e-06,5.0332309017953915e-08,1.4825129850702264e-07,0.0
18-49,Both,2,0.08850710255234243,0.08849666213967658,9.711751407301437e-06,1.9764928728463116e-07,5.310119712587075e-07,0.0
50-64,None,0,0.045472033541012494,0.0,0.0,0.0,0.0,0.045472033541012494
50-64,None,1,0.06279319652479884,0.004333939084305145,0.003301945109005472,0.0033127638894619054,0.027719435221349877,0.02412511322067637
50-64,None,2,0.4491419759614498,0.11135406867802025,0.1277665255725132,0.024543653902049416,0.15301508328238808,0.03246264452647887
50-64,PreOmicron,0,0.012920955743236862,0.0014899652569120483,0.001222989877142265,0.0009961300691388893,0.002462193437052251,0.006749677102991407
50-64,PreOmicron,1,0.017842793692996448,0.003158630384833914,0.002322799725190915,0.0018880172830330274,0.006923831134186099,0.001311253863514458
50-64,PreOmicron,2,0.1276244570983097,0.04275472634249764,0.037802713510237715,0.009589055308581755,0.03270214617663178,0.004759859541914141
50-64,Omicron,0,0.015227309130124489,0.015225343814606091,1.8093380833356444e-06,2.4501905564745152e-08,1.3147552949745964e-07,0.0
50-64,Omicron,1,0.021027680978669517,0.02102515775059954,2.3338272199828515e-06,3.9340803033783063e-08,1.5006004696452345e-07,0.0
50-64,Omicron,2,0.15040505512275917,0.15039058667469044,1.3748555366437887e-05,1.844115404486774e-07,5.354811618725916e-07,0.0
50-64,Both,0,0.007957465649890149,0.007956438618088589,9.455213343438418e-07,1.2804171125848674e-08,6.870629609189531e-08,0.0
50-64,Both,1,0.010988615759667262,0.01098729717471426,1.219608124921565e-06,2.0558661159712297e-08,7.841816692213797e-08,0.0
50-64,Both,2,0.07859846079708542,0.07859089989597476,7.184700601343077e-06,9.636952176012472e-08,2.798309875600179e-07,0.0
65+,None,0,0.0042434382688477865,0.0,0.0,0.0,0.0,0.0042434382688477865
65+,None,1,0.06770641286938754,1.821318640957159e-05,0.005385422100763512,0.0016846573940797005,1.9485835560623008e-05,0.060598634352574114
65+,None,2,0.5986371048179798,0.09670527162001079,0.28851283447238857,0.03536205100792224,0.10041920811626381,0.07763773960139418
65+,PreOmicron,0,0.0006887754883966124,9.024764349094237e-05,6.423493979957393e-05,5.065806262971702e-05,0.00012986568525566377,0.00035376915722071516
65+,PreOmicron,1,0.010989795217253788,0.0014538392720156669,0.0017144734605196207,0.0009428335825547122,0.001871359023815805,0.001488833781738718
65+,PreOmicron,2,0.09716803641762332,0.02640780992671481,0.043969222341028805,0.006583867152887622,0.013788559823777989,0.006398874400892232
65+,Omicron,0,0.0010634953309560382,0.0010633865571619801,1.0219399989775621e-07,1.335900251101411e-09,5.2438939091352675e-09,0.0
65+,Omicron,1,0.016968658290845595,0.016966923293498696,1.6383967329743967e-06,2.1690813388333907e-08,7.49098005368771e-08,0.0
65+,Omicron,2,0.15003111287956356,0.15001833199641817,1.2450184699069706e-05,1.1064857238092085e-07,2.2004987391007288e-07,0.0
65+,Both,0,0.00033223724472055977,0.0003322032636539921,3.192553080837851e-08,4.173368756103958e-10,1.638198883686538e-09,0.0
65+,Both,1,0.005301029645412018,0.005300487630114581,5.1183714726161e-07,6.776236684941109e-09,2.3401913490833714e-08,0.0
65+,Both,2,0.04686990352901321,0.04686591076545544,3.889452957882311e-06,3.4566749613327846e-08,6.874385028401348e-08,0.0
