age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.24165400256699185,0.0,0.0,0.0,0.0,0.24165400256699185
0-17,None,1,0.023553587345802235,0.0011278508614304746,0.009418104072041036,0.002253070657162796,0.010577049727443624,0.00017751202772431002
0-17,None,2,0.11273222354832169,0.04361301225602839,0.014510065240564468,0.018276381577247126,0.036124796868269596,0.0002079676062120559
0-17,PreOmicron,0,0.19991662303346552,0.0076079109876744265,0.0262196399711066,0.04110416557692003,0.017237491216729375,0.10774741528103511
0-17,PreOmicron,1,0.019485518934002258,0.0016412265262017382,0.008905303525026411,0.0033797250509296265,0.005480928093911554,3.2011949834812334e-05
0-17,PreOmicron,2,0.09326162695189137,0.03829316946877974,0.017467648247284077,0.018691974421790183,0.018716709239871673,9.193133652947395e-05
0-17,Omicron,0,0.08452873661941578,0.0845085730752999,1.8215129655667165e-05,7.682037717055989e-07,1.180210688506652e-06,0.0
0-17,Omicron,1,0.008238866147659958,0.008236997006937283,1.7657977941147894e-06,5.242760124407768e-08,5.091532731500499e-08,0.0
0-17,Omicron,2,0.0394328764746841,0.03942715890177153,5.279137755522657e-06,2.6351785355984967e-07,1.7491730348467354e-07,0.0
0-17,Both,0,0.11329874816696582,0.11327172180411806,2.4414790404095927e-05,1.0296678875405569e-06,1.5819045561171043e-06,0.0
0-17,Both,1,0.011043028183987507,0.011040522866713214,2.3668007779409068e-06,7.02717422253118e-08,6.82447541275136e-08,0.0
0-17,Both,2,0.05285416202681185,0.05284649843358362,7.075933262727813e-06,3.532082002171908e-07,2.344517652828933e-07,0.0
18-49,None,0,0.08783253233443696,0.0,0.0,0.0,0.0,0.08783253233443696
18-49,None,1,0.05427290916104616,0.00579350688779353,0.0022727301318985864,0.006242305367052658,0.025017723642659723,0.01494664313164168
18-49,None,2,0.29837620902398415,0.07144946516676746,0.05659944375381892,0.02626300623772012,0.12077072080762848,0.02329357305804934
18-49,PreOmicron,0,0.053577931106697264,0.002075426803884546,0.006775769122661133,0.011047352966860498,0.003633031746412773,0.03004635046687833
18-49,PreOmicron,1,0.03310652796527058,0.004688771337728147,0.004908330999870432,0.008219407537961559,0.010219152079219015,0.002583316804819961
18-49,PreOmicron,2,0.1820097809555772,0.049010690398656895,0.04632817679601092,0.03147120469417356,0.047300885299865474,0.00788007006219056
18-49,Omicron,0,0.028371498370970076,0.02836603059040142,5.077114392177643e-06,2.3017541487349166e-07,1.6049076161079155e-07,0.0
18-49,Omicron,1,0.01753113240532983,0.01752811657414069,2.8099789830378678e-06,1.3269180112170117e-07,7.316040497930378e-08,0.0
18-49,Omicron,2,0.09638091835980375,0.09636685664741314,1.3306090125610221e-05,4.942891704523826e-07,2.6133309454144297e-07,0.0
18-49,Both,0,0.029619153378175715,0.02961344514841697,5.300383784253097e-06,2.402975277470363e-07,1.675484467466191e-07,0.0
18-49,Both,1,0.018302075301665374,0.018298926847347394,2.9335496278620785e-06,1.3852700897431226e-07,7.637768114879294e-08,0.0
18-49,Both,2,0.10061933163704286,0.100604651551747,1.3891234052606124e-05,5.1602585670204e-07,2.7282538654836773e-07,0.0
50-64,None,0,0.04548958251494062,0.0,0.0,0.0,0.0,0.04548958251494062
50-64,None,1,0.06281743023688219,0.004335611676843328,0.0033032194251975972,0.003314042380934558,0.02773013295373883,0.024134423800167865
50-64,None,2,0.4493153128503546,0.11139704343625834,0.1278158343729243,0.024553126008504476,0.15307413623203706,0.032475172800630496
50-64,PreOmicron,0,0.01627006230510847,0.000675371422801722,0.0020246804123855385,0.0034246244815127856,0.000872304472355589,0.009273081516052835
50-64,PreOmicron,1,0.022467638683322664,0.0024246452228542607,0.0035973624368771198,0.004906799079474395,0.0066564111084835235,0.0018069537509566842
50-64,PreOmicron,2,0.1607046653442807,0.04490898426198021,0.05316186837117843,0.021284034907920753,0.03478307843790965,0.006551962603938026
50-64,Omicron,0,0.01195019349435286,0.011948426306246094,1.6663239743114589e-06,8.135126547038486e-08,1.951286698548146e-08,0.0
50-64,Omicron,1,0.01650224962830117,0.016499981247737182,2.145928688553878e-06,1.0018548767779775e-07,2.226638775921089e-08,0.0
50-64,Omicron,2,0.11803592452786081,0.11802292299748317,1.2536153436722165e-05,3.8613054633845557e-07,7.924639458500379e-08,0.0
50-64,Both,0,0.007867925749862033,0.007866762245286426,1.0970963199292986e-06,5.35611173727664e-08,1.2847138306275287e-08,0.0
50-64,Both,1,0.010864968407626031,0.010863474921360864,1.412864787002768e-06,6.596144059383839e-08,1.4660037570931008e-08,0.0
50-64,Both,2,0.07771404625710787,0.07770548613833705,8.253717772487753e-06,2.542257135652469e-07,5.217528476285506e-08,0.0
65+,None,0,0.004348371665740662,0.0,0.0,0.0,0.0,0.004348371665740662
65+,None,1,0.06938068345934136,1.8663569188138202e-05,0.005518594919344076,0.0017263162593115233,1.9967688903861918e-05,0.0620971410225938
65+,None,2,0.6134404366764457,0.09909663730171102,0.2956472923931352,0.03623649760011174,0.10290241346846356,0.07955759591302401
65+,PreOmicron,0,0.0008567491229712152,4.000284028701191e-05,0.00011236362741483518,0.00018723837245599397,4.349077476070756e-05,0.0004736535080526668
65+,PreOmicron,1,0.013669907789450519,0.0006471341621351004,0.0027051345990875123,0.002978152437435581,0.000628659221403036,0.0019943516652580593
65+,PreOmicron,2,0.12086468142968736,0.024301756400783473,0.06118731200251139,0.013712570049013736,0.013048963115755737,0.008589720723740325
65+,Omicron,0,0.0008133387693479607,0.0008132348136554298,9.850361377597933e-08,4.751554647652987e-09,7.005241072740682e-10,0.0
65+,Omicron,1,0.012977271502786627,0.012975613462982299,1.5780073431242909e-06,7.002537320581156e-08,1.00070879969596e-08,0.0
65+,Omicron,2,0.11474062665011682,0.11472841874663098,1.193484256504294e-05,2.4369003564376505e-07,2.937088516288971e-08,0.0
65+,Both,0,0.00030948677486115943,0.00030944721826651236,3.7482002443012596e-08,1.8080329856371956e-09,2.6655921842573824e-10,0.0
65+,Both,1,0.004938033271320457,0.004937402363990115,6.004538597395071e-07,2.664563368753425e-08,3.8078369145168214e-09,0.0
65+,Both,2,0.043660412887930274,0.04365576760994767,4.541374483958243e-06,9.27274661426159e-08,1.1176032505086936e-08,0.0
