age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.2212977265778008,0.0,0.0,0.0,0.0,0.2212977265778008
0-17,None,1,0.021569497202649113,0.0010328437720959584,0.00862474859789679,0.0020632781123128955,0.009686067823084107,0.00016255889725937906
0-17,None,2,0.10323596761608797,0.03993917071079035,0.013287776805361692,0.01673682889647964,0.03308174222281592,0.00019044898064039646
0-17,PreOmicron,0,0.14610560446741921,0.00787249492645702,0.033266160865897475,0.03498071221261244,0.020575783215315842,0.04941045324713648
0-17,PreOmicron,1,0.014240654323863658,0.0014167553360255355,0.007174957524641303,0.002540263622383297,0.0030726437647304685,1.4699348269507281e-05
0-17,PreOmicron,2,0.0681586462029227,0.02866139975823344,0.015816962967168835,0.0131614390664259,0.010476482120732872,4.223507929005256e-05
0-17,Omicron,0,0.13538736108204147,0.13535717189445692,2.6514964129013317e-05,7.97696799592444e-07,2.8765266559283466e-06,0.0
0-17,Omicron,1,0.013195966137078602,0.013193173227809335,2.5987119246103697e-06,6.983363907973497e-08,1.2436370557850072e-07,0.0
0-17,Omicron,2,0.06315855766091413,0.0631499905207152,7.74149409441962e-06,3.9955803199771017e-07,4.2608807252662444e-07,0.0
0-17,Both,0,0.13660741825957748,0.13657695701901326,2.6753906464835264e-05,8.048853266311717e-07,2.9024487727706444e-06,0.0
0-17,Both,1,0.013314882947860584,0.013312064870001184,2.6221304853285164e-06,7.046295212573679e-08,1.2548442194673008e-07,0.0
0-17,Both,2,0.0637277175217842,0.06371907317791715,7.811257367440543e-06,4.031586904408978e-07,4.2992780916816784e-07,0.0
18-49,None,0,0.10385466790644012,0.0,0.0,0.0,0.0,0.10385466790644012
18-49,None,1,0.06417320333854146,0.006850340276589807,0.0026873144473456615,0.007381007169386399,0.02958137846681243,0.017673162978407146
18-49,None,2,0.3528050629506773,0.0844830529163515,0.06692413708806884,0.031053821614269776,0.1428013376016485,0.02754271373033868
18-49,PreOmicron,0,0.02823928571286017,0.0018496099394270404,0.006905477775493009,0.006896663635347674,0.003335545617580667,0.009251988745011784
18-49,PreOmicron,1,0.01744943641646528,0.0028874764713001325,0.004322842598982915,0.004527411470455824,0.0041515854189201964,0.0007950220235019212
18-49,PreOmicron,2,0.09593177826713731,0.02779621115650011,0.03037797691493333,0.017133636492851295,0.018181857287230173,0.0024341675751945757
18-49,Omicron,0,0.04513129894041067,0.04512432930219614,6.305674580045166e-06,1.8454525091846265e-07,4.794183835654333e-07,0.0
18-49,Omicron,1,0.027887239757432968,0.027883396361319535,3.493587217862884e-06,1.31323122345489e-07,2.1848577322427173e-07,0.0
18-49,Omicron,2,0.15331569668165154,0.153297776931466,1.6636893696100554e-05,5.014587598253869e-07,7.813977296092719e-07,0.0
18-49,Both,0,0.022175862630569063,0.022172438006344657,3.0983768817463687e-06,9.06787579700556e-08,2.3556858468784354e-07,0.0
18-49,Both,1,0.013702765320872244,0.013700876817189716,1.7166204396982115e-06,6.45273588335253e-08,1.073558839986498e-07,0.0
18-49,Both,2,0.07533370207694182,0.07532489696989153,8.174758490581771e-06,2.463984160408504e-07,3.8395014365824247e-07,0.0
50-64,None,0,0.0482400484056793,0.0,0.0,0.0,0.0,0.0482400484056793
50-64,None,1,0.06661560093131876,0.004597758554729693,0.003502944106241822,0.003514421457313839,0.029406797821125936,0.025593678991907464
50-64,None,2,0.4764825536526985,0.11813251453450231,0.13554404538966794,0.026037697461215,0.16232955620258127,0.03443874006473195
50-64,PreOmicron,0,0.00958587817946954,0.0006406158885225154,0.002319636424251654,0.002346918240493782,0.0009921962845277135,0.0032865113416738734
50-64,PreOmicron,1,0.01323732161314748,0.001739900758837696,0.0034684388486299024,0.0031648860053020604,0.003134937756127348,0.0006403341213085386
50-64,PreOmicron,2,0.09468281780205666,0.028280560587895198,0.03580555614105084,0.01315455907667108,0.015105147496013998,0.002329181739849079
50-64,Omicron,0,0.017305126796451128,0.01730285511922328,2.0822282986348225e-06,6.419626688481219e-08,1.2525266232679593e-07,0.0
50-64,Omicron,1,0.023896978938407136,0.023894063309889642,2.685664795596641e-06,8.705651204423806e-08,1.4290720985502503e-07,0.0
