age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.15386666359347795,0.0,0.0,0.0,0.0,0.15386666359347795
0-17,None,1,0.014997111001922957,0.000718128593923158,0.005996723561569688,0.0014345819277787409,0.00673465092626756,0.0001130259923838038
0-17,None,2,0.07177920056195115,0.027769408384767946,0.009238892397283672,0.011636992667120163,0.023001489352827302,0.00013241775995206372
0-17,PreOmicron,0,0.24953958484787722,0.005448208270675314,0.021233204916527363,0.05438969138272946,0.02461277112941339,0.14385570914853174
0-17,PreOmicron,1,0.024322181075069577,0.0016725038425242024,0.010658121293213385,0.004498415514830855,0.0073884759412835045,4.277485081695269e-05
0-17,PreOmicron,2,0.11641086828440883,0.04665306139693314,0.01946179448368906,0.024958609257131135,0.025214328181066406,0.00012285207513893266
0-17,Omicron,0,0.07536808773995218,0.07535839714238388,6.895760545491535e-06,7.870203906571447e-07,2.0078166321451766e-06,0.0
0-17,Omicron,1,0.007345993936835078,0.00734509810954887,7.472592374594575e-07,6.11436666233504e-08,8.742438212460622e-08,0.0
0-17,Omicron,2,0.03515940983909182,0.0351566559407943,2.1261759582946793e-06,3.307750799900874e-07,2.9694725923655664e-07,0.0
0-17,Both,0,0.16062377420553164,0.1606031216932761,1.4696181342110681e-05,1.677290605544329e-06,4.2790403078893675e-06,0.0
0-17,Both,1,0.015655714597624347,0.015653805418765473,1.592552002179295e-06,1.3030881897513253e-07,1.8631803772032088e-07,0.0
0-17,Both,2,0.0749314103162572,0.07492554123357789,4.531286613303838e-06,7.049448029577694e-07,6.328512630323821e-07,0.0
18-49,None,0,0.060140120639074514,0.0,0.0,0.0,0.0,0.060140120639074514
18-49,None,1,0.03716139359332946,0.003966892379107737,0.0015561690034394118,0.004274190756689578,0.017129973120388768,0.010234168333703973
18-49,None,2,0.20430221843321,0.048922413376006106,0.03875440323749607,0.017982634924690512,0.08269334295615036,0.01594942393886704
18-49,PreOmicron,0,0.06160876364025157,0.0014505178947307423,0.005073589908653835,0.014424576944946555,0.004423414303030984,0.03623666458888943
18-49,PreOmicron,1,0.038068887958735996,0.004876636391497301,0.0042365160172216365,0.010492782994752734,0.012345702419550965,0.003116062224042142
18-49,PreOmicron,2,0.20929135081336575,0.05394848536477071,0.048622652890707316,0.0400864403932049,0.05710455243867378,0.009509991186476363
