date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,64.4825440589912,268,0.644825440589912
2022-02-15,50-64,59.9674813173024,447,0.599674813173024
2022-02-15,65+,44.3513751691376,216,0.443513751691376
2022-04-02,0-17,82.7,686,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,76.3036302264634,296,0.644825440589912
2022-05-15,50-64,64.7836087620338,483,0.599674813173024
2022-05-15,65+,48.1125778267674,231,0.443513751691376
2022-05-28,0-17,83.2,684,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-23,0-17,86.9,655,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,85.6848176683663,331,0.644825440589912
2022-08-15,50-64,74.6353455252145,549,0.599674813173024
2022-08-15,65+,64.8200371691396,291,0.443513751691376
2022-09-17,0-17,94.4,558,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-12,0-17,92,569,
2022-11-12,18-49,,,
2022-11-12,50-64,,,
2022-11-12,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,88.5361337480879,312,0.644825440589912
2022-11-15,50-64,79.5065081829997,550,0.599674813173024
2022-11-15,65+,69.6360718896543,314,0.443513751691376
