date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,66.5610629604104,268,
2022-02-15,50-64,65.8318797856444,256,
2022-02-15,65+,46.052935762462,176,
2022-04-02,0-17,86.2,111,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,79.7086485764367,299,
2022-05-15,50-64,72.9686179720013,286,
2022-05-15,65+,57.3174742414169,202,
2022-05-30,0-17,85.7,226,
2022-05-30,18-49,,,
2022-05-30,50-64,,,
2022-05-30,65+,,,
2022-07-23,0-17,93.3,177,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,83.737240460693,283,
2022-08-15,50-64,79.1708653157654,310,
2022-08-15,65+,63.055511227468,223,
2022-09-17,0-17,89.5,138,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-12,0-17,97.6,96,
2022-11-12,18-49,,,
2022-11-12,50-64,,,
2022-11-12,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,91.5794588454562,300,
2022-11-15,50-64,86.2798732395176,325,
2022-11-15,65+,69.0766089344432,226,
