date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,66.925188373332,322,0.66925188373332
2022-02-15,50-64,62.7605971072667,372,0.627605971072667
2022-02-15,65+,49.3040289833468,222,0.493040289833468
2022-04-02,0-17,78.8,233,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,81.6958966051,365,0.66925188373332
2022-05-15,50-64,69.0046279981953,456,0.627605971072667
2022-05-15,65+,56.0726835151885,249,0.493040289833468
2022-05-28,0-17,80.8,178,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-23,0-17,91,155,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,84.0203030513219,336,0.66925188373332
2022-08-15,50-64,75.4280050008072,458,0.627605971072667
2022-08-15,65+,63.3103566521234,272,0.493040289833468
2022-09-17,0-17,87.9,183,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-10,0-17,89.7,141,
2022-11-10,18-49,,,
2022-11-10,50-64,,,
2022-11-10,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,93.4171280106775,339,0.66925188373332
2022-11-15,50-64,79.4506492104913,436,0.627605971072667
2022-11-15,65+,67.1181574750424,281,0.493040289833468
