date,age,rate,n
2022-02-15,0-17,,
2022-02-15,18-49,53.652220250355,62
2022-02-15,50-64,55.7834648536803,96
2022-02-15,65+,26.7367360116546,39
2022-04-03,0-17,62.9,595
2022-04-03,18-49,,
2022-04-03,50-64,,
2022-04-03,65+,,
2022-05-15,0-17,,
2022-05-15,18-49,69.4097220464504,79
2022-05-15,50-64,68.625608944307,131
2022-05-15,65+,46.5133533519869,77
2022-05-29,0-17,69.7,504
2022-05-29,18-49,,
2022-05-29,50-64,,
2022-05-29,65+,,
2022-07-24,0-17,77.5,545
2022-07-24,18-49,,
2022-07-24,50-64,,
2022-07-24,65+,,
2022-08-15,0-17,,
2022-08-15,18-49,81.6314364458245,84
2022-08-15,50-64,75.9618030354569,153
2022-08-15,65+,62.5429132580584,113
2022-09-18,0-17,86.4,484
2022-09-18,18-49,,
2022-09-18,50-64,,
2022-09-18,65+,,
2022-11-13,0-17,87.4,518
2022-11-13,18-49,,
2022-11-13,50-64,,
2022-11-13,65+,,
2022-11-15,0-17,,
2022-11-15,18-49,83.0572807256597,84
2022-11-15,50-64,83.4098871675348,171
2022-11-15,65+,69.7583706004124,131
