age,type,dose,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.0,0.0,0.0,0.0,0.14857710060755677
0-17,None,1,0.0006934410733073632,0.005790570739072114,0.0013852644779281454,0.006503129949398894,0.0001091404326933699
0-17,None,2,0.026814763425928242,0.008921281667875154,0.011236941062426481,0.02221075389486464,0.00012786555829016508
0-17,PreOmicron,0,0.004248665438569782,0.021668357177160216,0.05799654941794308,0.017318891252517118,0.1322830093577954
0-17,PreOmicron,1,0.0014841470644172822,0.010101685259643205,0.004516628886502634,0.006560706782168908,9.717126542551874e-05
0-17,PreOmicron,2,0.04335942075550121,0.018662909630825588,0.024420549195166966,0.02237885564304456,0.00011384285178988988
0-17,Omicron,0,0.08593034186620892,1.817659518664933e-05,8.1639010368608e-07,1.0500406988123962e-07,0.0
0-17,Omicron,1,0.008375567261390821,1.7227164277633658e-06,4.4923253276285805e-08,4.673097660646866e-09,0.0
0-17,Omicron,2,0.0400901757338097,5.254294981103154e-06,1.9242992196167487e-07,1.5787398922968262e-08,0.0
0-17,Both,0,0.17131802190741377,3.623840269641842e-05,1.6276245925571818e-06,2.0934502474446468e-07,0.0
0-17,Both,1,0.016698241673564453,3.4345536664027074e-06,8.956281008309887e-08,9.316684072416154e-09,0.0
0-17,Both,2,0.07992717654179034,1.0475408373007057e-05,3.836446227294238e-07,3.147509826921489e-08,0.0
18-49,None,0,0.0,0.0,0.0,0.0,0.0651732087247966
18-49,None,1,0.004298879055530467,0.001686403788261109,0.004631895037043489,0.018563569573219117,0.011090659311112689
18-49,None,2,0.053016698742762755,0.04199773436372557,0.01948759009650543,0.08961389573819295,0.017284220988620293
18-49,PreOmicron,0,0.0009219281555640047,0.004209849173456908,0.013976855982046964,0.0015946008616515128,0.03147614119433148
18-49,PreOmicron,1,0.003950655722746934,0.0035410281022067165,0.0097032574366946,0.009691040356091963,0.005356359848552172
18-49,PreOmicron,2,0.044828476561872464,0.04119424941764688,0.036992867698344596,0.04589553779531669,0.008347610788493352
18-49,Omicron,0,0.03741443296929111,2.1794708666124536e-06,2.7316064795659566e-07,0.0,0.0
18-49,Omicron,1,0.023119045725108967,1.210033030997214e-06,1.4370352495349315e-07,0.0,0.0
18-49,Omicron,2,0.1271026989050159,5.806970996574947e-06,5.297207586339819e-07,0.0,0.0
18-49,Both,0,0.0446287199473429,2.599718536941997e-06,3.258317470238174e-07,0.0,0.0
18-49,Both,1,0.027576882374846057,1.4433527647400916e-06,1.7141257695551177e-07,0.0,0.0
18-49,Both,2,0.15161076364939705,6.926676733580236e-06,6.318620251915561e-07,0.0,0.0
50-64,None,0,0.0,0.0,0.0,0.0,0.03322234765792466
50-64,None,1,0.003166421639295949,0.0024124359483466643,0.0024203402635393032,0.020252111948642414,0.017626062357233623
50-64,None,2,0.08135645790745154,0.09334757214644333,0.017931852596700677,0.11179443490533195,0.02371755073107936
50-64,PreOmicron,0,0.00032861068098808007,0.0013881984787364882,0.004721551538202969,0.0003934885200679949,0.00981412948640983
50-64,PreOmicron,1,0.0020089929344971526,0.0028687599926419667,0.006470867878512054,0.0064312575976784025,0.005206870390093048
50-64,PreOmicron,2,0.04320453731925668,0.0522599188199924,0.02731698858964981,0.03462992689579114,0.007006341525650257
50-64,Omicron,0,0.017380660819079255,5.883368919479979e-07,1.0821140641126402e-07,0.0,0.0
50-64,Omicron,1,0.024001351695803398,7.642289830940439e-07,1.312598068848715e-07,0.0,0.0
50-64,Omicron,2,0.1716761116531811,4.67449696837334e-06,4.997953098111904e-07,0.0,0.0
50-64,Both,0,0.014327506144649022,4.849873386433875e-07,8.920256867199084e-08,0.0,0.0
50-64,Both,1,0.019785180637321854,6.299815389745827e-07,1.0820219721588622e-07,0.0,0.0
50-64,Both,2,0.14151881624088375,3.8533565975807514e-06,4.1199931618974797e-07,0.0,0.0
65+,None,0,0.0,0.0,0.0,0.0,0.003271534174754378
65+,None,1,1.4041694021453156e-05,0.004151961530221413,0.0012988086283580854,1.5022859511876887e-05,0.046719308887630304
65+,None,2,0.0745561926295383,0.22243273921549533,0.027262835236964045,0.07741950049466215,0.05985582969859232
65+,PreOmicron,0,2.2389205531440912e-05,8.536326559305645e-05,0.00028788153216976803,2.024273937943925e-05,0.0005510522784112273
65+,PreOmicron,1,0.00036128624387353936,0.002452047959329414,0.00445352429973101,0.00029170084358466847,0.007869329871897014
65+,PreOmicron,2,0.02468399018939258,0.06851283881339983,0.019239481461600524,0.013889820019007704,0.01008202560930914
65+,Omicron,0,0.0013637626611706479,3.1670813477063755e-08,7.285398481662216e-09,0.0,0.0
65+,Omicron,1,0.021759590372847106,5.144355012254231e-07,1.069652796726204e-07,0.0,0.0
65+,Omicron,2,0.1923917933263102,4.241494583708383e-06,3.6641099758366417e-07,0.0,0.0
65+,Both,0,0.0007256607910221716,1.6852102066171736e-08,3.8765748437317005e-09,0.0,0.0
65+,Both,1,0.011578320782535966,2.7373214077344234e-07,5.691643543936925e-08,0.0,0.0
65+,Both,2,0.10237205116871496,2.2569076001010608e-06,1.9496801160221368e-07,0.0,0.0
