age,type,dose,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.0,0.0,0.0,0.0,0.33577400038598526
0-17,None,1,0.001567129000796522,0.013086290509275067,0.003130602181927892,0.014696625181205875,0.000246649850747231
0-17,None,2,0.060599515996139955,0.02016148129115019,0.025394711817660672,0.05019477198283673,0.0002889673431714041
0-17,PreOmicron,0,0.015412722853229399,0.013939214568228152,0.009954323959608049,0.01761786546741705,0.0825364083550098
0-17,PreOmicron,1,0.002081208424588652,0.005584891503999691,0.0014696087743059176,0.004396633643030894,6.062885386770218e-05
0-17,PreOmicron,2,0.02957786422992371,0.0105984193398343,0.009824190084619374,0.014987199484221366,7.103089164092636e-05
0-17,Omicron,0,0.09369664375697853,1.4287784908572453e-05,0.0,0.0,0.0
0-17,Omicron,1,0.009132512492182793,1.3259209278613271e-06,0.0,0.0,0.0
0-17,Omicron,2,0.04371230772454978,4.086671081397398e-06,0.0,0.0,0.0
0-17,Both,0,0.07044190158215485,1.0741673319346587e-05,0.0,0.0,0.0
0-17,Both,1,0.0068658974364193956,9.968381764920007e-07,0.0,0.0,0.0
0-17,Both,2,0.032863269752202474,3.0723926767440178e-06,0.0,0.0,0.0
18-49,None,0,0.0,0.0,0.0,0.0,0.11446074343944036
18-49,None,1,0.0075499258403866855,0.002961754302424177,0.008134786668432618,0.032602353264709054,0.019478020720813782
18-49,None,2,0.09311081764327261,0.07375871147211453,0.034225168499957916,0.15738481086623965,0.03035549151006199
18-49,PreOmicron,0,0.004408357920740752,0.003717678378800028,0.002577566722234725,0.004667453913786646,0.02245415254333118
18-49,PreOmicron,1,0.0049281872803587645,0.0028204701019246456,0.0032835456560557997,0.008519435830708919,0.003821069437127333
18-49,PreOmicron,2,0.04215938214896373,0.028743305743438384,0.013108182920321825,0.03853034348522304,0.0059549398021807734
18-49,Omicron,0,0.029205881911620924,4.05494568190307e-06,0.0,0.0,0.0
18-49,Omicron,1,0.0180469767429431,2.2381381668542966e-06,0.0,0.0,0.0
18-49,Omicron,2,0.0992187042553829,1.0476478312254781e-05,0.0,0.0,0.0
18-49,Both,0,0.017902739797614142,2.4856170293451924e-06,0.0,0.0,0.0
18-49,Both,1,0.011062508906260681,1.3719429994804697e-06,0.0,0.0,0.0
18-49,Both,2,0.060819483236826066,6.421914112616343e-06,0.0,0.0,0.0
50-64,None,0,0.0,0.0,0.0,0.0,0.050239572170731286
50-64,None,1,0.004788333145759141,0.003648139233932755,0.0036600923149633226,0.030625693594259075,0.026654523063809485
50-64,None,2,0.12302904300086423,0.1411622723385451,0.02711694585713501,0.16905802800401495,0.035866207106613535
50-64,PreOmicron,0,0.001621789023354845,0.0011310242513439296,0.0007295435593452781,0.0015633004170023457,0.00876152196993851
50-64,PreOmicron,1,0.003400948751518198,0.0022567661804193777,0.0016371240723961932,0.007123346366128891,0.004648411189254754
50-64,PreOmicron,2,0.045859094944517106,0.039462150789757816,0.00894238902358421,0.03585945681686252,0.006254881320944666
50-64,Omicron,0,0.011541759865651058,1.3689865347895846e-06,0.0,0.0,0.0
50-64,Omicron,1,0.0159383663353529,1.7599814663589323e-06,0.0,0.0,0.0
50-64,Omicron,2,0.11400504597350052,1.0169483541321989e-05,0.0,0.0,0.0
50-64,Both,0,0.005987173672149351,7.10148212579956e-07,0.0,0.0,0.0
50-64,Both,1,0.008267869753908936,9.129729626601106e-07,0.0,0.0,0.0
50-64,Both,2,0.059138989000809196,5.275318913813201e-06,0.0,0.0,0.0
65+,None,0,0.0,0.0,0.0,0.0,0.004403395140623576
65+,None,1,1.8899734472384685e-05,0.005588426178554476,0.0017481607396448327,2.0220356273012454e-05,0.06288290653253789
65+,None,2,0.10035058745884945,0.299388357467071,0.03669502740593615,0.10420452119938323,0.08056430272581887
65+,PreOmicron,0,0.00010301653749140836,6.473092972273685e-05,4.076687563098757e-05,9.460861511928571e-05,0.0005243071943912596
65+,PreOmicron,1,0.0016467952771398865,0.0018697549737053231,0.0008442565799211561,0.001353905159427945,0.007487395349801341
65+,PreOmicron,2,0.031041841261114776,0.052508702011443045,0.0072079658677731,0.01637734075609286,0.009592698856519253
65+,Omicron,0,0.0008044166839626649,8.402250548263022e-08,0.0,0.0,0.0
65+,Omicron,1,0.012834915038956356,1.3402650795522608e-06,0.0,0.0,0.0
65+,Omicron,2,0.1134838707821387,9.938537462979121e-06,0.0,0.0,0.0
65+,Both,0,0.00029258977204167115,3.056143192409701e-08,0.0,0.0,0.0
65+,Both,1,0.004668432343947698,4.874934370702447e-07,0.0,0.0,0.0
65+,Both,2,0.041277388379097224,3.614935478955872e-06,0.0,0.0,0.0
