age,type,dose,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.0,0.0,0.0,0.0,0.16318696456379053
0-17,None,1,0.0007616284299138495,0.006359968380975543,0.001521480122756148,0.0071425948700489525,0.00011987241539631898
0-17,None,2,0.02945150922369542,0.009798527965924593,0.012341890476131203,0.024394778831698407,0.00014043881758562997
0-17,PreOmicron,0,0.013558029720373843,0.020862198232514444,0.0263492948325414,0.0036510797269744223,0.13511852770039834
0-17,PreOmicron,1,0.0021894906603473416,0.008371295920212742,0.002712140767975679,0.006076543874235192,9.925415503338014e-05
0-17,PreOmicron,2,0.039890184934162604,0.0158816518291795,0.016449629405313797,0.020747776295260544,0.00011628310088908704
0-17,Omicron,0,0.1061485799290651,6.457946778659957e-06,0.0,0.0,0.0
0-17,Omicron,1,0.010346144098729903,5.993040096580946e-07,0.0,0.0,0.0
0-17,Omicron,2,0.04951975537460774,1.8471375734189998e-06,0.0,0.0,0.0
0-17,Both,0,0.17050660432595086,1.0373408451463589e-05,0.0,0.0,0.0
0-17,Both,1,0.01661902494899394,9.626628233181725e-07,0.0,0.0,0.0
0-17,Both,2,0.07954364855015998,2.9670595270988896e-06,0.0,0.0,0.0
18-49,None,0,0.0,0.0,0.0,0.0,0.07098146705510446
18-49,None,1,0.0046819966060366305,0.0018366966623282962,0.0050446910840759775,0.020217961151040523,0.012079062607387215
18-49,None,2,0.05774156480572398,0.04574058660692597,0.021224330694833378,0.09760031633366494,0.01882459658933615
18-49,PreOmicron,0,0.0032153125427343203,0.0035787071153381856,0.005082988124690617,0.0,0.03456670423396719
18-49,PreOmicron,1,0.004838166273505769,0.0030012414011124718,0.005130717254298089,0.009845785277716375,0.0058822873335230745
18-49,PreOmicron,2,0.04608792075295311,0.03479638812843546,0.020192941789461665,0.04752960748512479,0.009167241670592316
18-49,Omicron,0,0.040704155967714595,1.4976420917049518e-06,0.0,0.0,0.0
18-49,Omicron,1,0.025151747048587064,8.266275774523395e-07,0.0,0.0,0.0
18-49,Omicron,2,0.13827745178345802,3.86935266809866e-06,0.0,0.0,0.0
18-49,Both,0,0.041268764092725195,1.5184159137688503e-06,0.0,0.0,0.0
18-49,Both,1,0.025500627412378605,8.380937443704698e-07,0.0,0.0,0.0
18-49,Both,2,0.1401955009586977,3.9230245328751434e-06,0.0,0.0,0.0
50-64,None,0,0.0,0.0,0.0,0.0,0.031326599168406744
50-64,None,1,0.0029857378687906384,0.002274776447211259,0.0022822297228283265,0.019096476861336118,0.016620276088486798
50-64,None,2,0.0767140592492161,0.0880209311540939,0.016908617188279906,0.10541517076390274,0.02236416922305149
50-64,PreOmicron,0,0.0012414629550519458,0.001293133634059504,0.001884925640738285,0.0,0.013274855500621935
50-64,PreOmicron,1,0.00328248697248485,0.0027632895964158767,0.0032535139228968657,0.008092259537730736,0.007042952931756922
50-64,PreOmicron,2,0.0525530076506331,0.052201700344392095,0.01587103303498095,0.044670382250604435,0.009476965987641379
50-64,Omicron,0,0.01708138291514131,5.714938755834617e-07,0.0,0.0,0.0
50-64,Omicron,1,0.023588061223566093,7.347176934206489e-07,0.0,0.0,0.0
50-64,Omicron,2,0.16871974080308885,4.245328506905738e-06,0.0,0.0,0.0
50-64,Both,0,0.015474315030355925,5.177260127374388e-07,0.0,0.0,0.0
50-64,Both,1,0.021368825471691322,6.655932428216704e-07,0.0,0.0,0.0
50-64,Both,2,0.15284608008598083,3.8459152311946445e-06,0.0,0.0,0.0
65+,None,0,0.0,0.0,0.0,0.0,0.003147212407394734
65+,None,1,1.3508094760610493e-05,0.003994182589860765,0.001249452523388905,1.4451974922094953e-05,0.044943925614683924
65+,None,2,0.07172297825970642,0.21398005928590452,0.026226818591914447,0.0744774773900678,0.05758124470653259
65+,PreOmicron,0,8.150873320101113e-05,7.673364562597266e-05,0.00011293014922856348,0.0,0.0007659145689696985
65+,PreOmicron,1,0.0013046185000685547,0.0023393558400351985,0.001962127191218089,3.5170737498395207e-06,0.010937681655707632
65+,PreOmicron,2,0.0332757562011155,0.06882933640620206,0.012062329221489067,0.018125050873317075,0.014013135597876784
65+,Omicron,0,0.0013520537972131607,3.759846884793269e-08,0.0,0.0,0.0
65+,Omicron,1,0.02157276894365705,5.997430635049928e-07,0.0,0.0,0.0
65+,Omicron,2,0.19073995081628892,4.447305981289513e-06,0.0,0.0,0.0
65+,Both,0,0.0007915334215316225,2.2011287385824586e-08,0.0,0.0,0.0
65+,Both,1,0.012629355169949579,3.511078331901032e-07,0.0,0.0,0.0
65+,Both,2,0.1116649693995778,2.6035882057532916e-06,0.0,0.0,0.0
