age,type,dose,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.0,0.0,0.0,0.0,0.2613180350781748
0-17,None,1,0.0012196271025493696,0.010184480389830256,0.00243640904254774,0.011437732552902683,0.00019195665618987472
0-17,None,2,0.0471619197096735,0.015690788057480136,0.019763579627782798,0.03906436820800192,0.0002248904865549671
0-17,PreOmicron,0,0.013744547899475879,0.018005895559740834,0.009891375452366232,0.020294814343155065,0.07709139134642612
0-17,PreOmicron,1,0.0019243814778981527,0.005851948975633135,0.001440412220326669,0.004277443381909399,5.662910215691021e-05
0-17,PreOmicron,2,0.02902266536759982,0.011591606061413177,0.0096006149189714,0.014575705450145212,6.634490613673365e-05
0-17,Omicron,0,0.12736035712399876,1.7284785097520987e-05,0.0,0.0,0.0
0-17,Omicron,1,0.01241366895936606,1.6040455844655162e-06,0.0,0.0,0.0
0-17,Omicron,2,0.059417058850744886,4.9438896132756395e-06,0.0,0.0,0.0
0-17,Both,0,0.11165925489754612,1.5153900857661209e-05,0.0,0.0,0.0
0-17,Both,1,0.010883300407191031,1.406297366210581e-06,0.0,0.0,0.0
0-17,Both,2,0.05209206906524665,4.3344023444957425e-06,0.0,0.0,0.0
18-49,None,0,0.0,0.0,0.0,0.0,0.09304578940414726
18-49,None,1,0.006137377660256308,0.002407626919145361,0.006612814354111871,0.026502638413778305,0.01583379383655102
18-49,None,2,0.07569031328428921,0.05995887610136578,0.027821834149220025,0.12793900797105695,0.024676151713089144
18-49,PreOmicron,0,0.003950400137353106,0.004916608152013324,0.0026258131323476154,0.005327818321284515,0.019497921533741674
18-49,PreOmicron,1,0.004576036482475578,0.0034240638186098147,0.0031457585054803275,0.007977869696025331,0.003318001510692256
18-49,PreOmicron,2,0.03975056993299636,0.03039252583379571,0.012515251386488799,0.03554863259882176,0.00517093436401187
18-49,Omicron,0,0.041742024021944386,5.063122267160261e-06,0.0,0.0,0.0
18-49,Omicron,1,0.025793294932550635,2.7946039425768383e-06,0.0,0.0,0.0
18-49,Omicron,2,0.1418060974788784,1.3081233334623654e-05,0.0,0.0,0.0
18-49,Both,0,0.028286246369027823,3.4309961531840117e-06,0.0,0.0,0.0
18-49,Both,1,0.017478680352145004,1.893747547604012e-06,0.0,0.0,0.0
18-49,Both,2,0.09609409950531396,8.86442374522567e-06,0.0,0.0,0.0
50-64,None,0,0.0,0.0,0.0,0.0,0.042172362597637444
50-64,None,1,0.004019447478075545,0.0030623399828573774,0.0030723737002160147,0.025707978775616914,0.022374478184130214
50-64,None,2,0.10327367824392937,0.11849516779196949,0.02276264752695948,0.14191156789309647,0.03010699784548043
50-64,PreOmicron,0,0.0014425685821608848,0.0015506735717995212,0.0006962174445370525,0.0016767343832325085,0.00765541942652909
50-64,PreOmicron,1,0.0030956690618183136,0.002721768685422747,0.0015243810270399439,0.006578404714890284,0.004061570289136175
50-64,PreOmicron,2,0.042604029452422906,0.039696683707422645,0.00825267034961023,0.032600071059410984,0.005465230828534903
50-64,Omicron,0,0.01696000813537882,1.7200135933056784e-06,0.0,0.0,0.0
50-64,Omicron,1,0.023420561945632613,2.211265026480854e-06,0.0,0.0,0.0
50-64,Omicron,2,0.16752369541352358,1.2777079601196138e-05,0.0,0.0,0.0
50-64,Both,0,0.00942110446010511,9.554492902353552e-07,0.0,0.0,0.0
50-64,Both,1,0.013009873512023467,1.2283342459014624e-06,0.0,0.0,0.0
50-64,Both,2,0.09305763425557372,7.097532068209602e-06,0.0,0.0,0.0
65+,None,0,0.0,0.0,0.0,0.0,0.003912441214273976
65+,None,1,1.6792519800555783e-05,0.004965347920334012,0.0015532505960829028,1.796589965774323e-05,0.055871814210250385
65+,None,2,0.08916205830099744,0.266008230336123,0.032603737115803555,0.09258629998769982,0.07158183363464918
65+,PreOmicron,0,9.075664831438419e-05,8.475651396219152e-05,3.3882442350764307e-05,9.330898794370534e-05,0.0004554007385887277
65+,PreOmicron,1,0.0014509370131707213,0.002091351404518235,0.0007153063095112194,0.0013350233821710115,0.006503373230199914
65+,PreOmicron,2,0.02801182091002872,0.04963600200353839,0.006276669194080764,0.014692164980981377,0.008331989701934436
65+,Omicron,0,0.0012126052156051696,1.0024241290873098e-07,0.0,0.0,0.0
65+,Omicron,1,0.019347789693041267,1.5989930881007243e-06,0.0,0.0,0.0
65+,Omicron,2,0.171068865277481,1.1857096742714962e-05,0.0,0.0,0.0
65+,Both,0,0.000444657570969981,3.675849918715801e-08,0.0,0.0,0.0
65+,Both,1,0.007094758506586359,5.863444865671462e-07,0.0,0.0,0.0
65+,Both,2,0.06273028115330442,4.347950815748768e-06,0.0,0.0,0.0
