age,type,dose,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.0,0.0,0.0,0.0,0.21808112558762746
0-17,None,1,0.0010178312080204284,0.008499386375206993,0.002033288005673748,0.009545279140649688,0.000160196075381486
0-17,None,2,0.039358647909938774,0.013094636655707674,0.016493556174101018,0.03260089333911463,0.00018768077154408634
0-17,PreOmicron,0,0.010424726045451705,0.03374018788080033,0.00827352765524813,0.01595631571367559,0.10629588972585796
0-17,PreOmicron,1,0.0017827437218804493,0.008218169281775402,0.0015851666402081546,0.005362626235920473,7.80818803891562e-05
0-17,PreOmicron,2,0.03450939807806361,0.01748794571189007,0.011115637261653582,0.018289183866337273,9.147831818071815e-05
0-17,Omicron,0,0.11094925728841779,4.0932801015079014e-05,1.9045063357940165e-07,3.3550545150037157e-07,0.0
0-17,Omicron,1,0.010814220968945375,3.819103794989462e-06,1.3379581087193744e-08,1.493132354121041e-08,0.0
0-17,Omicron,2,0.05176560074965788,1.173940654456314e-05,6.841257310880301e-08,5.044336290638652e-08,0.0
0-17,Both,0,0.135584957276245,5.002171454288671e-05,2.3273919671197833e-07,4.100026752713909e-07,0.0
0-17,Both,1,0.013215461949770045,4.667115738603929e-06,1.6350446811603787e-08,1.8246745529355986e-08,0.0
0-17,Both,2,0.06325988057564232,1.4346080124316647e-05,8.360322573410643e-08,6.164404676232578e-08,0.0
18-49,None,0,0.0,0.0,0.0,0.0,0.07690988504210314
18-49,None,1,0.005073039987441335,0.0019900987541891816,0.0054660269426103,0.021906578328468262,0.013087913720201289
18-49,None,2,0.06256417760303284,0.04956086995167361,0.022997000506737593,0.10575195780988385,0.0203968390583679
18-49,PreOmicron,0,0.0028083459219019596,0.008619245681162119,0.0013256359810805834,0.00331962807001009,0.033685092406871335
18-49,PreOmicron,1,0.004832149719517496,0.005749241440913018,0.0033273319649137537,0.011105124041542468,0.005732261631086742
18-49,PreOmicron,2,0.04773251392177209,0.04696909108380875,0.013635576368520946,0.05176228720061129,0.008933434344792997
18-49,Omicron,0,0.03560052641398402,1.1548902921110342e-05,3.5150579278969444e-08,2.1761659601282313e-08,0.0
18-49,Omicron,1,0.021998812093501203,6.375920650392777e-06,2.0038522971709945e-08,9.90169499624184e-09,0.0
18-49,Omicron,2,0.12094811634827116,2.9874763556660847e-05,7.467198876306839e-08,3.569381458645243e-08,0.0
18-49,Both,0,0.03710905226157514,1.2038272610907183e-05,3.664003920390184e-08,2.2683781527606387e-08,0.0
18-49,Both,1,0.022930983047195617,6.646091967284576e-06,2.0887629232074096e-08,1.0321266399852523e-08,0.0
18-49,Both,2,0.12607313493948943,3.114066767537618e-05,7.783611683887895e-08,3.7206293398609476e-08,0.0
50-64,None,0,0.0,0.0,0.0,0.0,0.03320588896845523
50-64,None,1,0.0031648529617591603,0.002411240803002105,0.0024191412023164757,0.020242078846072598,0.01761733022638324
50-64,None,2,0.08131615308941709,0.09330132680826009,0.017922968974250532,0.11173905080341769,0.02370580081483391
50-64,PreOmicron,0,0.0011064636172306258,0.0033258360172994197,0.00047046634896536643,0.0012278556430756643,0.013077837932906233
50-64,PreOmicron,1,0.0032532377279523945,0.005348693559413218,0.0016128824407513997,0.009372088063741114,0.0069384255825827
50-64,PreOmicron,2,0.055257923586556325,0.06622368890649558,0.009894476881269683,0.0490157611535436,0.009336314453760493
50-64,Omicron,0,0.014929575577723696,4.6405707463567e-06,1.2783545888558083e-08,7.002974882296852e-09,0.0
50-64,Omicron,1,0.020616979228404077,5.967396503014011e-06,1.6016553007929873e-08,7.98438165726794e-09,0.0
50-64,Omicron,2,0.1474756570747923,3.4527963976111056e-05,6.282315392600985e-08,2.85647191894217e-08,0.0
50-64,Both,0,0.014224739262989925,4.421485966210384e-06,1.2180025224061397e-08,6.672359254108723e-09,0.0
50-64,Both,1,0.019643636377186427,5.685671296705042e-06,1.5260399684074403e-08,7.607433088741068e-09,0.0
50-64,Both,2,0.14051322213453618,3.28978732372628e-05,5.985722632393985e-08,2.7216157651281397e-08,0.0
65+,None,0,0.0,0.0,0.0,0.0,0.0031062713105775327
65+,None,1,1.333237220241563e-05,0.003942223524202273,0.001233198788303099,1.426397372360738e-05,0.04435926421540491
65+,None,2,0.07078995658311121,0.21119645996366287,0.025885642153789124,0.07350862330021894,0.056832188395987436
65+,PreOmicron,0,7.43134440476572e-05,0.0002087008758974035,2.3519883903148672e-05,6.776602470419057e-05,0.0008277567704477834
65+,PreOmicron,1,0.0011905526151078244,0.0044954157710096485,0.0007008475216500789,0.0009718483694647092,0.011820822334915916
65+,PreOmicron,2,0.03618422657880091,0.08717205203150924,0.00864561011833328,0.022432019718028426,0.015144597499886779
65+,Omicron,0,0.0011991852326087371,3.2520812616306614e-07,6.414970277784777e-10,1.5427850295769243e-10,0.0
65+,Omicron,1,0.01913366738465495,5.188490270028469e-06,9.479801640430634e-09,2.2038903931726717e-09,0.0
65+,Omicron,2,0.1691808049513974,3.8521098230625415e-05,3.354903468021697e-08,6.473608803682529e-09,0.0
65+,Both,0,0.0008198838977058661,2.2234505462025735e-07,4.385920283204082e-10,1.0548033522895239e-10,0.0
65+,Both,1,0.013081703615221957,3.547374926011834e-06,6.481347924479186e-09,1.5068016154102173e-09,0.0
65+,Both,2,0.11566905095955643,2.633690551086061e-05,2.2937501705260037e-08,4.4260114900180564e-09,0.0
