age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.20763522969591353,0.0,0.0,0.0,0.0,0.20763522969591353
0-17,None,1,0.020237837845672096,0.0009690779800385469,0.008092273173733764,0.00193589528189764,0.009088068587045351,0.00015252282295678783
0-17,None,2,0.09686237712573312,0.03747340297002009,0.012467414969847561,0.01570352920494194,0.031039338954801696,0.00017869102612185663
0-17,PreOmicron,0,0.21702135544821205,0.011090847590672519,0.029811124036712617,0.03560962028563465,0.015916415428272823,0.12459334810691944
0-17,PreOmicron,1,0.02115268688767859,0.002042126937297555,0.009630492659575801,0.0032268254115429547,0.006161719216163465,9.152266309881956e-05
0-17,PreOmicron,2,0.10124102931158899,0.04233964910296356,0.019101794638153573,0.01867389309006693,0.0210184673565481,0.00010722512385681766
0-17,Omicron,0,0.08300847098200141,0.08298000877821862,2.6714170272185225e-05,4.642695221497188e-07,1.2837639884418566e-06,0.0
0-17,Omicron,1,0.008090688550354344,0.008088047228981569,2.547229087489196e-06,3.6959695111926014e-08,5.7132590174794316e-08,0.0
0-17,Omicron,2,0.03872366858294923,0.03871552766636516,7.74589470871245e-06,2.0200750714567426e-07,1.9301436821824944e-07,0.0
0-17,Both,0,0.1317330542607121,0.13168788521963787,4.239494114713579e-05,7.367879618720475e-07,2.0373119652333797e-06,0.0
0-17,Both,1,0.012839787327746937,0.012835595594932159,4.042409932709591e-06,5.865441760389037e-08,9.066846446530871e-08,0.0
0-17,Both,2,0.061453813981437705,0.061440894483061025,1.2292605271356339e-05,3.205825331448682e-07,3.063105721716627e-07,0.0
18-49,None,0,0.08295747008304431,0.0,0.0,0.0,0.0,0.08295747008304431
18-49,None,1,0.05126054228863456,0.005471943726841694,0.0021465843795316422,0.00589583206783465,0.023629138378128012,0.014117043736298561
18-49,None,2,0.2818151176531032,0.06748372967834487,0.053457944762950356,0.024805302731801725,0.11406745532689593,0.022000685153110367
18-49,PreOmicron,0,0.05425162881095974,0.0029425287917194958,0.007001897040308823,0.008548249124545703,0.0019612385234535636,0.03379771533093216
18-49,PreOmicron,1,0.03352281488463459,0.005202619235031984,0.005011196727056247,0.0070384450705805015,0.010519126945671416,0.0057514269062944505
18-49,PreOmicron,2,0.18429840183081964,0.05173468440005911,0.04664195179386426,0.027269369998434045,0.049689093199924414,0.00896330243853794
