age,type,dose,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.0,0.0,0.0,0.0,0.2719058099365898
0-17,None,1,0.0012690425099825034,0.010597123112270783,0.0025351245804851995,0.011901153063181168,0.00019973412879219468
0-17,None,2,0.04907277055327214,0.016326528836925414,0.020564336955660012,0.040647132043834466,0.00023400233311669075
0-17,PreOmicron,0,0.005445083131338324,0.07210473692828576,0.0428542992554759,0.01722694264908513,0.1640057641077157
0-17,PreOmicron,1,0.001913112750677803,0.015424849304579814,0.003996470389301562,0.007945100518642403,0.00012047388181441234
0-17,PreOmicron,2,0.055995970685613315,0.03407905325896386,0.02339094213175468,0.027107257872483293,0.00014114347705457647
0-17,Omicron,0,0.02157131819369391,8.9777682452529e-06,0.0,0.0,0.0
0-17,Omicron,1,0.0021025600545641994,8.331459969506945e-07,0.0,0.0,0.0
0-17,Omicron,2,0.010064696576609527,2.567870813995104e-06,0.0,0.0,0.0
0-17,Both,0,0.04425675919307963,1.841922332950371e-05,0.0,0.0,0.0
0-17,Both,1,0.004313713848560206,1.7093226027561132e-06,0.0,0.0,0.0
0-17,Both,2,0.020649218037710672,5.268367896364417e-06,0.0,0.0,0.0
18-49,None,0,0.0,0.0,0.0,0.0,0.10188955780390342
18-49,None,1,0.006720719979739329,0.002636465805915995,0.007241345736271778,0.029021647577061178,0.01733875614034444
18-49,None,2,0.08288448730417675,0.06565781656009999,0.030466229551180734,0.1400992890867994,0.02702155790659157
18-49,PreOmicron,0,0.0012411362445183141,0.019665606075943462,0.010693339267019056,0.0026138850989541333,0.0460535174974255
18-49,PreOmicron,1,0.00597955850526073,0.012390486140647158,0.009084337987628217,0.014306958969811918,0.007837022031538882
18-49,PreOmicron,2,0.06850213311578976,0.08906081511221509,0.035288973481960195,0.06761144028394718,0.012213594961850295
18-49,Omicron,0,0.00689644948571584,2.6768372880569177e-06,0.0,0.0,0.0
18-49,Omicron,1,0.004261585938590879,1.4774875351837458e-06,0.0,0.0,0.0
18-49,Omicron,2,0.023430130694968087,6.915956462480071e-06,0.0,0.0,0.0
18-49,Both,0,0.010340933075698064,4.013803814218243e-06,0.0,0.0,0.0
18-49,Both,1,0.006390067103163871,2.2154298024162658e-06,0.0,0.0,0.0
18-49,Both,2,0.035132485777407914,1.0370182958793107e-05,0.0,0.0,0.0
50-64,None,0,0.0,0.0,0.0,0.0,0.04478512070414973
50-64,None,1,0.004268469428357052,0.0032520650331573993,0.0032627203821902523,0.027300697936003815,0.02376067273557905
50-64,None,2,0.10967192400017468,0.12583644988196915,0.02417289082822233,0.1507035960504502,0.03197225503853923
50-64,PreOmicron,0,0.00046590093381760467,0.007615952870000568,0.004012193860693372,0.0008937435645753498,0.01721028061807087
50-64,PreOmicron,1,0.003477144393339157,0.011397103826740234,0.006185696252648752,0.011510261351962207,0.009130886308308413
50-64,PreOmicron,2,0.07741140199223784,0.11871668583415072,0.028302789690003896,0.061558761060552455,0.012286479807450974
50-64,Omicron,0,0.0028726234785452563,1.0923531563984195e-06,0.0,0.0,0.0
50-64,Omicron,1,0.003966964544468566,1.4043390940111717e-06,0.0,0.0,0.0
50-64,Omicron,2,0.028376505795626606,8.114519144640281e-06,0.0,0.0,0.0
50-64,Both,0,0.003719441314391183,1.4143668636557396e-06,0.0,0.0,0.0
50-64,Both,1,0.005136382101455741,1.818322827440312e-06,0.0,0.0,0.0
50-64,Both,2,0.036741587890858574,1.0506590222634282e-05,0.0,0.0,0.0
65+,None,0,0.0,0.0,0.0,0.0,0.004112792219771346
65+,None,1,1.765244281092621e-05,0.005219616903303965,0.0016327905307863915,1.8885909918334862e-05,0.05873293685540248
65+,None,2,0.09372793087376527,0.27963016444313993,0.0342733319177117,0.09732752350567636,0.07524744585949854
65+,PreOmicron,0,2.6727865234800064e-05,0.00048294255110217625,0.00023579459284828652,3.995739567472811e-05,0.0010283170299421058
65+,PreOmicron,1,0.0004341279257109407,0.009358560542500134,0.0038860785614338285,0.0005755191133317198,0.01468493324233203
65+,PreOmicron,2,0.04449545842845531,0.1457885916264305,0.02076132962425066,0.026011330142859373,0.01881403822565848
65+,Omicron,0,0.00021544655065950437,7.72792571052616e-08,0.0,0.0,0.0
65+,Omicron,1,0.00343756962952124,1.2327017514769873e-06,0.0,0.0,0.0
65+,Omicron,2,0.03039558124086888,9.140917512994341e-06,0.0,0.0,0.0
65+,Both,0,0.00018582419451766227,6.66539132817398e-08,0.0,0.0,0.0
65+,Both,1,0.0029649284499973657,1.063214098102422e-06,0.0,0.0,0.0
65+,Both,2,0.026216406731464442,7.884106887787078e-06,0.0,0.0,0.0
