age,type,dose,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.0,0.0,0.0,0.0,0.24027140879696446
0-17,None,1,0.001121398000902739,0.009364219543429251,0.0022401799894273783,0.010516534433249899,0.0001764964144051451
0-17,None,2,0.043363485749549,0.014427047679956367,0.018171815499139904,0.03591811326873052,0.00020677774503176545
0-17,PreOmicron,0,0.012849629785057185,0.020778494193352332,0.018917040661761343,0.042223009801665407,0.09689541826144472
0-17,PreOmicron,1,0.002086993611772975,0.008087461850771534,0.0023153333007252933,0.006120145364874811,7.117656645482598e-05
0-17,PreOmicron,2,0.038266210348327355,0.01543238701777032,0.01479646467300529,0.020833116435936973,8.338826576299831e-05
0-17,Omicron,0,0.09079418035103538,4.613294884065001e-05,0.0,0.0,0.0
0-17,Omicron,1,0.008849763156237653,4.28118443293989e-06,0.0,0.0,0.0
0-17,Omicron,2,0.04236404828529462,1.3195200594988995e-05,0.0,0.0,0.0
0-17,Both,0,0.1165635690906058,5.922649611186416e-05,0.0,0.0,0.0
0-17,Both,1,0.011361520915870478,5.496278897052939e-06,0.0,0.0,0.0
0-17,Both,2,0.05438789854337162,1.6940289237391223e-05,0.0,0.0,0.0
18-49,None,0,0.0,0.0,0.0,0.0,0.09734604080147129
18-49,None,1,0.006421025819172846,0.0025188990260251185,0.006918435536420269,0.02772749779324576,0.016565576483639124
18-49,None,2,0.0791884551942997,0.06272996593130907,0.029107662147912567,0.1338519020560339,0.025816597256776073
18-49,PreOmicron,0,0.003537651026560994,0.0037122569830149014,0.0031156216952911804,0.007696283554998031,0.021702802943677213
18-49,PreOmicron,1,0.004575523150744421,0.002890331747432195,0.0037284657167915673,0.009683562599202344,0.0036932107265260153
18-49,PreOmicron,2,0.0414874544979594,0.03054363475367083,0.014832588665893561,0.042465163096888935,0.005755678590799146
18-49,Omicron,0,0.03619429220480578,1.1623156086080012e-05,0.0,0.0,0.0
18-49,Omicron,1,0.022365709146751095,6.415432239119778e-06,0.0,0.0,0.0
18-49,Omicron,2,0.12296521434151614,3.0029931892606823e-05,0.0,0.0,0.0
18-49,Both,0,0.02607616892442867,8.373899945897559e-06,0.0,0.0,0.0
18-49,Both,1,0.016113369658542005,4.621996580121015e-06,0.0,0.0,0.0
18-49,Both,2,0.08859025845440371,2.1635057052358377e-05,0.0,0.0,0.0
50-64,None,0,0.0,0.0,0.0,0.0,0.04547203354313568
50-64,None,1,0.0043339390845075106,0.003301945109159653,0.0033127638896165916,0.027719435222644206,0.024125113221802864
50-64,None,2,0.11135406868321958,0.12776652557847878,0.024543653903195402,0.15301508328953256,0.032462644527994626
50-64,PreOmicron,0,0.0013079003167149983,0.0012161087058012877,0.0009924088596361908,0.0024530636428614612,0.006724303069312973
50-64,PreOmicron,1,0.00289129296106518,0.0023019171228108636,0.0018723828218313472,0.006895927799653616,0.003567568024662946
50-64,PreOmicron,2,0.04080084676102782,0.037608692030054326,0.009537140929657443,0.03263343090818777,0.004800503589322369
50-64,Omicron,0,0.015464884685907829,4.20148944327561e-06,0.0,0.0,0.0
50-64,Omicron,1,0.02135615402902542,5.401472814635338e-06,0.0,0.0,0.0
50-64,Omicron,2,0.1527619544994282,3.1210663258274184e-05,0.0,0.0,0.0
50-64,Both,0,0.007940702426769511,2.1573246807760883e-06,0.0,0.0,0.0
50-64,Both,1,0.010965672720422915,2.7734761143346053e-06,0.0,0.0,0.0
50-64,Both,2,0.07843816798175207,1.6025634494507414e-05,0.0,0.0,0.0
65+,None,0,0.0,0.0,0.0,0.0,0.004243438270079899
65+,None,1,1.821318641485991e-05,0.005385422102327205,0.0016846573945688524,1.9485835566280853e-05,0.06059863437016936
65+,None,2,0.09670527164808981,0.28851283455616034,0.035362051018189844,0.10041920814542114,0.07763773962393687
65+,PreOmicron,0,8.078022717508675e-05,6.396202305661678e-05,5.054335154435475e-05,0.00012957330640063077,0.0003529594055412137
65+,PreOmicron,1,0.0012914558976844003,0.0016968112521700922,0.0009336517322924393,0.0018525939277155975,0.00504045460369137
65+,PreOmicron,2,0.025002077307950295,0.043809724514767806,0.006563134912546257,0.013789603556765232,0.0064577280688738106
65+,Omicron,0,0.001075639480954534,2.3815135683510894e-07,0.0,0.0,0.0
65+,Omicron,1,0.017162425966760028,3.7988149172732153e-06,0.0,0.0,0.0
65+,Omicron,2,0.15174975913412653,2.8169550148136656e-05,0.0,0.0,0.0
65+,Both,0,0.00033073888975318076,7.322705864511387e-08,0.0,0.0,0.0
65+,Both,1,0.005277122874552894,1.1680640682710973e-06,0.0,0.0,0.0
65+,Both,2,0.04666019400086993,8.661606333539808e-06,0.0,0.0,0.0
