age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.21717644414785348,0.0,0.0,0.0,0.0,0.21717644414785348
0-17,None,1,0.021167803108368285,0.001013608866448054,0.008464127766364075,0.002024853172464357,0.009505681780480444,0.00015953152261135635
0-17,None,2,0.10131337859516001,0.03919537363224616,0.013040315243384256,0.016425134782261774,0.03246565273521336,0.00018690220205458622
0-17,PreOmicron,0,0.23591609962003418,0.010258666129516711,0.04613398012947327,0.02636918064896761,0.02282782209145672,0.13032645062061984
0-17,PreOmicron,1,0.022994324114871734,0.00205308546191336,0.01127793878659137,0.0028473271679911685,0.006720238664302189,9.573403407363375e-05
0-17,PreOmicron,2,0.11005547683258837,0.04551169249868822,0.023974944669900862,0.017542040771372707,0.0229146398566754,0.00011215903595128871
0-17,Omicron,0,0.0687518496650096,0.06872090932286255,2.879046592660573e-05,4.082598051901762e-07,1.741616415259708e-06,0.0
0-17,Omicron,1,0.006701120937656919,0.006698249642531012,2.755572649511344e-06,3.821363692636649e-08,7.750883946783483e-08,0.0
0-17,Omicron,2,0.03207291749139493,0.03206406776400122,8.363896812518893e-06,2.2397793920321992e-07,2.618526419937119e-07,0.0
0-17,Both,0,0.11755371695394178,0.11750081434490746,4.922669424893708e-05,6.980533297189611e-07,2.97786145564568e-06,0.0
0-17,Both,1,0.011457752450555024,0.011452843034791426,4.711550436315595e-06,6.533867933605594e-08,1.3252664794657202e-07,0.0
0-17,Both,2,0.054839116082565705,0.054823984586406256,1.4300810281053629e-05,3.8296335876505905e-07,4.477225196202486e-07,0.0
18-49,None,0,0.08884639335757662,0.0,0.0,0.0,0.0,0.08884639335757662
18-49,None,1,0.05489938759390366,0.0058603820041622495,0.0022989645172180628,0.0063143610158877825,0.025306506104178565,0.015119173952457009
18-49,None,2,0.3018203999236581,0.07227421456122789,0.05725277764307625,0.02656616313946478,0.12216479112882889,0.023562453451060048
18-49,PreOmicron,0,0.056133060853790384,0.0026999414904024174,0.011538810963653143,0.005748134117863444,0.0034831702350919414,0.03266300404677945
18-49,PreOmicron,1,0.03468537717948481,0.00519282334454573,0.007452923172299701,0.005592889027226554,0.010888410888034758,0.005558330747378076
18-49,PreOmicron,2,0.19068982133741583,0.05263842433228184,0.05680878393489487,0.021955092427710262,0.05062514861661494,0.008662372025914038
18-49,Omicron,0,0.02604417332977383,0.02603517731629636,8.73604420255173e-06,1.1394184260967855e-07,1.4602743230746284e-07,0.0
18-49,Omicron,1,0.01609304679864229,0.01608808142482648,4.828609968366034e-06,7.032042712328085e-08,6.644342032202591e-08,0.0
18-49,Omicron,2,0.08847475415728925,0.08845151178920674,2.273822840296431e-05,2.646232001780642e-07,2.395164793870401e-07,0.0
18-49,Both,0,0.028377487649139214,0.028367685677000726,9.518712048227595e-06,1.2414996592270016e-07,1.5911012433645657e-07,0.0
18-49,Both,1,0.0175348332612812,0.017529423036416417,5.261208255866245e-06,7.662047963303216e-08,7.239612928698118e-08,0.0
18-49,Both,2,0.0964012645580449,0.09637593989118574,2.477536097990748e-05,2.883309636917517e-07,2.6097491556012714e-07,0.0
50-64,None,0,0.04124710780846528,0.0,0.0,0.0,0.0,0.04124710780846528
50-64,None,1,0.05695891617339915,0.003931261452919737,0.002995152740770761,0.003004966319999413,0.025143949894687996,0.021883585765021273
50-64,None,2,0.40741101862269036,0.10100787050860528,0.11589540304700313,0.022263238735483897,0.13879805113130697,0.02944645520029113
50-64,PreOmicron,0,0.019747814233007224,0.000997448794858333,0.004174769321222188,0.0019468378749562347,0.001009708280782171,0.0116190499611883
50-64,PreOmicron,1,0.02727013250792987,0.0031644931754938373,0.006425525978502843,0.0032815431239927237,0.008234102226160887,0.0061644680037795775
50-64,PreOmicron,2,0.19505554546032766,0.05576890686213596,0.07196642884825293,0.015808253908871136,0.04321707524626736,0.008294880594800326
50-64,Omicron,0,0.011074517230357055,0.011071055192269893,3.39071618424204e-06,4.241132249495615e-08,2.891058042540505e-08,0.0
50-64,Omicron,1,0.015293011609781583,0.01528856078231587,4.364314412105086e-06,5.355090367590839e-08,3.296214993332441e-08,0.0
50-64,Omicron,2,0.10938658697054914,0.10936086930390149,2.5388252644546734e-05,2.1148946026292718e-07,1.1792454283143622e-07,0.0
50-64,Both,0,0.009508324792434427,0.00950535236646842,2.9111906269252144e-06,3.641338225140149e-08,2.4821956831583293e-08,0.0
50-64,Both,1,0.013130226665021455,0.01312640528732536,3.747099585781198e-06,4.597756944954348e-08,2.8300540863654786e-08,0.0
50-64,Both,2,0.09391679792603687,0.09389471733125311,2.1797767526607545e-05,1.8157996746299104e-07,1.0124728969377295e-07,0.0
65+,None,0,0.003992941334693618,0.0,0.0,0.0,0.0,0.003992941334693618
65+,None,1,0.06370959524843436,1.713803294492254e-05,0.0050675120382392205,0.0015852093791491808,1.8335555585254428e-05,0.05702140024251574
65+,None,2,0.5632986010087684,0.09099660508061605,0.2714814613450767,0.03327457269395281,0.09449130197751293,0.07305465991161013
65+,PreOmicron,0,0.0010819015465221276,6.0851074896343593e-05,0.00024476337962371804,0.00010640845334900561,4.749233285866593e-05,0.000622386305794394
65+,PreOmicron,1,0.01726233967644025,0.0009752951076097344,0.0048894846259870004,0.0018282481591796536,0.0006812927336954999,0.008888019049968372
65+,PreOmicron,2,0.15262774393651335,0.03185357390247201,0.08173167585781323,0.010934026894998942,0.016721317786096018,0.011387149495133184
65+,Omicron,0,0.0008274136642086226,0.0008271915444066591,2.186565866871544e-07,2.590703402292875e-09,8.725118740727449e-10,0.0
65+,Omicron,1,0.013201844262457749,0.0131983011710879,3.4922439396747338e-06,3.838347375767154e-08,1.246395641864197e-08,0.0
65+,Omicron,2,0.11672622271071226,0.11669994944070675,2.6099091452681388e-05,1.3756748620424375e-07,3.6611066616739165e-08,0.0
65+,Both,0,0.00042568978749662995,0.0004255755107625285,1.1249497071168043e-07,1.3328713659130278e-09,4.4889202381925387e-10,0.0
65+,Both,1,0.00679211683556661,0.006790293977330693,1.7966981267929608e-06,1.9747622614999357e-08,6.412486509143715e-09,0.0
65+,Both,2,0.06005358998818621,0.060040072852551064,1.3427523831109672e-05,7.077605374663553e-08,1.8835750293066353e-08,0.0
