age,type,dose,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.0,0.0,0.0,0.0,0.17813437418361874
0-17,None,1,0.0008313911842518586,0.006942521361317532,0.001660842887938124,0.00779683396050873,0.00013085234936246974
0-17,None,2,0.03214917428208699,0.010696042124420775,0.013472368593197202,0.026629263386008316,0.00015330256891888159
0-17,PreOmicron,0,0.02061466822941843,0.052077165287662944,0.03374975975068035,0.031384033794939196,0.1571464808172772
0-17,PreOmicron,1,0.003289759966527754,0.013495855678209542,0.0035744371296082865,0.008274920549336678,0.00011543525107506153
0-17,PreOmicron,2,0.05913203014820487,0.028242171870610202,0.02188542762488346,0.02821038896025903,0.0001352403729839233
0-17,Omicron,0,0.04770407212247335,1.4464967957607507e-05,0.0,5.159220269686494e-07,0.0
0-17,Omicron,1,0.0046497012826646955,1.3624709854493793e-06,4.81021943770524e-09,2.2960576861736784e-08,0.0
0-17,Omicron,2,0.02225677798539011,4.168328387564119e-06,3.9019373686441823e-08,7.756905862899019e-08,0.0
0-17,Both,0,0.11853535070983788,3.594263494863832e-05,0.0,1.2819659975494885e-06,0.0
0-17,Both,1,0.011553604288154563,3.3854756817738754e-06,1.195246071605401e-08,5.7052572447457745e-08,0.0
0-17,Both,2,0.05530376898215267,1.0357486170680981e-05,9.695556246280457e-08,1.9274403965374943e-07,0.0
18-49,None,0,0.0,0.0,0.0,0.0,0.07673886365560087
18-49,None,1,0.005061759274540013,0.001985673452447651,0.005453872360583923,0.021857865560308436,0.013058810658226557
18-49,None,2,0.06242505618329347,0.04945066345883125,0.022945863011084013,0.10551680147802765,0.02035148343608192
18-49,PreOmicron,0,0.005729076855486713,0.012338653289651197,0.0066674410810612286,0.0036004587864348504,0.044793132952053914
18-49,PreOmicron,1,0.007985813397620266,0.008235096785864262,0.006946945798752556,0.014396855506401622,0.0076225397946317825
18-49,PreOmicron,2,0.07429014722486009,0.06735994155529211,0.027399966455090793,0.06749659094352806,0.011879335448791287
18-49,Omicron,0,0.019115107728966973,4.6665514108050125e-06,0.0,0.0,0.0
18-49,Omicron,1,0.011811791297617119,2.5757155926213795e-06,0.0,0.0,0.0
18-49,Omicron,2,0.0649397967957753,1.205664107080615e-05,0.0,0.0,0.0
18-49,Both,0,0.030406291233292568,7.423056320893553e-06,0.0,0.0,0.0
18-49,Both,1,0.018788948054839254,4.097175885893421e-06,0.0,0.0,0.0
18-49,Both,2,0.10329935891550918,1.9178429171951095e-05,0.0,0.0,0.0
50-64,None,0,0.0,0.0,0.0,0.0,0.036821621689804886
50-64,None,1,0.0035094684130414283,0.002673796709237607,0.002682557369583984,0.02244620435228668,0.019535651323670224
50-64,None,2,0.09017053056983912,0.10346074945182912,0.01987457055448515,0.1239061258251488,0.026287085109719627
50-64,PreOmicron,0,0.0022025306760202965,0.004416664022879481,0.002248371752099907,0.0010213719229021558,0.01534910512361205
50-64,PreOmicron,1,0.005237031036242095,0.007030108200005004,0.003919896567195804,0.01052121609829434,0.008143442685694318
50-64,PreOmicron,2,0.07816556199308108,0.08512399858102256,0.019220549352133593,0.055816424836556286,0.010957780082079852
50-64,Omicron,0,0.008878758663650186,1.9456133381777413e-06,0.0,0.0,0.0
50-64,Omicron,1,0.01226103225248724,2.5012980981729436e-06,0.0,0.0,0.0
50-64,Omicron,2,0.08770313424934124,1.445294187894711e-05,0.0,0.0,0.0
50-64,Both,0,0.010635064125236413,2.330474720429994e-06,0.0,0.0,0.0
50-64,Both,1,0.014686384570924424,2.996079370791783e-06,0.0,0.0,0.0
50-64,Both,2,0.10505167355708978,1.7311875398776275e-05,0.0,0.0,0.0
65+,None,0,0.0,0.0,0.0,0.0,0.0036924753498350556
65+,None,1,1.584840820072886e-05,0.004686185375079268,0.0014659235050556562,1.6955818117292064e-05,0.05273058058207704
65+,None,2,0.0841491755111478,0.2510526751905841,0.030770684853586246,0.08738089896143161,0.06755734890728166
65+,PreOmicron,0,0.00014422234876477845,0.00026798080680052837,0.00012883610471356213,5.656705552289953e-05,0.0007726371814428951
65+,PreOmicron,1,0.002306409807827301,0.005490498156286122,0.0022207869252433877,0.0008116163905871524,0.011033684262402295
65+,PreOmicron,2,0.04828621144189682,0.09683539764268614,0.013389716402465762,0.02065772272758018,0.014136132187804042
65+,Omicron,0,0.0007469553718679151,1.4220861983174323e-07,0.0,0.0,0.0
65+,Omicron,1,0.011918088160735816,2.268407090183835e-06,0.0,0.0,0.0
65+,Omicron,2,0.10537892275922583,1.6821037264218618e-05,0.0,0.0,0.0
65+,Both,0,0.0005180312803001803,9.862505335082647e-08,0.0,0.0,0.0
65+,Both,1,0.00826547703003619,1.5731941604909346e-06,0.0,0.0,0.0
65+,Both,2,0.07308278423261501,1.1665788610863727e-05,0.0,0.0,0.0
