age,type,dose,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.0,0.0,0.0,0.0,0.14919458075367112
0-17,None,1,0.0006963229850792079,0.00581463610615376,0.0013910215785091923,0.006530156682421244,0.00010959401571559138
0-17,None,2,0.026926204448606418,0.008958358137164708,0.011283641314219875,0.02230306084865652,0.00012839696214239502
0-17,PreOmicron,0,0.00706013200028749,0.01788257338404863,0.03984695580576506,0.0037190090584480343,0.1421178525555386
0-17,PreOmicron,1,0.0016382263929531887,0.008896270587242707,0.0035045780268927523,0.0063859232201077904,0.00010439565624808755
0-17,PreOmicron,2,0.04003264077240687,0.01626421921966751,0.020034339629268365,0.02180431682964514,0.0001223067248297686
0-17,Omicron,0,0.10104266509964636,1.1321816339276761e-05,6.74845908620513e-07,1.2848513909008553e-07,0.0
0-17,Omicron,1,0.009848506079576809,1.0819846656097957e-06,3.752320886368339e-08,5.718098389794311e-09,0.0
0-17,Omicron,2,0.04713885556675276,3.2865642333355823e-06,1.622195444679956e-07,1.9317785956129397e-08,0.0
0-17,Both,0,0.1785007964377605,2.0000989004891412e-05,1.1921749296965774e-06,2.2698035167004884e-07,0.0
0-17,Both,1,0.017398256243468184,1.9114215203481248e-06,6.6288064160447e-08,1.01015260799107e-08,0.0
0-17,Both,2,0.08327495373891694,5.80600613231759e-06,2.865751596788522e-07,3.412657588933047e-08,0.0
18-49,None,0,0.0,0.0,0.0,0.0,0.05713305300034207
18-49,None,1,0.003768543696517984,0.0014783589591476013,0.004060476840428162,0.01627345691664158,0.009722449433266214
18-49,None,2,0.0464762425917044,0.03681664337610084,0.017083484757272255,0.0785585910983284,0.015151936403535576
18-49,PreOmicron,0,0.002115744151335253,0.0048792785134076765,0.010529598451388669,0.0008238468594303609,0.0324589077706944
18-49,PreOmicron,1,0.004519087433858376,0.0038268071285094993,0.00790480250116998,0.009620268025389171,0.005523599263245017
18-49,PreOmicron,2,0.04679676932282787,0.040839009237734175,0.030371243968011264,0.04598265012756421,0.008608244797750339
18-49,Omicron,0,0.040947720158967395,3.8076644275501333e-06,2.205023360714745e-07,2.1619769320399662e-08,0.0
18-49,Omicron,1,0.025302416996741996,2.10791569807318e-06,1.1753772864035733e-07,9.83713400641051e-09,0.0
18-49,Omicron,2,0.13910694066939774,9.993619031594726e-06,4.3406886597436776e-07,3.5461083927567065e-08,0.0
18-49,Both,0,0.05050392159002224,4.696280646237527e-06,2.719622154331757e-07,2.6665297367299568e-08,0.0
18-49,Both,1,0.03120738539485341,2.599851926323938e-06,1.4496817424942598e-07,1.2132881698946002e-08,0.0
18-49,Both,2,0.17157111548386395,1.232588652097846e-05,5.353699763193894e-07,4.373683797833714e-08,0.0
50-64,None,0,0.0,0.0,0.0,0.0,0.026190746211445987
50-64,None,1,0.002496239772310288,0.001901837230923239,0.001908068576020137,0.015965696637521176,0.01389545767983411
50-64,None,2,0.0641371393634184,0.07359030122481316,0.014136526572324244,0.08813283463907,0.018697665750500393
50-64,PreOmicron,0,0.0007600569539719225,0.0015269165833575703,0.0037791001612823534,0.0001430939432749245,0.0127553357359146
50-64,PreOmicron,1,0.002784642728391887,0.0031740541709779128,0.005523712938267207,0.007938711234599731,0.006767322568038106
50-64,PreOmicron,2,0.052087238573537864,0.058202895143246086,0.02441646755078671,0.043505850636817306,0.009106079002106325
50-64,Omicron,0,0.017629702691478268,1.1878310665713349e-06,8.507267227747624e-08,0.0,0.0
50-64,Omicron,1,0.024345313289509528,1.5332638982983584e-06,1.031926568986828e-07,0.0,0.0
50-64,Omicron,2,0.17413739014623106,9.062810212121898e-06,3.929245909233574e-07,0.0,0.0
50-64,Both,0,0.018790182186860446,1.2660203373070395e-06,9.06726017557595e-08,0.0,0.0
50-64,Both,1,0.025947849496475016,1.634191369743753e-06,1.0998533880039253e-07,0.0,0.0
50-64,Both,2,0.18560002648108812,9.659371912892463e-06,4.187889483080342e-07,0.0,0.0
65+,None,0,0.0,0.0,0.0,0.0,0.002619741923324489
65+,None,1,1.1244148016658705e-05,0.003324760526326506,0.001040045199693108,1.2029834557492487e-05,0.03741135674697956
65+,None,2,0.059702259870087336,0.17811715877505258,0.02183122309102121,0.061995106972689534,0.0479306704563299
65+,PreOmicron,0,4.9894677577597146e-05,8.204136437319596e-05,0.00023006076282657977,3.2291148225554015e-06,0.000782800063096744
65+,PreOmicron,1,0.0008008105444028975,0.0025982009820086005,0.0036898414472692734,4.972297706562155e-05,0.011178815806751908
65+,PreOmicron,2,0.03206453890604181,0.07878850595183923,0.018120904950189958,0.018660134485748266,0.014322071774868099
65+,Omicron,0,0.00148243467260716,6.578294067870194e-08,5.836637510579917e-09,0.0,0.0
65+,Omicron,1,0.02365306832355779,1.056728364344669e-06,8.569436047161085e-08,0.0,0.0
65+,Omicron,2,0.20913402534852224,8.177919564599227e-06,2.9354717908276736e-07,0.0,0.0
65+,Both,0,0.0010776200725923074,4.7819319541984e-08,4.2428026368166695e-09,0.0,0.0
65+,Both,1,0.01719402660694354,7.681631560146442e-07,6.229344514032422e-08,0.0,0.0
65+,Both,2,0.15202492746695045,5.944741065289966e-06,2.133870303209412e-07,0.0,0.0
