age,type,dose,percent,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.20510917039259632,0.0,0.0,0.0,0.0,0.20510917039259632
0-17,None,1,0.019991627322323267,0.0009572883215557302,0.007993823782628839,0.0019123434680062932,0.008977504497140614,0.00015066725299179478
0-17,None,2,0.09568396386109485,0.03701750712643897,0.01231573825477843,0.015512482405701012,0.030661718976484793,0.00017651709769162107
0-17,PreOmicron,0,0.12663387100792492,0.007701695184623096,0.029834720429983273,0.02969827937655432,0.022230566014961782,0.03716861000180244
0-17,PreOmicron,1,0.01234277897340164,0.0013057524553453286,0.0062411326519531156,0.002152394896946711,0.00261619598530756,2.7302983848922366e-05
0-17,PreOmicron,2,0.059075031671768724,0.025057394459639084,0.013883329885428971,0.011203620273019056,0.008898699721519946,3.198733216165725e-05
0-17,Omicron,0,0.16109594914598913,0.16106230745263678,2.914808254591541e-05,7.21837469623703e-07,3.771773336806396e-06,0.0
0-17,Omicron,1,0.01570173665223311,0.015698614668976082,2.880103391793307e-06,7.402098912878863e-08,1.6785887610504214e-07,0.0
0-17,Omicron,2,0.07515168115959577,0.0751420587768239,8.606913355994364e-06,4.4838196503951353e-07,5.670874508247648e-07,0.0
0-17,Both,0,0.1465591198403287,0.1465285138754128,2.6517844462316636e-05,6.567009585073347e-07,3.431419495089943e-06,0.0
0-17,Both,1,0.014284857663493947,0.014282017398914161,2.620211249184485e-06,6.734155063448967e-08,1.5271177996566186e-07,0.0
0-17,Both,2,0.0683702123092497,0.06836145822227675,7.830250559890687e-06,4.0792128229690025e-07,5.159151307402224e-07,0.0
18-49,None,0,0.08044993253294443,0.0,0.0,0.0,0.0,0.08044993253294443
18-49,None,1,0.04971110093635415,0.00530654446438404,0.002081700036617798,0.0057176200239478486,0.022914905510366426,0.013690330901038114
18-49,None,2,0.2732967528935032,0.0654439135409935,0.05184208300016909,0.024055518197879447,0.11061956296481934,0.021335675189642064
18-49,PreOmicron,0,0.03153703671580614,0.0020435345548123485,0.00743648750833922,0.007388674599165593,0.005050907641634823,0.009617432411854166
18-49,PreOmicron,1,0.01948716134436722,0.003208143562373203,0.004675330430802203,0.004929498343003889,0.005037570704216876,0.001636618303971044
18-49,PreOmicron,2,0.1071345799672799,0.03093429025166622,0.0334267107890416,0.018714338052800813,0.021508655588772765,0.0025505852849985753
18-49,Omicron,0,0.05310038086666522,0.05309157530839028,7.742688881340423e-06,1.9649018737445542e-07,8.663792062146736e-07,0.0
18-49,Omicron,1,0.03281144321582481,0.0328065829642699,4.301100448906321e-06,1.649429983493853e-07,3.942081076628142e-07,0.0
18-49,Omicron,2,0.18038749333102483,0.18036474302867028,2.068915633768753e-05,6.400972864504978e-07,1.4210487304177016e-06,0.0
18-49,Both,0,0.03431376507486428,0.034308074873531116,5.003369146997309e-06,1.2697306533474875e-07,5.598591208309108e-07,0.0
18-49,Both,1,0.021202939336765796,0.021199798614847453,2.7793953255769433e-06,1.065870941738873e-07,2.5473949859068303e-07,0.0
18-49,Both,2,0.1165674137846002,0.11655271241113291,1.3369449306798034e-05,4.13634470296406e-07,9.18289690198778e-07,0.0
50-64,None,0,0.040457598908370446,0.0,0.0,0.0,0.0,0.040457598908370446
50-64,None,1,0.05586866830759788,0.003856013367160794,0.002937822666697143,0.0029474484046793543,0.02466267076312863,0.021464713105932044
50-64,None,2,0.3996127839757195,0.09907448373354999,0.11367705473005991,0.021837099157207985,0.13614132433259796,0.028882822022303748
50-64,PreOmicron,0,0.010181356198356506,0.0007184392815869996,0.0024380621159561778,0.002393785780907039,0.001522567303356883,0.003108501716549401
50-64,PreOmicron,1,0.014059628542360184,0.0018940169983660184,0.003644503509924311,0.0032410344713964295,0.0036308630475821294,0.0016492105150912838
50-64,PreOmicron,2,0.10056454670699504,0.030269496030856723,0.03784940009280337,0.013555794725810272,0.016670685559295597,0.0022191702982291036
50-64,Omicron,0,0.021338197202455958,0.021335266564508005,2.607384654927104e-06,6.62710071385174e-08,2.5698228588588766e-07,0.0
50-64,Omicron,1,0.02946632261806023,0.029462554963417962,3.3755502770776364e-06,9.910821938743863e-08,2.929961458032672e-07,0.0
50-64,Omicron,2,0.21076427220529254,0.21074250203179565,2.027716564223455e-05,4.447923524709784e-07,1.0482155021779084e-06,0.0
50-64,Both,0,0.009600611755081074,0.009599293184591446,1.1731303975965698e-06,2.981705549529191e-08,1.1562303653467467e-07,0.0
