age,type,dose,tslie_group_0,tslie_group_1,tslie_group_2,tslie_group_3,tslie_group_4
0-17,None,0,0.0,0.0,0.0,0.0,0.22160904282543872
0-17,None,1,0.0010342967515390709,0.008636881683996855,0.0020661806816690822,0.009699693947200598,0.0001627875811536854
0-17,None,2,0.0399953561626326,0.013306469725883112,0.016760373859412512,0.03312828081141052,0.00019071689962418462
0-17,PreOmicron,0,0.012049460601366338,0.047309641122722276,0.0390381430407777,0.011835204103530894,0.09156919111736249
0-17,PreOmicron,1,0.0020600535328732074,0.009941867997640337,0.003065420872650038,0.004534641718019082,6.726407433624747e-05
0-17,PreOmicron,2,0.03986702686035094,0.02208469773908654,0.016642380411674425,0.015468082762962928,7.880451090055034e-05
0-17,Omicron,0,0.08933713290059164,3.9340945504020156e-05,7.766723267064879e-07,1.0262099546359757e-07,0.0
0-17,Omicron,1,0.00870771972769327,3.6851487808084603e-06,4.276312568607558e-08,4.567041395410423e-09,0.0
0-17,Omicron,2,0.04168326473422285,1.1305311309478016e-05,1.8327423723140026e-07,1.5429102844187808e-08,0.0
0-17,Both,0,0.12655309929372016,5.572955411742484e-05,1.1002176462249096e-06,1.453707389846072e-07,0.0
0-17,Both,1,0.012335172212733439,5.220304082163983e-06,6.057734242581582e-08,6.469574570240968e-09,0.0
0-17,Both,2,0.059047634164243405,1.601486569181487e-05,2.59622421150843e-07,2.185654185282891e-08,0.0
18-49,None,0,0.0,0.0,0.0,0.0,0.07810406139664554
18-49,None,1,0.005151808853047286,0.002020998928778652,0.005550897699140284,0.022246720793048298,0.013291129172758528
18-49,None,2,0.06353560879804798,0.050330399368788664,0.023354073907842148,0.107393963741813,0.02071353986864183
18-49,PreOmicron,0,0.0034169600296976997,0.013085205310330233,0.010784447462588529,0.002746756574120075,0.027224954768152843
18-49,PreOmicron,1,0.005662806956930484,0.008277009246138044,0.007803555066490757,0.009004394621460016,0.0046329266887722795
18-49,PreOmicron,2,0.055406306986543336,0.0600706687083097,0.029875411668144322,0.041939892425623806,0.007220177490492501
18-49,Omicron,0,0.029117869077090134,1.1678287430094661e-05,2.2976679319932952e-07,1.7629086570760905e-08,0.0
18-49,Omicron,1,0.017993111583017824,6.452263679462347e-06,1.2212792616754493e-07,8.021347704369553e-09,0.0
18-49,Omicron,2,0.09892611818009,3.0331793228708763e-05,4.5084149684825967e-07,2.8915503638710543e-08,0.0
18-49,Both,0,0.03489464323591202,1.3995175004073931e-05,2.7535085946445287e-07,2.1126569558818317e-08,0.0
18-49,Both,1,0.021562814494806706,7.732346023082395e-06,1.4635722145310786e-07,9.612724944745483e-09,0.0
18-49,Both,2,0.11855234294338968,3.634940113986583e-05,5.402851818178698e-07,3.465212996143989e-08,0.0
50-64,None,0,0.0,0.0,0.0,0.0,0.03797109297116675
50-64,None,1,0.003619024509935294,0.0027572653993284436,0.002766299543758676,0.02314691404660402,0.020145501436965866
50-64,None,2,0.09298541026710916,0.10669051378010637,0.020495000808052877,0.12777413941837557,0.02710769669654454
50-64,PreOmicron,0,0.0012536663036486649,0.004604706922299605,0.0036982444789862975,0.0008200549903550817,0.009316880199050913
50-64,PreOmicron,1,0.003488717073627283,0.006924492412748713,0.00522445292526144,0.006614483989241048,0.0049430555918035714
50-64,PreOmicron,2,0.05753933472739955,0.073079800771212,0.022552495774635258,0.03469660389074518,0.0066513535121491925
50-64,Omicron,0,0.012564769897444502,4.552383058797449e-06,8.605246368470785e-08,3.641407042136493e-09,0.0
50-64,Omicron,1,0.017351372316043955,5.859097926628687e-06,1.0464642479240978e-07,4.151718959806555e-09,0.0
50-64,Omicron,2,0.12411766208568639,3.4069288311339336e-05,3.9941540640509215e-07,1.4853083348329294e-08,0.0
50-64,Both,0,0.011339516819415496,4.10845759094681e-06,7.766106082876605e-08,3.2863153673067245e-09,0.0
50-64,Both,1,0.01565935387784048,5.287748206126826e-06,9.444183249759127e-08,3.746864236947766e-09,0.0
50-64,Both,2,0.1120143327967687,3.074702290493376e-05,3.6046642762518e-07,1.3404685467643618e-08,0.0
65+,None,0,0.0,0.0,0.0,0.0,0.0035462611839871404
65+,None,1,1.5220844963186782e-05,0.004500622406959111,0.0014078760539066235,1.6284403803747766e-05,0.05064256180767172
65+,None,2,0.08081704723987798,0.2411115235215501,0.029552231216884998,0.08392080131900384,0.06488222166023963
65+,PreOmicron,0,8.153508776966347e-05,0.00028698885621839356,0.00022639266130290028,4.1384655897989115e-05,0.000584077257813425
65+,PreOmicron,1,0.0013058255905967337,0.005658938327843046,0.003572240174278618,0.000593867783365591,0.008340944756927142
65+,PreOmicron,2,0.03745596899579563,0.09186414317995627,0.01659835886086425,0.015558468637228743,0.010686249021722643
65+,Omicron,0,0.0009551415841354636,3.081668798027127e-07,5.6587425497764845e-09,0.0,0.0
65+,Omicron,1,0.015239815466320111,4.922832545088147e-06,8.30824807943928e-08,0.0,0.0
65+,Omicron,2,0.13475241183735362,3.683602231482498e-05,2.8460015028027156e-07,0.0,0.0
65+,Both,0,0.0006056522243500215,1.9540763309185796e-07,3.5881905564800237e-09,0.0,0.0
65+,Both,1,0.009663518256526437,3.121552375644926e-06,5.268233540809314e-08,0.0,0.0
65+,Both,2,0.08544607346322863,2.3357603963368707e-05,1.8046404525839436e-07,0.0,0.0
