"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location"
"0-17",1,-8.0195408940238,-0.0466931928172968,0.00050613468682128,-2.56557724572146e-06,1.18157085490896e-06,-8.66123179285043e-06,4.25622132016972e-05,0.000120914319367747,-0.000539929411745956,0.000599130700611216,-0.000214515416274543,1.91525501781346e-06,8.30972944615867e-06,-5.7638180641153e-05,-0.00029045699701075,0.00115900851060387,-0.00128682365976128,0.000499137977813872,-3.30793607316049e-05,1.49456670416874e-06,0,0,0,0,0,0,0,0,24.4242424242424,85.4848484848485,97.6969696969697,109.909090909091,122.121212121212,134.333333333333,146.545454545455,170.969696969697,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.58882302706204,-0.0235883550505463,0.00015294753716559,-3.19539737486073e-07,-5.14257977862894e-08,2.53050307608873e-05,-1.68594707916238e-05,-6.18174590992112e-05,5.74622778818818e-05,-6.13822567567804e-06,9.97158080030045e-06,-4.33563068844875e-05,0.000113492992812756,-0.000845076250401549,0.00196363114445517,-0.00178661061627187,0.000632942336918809,-4.45931971305983e-05,2.03245818001957e-06,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,317.515151515152,378.575757575758,390.787878787879,403,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.45496102431193,-0.049054749296292,0.00143591182397933,-1.22127107117979e-05,2.2906020642091e-06,1.05832159900748e-05,2.78276716651846e-05,-2.05135386495206e-05,-7.78399682438435e-05,7.60598819397439e-05,-7.22153848442806e-06,7.79559336989932e-06,-3.55541467057437e-05,9.58419800136393e-05,-0.000753042117460274,0.00174147734021818,-0.00157000619535089,0.000551977955992055,-3.92388359383656e-05,1.79130384225712e-06,0,0,0,0,0,0,0,0,24.4242424242424,48.8484848484849,183.181818181818,195.393939393939,207.606060606061,219.818181818182,293.090909090909,378.575757575758,390.787878787879,403,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-5.47271289471733,-2.75569363434376,0.245539475251947,-0.00700565064029454,0.00734888110034184,-0.000390553748600795,5.50092691871514e-05,-7.68634549381845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-6.55996576879535,-0.0918246636365545,0.00086811282961765,-3.20990635166232e-06,1.29827959918488e-06,2.19926638259639e-06,7.9937647788299e-06,-5.7553758778078e-05,-0.000303498411952177,0.00119324849700788,-0.00131849128048698,0.000510424909848877,-3.39495567226206e-05,1.53474693579927e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.27279173377718,-0.0249926991748651,1.41606889571898e-05,9.3054626548215e-07,-8.46472951690277e-07,-5.27573873041361e-06,6.00071246601056e-06,6.88550611379489e-06,-4.89261960872082e-05,-0.000259561030290537,0.000995307035331296,-0.00108400857512869,0.000416082400266022,-2.78438898952499e-05,1.2598310542479e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,195.393939393939,219.818181818182,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-8.96335481833577,-0.0849489031569701,0.00217865396160792,-1.04812720695578e-05,-1.29061762647848e-05,5.78674354838611e-06,1.92066797302813e-05,-2.33582882122954e-06,-1.92437299108133e-05,2.12439675393578e-05,6.92759405435256e-06,-4.55920607340365e-05,-0.0002139926757593,0.000812506025965418,-0.000862573052721415,0.000314234132495362,-1.27724104442413e-05,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,48.8484848484849,195.393939393939,207.606060606061,219.818181818182,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-10.6880201298688,0.141945731452559,-0.00967198595497155,0.000139240106083786,7.76804201810098e-05,-9.46015831693659e-05,-0.000486673265140095,0.000427473907784808,-2.0503475009503e-05,-4.81592745360082e-05,3.05991875348355e-05,-8.59549072469289e-05,2.33233820310601e-05,4.49059459150407e-05,-8.26348772995633e-06,8.51155437625726e-06,-4.09070268485854e-05,0.000118055651678284,9.04652974296205e-05,-0.00117032016318095,0.00229997715247892,-0.00189748807065191,0.00065217563169909,-7.02843855890618e-05,1.07537429967947e-05,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,73.2727272727273,85.4848484848485,158.757575757576,195.393939393939,207.606060606061,219.818181818182,293.090909090909,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,-1,-1,-1
"0-17",3,-8.12054245230087,0.0234703855823908,-0.00141917972188373,6.62127045510436e-06,8.49066051347908e-06,-1.25281564248437e-05,-0.000108969725661263,0.000129695672998615,-4.89170824019089e-05,2.43567683915932e-05,0.000172815053345981,-0.000312584502234207,0.000143761134822381,-1.51694417564558e-06,6.19476312113695e-06,-9.33187358291357e-05,0.000142651671146263,0.00052834778705152,-0.00175387116386575,0.00184662029043919,-0.000757604418671269,9.95370588442779e-05,-2.6148557633946e-05,2.67636107406964e-06,5.14625857655991e-06,-2.5726245678782e-06,9.04814292338761e-07,0,12.2121212121212,73.2727272727273,85.4848484848485,97.6969696969697,146.545454545455,183.181818181818,195.393939393939,207.606060606061,219.818181818182,244.242424242424,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,525.121212121212,573.969696969697,683.878787878788,781.575757575758,-1
"18-49",3,-7.56596077066331,-0.0257722966381019,0.000143013241979398,-7.23188760413329e-08,-3.81012855879867e-07,6.71094031264842e-06,5.40984031107295e-05,-0.000147797832137762,9.11714614163709e-05,-5.56173485507497e-06,1.01335730065186e-05,-4.86471255920308e-05,0.000143893788425332,0.000358817116738086,-0.00173642547843253,0.00224903394458145,-0.00123312228233594,0.000302273960341962,-5.62251435367436e-05,1.09038525984052e-05,1.56785470143729e-06,-1.32300306853099e-07,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,317.515151515152,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,512.909090909091,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1
"50-64",3,-7.6795039893845,0.0177927012907598,-0.00246908155066781,3.70312581472544e-05,5.07567684277139e-05,-5.52380477151541e-05,-0.000167792285479938,0.000144415353890617,-3.66650824542289e-06,-4.0051361194269e-05,0.00022419990898947,-0.000100650743905341,-0.00047855751154798,0.000569239397015575,-0.00017889912688423,1.95402454513014e-06,-3.89440022993086e-06,-1.04996024348493e-05,6.6799318005098e-05,0.000316656593557065,-0.00127317152537115,0.00145167167841258,-0.000601808729602516,5.68766584907067e-05,-8.705082354204e-06,4.02281850625801e-06,-9.59821821731947e-07,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,134.333333333333,146.545454545455,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,256.454545454545,317.515151515152,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,573.969696969697,781.575757575758,-1
"65+",3,-8.42506561123605,0.17280529014191,-0.0114916717321655,0.00016599327127455,0.000116395589002037,-0.000143225206738441,-0.000701748916069868,0.000832639436586964,-0.000266734607107619,6.1064181576608e-06,-1.1266751263144e-05,-9.03882779131886e-05,0.000135532855805011,-1.75611981235321e-05,-0.000166389606007088,0.000153770322010417,-3.31375052471576e-06,-9.71369122328305e-06,-8.70525591498871e-06,5.52125934904747e-05,0.000242008389838828,-0.0010571114435647,0.00126253971327117,-0.000539290001238148,4.90489933808111e-05,-7.27745772547571e-06,4.23913684863285e-06,-1.00838261918673e-06,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,85.4848484848485,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,244.242424242424,280.878787878788,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,573.969696969697,781.575757575758
