"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location"
"0-17",1,-7.70372952596611,0.0513368075394862,-0.00533341622274071,9.66867284504509e-05,-2.20697844325096e-05,-8.05350845683207e-05,1.61132271278585e-05,0.000131614836763834,-0.000438251021879243,0.000454712557367588,-0.000159909297426489,1.55989404514089e-06,6.1100441266791e-06,5.27630596865089e-05,-0.000497385923724009,0.000894095353118369,-0.000191949842426727,-0.000722391438020969,0.000576148222832141,-0.000118685648223485,1.34834835466729e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,97.6969696969697,109.909090909091,122.121212121212,134.333333333333,146.545454545455,170.969696969697,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,512.909090909091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.0161679307843,0.0791220142056462,-0.0090747792064575,0.000183910567549252,-0.000403718320228387,0.000458123470606939,-0.00123053957786619,0.00300923714507946,-0.00372724532534731,0.00249128590747213,-0.00106771520576291,0.00032200626718526,-5.97704485899051e-05,3.06022338964299e-05,-6.17745545588093e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,73.2727272727273,85.4848484848485,97.6969696969697,109.909090909091,134.333333333333,146.545454545455,158.757575757576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-5.47271289471733,-2.75569363434376,0.245539475251947,-0.00700565064029454,0.00734888110034184,-0.000390553748600795,5.50092691871514e-05,-7.68634549381845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.1343906499691,0.0628621856866601,-0.00556371313432775,8.27293770262019e-05,6.47429232790464e-05,-7.83255897924756e-05,-0.00033266511177079,0.000274789392126663,0.0001311131646312,-0.00130805347417604,0.0032885081644075,-0.00366589434568139,0.00207869796199672,-0.000694910235525737,0.00019542643650839,-4.28428029103527e-05,6.68521263779884e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,85.4848484848485,97.6969696969697,109.909090909091,122.121212121212,134.333333333333,146.545454545455,158.757575757576,170.969696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-7.01698682095641,-0.03921266460269,0.000145036230259857,6.7490017518852e-07,-8.13593648409223e-07,-7.76841105007383e-06,8.22903364720307e-06,5.14446167523945e-06,-3.72435061019323e-05,-0.000255778671030604,0.000844722247838981,-0.000717006405286902,7.36750500591421e-05,8.61814585596729e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,146.545454545455,158.757575757576,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-7.79426639337032,-0.0407129184077136,0.000345992938224723,-1.1322661386048e-06,1.43836734069123e-07,1.16445070768514e-05,-1.07116885980575e-05,-7.4969920766294e-05,8.96557701932671e-05,1.00697224174355e-05,-5.35363111940272e-05,-0.00018760500468794,0.000753334454805699,-0.00109410409536804,0.000838654805887285,-0.000319114090392191,3.19702373681401e-05,-2.24676087698474e-05,7.08556999188792e-05,8.64808573267759e-05,-0.000742719462405026,0.00135776129149314,-0.000926865892465505,9.2977362121143e-05,8.97106139634772e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,195.393939393939,207.606060606061,219.818181818182,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,354.151515151515,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-8.76329397080191,0.0524913008542371,-0.00572958501476385,8.03965481557219e-05,8.47866544193314e-05,-0.000101223061949609,-0.000390698479483231,0.000512935274336338,-0.000192876848218792,9.9660398261992e-05,-8.39212707400094e-05,-0.000373855865878441,0.000879519930945835,-0.000846731693402674,0.000521392858956537,-0.000145739046473622,-0.000402246820491651,0.000645622734358039,-0.000339838377493409,1.95700273148632e-05,0.000168922988020974,-0.00011995790463595,-0.000443000971410297,0.00117231380290221,-0.00142963570764335,0.00102148556012924,-0.000382452206439257,3.89414503579086e-05,-2.45556144089055e-05,7.49036442442556e-05,0.000111022347018946,-0.000774236738510222,0.00132187021620519,-0.000869930875915197,8.72469171708696e-05,8.03406244149126e-05,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,122.121212121212,134.333333333333,146.545454545455,158.757575757576,170.969696969697,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,244.242424242424,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,354.151515151515,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1
"65+",2,-9.41777894257622,0.0748296258282351,-0.00691567161250897,0.000108210182881214,8.78932274502495e-05,-0.000108048388381929,-0.000521273100117705,0.000647436987289863,-0.000211005864685851,5.27021215082196e-06,-1.40961033918867e-05,-9.68429734984352e-05,0.000168700695800227,-0.000177886645813216,4.24232722364695e-05,8.89225313161344e-05,1.60566801127435e-05,-7.39995818501295e-05,-0.00022541444338122,0.000912845051763988,-0.00132220409552597,0.0010043622450735,-0.000355982073023402,2.1672406112711e-05,-4.78267966006535e-05,0.000135213601521776,0.000218750192963596,-0.0014190180232428,0.00225654997326095,-0.00139065425633381,0.000137742603451513,0.000112246828332182,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,85.4848484848485,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,366.363636363636,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1
"0-17",3,-7.93996503972239,0.0861438743068114,-0.00817179708925841,0.000153578136587944,-4.90900649081384e-05,-0.000110951698438209,3.43721245485047e-06,2.90050241216078e-05,-2.69255025050748e-05,1.4236027709366e-06,-1.00083011653644e-05,6.19671754397488e-05,0.000217313760512101,-0.0010954586951649,0.00154100508871653,-0.000955127746353286,0.000268140133497901,-2.41670346420306e-05,-2.55393834660648e-05,2.21642514867185e-05,-6.33506779868937e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,122.121212121212,134.333333333333,146.545454545455,268.666666666667,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,561.757575757576,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-6.72666255828735,0.0417261823295123,-0.00835111007049446,0.000197466208573268,-8.44570100812154e-05,-0.00019400886301235,8.07645267324623e-05,3.28533027035482e-05,-1.76062236647646e-05,-0.000103490115533574,0.000101898751003082,-2.81690077945221e-05,-0.000190981803280374,0.000729233817136857,-0.00108259624951455,0.000829848229410702,-0.000294699768846157,1.85248570946896e-05,0.000196033677088541,-0.000130181547626429,-0.00080263757196595,0.0013993708944739,-0.000815212522242986,0.000169689693836039,-1.2309099817017e-05,1.04702095051358e-06,-7.11367948601124e-07,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,183.181818181818,195.393939393939,207.606060606061,219.818181818182,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,354.151515151515,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,598.393939393939,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
