"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location"
"0-17",1,-8.71458080582584,-0.0530031875342777,0.00057318695124139,-2.24738740556485e-06,1.00414006819263e-06,1.74648248129232e-06,7.121728945215e-06,-5.14834551178486e-05,-0.00027556417360167,0.00106777706514783,-0.00117163911086733,0.000452108545228943,-3.01568962611039e-05,1.36315699507813e-06,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.67747356133329,-0.0392929665966752,0.000343992561227976,-1.21426003094148e-06,5.63074975554366e-07,1.04807537648786e-06,6.68019959420309e-06,-4.72829042516464e-05,-0.000244828183211474,0.000963539298569242,-0.00106511766767792,0.000412789056386985,-2.74103098113262e-05,1.23850689092136e-06,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,219.818181818182,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.47625844442311,-0.0371041904995054,0.000486650502281286,-1.75042719204951e-06,-3.31237699673523e-08,0.000114625028391622,-7.33609861120747e-05,-0.000380829573478804,0.000541454738371554,-0.00020109097179605,1.9403405981904e-06,6.05287946423698e-06,-4.06786728629404e-05,-0.000193884127923902,0.000734667998266112,-0.000778189279108675,0.000282552708900649,-1.15081224933358e-05,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,256.454545454545,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.7353003616138,-0.0729638651333975,-0.0013355080802798,4.42065468707229e-05,4.97409557234265e-05,-5.85488756852926e-05,-0.00024923725431911,0.00023447802417061,-3.01962606084384e-06,-0.000103426456491102,2.52070372935978e-05,0.000126858431930214,-2.59816180447087e-05,-0.000318332677624494,0.000324928608696518,-3.2051096651313e-05,6.07972986051775e-05,-0.000118727023953294,-0.000322623661714186,0.00112787008005032,-0.0011927115787517,0.00045857253682176,-2.92149373447326e-05,1.2299940494466e-06,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,73.2727272727273,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,244.242424242424,256.454545454545,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,354.151515151515,-1
"0-17",2,-8.06647572777994,-0.0663446304111437,0.000520910921285577,-1.67674141689362e-06,7.40282699302779e-07,1.43836904608232e-06,7.58211529494654e-06,-5.4249270137351e-05,-0.000285475001058695,0.00111389843890668,-0.00122613441251228,0.000474040404976446,-3.15473140876088e-05,1.42510054192003e-06,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,219.818181818182,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.56303655110791,-0.0571942479045418,0.000465472121729151,-1.45539618786068e-06,5.71990135891034e-07,1.39132710801168e-06,-9.81288781286103e-05,7.26879672806737e-05,0.000362895590067936,-0.000560941928542144,0.000224825745781531,-1.83972812865799e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,219.818181818182,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-9.02381955977678,-0.122915813717386,0.00220116917460935,3.46025984783177e-08,-2.01854494630641e-05,5.85356174111068e-06,1.80630736726128e-05,-5.72271002497613e-06,-4.57161931986348e-05,5.24859957000748e-05,-7.20708226308769e-06,1.79959656031007e-06,7.09244877325202e-06,-6.79435222373809e-06,4.06428026974394e-07,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,73.2727272727273,195.393939393939,207.606060606061,219.818181818182,317.515151515152,403,415.212121212121,439.636363636364,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-10.6134923215036,-0.141846166643174,0.00490350500775205,-2.31803021120947e-05,-3.42935494117442e-05,1.5113792303655e-05,4.73733526488072e-05,-6.04182559994889e-06,-7.5849022255643e-05,8.76258709679977e-05,-1.9459161240278e-06,-8.86753520891203e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,48.8484848484849,195.393939393939,207.606060606061,219.818181818182,268.666666666667,280.878787878788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-9.64137256229504,-0.0286428584461024,0.000305091099673587,-9.32651523523383e-07,2.7964189248317e-07,1.01377891896572e-06,-8.49800006858772e-06,5.51928462008131e-05,0.00026272571196859,-0.00105182680484152,0.00115987769214,-0.000446407707891136,2.98674352489662e-05,-1.37699103517234e-06,5.68232685717262e-07,0,0,0,0,0,0,0,0,0,0,24.4242424242424,219.818181818182,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,512.909090909091,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-8.2712833593769,-0.0587179643851349,0.000610832085281676,-1.81066810995663e-06,-1.26952889892752e-07,6.18376170013739e-05,-3.92229361132984e-05,-0.000123747446742483,0.000109109915176154,-1.00138473651214e-05,0.000202633619453485,-0.000135605506930914,-0.000708020882430158,0.00108244793709403,-0.000449761051785651,1.35564637702356e-05,-4.18946432167638e-06,3.55491442021591e-06,-8.30554342271117e-07,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,317.515151515152,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,512.909090909091,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1
