"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location"
"0-17",1,-7.63220741286808,-0.0658523546976828,0.000781610218278802,-3.34078605589522e-06,1.32211783950008e-06,2.2664417432094e-06,7.9985561500153e-06,-5.70264765777821e-05,-0.000298424236139927,0.00117415942130917,-0.00129676615102921,0.000501661746773024,-3.33718131079499e-05,1.50885654790497e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,134.333333333333,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.53236269403609,-0.0215472298736618,0.00014179422335479,-2.69323214089477e-07,-1.75450273469101e-07,3.74167930726804e-06,7.18054849523422e-05,-0.000146969463338944,3.26139863109482e-05,0.00032991981406298,-0.000511522945897771,9.42025974805432e-05,0.000455710640396877,-0.000534945800667129,0.000115974766122402,0.000382674214808435,-0.00049194016970055,0.000213597263656991,-2.21660944552572e-05,6.05407321535259e-05,-0.000131129863780652,-4.77438697085162e-05,0.000713501796610851,-0.00190357864154982,0.00284361761737723,-0.00224168522262016,0.000804472643126053,-0.000115006055917483,2.61179008033209e-05,-1.35564114707716e-06,24.4242424242424,170.969696969697,183.181818181818,195.393939393939,219.818181818182,232.030303030303,244.242424242424,256.454545454545,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,366.363636363636,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,512.909090909091
"50-64",1,-9.14287450324745,-0.0583861497048974,0.00196986255484951,-2.30470185957905e-05,1.07850630143077e-05,1.28652028200736e-05,4.79165863753875e-05,-3.53259856590073e-05,-0.000147157271600252,0.000169382377934301,-3.53840243724308e-05,7.2561198084631e-06,-3.55167332020112e-05,9.94765996345161e-05,-0.000802956272342524,0.00184750501682154,-0.00165681546067759,0.000580531025123488,-4.14015684673206e-05,1.89137053468976e-06,0,0,0,0,0,0,0,0,0,0,12.2121212121212,48.8484848484849,183.181818181818,195.393939393939,207.606060606061,219.818181818182,244.242424242424,378.575757575758,390.787878787879,403,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.1144243967065,0.0753149216875261,-0.00732106639387107,0.000154099165942682,-4.45132470114577e-05,-0.000428017760366566,0.000418374052022288,-0.00010162533970132,0.000124583579442551,-0.00022441396766115,-0.000550564599605768,0.00218668281198101,-0.00258805451225057,0.00128303245511832,-0.000270157925779868,4.78835623330734e-05,-7.30992159001376e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,36.6363636363636,48.8484848484849,61.0606060606061,73.2727272727273,85.4848484848485,97.6969696969697,109.909090909091,122.121212121212,134.333333333333,146.545454545455,158.757575757576,170.969696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-7.54773508612679,-0.0379961974399442,0.000258861240411391,-8.38539398408156e-07,4.21541066511809e-07,1.02360494458663e-06,8.82223767887459e-06,-6.07856916723933e-05,-0.000319693836438626,0.00124276989325514,-0.00136993045179538,0.000541578366722002,-5.10556495308592e-05,7.69341021626886e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,268.666666666667,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.65353414267999,-0.0292634932208007,0.000208093452645538,-4.40449177597481e-07,-2.12152994088787e-07,4.63956775562118e-06,9.10843562760139e-05,-0.000191138261167118,4.63731353814642e-05,0.000479175056083035,-0.000763539214187074,0.000139246283230137,0.00069247968304563,-0.000823088475175976,0.000196741982094392,0.000663473752575299,-0.00104890374145321,0.000706711458492359,-0.00019582642553488,2.95044643529326e-05,-8.22259883103949e-05,0.000409825321724643,-0.00125941124896244,0.00203731314386015,-0.00167283726539329,0.000595183903160273,-6.3896551767478e-05,9.78004204270213e-06,0,0,24.4242424242424,170.969696969697,183.181818181818,195.393939393939,219.818181818182,232.030303030303,244.242424242424,256.454545454545,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,378.575757575758,390.787878787879,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,-1,-1
"50-64",2,-9.39252745769206,-0.0148019062242435,-0.00140163552737492,3.60246117378133e-05,-0.000138269736386106,0.000109260384962729,-2.22537883143093e-05,1.77495535228013e-05,0.000160155781037982,-0.000269834102820178,4.02747138857085e-05,0.000396338499989413,-0.000513955071016193,8.60145137539602e-05,0.000200934556612936,-0.000102635027886332,8.45496900356995e-06,-4.76123055240548e-05,-0.000178941787316829,0.000750260847488566,-0.000828455164579743,0.000308731368989148,-1.22550893970093e-05,0,0,0,0,0,0,0,36.6363636363636,48.8484848484849,134.333333333333,170.969696969697,183.181818181818,195.393939393939,219.818181818182,232.030303030303,244.242424242424,256.454545454545,268.666666666667,280.878787878788,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1
"65+",2,-10.3667722222686,0.114061155361329,-0.00949973848728985,0.000151971990389016,6.96240186424699e-05,-8.98812274397502e-05,-0.00060537105126683,0.000626128786126932,-6.13607624557263e-05,-9.47896819874479e-05,9.43435705223129e-06,0.000156387524309308,-0.000288769206335038,4.79659191993541e-05,0.000447118076437238,-0.000559767388343025,8.97170328814484e-05,0.000213703397659131,-0.000113759623584635,1.16593158841484e-05,-5.64771262171923e-05,0.000164601847513509,0.000173916659712348,-0.00171601249800534,0.00319202035332789,-0.00256162465599044,0.000902036679375896,-0.000145390239587019,4.42203522769926e-05,-7.31065576039174e-06,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,73.2727272727273,170.969696969697,183.181818181818,195.393939393939,219.818181818182,232.030303030303,244.242424242424,256.454545454545,268.666666666667,280.878787878788,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697
"0-17",3,-8.16650418172398,0.0279954923928192,-0.00152524603577057,7.36300073099597e-06,8.51962859239727e-06,-1.22082879663462e-05,-0.00010683973424797,0.000119021548884901,-0.000127391702075796,6.02257340451725e-05,0.000469201928942327,-0.00083501676768766,0.000250253075519545,0.000931595706712386,-0.00139113102193677,0.000690097659621606,-2.86469217890655e-05,-3.72856863592656e-05,-1.31640145829669e-05,7.64342940876351e-05,0.000345929031269684,-0.00135836175574989,0.00152105062335586,-0.00062324906296934,5.97435504698136e-05,-9.28672264772496e-06,3.68420788853351e-06,-7.39732991232615e-07,0,0,12.2121212121212,73.2727272727273,85.4848484848485,97.6969696969697,170.969696969697,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,244.242424242424,256.454545454545,280.878787878788,293.090909090909,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,573.969696969697,781.575757575758,-1,-1
"18-49",3,-7.39039534370474,-0.0326995246833086,0.000265907383500298,-7.45136917223062e-07,-1.77925795452886e-07,2.57134281146699e-06,4.62482772025572e-05,-0.000226586094012405,8.23959130141335e-05,0.00052469693891182,-0.000672743141864543,0.000113196157797359,0.000270097287740355,-0.000140289813577227,9.06195363055546e-06,-4.56767238696841e-05,0.000138951726076851,0.00034675926306097,-0.00170065822978947,0.00222174260060809,-0.00122923758114339,0.000304425983338602,-5.57187965916001e-05,1.0727389327507e-05,1.25304447539425e-06,-3.52347768263989e-08,0,0,0,0,24.4242424242424,170.969696969697,183.181818181818,207.606060606061,219.818181818182,232.030303030303,244.242424242424,256.454545454545,268.666666666667,280.878787878788,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,512.909090909091,573.969696969697,781.575757575758,-1,-1,-1,-1
