"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location"
"0-17",1,-7.93038532641154,-0.0141852986825106,-0.000155526681338218,1.49090439273331e-06,6.80417595938944e-07,-4.42190053622093e-06,-3.1007082713525e-05,3.77342854798584e-05,-5.50900897883038e-06,1.98509969849445e-06,-1.167708497903e-05,-0.000284577056009214,0.000679822098238662,-0.000158906116242828,-0.000635153717340881,0.000512078936425479,-0.000103763841118375,1.20267414547432e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,109.909090909091,122.121212121212,134.333333333333,207.606060606061,305.30303030303,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,512.909090909091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.08279995385015,-0.0223412834537434,0.000132411876244438,-1.23335606232881e-07,-2.31448991685884e-07,2.77315337632508e-06,1.55562184884508e-05,-3.22243830908781e-05,1.53763176468822e-05,9.92300237710496e-06,-5.7305788115539e-05,0.000456364953704724,-0.00152847437746321,0.0023591008918467,-0.00158454444510376,0.000200214156762852,0.00017439325847488,-3.08020857078265e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,170.969696969697,183.181818181818,195.393939393939,219.818181818182,378.575757575758,390.787878787879,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.73011750052947,-0.0131635402064063,-0.000937050914354012,2.25273911327851e-05,-8.05285155239725e-05,6.14750459907101e-05,-2.4721660810313e-05,1.54626560593781e-05,0.000159108769748304,-0.000250015512787927,3.76785953819985e-05,6.84713871832574e-05,-3.73761788663389e-05,3.08365377653768e-05,1.10584344310292e-05,-5.66827394508741e-05,0.000351840014593385,-0.00112215477953113,0.00168456182076215,-0.00107802051300594,0.000108615158396341,9.79075000769033e-05,0,0,0,0,0,0,0,0,0,0,0,0,36.6363636363636,48.8484848484849,146.545454545455,170.969696969697,183.181818181818,195.393939393939,207.606060606061,219.818181818182,293.090909090909,305.30303030303,378.575757575758,390.787878787879,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.6062206607662,0.105622088286029,-0.00933217776637975,0.000185323206109828,-4.11018512066301e-05,-0.000620871920115122,0.000786864520745066,-0.000354719705649111,-0.000760707566864256,0.00270388384784042,-0.00343938628796641,0.0021168675667333,-0.000736907207390496,0.000186985615082847,-2.74811279232748e-05,1.25214264566026e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,36.6363636363636,48.8484848484849,61.0606060606061,73.2727272727273,85.4848484848485,97.6969696969697,109.909090909091,122.121212121212,134.333333333333,146.545454545455,170.969696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-7.03411840209122,-0.0608709355263756,0.000559452526847123,-2.08213298513442e-06,8.34539330900158e-07,1.44937011907163e-06,4.43698664722238e-06,-3.30593570302433e-05,-0.000231409524060264,0.00076938629451907,-0.00065730366582332,6.78131900915382e-05,7.99555003608223e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.09261530779401,-0.031801761932532,0.000200269165480551,-2.60194073049146e-07,-2.84289128963909e-07,3.72614511586735e-06,2.68047441670616e-05,-5.43403525187978e-05,2.74872168477463e-05,-3.1488118710887e-06,6.45353592878153e-06,-3.70676673214055e-05,-0.000205599745005339,0.000703043324402998,-0.000601668386192901,6.14536031660773e-05,7.34228617853018e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,170.969696969697,183.181818181818,195.393939393939,219.818181818182,293.090909090909,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-8.95862134904331,0.0233758152730305,-0.00395272891868615,9.1250398987058e-05,-4.68593690376042e-05,-0.000145378940720317,0.000107632243481481,-8.56283032066313e-06,-7.50035320940947e-05,0.000120975282943594,-0.000104809433601302,2.43556790542161e-05,4.13115100284944e-05,-5.44938983836453e-06,-8.88193678003473e-06,4.65058920412001e-05,-0.000457083103557631,0.000997113747562358,-0.000722351746161391,6.9132405532694e-05,7.61355173509715e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,36.6363636363636,48.8484848484849,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,293.090909090909,390.787878787879,403,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-9.84610531253811,0.0992596651447722,-0.00788609558827633,0.000117894145523032,8.45613263526295e-05,-0.000104143865025299,-0.000513083443938879,0.000610755685508055,-0.00019254104491726,4.67340144795458e-06,-1.13865081233063e-05,-0.000104094186593667,0.000175299571966517,-1.20301463802371e-05,-0.000152187955579979,2.7578578140076e-05,8.61348852463024e-05,1.21797541060519e-05,-5.92005056558576e-05,-0.000179685925759404,0.000740236842853816,-0.00110687700083658,0.000872261330512704,-0.000319498556513913,2.00737971946053e-05,-4.82870396696625e-05,0.00014106112022184,0.000228772968853136,-0.0015436721534813,0.00255060582681087,-0.00167429337607419,0.00020974676415765,0.000170762584481442,-3.16223932192677e-05,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,85.4848484848485,134.333333333333,146.545454545455,158.757575757576,183.181818181818,195.393939393939,207.606060606061,219.818181818182,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,366.363636363636,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848
"0-17",3,-8.37552875719115,0.0116817317655487,-0.00112233949236325,5.61100184287512e-06,7.22152506720505e-06,-1.07703853314206e-05,-9.60225103902763e-05,0.000113152788534158,-4.04411055479937e-05,2.35132549970734e-05,0.000160234495751535,-0.000297715197348124,0.00013529478735518,3.03262757532456e-06,-3.46674107868843e-06,-7.98521188152029e-06,4.8195760954683e-05,0.0002127854509109,-0.000880355304549069,0.0010041424285532,-0.000406814655360887,3.33319559807095e-05,-3.46286613099056e-06,-1.37350519322034e-05,1.50984626378548e-05,-5.51470136210417e-07,0,0,0,0,0,0,0,0,12.2121212121212,73.2727272727273,85.4848484848485,97.6969696969697,146.545454545455,183.181818181818,195.393939393939,207.606060606061,219.818181818182,268.666666666667,317.515151515152,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,512.909090909091,561.757575757576,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-7.3894454337722,-0.0358995110773646,0.00028253616675882,-7.99618759415761e-07,-4.36790930680615e-08,3.4290222912084e-05,-2.10495076800735e-05,-7.53216834016174e-05,6.69826895552186e-05,-4.40102512596615e-06,7.12544067611516e-06,-3.64344111215353e-05,0.000111592096633101,0.000269361367887923,-0.00137158906910445,0.00182073925100803,-0.00101349300063729,0.000248957341090224,-4.60047533897438e-05,8.95744891047096e-06,1.44104490006445e-06,-4.39170971293681e-08,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,293.090909090909,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,512.909090909091,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
