"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location"
"0-17",1,-14.8955696243427,0.157812299461666,0.00404492379329247,-0.0001431113492986,0.000230837364398032,-1.60029217046963e-05,-0.000203654411246317,0.000187942010609475,-2.11933511946911e-05,-0.00012501395660978,0.0002073421305465,-0.000201554047374643,0.000100286929934905,-3.90451952443937e-06,-1.74383787272077e-06,-6.38167347685604e-05,8.13087155527694e-05,-2.67478359379684e-05,2.4826851843585e-07,-8.52587910372992e-06,2.7341935547455e-06,3.46916338374638e-05,-4.89536202495886e-05,1.92809251428364e-05,9.59867283138382e-07,-5.68371430156552e-06,-5.72436197659627e-05,0.000215054856435469,-0.000268322323121746,0.000141966601929021,-2.97929488953193e-05,3.0975328140489e-06,-4.90379922707439e-07,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,290,314.166666666667,338.333333333333,362.5,410.833333333333,531.666666666667,580,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1
"18-49",1,-7.40257403647064,0.0781097130393553,-0.00214663039623749,1.60995768779625e-05,6.38143359297643e-06,-7.54349058801038e-06,-7.68156412131127e-05,9.922303586119e-05,-3.35458237103859e-05,-2.30941378588748e-05,2.34068167869373e-05,-7.05051485030923e-07,-5.08154778851151e-06,4.11338341625163e-07,9.9824600665524e-06,-9.64924571970852e-06,1.26795997045357e-06,2.44975560896386e-05,-7.2149726657875e-05,7.10698404374416e-05,-2.3641298015077e-05,1.60805684345894e-06,-6.68301991197895e-06,-4.91095258714749e-05,0.000191834964570538,-0.000240273519631889,0.000125130703550824,-2.36062705916158e-05,9.80934250679617e-07,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,265.833333333333,290,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1
"50-64",1,-7.44956092440298,0.0906711499767702,-0.00244940416657323,2.35586778263553e-05,-7.74493717467433e-06,-7.97944487583558e-05,0.000108457297225762,-4.11175846415965e-05,-2.80365468320135e-05,3.26576688749655e-05,-2.07104485532074e-06,-1.94939700512131e-05,1.4236337230641e-05,9.66758984174326e-07,1.9309150859249e-05,-5.2721969534194e-05,3.82563965335442e-05,-2.25734516570472e-05,8.503868769081e-06,7.43421155090113e-05,-0.000158429161544916,0.000133554221032596,-4.36023646101658e-05,2.0041007996272e-06,-2.69459144200609e-06,-4.37971282097159e-05,0.000162937279703225,-0.000204296173868919,0.000106981123404558,-2.02584308406977e-05,8.63732133169794e-07,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,265.833333333333,290,314.166666666667,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1
"65+",1,-8.74853917555495,0.143704342493586,-0.00109173586382689,-6.41810918297189e-07,1.77233152545245e-06,1.48395570814796e-05,-1.45139780777489e-05,-1.62810395842096e-06,-3.6156164728913e-05,0.000104773991822238,-0.000133090041091629,8.44472562849966e-05,-6.53529870468518e-06,-1.83300388762377e-05,2.65095996106806e-05,-5.77193758976596e-06,-6.84228868684487e-05,4.53178718154554e-05,7.43402972775398e-06,0.000109936844726681,-0.000208546409674089,0.000119375793243081,-2.15792824049768e-05,8.07946238306246e-07,0,0,0,0,0,0,0,0,0,0,48.3333333333333,72.5,96.6666666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.5290859261257,0.00336683290721366,-2.67398739026399e-05,1.67733997592128e-08,8.00912069590004e-08,-1.14859348195164e-06,-2.24738531676031e-05,0.000140466075756432,-0.000220775152592404,2.31323476898574e-05,0.000205233006868056,-0.000168506016171288,5.77577953905515e-05,-5.28008392361457e-06,-6.61172410202902e-05,0.000123626464750121,-0.000104339487887139,1.60150224342748e-05,0.000100769295884222,-0.00013386128777776,5.79546883923677e-05,-4.26698707361398e-07,-2.90356650854374e-05,9.43759319257739e-06,0.000127183002849353,-0.000200186248841464,0.000110277404030048,-2.06244630343815e-05,8.22025140588053e-07,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1
"18-49",2,-14.7294054225225,-0.00556277981405826,0.000101599511155182,-4.66010366994778e-07,-1.10791890212802e-06,4.33537684655501e-06,1.08785665500869e-05,-7.58339404527e-05,0.000214870850070631,-0.000306697946965875,0.000191549904587586,-1.63592806446044e-05,-4.103444091208e-05,2.22148693628574e-05,-1.09882754873422e-05,2.08023942885378e-06,3.36918485320011e-05,-5.3805365498023e-05,1.13185548972148e-05,9.75872233028356e-05,-0.000179027409794949,0.000135020006339111,-3.90550090355209e-05,1.6903473266522e-06,-2.09925567876628e-05,8.34668976715387e-06,0.000100314048379343,-0.000164682447858888,9.32360436806136e-05,-1.77665685131378e-05,6.79737174665681e-07,0,0,0,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1
"50-64",2,-14.731483778126,-0.00571248005672391,9.23220439800834e-05,-2.94765802111979e-07,-4.53656019764089e-07,2.36629354690907e-06,1.46248140075459e-05,-8.53417156764686e-05,0.00023753719003411,-0.000324347906775894,0.000148035248997737,0.000102660245575874,-0.000177902765457064,0.000116637918359045,-3.31158394747108e-05,2.56018757772786e-06,2.69269987384265e-05,-8.20268337750192e-05,6.48489303374636e-05,-2.01908459739874e-06,-3.48634562377698e-05,1.00445409927701e-05,0.000107772766753538,-0.000206405771908151,0.000155419339010626,-4.32112411517333e-05,1.94625550672411e-06,-2.89292680268164e-05,1.10986496581257e-05,0.000134585076392152,-0.000217670271305606,0.000120991977272776,-2.23587201920492e-05,8.81412416150757e-07,48.3333333333333,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667
"65+",2,-14.5575153253116,-0.00700076784587804,0.000127159861278316,-5.78291826527318e-07,-1.62654679230168e-06,6.31549467706699e-06,1.19961292241459e-05,-9.2996407034307e-05,0.000268022507942357,-0.000371859066470152,0.000202307345544637,-2.37715676711124e-05,6.04970411320098e-06,-2.38302524520403e-06,3.16215560654931e-06,4.04216774090241e-05,-0.000153361083868062,0.000171961283135687,-6.52966139476592e-05,1.25434536263275e-05,-4.41732935009585e-05,3.11635231773144e-05,0.000124567413085744,-0.000482049899425855,0.000873545440918325,-0.000864121317649276,0.000471857473400143,-0.000154229216869376,3.94721279411744e-05,-9.42412246735107e-06,2.97389875155708e-06,-4.87792041536814e-07,0,0,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,290,314.166666666667,338.333333333333,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,821.666666666667,-1,-1
"0-17",3,-14.5290859261257,0.00336683290721366,-2.67398739026399e-05,1.67733997592128e-08,8.00912069590004e-08,-1.14859348195164e-06,-2.24738531676031e-05,0.000140466075756432,-0.000220775152592404,2.31323476898574e-05,0.000205233006868056,-0.000168506016171288,5.77577953905515e-05,-5.28008392361457e-06,-6.61172410202902e-05,0.000123626464750121,-0.000104339487887139,1.60150224342748e-05,0.000100769295884222,-0.00013386128777776,5.79546883923677e-05,-4.26698707361398e-07,-2.90356650854374e-05,9.43759319257739e-06,0.000127183002849353,-0.000200186248841464,0.000110277404030048,-2.06244630343815e-05,8.22025140588053e-07,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1
"18-49",3,-14.7294054225225,-0.00556277981405826,0.000101599511155182,-4.66010366994778e-07,-1.10791890212802e-06,4.33537684655501e-06,1.08785665500869e-05,-7.58339404527e-05,0.000214870850070631,-0.000306697946965875,0.000191549904587586,-1.63592806446044e-05,-4.103444091208e-05,2.22148693628574e-05,-1.09882754873422e-05,2.08023942885378e-06,3.36918485320011e-05,-5.3805365498023e-05,1.13185548972148e-05,9.75872233028356e-05,-0.000179027409794949,0.000135020006339111,-3.90550090355209e-05,1.6903473266522e-06,-2.09925567876628e-05,8.34668976715387e-06,0.000100314048379343,-0.000164682447858888,9.32360436806136e-05,-1.77665685131378e-05,6.79737174665681e-07,0,0,0,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1
"50-64",3,-14.731483778126,-0.00571248005672391,9.23220439800834e-05,-2.94765802111979e-07,-4.53656019764089e-07,2.36629354690907e-06,1.46248140075459e-05,-8.53417156764686e-05,0.00023753719003411,-0.000324347906775894,0.000148035248997737,0.000102660245575874,-0.000177902765457064,0.000116637918359045,-3.31158394747108e-05,2.56018757772786e-06,2.69269987384265e-05,-8.20268337750192e-05,6.48489303374636e-05,-2.01908459739874e-06,-3.48634562377698e-05,1.00445409927701e-05,0.000107772766753538,-0.000206405771908151,0.000155419339010626,-4.32112411517333e-05,1.94625550672411e-06,-2.89292680268164e-05,1.10986496581257e-05,0.000134585076392152,-0.000217670271305606,0.000120991977272776,-2.23587201920492e-05,8.81412416150757e-07,48.3333333333333,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667
"65+",3,-14.5575153253116,-0.00700076784587804,0.000127159861278316,-5.78291826527318e-07,-1.62654679230168e-06,6.31549467706699e-06,1.19961292241459e-05,-9.2996407034307e-05,0.000268022507942357,-0.000371859066470152,0.000202307345544637,-2.37715676711124e-05,6.04970411320098e-06,-2.38302524520403e-06,3.16215560654931e-06,4.04216774090241e-05,-0.000153361083868062,0.000171961283135687,-6.52966139476592e-05,1.25434536263275e-05,-4.41732935009585e-05,3.11635231773144e-05,0.000124567413085744,-0.000482049899425855,0.000873545440918325,-0.000864121317649276,0.000471857473400143,-0.000154229216869376,3.94721279411744e-05,-9.42412246735107e-06,2.97389875155708e-06,-4.87792041536814e-07,0,0,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,290,314.166666666667,338.333333333333,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,821.666666666667,-1,-1
"0-17",4,-14.9737778772491,0.000185531819078594,-6.64285259593047e-07,6.14887595079694e-10,5.31267424951401e-07,-3.78374692042443e-06,0.000130679775109323,-0.000414896145624443,0.000538145806009826,-0.00039393994497187,0.000258517900917863,-0.000192551298943233,9.07058345133932e-05,-8.96677436985661e-06,-4.64505220840455e-06,-2.15166777227689e-06,8.81968258072964e-06,7.57918643141171e-05,-0.000255916910460881,0.000304370095010062,-0.000186775290044452,7.16908895214882e-05,-6.35153110069878e-06,-4.5616452404114e-05,4.96271279825737e-05,-1.19238976783948e-05,-2.34194983092161e-05,6.01730608517344e-05,-8.15682762708795e-07,-1.54231812123433e-05,0,0,0,0,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1039.16666666667,1135.83333333333,1160,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1280.83333333333,1305,1353.33333333333,1377.5,1401.66666666667,1498.33333333333,1522.5,1546.66666666667,1570.83333333333,-1,-1,-1,-1
"18-49",4,-14.995611457734,0.000190299502743772,-6.81346702352924e-07,6.30667480720639e-10,5.55606688216322e-07,-3.94631352913279e-06,0.000137319252249226,-0.000435386969185203,0.00056117122975387,-0.000400644407433421,0.000243151553482892,-0.000169714333633351,8.30539590088753e-05,-1.03649431526226e-05,-8.78081189480888e-06,1.93321653882784e-05,-2.44139117473099e-05,8.55518613183674e-06,9.54302755755794e-07,2.33612031381534e-05,-8.05254752996761e-05,9.71325736916439e-05,-5.64227958705828e-05,1.96542369960328e-05,-1.06012472556096e-06,-5.65865155295312e-06,4.24623385254269e-07,0,0,0,0,0,0,0,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1039.16666666667,1087.5,1111.66666666667,1135.83333333333,1305,1329.16666666667,1353.33333333333,1377.5,1401.66666666667,1425.83333333333,1474.16666666667,1498.33333333333,1570.83333333333,-1,-1,-1,-1,-1,-1,-1
"50-64",4,-15.014016665697,0.00025554615195034,-9.23452352509685e-07,8.63464985163383e-10,-5.23864904465674e-07,3.19469106794211e-06,-1.02091653438974e-05,7.07322705227564e-06,0.000162942530352174,-0.000531368012115219,0.000680279917600621,-0.000463620797966524,0.000235994773389432,-0.000122466071975018,4.4228589358926e-05,-5.50766327606824e-06,1.15758247108129e-06,-1.37247440713505e-06,4.92042095616803e-07,7.32152440192587e-06,-1.93301818917333e-05,1.29304392699443e-05,-1.88197716356121e-06,0,0,0,0,0,0,0,0,0,0,0,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1039.16666666667,1111.66666666667,1305,1329.16666666667,1353.33333333333,1377.5,1498.33333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,-15.014695826013,0.000267916263614432,-9.68108289924248e-07,9.05176642219033e-10,-5.47894597607066e-07,3.34108713060796e-06,-1.06753061871194e-05,7.43627727393541e-06,0.000169161686639453,-0.00055218446678009,0.000708793676589098,-0.000488600428952967,0.000262743722969124,-0.000153092461060742,6.13670193996628e-05,-6.73712788188477e-06,1.47750541007548e-06,-4.20929954446785e-06,1.77505373812408e-06,1.41355065279534e-05,-4.06719037689282e-05,3.16981915517113e-05,-1.10823575171073e-06,-4.67887633612604e-06,-1.43390722379108e-07,0,0,0,0,0,0,0,0,0,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1039.16666666667,1111.66666666667,1160,1329.16666666667,1353.33333333333,1377.5,1425.83333333333,1450,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1
