"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location"
"0-17",1,-14.127538560012,0.0922995671300873,0.00181952298484672,-7.4396003201866e-05,0.000130799969013023,-0.000184058040798926,0.00018929327624431,-2.48655443472353e-05,-0.000131177550064569,0.000220077926271893,-0.000228541634634925,0.000127636054873595,-1.2519991765302e-05,9.9273102204865e-06,-1.36338397578415e-05,-0.00010531955425676,0.000213788111023372,-0.0002026694389243,0.000126363165148465,-4.30668189367388e-05,2.07362055598787e-06,-1.70139248491502e-06,-2.57540342398694e-05,8.32043255895789e-05,-8.79341708022319e-05,3.40561257277714e-05,-3.63874660757276e-07,-8.42281030089358e-06,2.90894768376212e-06,5.07696029068454e-05,-7.77657089006291e-05,3.14391869774649e-05,-1.42257448992659e-07,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1
"18-49",1,-7.61540838428577,0.052519575733853,0.00149169536133882,-5.87700252198694e-05,0.000101081241982238,-0.000140949088623381,0.000153806839849314,-5.31935338830832e-05,2.87466585903537e-06,-4.18251104870787e-05,5.34030152085059e-05,-5.14114601151412e-06,-1.30881439986656e-05,4.53150356545671e-06,-3.0304773581954e-06,5.08213902414619e-07,7.68703195283977e-07,-4.95071617377862e-06,-5.13863377924355e-05,0.000194222098869626,-0.000240367142683403,0.000123161487042835,-2.26377210569286e-05,9.78364084241121e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,386.666666666667,435,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-7.57439812486382,0.0733509957172084,0.0011166127910477,-5.76033397947277e-05,0.00010977459895239,-1.65125381166362e-05,-0.000157613887947986,0.000233265318227908,-0.000158655658714815,6.94522584933686e-05,-1.03684444974408e-05,-5.81728132616437e-05,6.45880157993215e-05,-3.86691079370292e-06,-1.71134554596684e-05,9.12783188790189e-06,-1.75378575708828e-06,-2.27200882660982e-05,2.31137649349484e-05,-1.94816008719784e-05,6.46093280849111e-06,6.85996682926169e-05,-0.00013220959850466,8.88431878328336e-05,-5.94901432430213e-06,-1.15181791925289e-05,-2.31612640569991e-06,-3.95920184059924e-05,0.000153270462262922,-0.000194785098980464,0.000101989949360026,-1.9079057123073e-05,8.22785505856485e-07,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,386.666666666667,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1
"65+",1,-8.43560538110497,0.143816966837472,-0.00154502874050937,4.15558780344484e-06,1.78183646674129e-07,-4.93005245559883e-08,-2.65142264556793e-05,6.64936543162025e-06,7.01502207728278e-05,-8.97323493074706e-05,3.62244324882551e-05,-4.74642353907771e-07,1.27851046348119e-05,-4.63644598025858e-06,-5.34174465698314e-05,6.04467580321116e-05,-3.53717981928075e-06,-6.40736957661684e-05,9.41397775904494e-05,-1.05015341331202e-05,-0.000111564126217144,0.000104001923480416,-6.05872261591187e-06,-1.88846032336013e-05,-1.34770244569228e-06,-2.53840542206467e-05,8.83068305930144e-05,-9.39195665242121e-05,3.38321457799576e-05,-7.70273916710813e-07,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,193.333333333333,217.5,241.666666666667,265.833333333333,290,338.333333333333,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-13.9503294752587,0.00314738466794475,-2.49512167154065e-05,1.52224657351239e-08,7.53904873374574e-08,-1.07566142436468e-06,-2.07042770271634e-05,0.000128263236198505,-0.000199518231678711,1.94392745157396e-05,0.000177933977710281,-0.000123742408237087,8.34856645417486e-06,2.68076559373382e-05,-6.80665830363172e-05,8.43335456241872e-05,-1.55113788516026e-05,-9.57832520089915e-05,0.00020037184392343,-0.00019758595882652,8.251449880859e-05,-2.82246396954288e-06,-8.27448781624202e-06,2.09270749477354e-06,4.40815082879425e-05,-7.00456360416377e-05,2.89907684425513e-05,-1.33803775432128e-07,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.8005123373349,0.00880801653881058,-0.000176463255810291,1.25920929651944e-06,-7.61802409430734e-07,1.04142870214855e-06,-4.4444347102668e-06,-2.18987819400365e-05,0.000134005549669956,-0.000227073970611605,0.000137487015973736,-8.34785707280456e-06,-1.16635481989743e-05,3.91337617405843e-06,-3.78206846915659e-06,1.02188944057818e-06,-4.29374497506014e-06,-2.27932595709088e-05,0.00011701399052124,-0.000195048734057319,0.000147142096917753,-4.45397501600701e-05,2.24663543069677e-06,-2.8902804693759e-06,-4.89254224622618e-05,0.000173158034135506,-0.000209581947638279,0.000106471355817483,-1.95865491537797e-05,8.68748699636103e-07,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,386.666666666667,435,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.8161788801792,0.0115122807336091,-0.00022971747720753,1.62730245488407e-06,-9.74411937419159e-07,1.33286091471208e-06,-5.69602115981678e-06,-2.87779093750134e-05,0.000173301164937504,-0.000300366037879729,0.000195440632781583,-1.53764575561806e-05,-3.4205274608889e-05,1.59876689783407e-05,1.19719391922097e-06,1.55246192129547e-05,-5.8689562662581e-05,4.98340016046599e-05,-3.7304920334675e-05,1.2915937202963e-05,0.000121051972268451,-0.000239274595318333,0.0001876452042348,-5.7443272475881e-05,2.75308781479364e-06,-3.47476206959029e-06,-5.95229839519955e-05,0.000215836469014474,-0.000266852453519668,0.000139574646399911,-2.86959879018619e-05,3.12406946176769e-06,-4.96228242975288e-07,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1
"65+",2,-14.6524046717239,0.0123335051466516,-0.000246524256542837,1.7518681692123e-06,-1.05373265395604e-06,1.44077738123597e-06,-6.15154717976078e-06,-3.06964881247864e-05,0.000185482113621139,-0.000313855258705707,0.000188717767409026,-1.13948831867946e-05,-1.25812852352092e-05,-1.49339543846521e-06,5.85678245931148e-06,4.41105322770369e-05,-0.000179381522197247,0.000224353585345075,-0.000110419124304117,1.10409604554948e-05,-8.30670220590385e-06,1.07753498460115e-05,7.64902676331785e-05,-0.000183748773818171,0.000156555483125628,-4.90875420817907e-05,2.76301519370807e-06,-1.75806721262663e-06,5.08996234366924e-06,-1.17343072641151e-05,-7.35799092537985e-05,0.000270367867006955,-0.000324837558239048,0.000165680639190492,-3.34313418763755e-05,3.60082451467587e-06,-5.7102073742886e-07,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333
"0-17",3,-13.9503294752587,0.00314738466794475,-2.49512167154065e-05,1.52224657351239e-08,7.53904873374574e-08,-1.07566142436468e-06,-2.07042770271634e-05,0.000128263236198505,-0.000199518231678711,1.94392745157396e-05,0.000177933977710281,-0.000123742408237087,8.34856645417486e-06,2.68076559373382e-05,-6.80665830363172e-05,8.43335456241872e-05,-1.55113788516026e-05,-9.57832520089915e-05,0.00020037184392343,-0.00019758595882652,8.251449880859e-05,-2.82246396954288e-06,-8.27448781624202e-06,2.09270749477354e-06,4.40815082879425e-05,-7.00456360416377e-05,2.89907684425513e-05,-1.33803775432128e-07,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.8005123373349,0.00880801653881058,-0.000176463255810291,1.25920929651944e-06,-7.61802409430734e-07,1.04142870214855e-06,-4.4444347102668e-06,-2.18987819400365e-05,0.000134005549669956,-0.000227073970611605,0.000137487015973736,-8.34785707280456e-06,-1.16635481989743e-05,3.91337617405843e-06,-3.78206846915659e-06,1.02188944057818e-06,-4.29374497506014e-06,-2.27932595709088e-05,0.00011701399052124,-0.000195048734057319,0.000147142096917753,-4.45397501600701e-05,2.24663543069677e-06,-2.8902804693759e-06,-4.89254224622618e-05,0.000173158034135506,-0.000209581947638279,0.000106471355817483,-1.95865491537797e-05,8.68748699636103e-07,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,386.666666666667,435,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1
