"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location"
"0-17",1,-14.4822540726214,-0.276085582707448,0.0310596272316141,-0.000564019842465543,0.0006747521950816,-2.59058660984436e-05,-0.000158506141585984,7.45764401025282e-05,2.38346529233292e-05,-3.41457576773198e-05,4.42546332475706e-06,-6.73084377704042e-06,1.33952655360158e-05,9.40511832854056e-05,-0.000286392128585562,0.000340686237942283,-0.000191138819804601,1.70020433367764e-05,4.99563405236679e-05,-2.61615577212502e-05,-6.29529552896552e-06,7.1174544506643e-06,-1.00884390593901e-05,4.55730590527209e-06,8.66120596269226e-05,-0.000156112130417709,9.03454786325002e-05,-1.64832510572095e-05,6.65477430228421e-07,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,531.666666666667,555.833333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-10.5525239695345,0.718926299415084,-0.0348464895353902,0.00053398526716288,-0.000636027753172197,0.000213092401724493,-0.000199512044722312,0.000102037872522243,-7.742059358761e-06,2.63359169233129e-06,-2.18739674731135e-06,-4.10574547951692e-05,4.80287717516673e-05,-3.44699544408785e-06,-1.17165418255539e-05,8.98277317549344e-06,-7.45681973120564e-06,7.77440919328046e-07,8.46656378169761e-06,-2.43775130979272e-05,1.71682168602482e-05,1.03931732224335e-06,-3.93749427251078e-06,-1.10258523335998e-05,-2.0558374097124e-05,0.0001532306577547,-0.000216403220357794,0.000117145631991532,-2.20009207438313e-05,8.58465296252144e-07,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,290,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,749.166666666667,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-11.5249432750733,0.858335182019534,-0.0411922265562753,0.000630900773801398,-0.000747695780407837,0.000239801986002634,-0.000236103487699555,0.000151861792877973,-3.62354259488998e-05,3.96331735124929e-06,-2.68875970082151e-06,-3.73586927603386e-05,4.95261242612532e-05,-2.57861808527093e-06,-2.03144258772424e-05,2.27855521821274e-06,2.84421008510777e-05,-6.7416814060033e-05,9.76497257941818e-05,-7.35760038070876e-05,5.13515434254786e-06,1.88541999154516e-05,-1.30795840861437e-05,5.54774874197947e-06,4.56813576667988e-05,-0.000108260305384403,9.51311686327292e-05,-2.92878364461971e-05,1.70928475907902e-06,-6.86224809412252e-06,-4.53341262225601e-05,0.000188337085492691,-0.000260666422294747,0.00017096643210662,-5.9789180562886e-05,1.21477115293131e-05,-6.84930753746668e-07,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,290,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1
"65+",1,-12.0779783205338,0.693029230325313,-0.0278916195489971,0.000393617221127602,-0.000405652603527206,6.01573542576779e-06,5.32840201424658e-05,-8.53841347732613e-05,4.97489354202634e-05,-4.34030869724891e-06,-5.91567375151792e-05,0.000105332448409585,-7.1708214004011e-05,5.62097703080768e-06,1.88886192494179e-05,-3.57044372855553e-05,6.75605444622179e-05,-1.66937739360725e-05,-0.000110310843133187,0.000161456721480516,-0.000205063734548448,0.000389166201433101,-0.000457889543992281,0.000272107827182795,-8.87830866567492e-05,2.05559752243491e-05,-3.16637743819569e-06,4.99126220932389e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.7603677012734,0.00529394061738474,-5.88937112631252e-05,2.04414893282053e-07,-8.81181922155949e-08,9.20633527703136e-07,-5.02439721040263e-06,-2.37306412714876e-05,0.000179888459887971,-0.000334955895678282,0.000212071809888537,-1.32835922702135e-05,4.43609764988135e-06,-1.9235395092224e-05,-1.76730900216785e-05,1.89521362098451e-05,-9.92147496979757e-07,-1.61021515511599e-05,1.86600193439116e-05,-1.90258987257232e-05,6.28614410351128e-06,0.000113975144508789,-0.000199028516145495,0.000114154735539169,-2.12591637641088e-05,8.46126955729273e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,507.5,531.666666666667,652.5,676.666666666667,700.833333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.8704513768417,0.00942640302051065,-0.000188216651795356,1.33489561203961e-06,-8.00677927637601e-07,1.09498272115068e-06,-4.67726208207144e-06,-2.35389345232601e-05,0.000141951579885218,-0.000237735464066734,0.000141861647506457,-8.68523075264901e-06,-1.10239921853067e-05,9.14353743548421e-06,-9.87283517066405e-06,1.02674814698118e-06,1.57297492847631e-05,-3.54291516054228e-05,2.09335605535712e-05,-2.58325614453603e-05,9.83312731550298e-06,0.000122530595197556,-0.000200019278769156,0.000112824698648888,-2.14803060214374e-05,8.27121979054873e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.8932792334256,0.00869225020887986,-0.000174610504842143,1.28582135685989e-06,-8.58418934705705e-07,2.28153843538841e-07,-1.86235899730178e-06,-2.64689752738632e-05,0.000141881152875868,-0.000207219311727183,2.32427579866922e-05,0.000195829385951096,-0.000202540693665138,9.12627290996117e-05,-5.01568084275987e-06,-3.57748469368874e-05,5.53579023921274e-05,-7.61875241778867e-06,-7.98615970016578e-05,7.1999623326508e-05,-1.6352865114709e-06,-3.56557671604781e-05,1.26095939533392e-05,0.0001028520497794,-0.000242548472299469,0.00029292438531447,-0.000258194212703549,0.000189063438488205,-9.20388601379707e-05,9.00377550614138e-06,2.06944880541154e-05,-5.42998820254757e-05,1.69157030627909e-05,0.000195895688284034,-0.000332606109423628,0.000226758827526718,-7.85829529517421e-05,1.58493626213184e-05,-8.70174620640548e-07,24.1666666666667,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333
"65+",2,-14.9123600947191,0.0070731093338469,-7.59901789699141e-05,-3.04080589816013e-07,8.94675244329614e-07,-1.61584982352328e-06,-2.71448093647571e-05,0.000146433888688687,-0.000211043960985724,2.19480853682429e-05,0.000176624267264176,-0.000166255852624323,7.8002266316022e-05,-4.7147215272475e-06,-5.04634567049094e-05,7.41323192575311e-05,-8.93526949901863e-06,-9.26873339064093e-05,0.000132229089669923,9.80156007851708e-05,-0.000376759058063376,0.000298807954924038,-0.00010865301676789,2.3958352540883e-05,-2.9218601566143e-06,4.53557074297428e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,386.666666666667,410.833333333333,435,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.7603677012734,0.00529394061738474,-5.88937112631252e-05,2.04414893282053e-07,-8.81181922155949e-08,9.20633527703136e-07,-5.02439721040263e-06,-2.37306412714876e-05,0.000179888459887971,-0.000334955895678282,0.000212071809888537,-1.32835922702135e-05,4.43609764988135e-06,-1.9235395092224e-05,-1.76730900216785e-05,1.89521362098451e-05,-9.92147496979757e-07,-1.61021515511599e-05,1.86600193439116e-05,-1.90258987257232e-05,6.28614410351128e-06,0.000113975144508789,-0.000199028516145495,0.000114154735539169,-2.12591637641088e-05,8.46126955729273e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,507.5,531.666666666667,652.5,676.666666666667,700.833333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.8704513768417,0.00942640302051065,-0.000188216651795356,1.33489561203961e-06,-8.00677927637601e-07,1.09498272115068e-06,-4.67726208207144e-06,-2.35389345232601e-05,0.000141951579885218,-0.000237735464066734,0.000141861647506457,-8.68523075264901e-06,-1.10239921853067e-05,9.14353743548421e-06,-9.87283517066405e-06,1.02674814698118e-06,1.57297492847631e-05,-3.54291516054228e-05,2.09335605535712e-05,-2.58325614453603e-05,9.83312731550298e-06,0.000122530595197556,-0.000200019278769156,0.000112824698648888,-2.14803060214374e-05,8.27121979054873e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
