"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location"
"0-17",1,-14.748342330444,0.20270337159202,-0.00217656776112325,-2.65896761824516e-06,1.2545345592389e-05,6.5936978687238e-05,-0.000168096577285538,0.000130802945095624,-1.65031067455955e-05,-9.49019951144347e-05,0.000174900264592431,-0.000173482280711708,8.46012752379114e-05,-1.12499867322791e-05,1.19507323353196e-05,3.14586043968998e-05,-0.000179459757219996,0.000266821904367911,-0.00020977509133375,9.9443215709649e-05,-1.04596425533096e-05,-2.01467734394734e-05,2.72448054358588e-05,-2.52608132929109e-05,1.88833954492618e-06,3.11961194571098e-05,-4.27656099692355e-05,1.63432226924836e-05,-1.17034509690959e-06,4.65197560707022e-06,-1.23415756416851e-05,-7.12202524618683e-05,0.000289762680140895,-0.000387897912070503,0.000244893888074575,-8.28404731555558e-05,1.67688963489294e-05,-9.77523868629262e-07,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,483.333333333333,507.5,580,604.166666666667,628.333333333333,652.5,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1
"18-49",1,-7.56026119096688,0.0913225518696818,-0.00277447604927021,2.55910554039808e-05,-6.03442093889924e-06,-8.22565533661092e-05,9.9384786401301e-05,-3.6401722322485e-05,2.98844376890858e-06,-2.7773871565508e-06,-3.1502548680085e-05,5.98551725854622e-05,-3.05685760547256e-05,3.65050818506755e-07,5.91860532616937e-06,-4.7279087339453e-06,2.05259483045359e-06,-2.58370848142897e-06,6.95985588410844e-06,-1.62616574784296e-05,-9.04488584745679e-05,0.000355593461229289,-0.000479546667009026,0.00033030073730549,-0.000148422199357339,5.31062614910516e-05,-1.13864892245436e-05,8.0096500246243e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,314.166666666667,410.833333333333,435,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-7.5987722919834,0.131451941623784,-0.00338454357955069,2.98864898278825e-05,-9.31062627603781e-06,-9.57564446486846e-05,0.000151556530832025,-0.000113255834859592,5.1244901122646e-05,-3.50642534047944e-05,7.23051229055613e-06,3.62653734456977e-05,-2.4802905434139e-05,1.2184654076107e-05,-2.93787582095177e-06,-2.45121148420585e-05,2.10910285930195e-05,-1.52330691360715e-05,4.71675024179646e-06,5.00851508925671e-05,-9.18358675831212e-05,6.13849268487569e-05,-4.9086360844996e-06,-1.09069449433469e-05,4.40384631983109e-06,2.77569347382406e-06,-1.00667686619184e-05,-7.14926745152522e-05,0.00026797797078408,-0.000350688548252788,0.000220649771224544,-7.50006230791163e-05,1.52109297878421e-05,-8.89067495538582e-07,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,749.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1
"65+",1,-8.92013918264283,0.231466913675971,-0.00167924087161635,-4.23562282116737e-05,0.000118599531701472,-8.74399253955309e-05,3.95169168970642e-06,1.18766224934251e-05,-1.77492554035324e-05,3.73397785209859e-06,2.84694635885698e-05,-2.4067695115572e-05,5.1067748612954e-06,1.57713139974596e-06,3.40950290200793e-05,-0.000121267694101743,0.000154401367804203,-8.13985499880657e-05,8.18192553461763e-06,-6.10202398726063e-06,7.82890277603485e-06,5.62917058677771e-05,-0.000129488485576222,0.000109450416145844,-3.49651764374979e-05,1.66638264913392e-06,-2.53409284650188e-06,-4.38732945075851e-05,0.000155780540897401,-0.000189070481446515,9.6236722022995e-05,-1.7723647378336e-05,7.85808858695385e-07,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,193.333333333333,217.5,241.666666666667,265.833333333333,314.166666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.8814191497632,0.0268217315448059,-0.00330606833647038,0.000112861408162703,-0.000225564812764038,0.000154344660611411,-1.05275379777423e-05,-8.4969953485492e-05,7.92006180323782e-05,-1.06356791927573e-05,-7.03336311594363e-05,0.000143794352027702,-0.000155997642928807,8.19367096414788e-05,-1.02630154171546e-05,1.06624175702368e-05,1.83758017452109e-05,-0.000148955427940376,0.000239951229699738,-0.000208970494290086,0.000124231783669587,-4.17135108631533e-05,2.26306116259641e-06,-1.10284467431459e-06,-9.59395619768009e-06,2.46314463058917e-05,-1.43465959247169e-05,3.82225793345425e-06,-2.68275805037267e-05,9.70616424322639e-06,0.000111347100439749,-0.000177716888208941,9.72526892740318e-05,-1.75699955938085e-05,7.05237707813892e-07,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,555.833333333333,580,604.166666666667,628.333333333333,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1
"18-49",2,-14.2662749528246,0.0225945951088234,0.020707196905764,-0.000454282336504654,0.000646880873867071,-0.000209037993566085,6.59314380715569e-06,1.5782879660159e-05,-2.0937406815397e-05,4.39443575471346e-06,2.84902230123572e-05,-1.90714157655218e-05,2.48065908667656e-06,-1.67848480554517e-06,6.47139673739574e-07,-8.98772815340973e-06,-2.8288701857146e-05,0.000152159624618669,-0.000203660950373124,0.000107629063845028,-1.9971468831241e-05,8.5548138931926e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,217.5,241.666666666667,265.833333333333,290,410.833333333333,483.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-13.8196017674384,0.022674840454991,0.0190737648138105,-0.000409873952572755,0.000573475851023024,-0.000177951816736438,6.14964887804557e-06,2.05377842706165e-05,-8.71270240686649e-06,-1.53908833594351e-05,2.7162519137452e-06,2.3874541638758e-05,-1.60435769900869e-05,1.00012568815791e-06,2.14068181903145e-05,-4.93215239507797e-05,3.49121636573851e-05,-2.1579599393455e-06,-3.07652657150375e-05,4.82493329030218e-05,-5.01820923310875e-06,-5.43261249884648e-05,4.81399038451109e-05,-2.94475926744116e-06,-9.88514894457268e-06,7.55858538409964e-06,-3.159451932016e-05,9.92568952139379e-06,0.000111282603417469,-0.000172740244425097,9.41466768725071e-05,-1.7339315869492e-05,6.87363462466727e-07,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,145,217.5,241.666666666667,265.833333333333,290,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-15.0131601645281,0.210980906000747,0.00531484640219951,-0.000134912625021204,0.000164872979832105,-4.39918316688126e-06,-2.36260303552267e-05,-6.02931760231189e-06,4.57717779195473e-06,6.41368557146459e-07,2.1351113951386e-05,-6.76035885900613e-05,5.84432083755821e-05,-3.3231405505787e-06,-5.01388104301987e-05,7.21934196860294e-05,-9.76239733443335e-06,-7.9984567264823e-05,8.53040797921406e-05,-2.72112599201306e-05,1.62270216996444e-06,-6.76905177338876e-06,-5.30742445221991e-05,0.000195190668780963,-0.000235206614178111,0.000118497016759269,-2.15944665464561e-05,9.38443522712581e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,217.5,265.833333333333,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.0602900879152,-0.00192429041851496,2.06693933605613e-05,-5.71115267525566e-08,8.55170518950316e-07,8.06461727842348e-06,-5.60535723887389e-05,0.0001817861722959,-0.000241370795006118,2.45100241085277e-05,0.00019498740792369,-0.000123597191530108,7.54269154443615e-06,6.31622835622671e-05,-0.000178937964578474,0.000212001559916583,-0.000130260492690136,1.77329703625418e-05,8.70373688943848e-05,-0.000115252960657154,5.06019787912958e-05,-2.48584482382099e-06,2.29907860706495e-06,-8.58637959706247e-06,-5.8080133220416e-05,0.000231724237483177,-0.000310181637965357,0.000196294651432639,-6.63935061709441e-05,1.34449547271542e-05,-7.85568985678057e-07,0,0,0,0,0,0,0,0,0,0,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,725,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.7888123771342,-0.00465138566346875,7.70616351301398e-05,-2.67363589752052e-07,-3.139605412273e-07,1.66465230525987e-06,1.25360023817648e-05,-7.03763450793033e-05,0.000194455409858486,-0.000240849565784898,2.86444281650472e-05,0.000221331696568984,-0.000254564881243343,0.000174163718708413,-0.000106296641915536,5.00602811241164e-05,-3.4830720024767e-06,-8.86971197198722e-06,1.73467251435342e-05,-4.66666925497928e-05,5.8654722770897e-05,-9.85936253344347e-06,-6.99558497835719e-05,7.96447263972558e-05,-2.68656514026609e-05,1.69783687857925e-06,-7.17843489730465e-06,-5.13430706452052e-05,0.000207920359010536,-0.000280883176928533,0.000178513625041699,-6.03670586622159e-05,1.22223410236634e-05,-7.13859876881055e-07,0,0,0,0,0,0,0,48.3333333333333,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,435,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1
