"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location"
"0-17",1,-14.8352461404892,-0.0538508135634476,0.00937773856651534,-0.000185036723642189,0.000264217423544049,-9.5017924349136e-05,3.93722259934022e-06,2.10634614374356e-05,-2.53224247133241e-05,3.0909337501077e-06,2.74161102787006e-05,-2.6120189771931e-06,-4.7032633986709e-05,3.9340209844549e-05,-3.94302288290704e-07,-3.70943871768637e-06,-1.0440810336772e-05,1.50313383386673e-05,-4.60890672544172e-06,-4.48147201439699e-06,2.07894112209459e-06,3.95571503916798e-05,-6.31835059625124e-05,2.62294657402625e-05,-1.19294424702211e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,193.333333333333,217.5,241.666666666667,290,314.166666666667,338.333333333333,386.666666666667,435,555.833333333333,580,628.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-9.64152208631383,0.323728385031889,-0.0129261333596585,0.000174489010975447,-0.000166974176828684,-3.44763819011154e-05,3.50046312038356e-05,-1.63281112863167e-06,-3.50115927527962e-06,-4.44363378386032e-06,-3.72930766903286e-05,7.66599973060517e-05,-4.01540440183941e-05,4.6651068424111e-07,1.03080353412509e-05,-9.32438846673607e-06,7.70526305137975e-07,1.35304628688269e-05,-3.30621785777458e-05,2.37996359166992e-05,-4.08352479482945e-06,1.62464764772589e-06,-6.92742348235651e-06,-5.08292728263971e-05,0.00020378758144125,-0.0002736599882984,0.000173486678572254,-5.87759345202007e-05,1.19077942817036e-05,-6.95738432088732e-07,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,314.166666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.83240703797888,0.1525479616059,-0.00308232978099589,2.36349605333597e-05,-6.90536319874383e-06,-5.13993462495239e-05,4.54371057023729e-05,-1.51557361382508e-05,-2.28740611627081e-05,5.05249342222535e-05,-4.97257905383513e-06,-3.87514079329193e-05,2.0238773445579e-05,8.89854001158256e-06,-1.9895022867576e-06,-2.45596156194554e-05,2.18328634175327e-05,-1.71761995211245e-05,5.97575893707628e-06,6.24676261941146e-05,-0.000117165465695045,7.48825308342328e-05,-4.04376791160585e-06,-8.75101704176796e-06,1.03449077803582e-06,-4.8974458723615e-06,-4.08755374848024e-05,0.000155049692625801,-0.000191480285617009,9.85070797723047e-05,-1.82667481562876e-05,7.77002129181563e-07,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,169.166666666667,217.5,241.666666666667,265.833333333333,290,314.166666666667,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.4005602124307,0.246834859464952,-0.00277978286999352,3.25132550872774e-06,6.04182975900813e-06,2.57269831630173e-05,-5.19421176247467e-05,2.13648608815244e-05,-2.15227060150695e-06,-5.2513460251326e-05,0.000110459520095912,-7.87989489615663e-05,6.08553021390484e-06,1.69949740431178e-05,-2.68113801924948e-05,5.21860289485063e-05,-8.91155243007052e-06,-9.12118245622768e-05,0.000110493097727351,-3.9733220784319e-05,4.92024021141019e-06,-2.64296372421396e-05,1.08416447269734e-05,9.86063337241942e-05,-0.00020254275283507,0.000147558810280285,-9.35818899186042e-06,-2.91199946025947e-05,1.13854184997695e-05,-5.10844309409871e-06,-7.22523938335436e-05,0.000199572973370432,-0.000213579078882529,0.000103784608695559,-1.968695869726e-05,8.7512151547795e-07,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0417006524748,0.0142250220443433,1.76333883265646e-05,2.292781818749e-06,-2.34521357160807e-05,7.42175313677877e-06,6.87447796219427e-05,-0.000126247576588186,0.000159270833969483,-0.00015967782501247,8.67152874859758e-05,-1.06628242331142e-05,1.0312255807751e-05,1.88402971239573e-05,-0.000132806587239366,0.000198344283382775,-0.000180798938462782,0.000130765385044859,-5.32398082628386e-05,2.25025856668231e-06,1.78697096711775e-06,5.13939691840841e-07,-1.42290191121969e-05,5.54399400245868e-06,7.21091790514705e-05,-0.000117864668246322,6.54437240472656e-05,-1.1856123052332e-05,4.78008255666393e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,531.666666666667,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.6508198957749,-0.159805852382377,0.0309712109430757,-0.000605824348573748,0.000799656391343888,-0.000206376087981275,9.3932938526796e-06,-2.17480512860465e-06,1.58925654061232e-05,-2.68951259507924e-06,-4.09758164976543e-05,3.99458010374987e-05,-1.24509381529815e-06,-7.29362797168929e-06,3.41677976155882e-06,-2.62329784472303e-06,7.96264276495336e-07,8.94763062568556e-06,-2.11811686866776e-05,1.37222558477909e-05,-8.98871432509518e-06,3.26286551754525e-06,5.92601845713695e-05,-0.000102937861487119,5.74779672592025e-05,-9.88305361802507e-06,4.20037411787661e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,145,193.333333333333,217.5,241.666666666667,290,314.166666666667,410.833333333333,483.333333333333,580,604.166666666667,628.333333333333,652.5,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-13.7376294964764,-0.154302168186922,0.0282309491740566,-0.000546861135482593,0.000719857156095794,-0.00018640629960245,6.31989517011867e-06,1.37565524043369e-05,-2.60107370057829e-05,4.79760751761095e-06,3.90095303462206e-05,-2.62381105309649e-05,1.36254064860524e-06,2.82002966971062e-05,-6.53927244281114e-05,4.71816767074082e-05,-3.01091460387481e-06,-4.44932766687859e-05,7.01315459438822e-05,-7.14793910668466e-06,-7.7141404828177e-05,6.48921837766877e-05,-3.83404850706117e-06,-9.05659776437693e-06,-1.76647757490213e-06,-3.06937426849437e-05,0.000118673800376232,-0.000152044672424432,8.03930898680176e-05,-1.512703287347e-05,6.46961384357414e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,217.5,241.666666666667,265.833333333333,290,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.8130857187625,-0.111760039929073,0.0245412272916248,-0.000449969842027205,0.000548333389875927,-9.67969568565663e-05,2.07990862463224e-06,-1.65397419327061e-05,3.21193966412947e-06,2.40615975111081e-05,-1.54122345155532e-05,2.2852754434836e-06,4.86220195653215e-05,-0.000154249739334563,0.000176764276008027,-8.46811504192799e-05,9.24177901237641e-06,-7.06010825720932e-06,9.21377307980374e-06,6.38568841483029e-05,-0.00015696020317625,0.000135330120965088,-4.25159530034723e-05,1.9828280627413e-06,-2.77341304631992e-06,-4.95154443964692e-05,0.000167772394181164,-0.000198439636127254,9.94785677357114e-05,-1.81418216513593e-05,8.18932649318301e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,217.5,241.666666666667,265.833333333333,290,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9605508144342,0.00264157625783194,-2.08052576436412e-05,1.1289502186416e-08,6.51163702616355e-08,-9.32626434436992e-07,-1.80003478652432e-05,0.000114709952429146,-0.000179653832208113,1.8486791977637e-05,0.000148023594678965,-8.60895302201898e-05,1.46683983461458e-06,6.67367688898901e-07,2.13030958335574e-05,-3.67464087575945e-05,1.71673927267342e-05,-1.07371971950125e-06,4.90959785682263e-06,4.03507548050757e-05,-0.000149234097627394,0.000166847009472046,-6.53469957306247e-05,1.7953150843895e-06,1.31625937542986e-05,-3.99153697095223e-06,-6.81994866412817e-05,9.97690316178892e-05,-4.05651189694271e-05,2.85598049319037e-07,2.04930632293519e-05,-9.43113402420836e-07,-8.38578458856901e-06,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,1135.83333333333,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1305,1522.5,1546.66666666667,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9869758301658,0.00695224076650875,-8.03210808856784e-05,-1.86212367783147e-07,7.50604563981572e-07,-1.38436285209069e-06,-2.5896246302733e-05,0.000133787581085523,-0.000198438948710807,2.55001760532622e-05,0.000208044707572765,-0.000255111805292716,0.000179083267945688,-9.81567747279686e-05,3.92787201319664e-05,-2.81626504918165e-06,-5.07658723930486e-06,-6.54771212622561e-06,4.57666724250311e-06,4.86311136730963e-05,-0.000103856229170781,7.00656749838144e-05,-1.42087208189903e-05,1.42041025007605e-06,-2.09647388754708e-06,7.48053346849481e-06,5.78700595420382e-05,-0.000204394549899688,0.000235534695659775,-0.000103979959990543,4.692796443681e-06,6.52436472103205e-06,-1.33268568836505e-06,9.14302107363338e-07,2.05418801496688e-05,-6.72744613891113e-05,7.20386194752165e-05,-2.62193965902229e-05,3.08593750818808e-07,-1.79717921724723e-07,0,0,24.1666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,435,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,725,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,1111.66666666667,1305,1329.16666666667,1353.33333333333,1377.5,1401.66666666667,1450,1546.66666666667,-1,-1
