"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_43coef","knot_44coef","knot_45coef","knot_46coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location","knot_43_location","knot_44_location","knot_45_location","knot_46_location"
"0-17",1,-14.127538560012,0.0922995671300873,0.00181952298484672,-7.4396003201866e-05,0.000130799969013023,-0.000184058040798926,0.00018929327624431,-2.48655443472353e-05,-0.000131177550064569,0.000220077926271893,-0.000228541634634925,0.000127636054873595,-1.2519991765302e-05,9.9273102204865e-06,-1.36338397578415e-05,-0.00010531955425676,0.000213788111023372,-0.0002026694389243,0.000126363165148465,-4.30668189367388e-05,2.07362055598787e-06,-1.70139248491502e-06,-2.57540342398694e-05,8.32043255895789e-05,-8.79341708022319e-05,3.40561257277714e-05,-3.63874660757276e-07,-8.42281030089358e-06,2.90894768376212e-06,5.07696029068454e-05,-7.77657089006291e-05,3.14391869774649e-05,-1.42257448992659e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-7.61540838428577,0.052519575733853,0.00149169536133882,-5.87700252198694e-05,0.000101081241982238,-0.000140949088623381,0.000153806839849314,-5.31935338830832e-05,2.87466585903537e-06,-4.18251104870787e-05,5.34030152085059e-05,-5.14114601151412e-06,-1.30881439986656e-05,4.53150356545671e-06,-3.0304773581954e-06,5.08213902414619e-07,7.68703195283977e-07,-4.95071617377862e-06,-5.13863377924355e-05,0.000194222098869626,-0.000240367142683403,0.000123161487042835,-2.26377210569286e-05,9.78364084241121e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,386.666666666667,435,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-7.57439812486382,0.0733509957172084,0.0011166127910477,-5.76033397947277e-05,0.00010977459895239,-1.65125381166362e-05,-0.000157613887947986,0.000233265318227908,-0.000158655658714815,6.94522584933686e-05,-1.03684444974408e-05,-5.81728132616437e-05,6.45880157993215e-05,-3.86691079370292e-06,-1.71134554596684e-05,9.12783188790189e-06,-1.75378575708828e-06,-2.27200882660982e-05,2.31137649349484e-05,-1.94816008719784e-05,6.46093280849111e-06,6.85996682926169e-05,-0.00013220959850466,8.88431878328336e-05,-5.94901432430213e-06,-1.15181791925289e-05,-2.31612640569991e-06,-3.95920184059924e-05,0.000153270462262922,-0.000194785098980464,0.000101989949360026,-1.9079057123073e-05,8.22785505856485e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,386.666666666667,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-8.43560538110497,0.143816966837472,-0.00154502874050937,4.15558780344484e-06,1.78183646674129e-07,-4.93005245559883e-08,-2.65142264556793e-05,6.64936543162025e-06,7.01502207728278e-05,-8.97323493074706e-05,3.62244324882551e-05,-4.74642353907771e-07,1.27851046348119e-05,-4.63644598025858e-06,-5.34174465698314e-05,6.04467580321116e-05,-3.53717981928075e-06,-6.40736957661684e-05,9.41397775904494e-05,-1.05015341331202e-05,-0.000111564126217144,0.000104001923480416,-6.05872261591187e-06,-1.88846032336013e-05,-1.34770244569228e-06,-2.53840542206467e-05,8.83068305930144e-05,-9.39195665242121e-05,3.38321457799576e-05,-7.70273916710813e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,193.333333333333,217.5,241.666666666667,265.833333333333,290,338.333333333333,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.6058904451779,-0.0754217078379299,0.00499776141256481,-5.31661438504438e-05,1.21291508818075e-06,0.000103796070368311,-1.56774591106048e-05,-0.000166840539887365,0.000241571593927501,-0.000148365646926047,1.7238340412164e-05,9.05591856601211e-05,-0.000146922749538639,9.71794646628613e-05,-8.34526827317736e-06,7.51184555674361e-06,-1.16592079470368e-05,-9.78720639647843e-05,0.00019372061995736,-0.000178298227743226,0.000111968633755326,-3.98943854367698e-05,1.46855487471082e-06,2.50140447360881e-06,-3.31919012046846e-06,1.26978835234418e-06,2.71731857672504e-05,-4.77393530842586e-05,2.10239585735562e-05,-9.34022005229784e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,652.5,725,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-10.9530471018775,-0.540387317408614,0.0489111015733871,-0.000883929324288085,0.00112172620998714,-0.000259404328791648,1.39178247882411e-05,-4.00271985205145e-06,1.88891955600442e-05,-1.6735858840414e-06,-3.93232680695034e-05,4.65044662146688e-05,-3.07746987942845e-06,-1.04384341372626e-05,7.22431221729521e-06,-7.88396163912476e-06,1.23863925399133e-06,1.57457668706391e-05,-3.7955239113393e-05,2.64772947696459e-05,-5.34091728008e-06,1.4098935095731e-06,-4.85407155452059e-06,-2.57876107226575e-05,0.000126600225964538,-0.000171903130545312,9.2508797549743e-05,-1.73757889829882e-05,7.04535256449759e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,265.833333333333,290,459.166666666667,483.333333333333,580,604.166666666667,628.333333333333,652.5,725,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-11.8315235263468,-0.30388217890267,0.0355174891811062,-0.000664649210125503,0.000861237146045843,-0.000214340288557313,1.10840290790162e-05,-3.09202431871677e-06,1.66962093280865e-05,-1.47443193351633e-06,-3.34774816292452e-05,3.64099847084153e-05,-1.90632777934634e-06,-6.51654678642784e-06,-1.30217974009011e-05,3.40962737465034e-05,-5.86441170494685e-06,-5.89415429939866e-05,5.5910144623695e-05,-3.23619918412442e-06,-9.05744247085374e-06,-1.2291796075759e-06,-1.92303020105191e-05,7.04250737901652e-05,-7.82414017979501e-05,2.85635083700719e-05,-1.39543981231455e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,265.833333333333,290,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-13.3240345012276,-0.0608042525433212,0.0163524488051476,-0.000282858357118788,0.000310032569458118,-6.93526472625906e-06,-1.67787101678761e-05,-8.9773641424821e-07,-2.27000693084145e-05,2.52942968672679e-05,-5.32362590996621e-06,1.48246002869775e-06,3.25766256784261e-05,-0.000100605178974715,8.88330421948213e-05,-4.94826801458858e-06,-7.95033618381851e-05,0.000111983092402177,-1.61103738082177e-05,-0.000120389142808059,0.000125801435893955,-3.76719478188478e-05,1.88799458996325e-06,-7.63107222193776e-06,-6.42000261266221e-05,0.000212502168869026,-0.000240507387457984,0.000116793290484367,-2.10747588387061e-05,9.45351304284855e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,193.333333333333,217.5,241.666666666667,290,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9368943837309,0.00308221736789198,-2.45757366687163e-05,1.63846896432788e-08,7.20711760740185e-08,-1.03459941346926e-06,-2.04128092509354e-05,0.000126534945762665,-0.000196120438877677,2.01572723093226e-05,0.000160253780708675,-9.31402914390465e-05,1.56497343947158e-06,8.51025335587644e-07,2.51680699059128e-05,-4.4832382087515e-05,2.15402917008496e-05,-9.86949407745554e-07,4.30148314754914e-06,3.31925442449079e-05,-0.000126140424480962,0.00014583136345781,-6.06776367502909e-05,1.78311517676464e-06,1.20537603128185e-05,-3.88215460552593e-06,-7.81582003132901e-05,0.000123581405131957,-5.31618494285101e-05,4.09158818907427e-07,1.45044407748648e-05,-6.31283080532721e-07,-7.01334068204076e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,1111.66666666667,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1305,1498.33333333333,1546.66666666667,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9264248255506,0.008805515501126,-0.000176417268455133,1.2589345886203e-06,-7.61681604805131e-07,1.04125966256038e-06,-4.4436738534862e-06,-2.18915171173962e-05,0.000133970889159517,-0.000227007454088908,0.000137426757171879,-8.33697503672704e-06,-1.16476673257513e-05,3.89008893421853e-06,-3.75409229644886e-06,1.05527377791623e-06,-4.45173214534513e-06,-2.33048327151321e-05,0.000120517867469193,-0.000203163425879029,0.000156607559268133,-4.93454933588038e-05,2.45691707907708e-06,-1.52086012777754e-06,5.6249259525697e-06,4.12341811524215e-05,-0.000154539013524576,0.000180991426909999,-7.88532278661128e-05,3.38648696213834e-06,4.08002213379299e-06,-4.60368515143359e-07,-2.94026134587489e-06,3.36602577978581e-06,-1.30749050795076e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,386.666666666667,435,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,1111.66666666667,1353.33333333333,1377.5,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
