"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location"
"0-17","1",-14.6335549298623,0.203932070194127,-0.00460840104582259,3.99219346354402e-05,-9.81784633213329e-06,-4.66861201508589e-05,0.000189216064335821,-0.00043127753137175,0.000413553713405762,-0.000159297401583585,2.48070215699149e-05,0.000211342128170723,-0.000721091981933924,0.000766486230486907,-0.000285118879096511,1.03769464653108e-05,-3.83577115335062e-05,4.05749137704436e-05,-5.0232479759785e-06,-5.58474249688675e-05,0.00012931266972242,-7.43919381973498e-05,1.61748845007884e-06,-2.99847502704997e-07,0,0,0,0,0,0,0,0,0,0,28.6060606060606,57.2121212121212,128.727272727273,143.030303030303,157.333333333333,171.636363636364,286.060606060606,300.363636363636,314.666666666667,328.969696969697,343.272727272727,400.484848484848,543.515151515152,557.818181818182,629.333333333333,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49","1",-9.99750595494081,1.20630283858491,-0.119435605192967,0.00341126628615752,-0.00435559605494914,0.0013676665427117,-0.000496038058870537,4.23954845973486e-05,3.59633202545671e-05,-2.12172814442545e-05,1.89066355720959e-05,-6.5478959929953e-06,1.77150477832018e-05,-1.47530475587367e-05,1.75096751894847e-05,-4.06913004498821e-05,2.42879388833419e-05,-0.000123496566395703,0.000262645714503221,-0.000142378212530533,3.33796357023728e-06,-1.06703721205048e-06,1.11599259531554e-07,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,85.8181818181818,200.242424242424,228.848484848485,314.666666666667,400.484848484848,414.787878787879,615.030303030303,629.333333333333,643.636363636364,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64","1",-9.75355053585737,1.12492142205582,-0.110438698783535,0.00314677988562876,-0.00398985285434422,0.00119119130099019,-0.00039957212844119,3.12474428252318e-05,9.12343664096775e-05,-7.38456229793067e-05,3.85447685639471e-06,-3.05919755497165e-06,4.58381151455777e-06,-3.90299084389266e-06,1.06222533218456e-05,-3.90198977279572e-05,3.07201990345818e-05,-8.80035815558679e-05,0.0001828702138095,-9.72286014863058e-05,1.70489383350564e-06,-3.21985333268205e-07,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,114.424242424242,128.727272727273,228.848484848485,314.666666666667,386.181818181818,457.69696969697,586.424242424242,629.333333333333,643.636363636364,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+","1",-10.6402873849823,1.00803257119487,-0.0971901481870028,0.00283937647618103,-0.00362130323587175,0.000915913244097316,-6.50422870969444e-05,-6.75876840290261e-05,-7.64879201847236e-06,5.333267821487e-05,-6.34837687782477e-05,3.90838512923173e-05,-5.37016994996222e-05,5.15324023342709e-05,-1.48047256845769e-05,-6.90920485921019e-05,7.00695305053544e-05,-9.28391656200473e-05,0.000146164014647713,-3.64689036802666e-05,-0.000192436578260576,0.00025559247344077,-8.59459806944223e-05,-4.05264836120706e-05,7.8384787523261e-05,-3.88977625868266e-05,4.38704515856098e-07,-1.70679333156206e-07,4.55351726323612e-08,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,200.242424242424,257.454545454545,271.757575757576,328.969696969697,371.878787878788,400.484848484848,443.393939393939,457.69696969697,472,572.121212121212,586.424242424242,615.030303030303,629.333333333333,643.636363636364,657.939393939394,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1
"0-17","seasonal",-14.8053615613716,0.0460076231836309,-0.0082958027900797,0.000302879923499569,-0.000366705829625223,0.000190810509093836,-0.000146122627734728,0.000147974630010575,-0.000250120124182387,7.87867293304425e-05,0.000179096460436455,-0.000158455323992619,2.54178316443635e-05,2.14828641558908e-05,0.000175718196562519,-0.000899287249461006,0.00147805938510019,-0.00115999702084411,0.000425760248561637,-3.19830081404254e-05,-1.28191794825006e-05,-1.40658147133688e-05,1.45187601764846e-05,-2.56226979427795e-06,-2.66953970533739e-05,7.54871372981047e-05,-4.81466474575709e-05,1.01672303585689e-06,-9.29093245944536e-08,0,0,0,0,0,14.3030303030303,57.2121212121212,71.5151515151515,143.030303030303,157.333333333333,171.636363636364,185.939393939394,200.242424242424,243.151515151515,314.666666666667,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,400.484848484848,429.090909090909,572.121212121212,586.424242424242,743.757575757576,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1381.75757575758,-1,-1,-1,-1,-1
"18-49","seasonal",-13.7024581787115,-0.160078498772966,0.00409569099793666,0.000652231454452475,-0.00237247095194561,0.0032417762716428,-0.00247069337891247,0.00159886534944528,-0.000946636367566835,0.000322118589361267,-2.08952272828254e-05,-2.90000740203445e-05,2.62423367113012e-05,-1.29330352306845e-05,1.25861005396856e-05,-1.2836361620878e-06,-5.82544509490203e-06,6.40076015729671e-06,-6.26839158976622e-05,0.00013457537976513,-7.35714415978403e-05,1.47211238027789e-06,-2.68987018989594e-07,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,71.5151515151515,85.8181818181818,100.121212121212,228.848484848485,243.151515151515,371.878787878788,386.181818181818,486.30303030303,629.333333333333,643.636363636364,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64","seasonal",-13.3001112598396,-0.195322953465018,0.0100449845965458,0.000414474950925815,-0.00192946462778594,0.0028341114826374,-0.00203362108053164,0.00107439142985588,-0.000437817173598365,4.76055604392224e-05,4.40474976758594e-05,-1.68301122451337e-05,3.09518415917891e-06,8.01734040890536e-07,-1.52084795776499e-06,6.95062071060576e-05,-0.000151672720904785,8.68675502234288e-05,-4.05222161789873e-06,-4.28813353607434e-05,9.63992451503832e-05,-5.4420625404964e-05,1.20201365178126e-06,-2.21716729271743e-07,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,71.5151515151515,85.8181818181818,114.424242424242,171.636363636364,243.151515151515,386.181818181818,457.69696969697,615.030303030303,629.333333333333,643.636363636364,715.151515151515,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+","seasonal",-14.2515141232584,-0.0919521275196279,0.002896517666886,0.00052118703670337,-0.00185819711499635,0.00256907104277381,-0.00199869836475186,0.00103568116110253,-0.000265253577968703,-3.91568429007686e-06,-1.26972038796562e-06,2.44202101334071e-06,6.61919632316863e-05,-0.000168538933690753,0.000108961146917101,-8.21775809351274e-05,0.000119115299080615,-2.80162857377618e-05,-9.88903338721771e-05,8.88966844680154e-05,-7.728123656479e-06,0.000104065423455702,-0.000349629002433858,0.000409081035643015,-0.000163692220050775,1.63381241805242e-06,-3.26911464516352e-07,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,71.5151515151515,143.030303030303,228.848484848485,328.969696969697,443.393939393939,457.69696969697,472,572.121212121212,586.424242424242,615.030303030303,629.333333333333,643.636363636364,715.151515151515,829.575757575758,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1
"0-17","seasonal",-13.2154375951628,0.000904070732551125,-9.12021103192557e-06,2.36777277988239e-08,-1.06791538926251e-05,6.1276709286501e-05,-1.94364470642447e-05,-0.000231392243875259,0.000347070141547494,-0.000160171523519087,8.38208901678691e-06,4.07032853906462e-05,-7.40637379866233e-05,1.10754234381684e-05,9.99082317760106e-05,-0.000147595287415573,0.000130961862260796,-6.68733062157544e-05,3.69511736079075e-06,9.19182776691071e-06,1.49980738848551e-06,-6.89401670765583e-06,-6.29725761663578e-05,0.000167308915028493,-0.000167558437308034,7.13671457355739e-05,-5.74860341426953e-06,9.25346589908829e-07,0,0,0,0,0,0,286.545454545455,310.424242424242,334.30303030303,358.181818181818,382.060606060606,405.939393939394,429.818181818182,477.575757575758,501.454545454545,525.333333333333,549.212121212121,573.090909090909,596.969696969697,620.848484848485,644.727272727273,692.484848484848,788,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,961.151515151515,-1,-1,-1,-1,-1,-1
"18-49","seasonal",-13.8855263021082,-0.00879214418872522,0.000149757484649071,-9.00289537227598e-07,4.68951764879508e-07,-5.49596694500843e-07,3.44705516757765e-05,-1.61863613057472e-05,-0.000169002103414681,0.000325005026856559,-0.000285966091289718,0.000160787668494547,-5.62386835673641e-05,5.06859271348723e-06,1.5983114331643e-05,-1.39090601226115e-05,8.09822804055984e-07,1.30523349869271e-05,-2.80090847844568e-05,1.60020624179849e-05,8.66189541725854e-07,-4.82834831344266e-06,-4.79802717358825e-05,0.000134428468576484,-0.000140038896398473,6.07545345944663e-05,-4.86885852596803e-06,7.83791496565057e-07,0,0,0,0,0,0,23.8787878787879,167.151515151515,191.030303030303,214.909090909091,238.787878787879,262.666666666667,286.545454545455,310.424242424242,334.30303030303,358.181818181818,405.939393939394,429.818181818182,573.090909090909,596.969696969697,620.848484848485,644.727272727273,788,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,961.151515151515,-1,-1,-1,-1,-1,-1
