"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location"
"0-17",1,-14.4628735809378,0.156262101552125,-0.000427473672663603,-3.16162103730451e-05,7.97079364350633e-05,-9.56375996062508e-05,3.8993741396917e-05,0.000354855338417096,-0.000923770246873122,0.000977765220344049,-0.000456952938613698,3.57662522607227e-05,2.1631169368834e-05,2.10950178484622e-05,0.000217671295012256,-0.000812152406701701,0.00093795236956558,-0.000397952577100432,2.48440272337547e-05,1.02761894635569e-05,-4.95929975779868e-05,5.59346202125363e-05,-1.49567185192018e-05,1.68604928365925e-05,-6.34616316375976e-05,0.000607414056985364,-0.0013732856371813,0.00125065861025928,-0.000474743648093002,2.99917090805738e-05,1.5881870356794e-05,3.95245437249577e-05,-4.41436150524486e-05,1.76020053401923e-06,-3.0265010082314e-07,0,0,0,0,0,0,28.6060606060606,71.5151515151515,114.424242424242,128.727272727273,143.030303030303,157.333333333333,171.636363636364,185.939393939394,214.545454545455,286.060606060606,300.363636363636,314.666666666667,328.969696969697,343.272727272727,357.575757575758,400.484848484848,543.515151515152,557.818181818182,629.333333333333,686.545454545455,700.848484848485,729.454545454545,743.757575757576,758.060606060606,772.363636363636,786.666666666667,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1
"18-49",1,-7.38630984259935,0.0891766413004781,-0.00306122912394503,3.15504432110806e-05,-4.05648673543916e-05,1.56421679551311e-05,-4.86203955317623e-05,4.66825890132507e-05,-1.12348059662829e-05,8.4069120836068e-06,-2.49368179612306e-06,6.81700080949726e-05,-0.000163091927410689,0.00010383084897936,-0.00017345806971872,0.000660464908514701,-0.00107178758736523,0.00083803010424931,-0.000269369604638773,-3.65874076660412e-05,0.000116964950677686,-7.39175305769885e-05,1.68833537746273e-06,-2.9475505584888e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9090909090909,114.424242424242,214.545454545455,228.848484848485,314.666666666667,357.575757575758,457.69696969697,615.030303030303,629.333333333333,643.636363636364,715.151515151515,729.454545454545,743.757575757576,758.060606060606,772.363636363636,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-7.75361488721247,0.169448870351586,-0.00692289623690824,9.51309530763635e-05,-3.81682679517899e-05,-8.41702619451104e-05,3.65971124758269e-05,-7.36035342494423e-06,-3.0307547895896e-05,3.34017144662916e-05,-3.7747648801216e-05,3.59294627340087e-05,-1.26885955346323e-05,1.01273641309491e-05,6.13979298832763e-05,-0.000149548473458797,9.03398374570468e-05,0.000143294574372235,-0.000420245698827211,0.000428186892139836,-0.000159872115649996,-4.15941179192141e-05,0.000116081832136217,-7.00172319162597e-05,1.50687862863895e-06,-2.63299499135172e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,42.9090909090909,85.8181818181818,143.030303030303,214.545454545455,228.848484848485,314.666666666667,328.969696969697,457.69696969697,486.30303030303,615.030303030303,629.333333333333,643.636363636364,729.454545454545,743.757575757576,758.060606060606,772.363636363636,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.0750645288244,0.2268626090518,-0.00287102443056893,-1.17467750672305e-07,1.81149675522717e-05,-5.02349496469892e-06,-1.28901440373778e-05,-3.9528324160809e-05,0.000182253025736687,-0.000123305492994422,-0.000603925101853807,0.00153816730640798,-0.00144693072829241,0.000540668617671444,-5.99132705504571e-05,1.30467319976357e-05,-6.15913339655281e-07,1.82587806981033e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,85.8181818181818,300.363636363636,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,400.484848484848,414.787878787879,429.090909090909,457.69696969697,872.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9354945643459,0.0981947788221821,-0.00728421398723871,0.000164567068169518,-0.000423338125057561,0.000305026721090605,-0.000131775363498809,5.03005862552877e-05,0.000391881907261262,-0.000763984019805327,0.000546478823297759,-6.63538449242658e-05,-9.07352454259111e-05,2.13704533241714e-05,2.55324091937436e-05,0.000200808160854527,-0.0010242603400452,0.00163540373754361,-0.00119848416111433,0.000388901453757571,-2.59687905319956e-05,-8.34596553664378e-06,0.000126529267228036,-0.000337685851205916,0.000270608587489424,-0.000163677462590146,0.000122769328374559,-0.000157003808866801,0.0001436942119791,0.000705288574650112,-0.00186403305170311,0.00194023290272548,-0.00105607784121216,0.000317858731570602,-4.18538643123543e-05,-0.000123935843596499,0.000262605865290928,-0.000145303460373414,4.34273240887987e-06,-1.50646492799231e-06,1.15882458263934e-07,28.6060606060606,42.9090909090909,100.121212121212,128.727272727273,143.030303030303,157.333333333333,171.636363636364,185.939393939394,200.242424242424,243.151515151515,314.666666666667,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,400.484848484848,472,557.818181818182,572.121212121212,586.424242424242,629.333333333333,643.636363636364,700.848484848485,715.151515151515,729.454545454545,743.757575757576,758.060606060606,772.363636363636,786.666666666667,800.969696969697,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758
"18-49",2,-12.9062040641708,0.304425428757845,-0.0275361791373354,0.00108481183498159,-0.00194045722777898,0.0012900959337935,-0.000436015514974463,-4.70866564575771e-05,5.67913167937342e-05,-1.4263839744133e-05,6.33472515741366e-06,-1.10096759198359e-06,-3.41198433221507e-06,1.56417993772876e-05,-5.43682423089315e-05,0.000459856808249528,-0.00100135347151765,0.000883051523189427,-0.000327465478975085,2.03217132122127e-05,-4.08986715098141e-06,5.64027224673133e-05,-4.48253067285474e-05,1.38236455128638e-06,-2.42258580048647e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,100.121212121212,114.424242424242,200.242424242424,243.151515151515,615.030303030303,643.636363636364,686.545454545455,700.848484848485,729.454545454545,743.757575757576,758.060606060606,772.363636363636,786.666666666667,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-11.9086324158534,-0.207207419517941,0.0280484088183703,-0.000537824202639348,0.000133483757668124,0.000698961328836025,-0.000284208364577334,-2.92699883808365e-05,2.67459191709983e-05,-1.47197967193888e-05,7.03149731920791e-06,3.51785776947037e-05,-7.77457531800763e-05,4.31264950676299e-05,9.07891446489644e-05,-0.000229657048946902,0.000151667660746681,-2.67028775045571e-05,-0.000119722421089017,0.000603053988249043,-0.00102990048797936,0.0008180379076794,-0.000281234925353039,2.01534904363358e-05,-1.27742945891108e-05,3.77123030919436e-05,-2.24999290251223e-05,4.17994633809617e-07,-1.61963186735141e-07,4.49014617222864e-08,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,71.5151515151515,114.424242424242,200.242424242424,243.151515151515,443.393939393939,457.69696969697,472,615.030303030303,629.333333333333,643.636363636364,700.848484848485,715.151515151515,729.454545454545,743.757575757576,758.060606060606,772.363636363636,786.666666666667,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.0372828616783,0.191468225383995,0.00202962102634183,-5.241729322934e-05,6.1450113990331e-05,-9.20966862920927e-06,-1.27068897714801e-05,1.41165066516256e-05,0.000115405547870923,-0.000327040846109594,0.000258608905946897,-5.08913802736848e-05,2.51100451886002e-05,-0.000137524294954361,0.000133727812760403,-3.54381967620364e-05,-0.000136987957269826,0.000651674433309401,-0.00110077359126921,0.000907743507956017,-0.000324140682739921,0.000227828848444966,-0.000615467515218332,0.000652443377406656,-0.000247128526278472,2.01370984316387e-06,-3.95900790278026e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6060606060606,128.727272727273,271.757575757576,286.060606060606,443.393939393939,457.69696969697,472,500.606060606061,586.424242424242,629.333333333333,643.636363636364,700.848484848485,715.151515151515,729.454545454545,743.757575757576,758.060606060606,772.363636363636,829.575757575758,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-13.077888969882,0.0025089405167229,-2.49584101298575e-05,6.38443147426526e-08,-1.9511479988238e-05,0.000100403213971292,-9.88358106934509e-05,-0.000136256668220273,0.000275498564378488,-0.000129426696406295,5.95445121789158e-06,3.04164471376222e-05,-6.52453970933201e-05,1.33529823087523e-05,0.00010871722438879,-0.000205616120990634,0.000245300556804129,-0.00019688374263851,9.39801706076366e-05,-2.83124623682497e-05,-7.70853470967844e-05,0.000329696004859279,-0.000542318037847908,0.000503666993836817,-0.000332338821837514,0.000229942436377065,-0.000269279395960696,0.00033510609865358,-0.000300242105210568,0.000158278145966399,-3.37327355305829e-05,5.62903215202373e-06,-9.2469594887306e-07,0,0,0,0,0,0,0,0,286.545454545455,310.424242424242,334.30303030303,358.181818181818,382.060606060606,405.939393939394,429.818181818182,477.575757575758,501.454545454545,525.333333333333,549.212121212121,573.090909090909,596.969696969697,620.848484848485,644.727272727273,668.606060606061,692.484848484848,716.363636363636,740.242424242424,764.121212121212,788,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,961.151515151515,985.030303030303,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-13.8247803934017,0.00307324648430464,-5.10430127451773e-05,2.1679790455005e-07,-1.44408784432924e-05,6.60207733963353e-05,-2.32156896363912e-05,-0.00023222382318262,0.000425460972948703,-0.00034494293288011,0.000156835988184221,-3.42505758693053e-05,2.66324889414652e-06,-2.18130200019481e-06,-2.06123412695858e-05,8.01112443405881e-05,-0.000122446371728546,8.7442047469127e-05,-2.14549708220689e-05,-7.02935619833109e-05,0.000249391625143583,-0.000399808799581117,0.000372108764116391,-0.000246676285357242,0.00016588782504716,-0.000193506530005265,0.000250428785635829,-0.000229573602117811,0.000120529625476736,-2.50571056068458e-05,4.29020078453474e-06,-7.05450960771942e-07,0,0,0,0,0,0,0,0,0,167.151515151515,191.030303030303,214.909090909091,238.787878787879,262.666666666667,286.545454545455,310.424242424242,334.30303030303,358.181818181818,429.818181818182,573.090909090909,596.969696969697,620.848484848485,644.727272727273,668.606060606061,692.484848484848,716.363636363636,740.242424242424,764.121212121212,788,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,961.151515151515,985.030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1
