"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location"
"0-17",1,-15.044997176396,0.0566256341592497,0.0152211549440794,-0.000376493469795506,0.000596908753870201,-0.000254449142722808,7.40783793015163e-06,4.451032473875e-06,8.09796711302518e-05,-0.000149511915970765,0.000216164721101772,-0.000217536927899313,0.000108827431397184,-4.43648307693796e-06,-1.96639509081967e-06,-6.95954584146859e-05,9.40337675139107e-05,-3.44175483236095e-05,3.03560149330507e-07,-4.25115615198252e-06,8.92965579983262e-07,8.42575773918651e-06,-5.4881152014226e-06,-8.36751264513823e-06,3.75518687910891e-06,7.56191617236558e-05,-0.000136792806503173,7.95801972565118e-05,-1.46377101462837e-05,5.92384245385765e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,290,314.166666666667,338.333333333333,362.5,410.833333333333,531.666666666667,580,604.166666666667,628.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-7.73301885794124,0.0399953042995549,0.00153563946442271,-4.64008380686417e-05,7.13593365363991e-05,-7.09537712905891e-05,5.66112699341263e-05,-2.18703647622039e-06,-2.43231957253451e-05,3.41415855039163e-06,3.01792007585829e-05,-1.9098238980037e-05,4.60796786279835e-07,7.88876933056509e-06,-7.58642615269381e-06,7.25919647783605e-07,1.433129813847e-05,-3.86234188294569e-05,2.87405166287006e-05,-1.62328955171006e-06,-2.35252077424702e-05,5.09155812234335e-05,-4.75495960025898e-05,6.41275485091155e-06,0.000102684514933821,-0.000170609454642815,9.60683463595033e-05,-1.80263277902365e-05,7.11516514012219e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,265.833333333333,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,725,749.166666666667,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.01276603284873,0.146979606586088,-0.0037921282605374,3.26877217481016e-05,-8.75192480483544e-06,-9.54101694278432e-05,0.000114883364585749,-4.03245112113196e-05,-1.33608647122977e-05,2.59076623643364e-05,-1.74597060101942e-05,1.05856900470323e-06,1.60509173599923e-05,-2.08677176928229e-05,5.83235047504879e-06,7.10834382110269e-07,1.17402428840371e-05,-3.37090280155742e-05,2.30137092860696e-05,-9.13563059502086e-06,3.1922259297027e-06,4.55396794978133e-05,-6.966205092701e-05,2.81916060003923e-05,-1.21873474804226e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,193.333333333333,241.666666666667,265.833333333333,386.666666666667,410.833333333333,435,483.333333333333,580,604.166666666667,628.333333333333,652.5,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.63991518756653,0.185453382435142,-0.00160785755015642,1.02062180061158e-06,2.12608167086681e-06,1.71319819940008e-05,-2.04077648937541e-05,-5.39278174466689e-06,1.04695776043348e-06,2.78035553594259e-05,-3.0516140461046e-05,5.49022839915175e-06,6.76497776809581e-05,-0.000189396396688668,0.000200771892194034,-8.7852284658664e-05,9.65637852809861e-06,-7.0793728781715e-06,8.73930303512674e-06,4.90015561003802e-05,-0.000142200117225827,0.000142350775801495,-5.18123842968206e-05,1.90475517764597e-06,-1.38599588150113e-06,-1.84297628649284e-05,6.32450415601179e-05,-6.71544515183264e-05,2.38090255722346e-05,-1.16717644960821e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,72.5,96.6666666666667,265.833333333333,314.166666666667,338.333333333333,362.5,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.6712843000486,0.0296239351060478,-0.00599340957725464,0.000211679140772633,-0.000481058029713029,0.000466325817228465,-0.000237934046495621,1.59292231852307e-05,2.33851466586537e-05,3.39206619672469e-06,4.57465324076332e-05,-0.000107845300584217,7.68139651392065e-05,-7.19688733007735e-06,6.84909441425147e-06,-1.09418647242373e-05,-8.75193850925564e-05,0.000186658107145046,-0.000180433468237179,0.000113319701940887,-3.92404621120486e-05,1.35720375146965e-06,1.30527999314588e-06,-6.41363538126695e-07,-3.07240251655539e-05,6.25005776223273e-05,-7.37608673251973e-06,-5.14626769860047e-05,2.72007124644811e-05,-8.31688500026498e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.1173952633686,-0.51752172485287,0.0552848835642611,-0.00101856622478707,0.00130078745443301,-0.000302533732153112,1.43504357942023e-05,-3.23324306189834e-06,3.92311617894563e-05,-3.56083709371316e-05,1.88259979113847e-06,3.87662865970971e-06,-1.69329574160012e-07,-4.96757857922752e-06,5.89972030428381e-06,-6.67930133739922e-07,-2.91391046598298e-05,5.72219262165182e-05,-6.58816089382616e-06,-4.5754287887402e-05,2.40565898390631e-05,-7.35600617829295e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,145,169.166666666667,193.333333333333,241.666666666667,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.368045428971,-0.451104835280845,0.0500497490294122,-0.00091216960979702,0.00113894236483829,-0.000226416702946046,1.16293674086662e-05,-6.2880985229685e-05,7.68379515757822e-05,-7.2886139374337e-06,-2.28590219251211e-05,4.52017519510175e-06,-1.02055646413819e-06,8.59044000174464e-06,-3.07696262195563e-06,-2.25299759510845e-05,1.96008412910013e-05,-7.79233042675269e-06,2.63519544191275e-06,3.79421484358965e-05,-5.84210473666776e-05,2.38651719221935e-05,-1.03153960683406e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,241.666666666667,459.166666666667,580,604.166666666667,628.333333333333,652.5,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.4303814251198,-0.335956803179061,0.0361924798717875,-0.000615205936580772,0.000695069517852758,-2.46682533434954e-05,-0.000117688349148806,0.000112982860164923,-5.19161423381201e-05,3.5664001371295e-07,1.73361606786908e-06,1.14165541121639e-06,3.0220759262369e-05,-9.91605170125513e-05,8.84633105203278e-05,-4.86716650635543e-06,-6.6786240716417e-05,8.89137071612393e-05,-1.04284381356321e-05,-0.000100082265776151,9.48884364545779e-05,-6.07734636863256e-06,-2.06664236787639e-05,2.54843546633608e-05,-3.62053945889527e-05,4.92216141838476e-06,6.38251101651994e-05,-8.64349720099766e-05,3.23345852613069e-05,-1.43738897015534e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,314.166666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.0306039593628,0.00455814001430373,-5.03980483745979e-05,1.72685179696255e-07,-7.18281624316266e-08,7.52615057784414e-07,-4.12975007732851e-06,-2.1348774564784e-05,0.000160527145307825,-0.000289877592835709,0.000148997391358914,5.32798747061113e-05,-4.49039590317088e-05,-3.75857776902125e-05,6.0559197824679e-05,-1.20790162690676e-05,-8.09678545394004e-05,0.000160425842153287,-0.000149646758084878,6.02817690763793e-05,-2.53361581112892e-06,2.08481572449001e-06,-8.00660965123781e-06,-3.19823277246693e-05,0.000185968864857962,-0.000370805036526653,0.000351031439735922,-0.000156675812943041,2.95262936696097e-05,-3.87416676816135e-06,9.09410082021197e-07,8.39152083132063e-08,-2.60215340353515e-06,2.83452534264539e-06,-5.92633173814626e-07,0,0,0,0,0,0,0,0,0,0,48.3333333333333,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,1015,1063.33333333333,1377.5,1401.66666666667,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9870085008092,0.00912985947429981,-0.00018127028087639,1.2722752104237e-06,-7.51704693642468e-07,1.02905035774239e-06,-4.40602266375781e-06,-2.30614834455956e-05,0.00013672951392274,-0.000233798697633289,0.000153159261760002,-1.38445434275473e-05,-3.68361232288867e-05,2.36852647894179e-05,-3.97875628102455e-06,1.06050280855668e-06,1.49660504360921e-05,-3.56487532832353e-05,2.20758335587154e-05,1.03257960132092e-06,-5.66497361445551e-06,-2.97761248522305e-05,0.000162964517245646,-0.000317649334920034,0.000293077515530108,-0.000115052101347257,4.81952484161455e-06,6.24060930678886e-06,-2.12068750047882e-06,1.26503829828165e-06,3.14241743199074e-05,-9.55595215470481e-05,9.2629295363464e-05,-2.90681956267217e-05,1.24163584716247e-06,-2.19703084375837e-06,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,435,580,604.166666666667,628.333333333333,652.5,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,1015,1135.83333333333,1305,1329.16666666667,1353.33333333333,1377.5,1401.66666666667,1425.83333333333,1498.33333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1
