"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location"
"0-17","1",-14.3881148077641,0.251689189468118,-0.00671075054724086,5.0318341474426e-05,1.1626872372221e-05,-7.02029806004855e-06,-8.83433564180672e-05,3.4911459490053e-05,0.000383340608545117,-0.00107495814133928,0.00117289322524666,-0.00055263522886648,4.27770452779779e-05,2.73777443378392e-05,2.03857941036484e-05,0.00022332015397222,-0.00077681341370092,0.000851911224305383,-0.000347453046013408,2.25444451549054e-05,7.89164674570755e-06,-3.47079377235526e-05,3.67518046300496e-05,-4.39461139556694e-06,-1.81223664578718e-05,4.30391697828717e-05,-2.50003207807004e-05,4.70574285409271e-07,-1.82700033520975e-07,5.00764599015834e-08,0,0,0,14.3030303030303,28.6060606060606,57.2121212121212,114.424242424242,128.727272727273,143.030303030303,157.333333333333,171.636363636364,185.939393939394,214.545454545455,286.060606060606,300.363636363636,314.666666666667,328.969696969697,343.272727272727,357.575757575758,400.484848484848,543.515151515152,557.818181818182,629.333333333333,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1
"18-49","1",-8.28529843758049,0.18969644508901,-0.00584877529324363,6.97566995328195e-05,-3.96325815500337e-05,-0.000114476510996754,9.11456006475574e-05,-2.82021472353135e-05,2.61775095868124e-05,-8.88032591250868e-06,1.10335045902734e-05,-7.14585592185198e-06,1.21261470878736e-06,-0.00010157394499618,0.000210566422243871,-0.000111428875270088,1.79329086914167e-06,-3.55435417359551e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,71.5151515151515,85.8181818181818,200.242424242424,228.848484848485,314.666666666667,386.181818181818,414.787878787879,729.454545454545,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64","1",-8.34174571376786,0.193801673429947,-0.00285974917278702,-4.00603084224975e-05,9.94576361578083e-05,-0.00012597124457845,9.25735738170869e-05,-0.000101949344249859,0.000101154499030595,-5.86825033936683e-05,4.05960551316358e-05,-3.05907454225659e-05,2.28652599334295e-05,5.34327210461595e-06,-1.78009021507406e-05,1.72719450018301e-05,-6.27925528103008e-05,9.28071886865257e-05,-0.000120452989784241,9.22866035837989e-05,-3.0945001376759e-05,2.91016283401271e-05,-0.000106629084384797,0.000202065838681679,-0.000100826644665254,1.46062239898763e-06,-2.90335947858776e-07,0,0,0,0,0,0,14.3030303030303,57.2121212121212,85.8181818181818,143.030303030303,157.333333333333,200.242424242424,228.848484848485,314.666666666667,328.969696969697,386.181818181818,457.69696969697,486.30303030303,572.121212121212,586.424242424242,629.333333333333,643.636363636364,743.757575757576,758.060606060606,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1
"65+","1",-8.58620089339951,0.160400874935551,-0.00183196610455626,5.60750795803625e-06,-2.33429504938456e-07,-5.00278380893216e-06,-3.64470950696655e-06,3.70997797122079e-06,5.43569687481258e-05,-0.000105696751696341,1.84543767618103e-05,4.11142017833484e-05,-5.48492362718454e-05,4.56565267335047e-05,0.000417399830975636,-0.00100202832451874,0.000831425743517448,-0.000257793581076994,1.21597643079157e-05,-3.27399366020196e-05,6.20871254627503e-05,-3.02457978865104e-05,3.52006720840141e-07,-1.37142831216718e-07,3.60791958790105e-08,0,0,0,0,0,0,0,0,28.6060606060606,128.727272727273,200.242424242424,257.454545454545,443.393939393939,457.69696969697,472,486.30303030303,572.121212121212,600.727272727273,615.030303030303,629.333333333333,643.636363636364,657.939393939394,672.242424242424,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1,-1,-1,-1
"0-17","seasonal",-14.8129216815692,0.109904629159964,-0.00641167017858279,0.000133073172516584,-0.00034473269443771,0.000268807112618559,-0.000108412795810408,3.68091547694741e-05,0.000363860804944595,-0.000795360548126584,0.000597524248315086,-6.51024284915558e-05,-0.000108780072991731,2.59150557039611e-05,-1.3843800426025e-05,6.1458048988973e-05,0.000171792326141593,-0.000969992845419555,0.00151772223308562,-0.00110609394202044,0.000366451134614803,-2.36738036863133e-05,-7.07010371974078e-06,-1.41728150225976e-05,1.48976311836924e-05,-2.94538653378851e-06,9.72588176183153e-06,-2.0073081997362e-05,2.77744568446459e-05,-1.58968656291881e-05,4.49959886864779e-07,-1.74841827489437e-07,4.74045461643198e-08,28.6060606060606,42.9090909090909,85.8181818181818,128.727272727273,143.030303030303,157.333333333333,171.636363636364,185.939393939394,200.242424242424,243.151515151515,300.363636363636,314.666666666667,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,400.484848484848,443.393939393939,572.121212121212,586.424242424242,743.757575757576,829.575757575758,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758
"18-49","seasonal",-14.1021858880989,0.0477234300603186,0.0152404990991352,-0.000326008173686871,8.91659685833835e-05,0.000409665338359235,-0.000152999913545248,-0.000124257273514817,0.000132281157140968,-2.39197114234911e-05,-0.000111277763502135,0.000241247138101875,-0.000157089700266149,2.61782133057857e-05,-2.37828027983059e-05,2.29858554586e-05,-2.59081688873458e-06,1.09187875224499e-05,-1.25465214672791e-05,-3.66754472497073e-05,9.65898152609778e-05,-5.9001389472228e-05,1.36992390731971e-06,-2.53714684716101e-07,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,100.121212121212,114.424242424242,157.333333333333,171.636363636364,185.939393939394,200.242424242424,243.151515151515,371.878787878788,386.181818181818,472,729.454545454545,743.757575757576,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64","seasonal",-14.4874358923463,0.192280092965203,0.00640097494416833,-0.000171794460796196,6.06471213019038e-05,0.000169479102636578,-8.61248488650435e-05,1.15127618282796e-05,2.72196326822927e-05,-1.33978041938671e-05,6.40026120649661e-06,-4.19562812482642e-06,5.68072939124219e-06,-2.9058074808846e-05,2.47489949900564e-05,-4.07919567066188e-05,7.64419898574599e-05,-3.70968784239054e-05,4.37834818710689e-07,-1.70137157996444e-07,4.58019533478867e-08,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,71.5151515151515,100.121212121212,114.424242424242,171.636363636364,300.363636363636,343.272727272727,586.424242424242,629.333333333333,643.636363636364,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+","seasonal",-14.3202658348868,0.19390076723093,0.00333971419630447,-9.02881083119358e-05,3.33397883543983e-05,7.17319542885886e-05,-1.23080894443517e-05,-1.62339886094587e-05,1.63068550931704e-05,-7.31330930007052e-06,1.51668378164909e-05,9.66413274272666e-05,-0.000256344679436016,0.000160642225395507,-0.000154657916957424,0.000238948877777573,-5.84629230238308e-05,-0.000297647405828343,0.000393773619919848,-0.000132122283761411,-5.37359844902712e-05,0.000100123451360145,-4.79001387111313e-05,4.56937352576472e-07,-1.78208404070118e-07,4.63706926519581e-08,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,85.8181818181818,228.848484848485,257.454545454545,371.878787878788,429.090909090909,443.393939393939,457.69696969697,472,572.121212121212,586.424242424242,615.030303030303,629.333333333333,643.636363636364,657.939393939394,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1,-1,-1
"0-17","seasonal",-12.8934466245026,0.000849209119860607,-8.55609839736128e-06,2.21849987279667e-08,-9.74922560881007e-06,5.57402388929608e-05,-1.78481049304698e-05,-0.000214267240507825,0.000329279968127855,-0.000160399248241755,9.72408460969781e-06,6.74568682311639e-05,-0.000150065683132978,0.000134852116029814,-1.98472034283709e-05,-0.00011974239192825,0.000216580888725867,-0.000187173109696002,6.96277618287536e-05,-2.60214095619407e-06,1.49066524372957e-06,-5.96290856505606e-06,-4.78641641581852e-05,0.000125533721203621,-0.000122776526027588,5.06346571512191e-05,-2.78101152859991e-06,1.3827914217747e-07,0,0,0,0,0,286.545454545455,310.424242424242,334.30303030303,358.181818181818,382.060606060606,405.939393939394,429.818181818182,477.575757575758,501.454545454545,525.333333333333,549.212121212121,573.090909090909,596.969696969697,620.848484848485,644.727272727273,668.606060606061,788,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,985.030303030303,-1,-1,-1,-1,-1
"18-49","seasonal",-13.9454371282742,0.00182221539450267,-3.06549998305446e-05,1.31995078839462e-07,-1.08280342957933e-05,5.38294803266548e-05,-1.96982815188799e-05,-0.000194182240240814,0.000362513764528887,-0.000315282549583892,0.000174093685458665,-5.77465292155812e-05,5.10654144982144e-06,1.44700463499372e-05,-1.41700120732177e-05,1.9665905077154e-06,1.93225403322251e-05,-7.94397070078901e-05,0.000148201374013003,-0.00014947993653506,6.67695423136187e-05,-1.83217511163243e-06,-1.73974156318187e-05,2.13006044123135e-05,-5.24534279656662e-06,-6.72584760325144e-05,0.000147366266349969,-0.000134032934301159,5.53907469608233e-05,-4.61055505100858e-06,7.43787097858153e-07,0,0,167.151515151515,191.030303030303,214.909090909091,238.787878787879,262.666666666667,286.545454545455,310.424242424242,334.30303030303,358.181818181818,405.939393939394,429.818181818182,525.333333333333,549.212121212121,573.090909090909,596.969696969697,620.848484848485,644.727272727273,716.363636363636,740.242424242424,764.121212121212,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,961.151515151515,-1,-1
