"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location"
"0-17",1,-14.0629999965,0.119659449605626,0.00532073040455988,-0.000165255994361287,0.000257505681169112,-1.62243077697033e-05,-0.000199364805712267,0.000163533709175402,-1.7782516805087e-05,-8.98533408969817e-05,0.00017969723685284,-0.000203616250760731,0.000112696503847461,-1.06713348228831e-05,8.1126579248047e-06,-1.08255280634993e-05,-9.5062189278134e-05,0.000172484052732779,-0.000117944476961498,3.63888525158483e-05,-1.7280521422437e-06,-1.3272756480251e-05,2.43264649896675e-05,-3.59645127058232e-06,-1.56737429715651e-05,7.76845293638496e-06,-1.12996781193913e-06,-4.74097343918991e-05,9.41652314149003e-05,-1.16647684877396e-05,-8.60488275740274e-05,6.03397180566361e-05,-9.89552339502603e-06,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,531.666666666667,580,604.166666666667,628.333333333333,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-6.58125367876901,-0.166131723273942,0.0118306741431603,-0.000205704206179693,0.000248277410708898,-0.000122646178333998,0.000105225787331255,-8.22253084728783e-06,-1.38512170664331e-05,-1.66685524945212e-05,3.64414626441637e-06,2.67839030261213e-05,-1.82683084162291e-05,4.51102961448675e-07,8.06204247345814e-06,-7.73358770955814e-06,6.26741575481568e-07,9.69933097057827e-06,-2.37430800988886e-05,1.54916463007518e-05,-2.7306801016978e-05,1.00192422546419e-05,0.000125534335323265,-0.000202640752494059,0.0001142029082402,-2.20795999305087e-05,8.42604272935052e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-6.70814785626659,-0.181369331593078,0.0162746727669867,-0.000315051813578446,0.000456463391876441,-0.000192501909888613,1.45337740162011e-05,7.51897746806337e-05,-3.6091472464312e-05,-1.41402363443937e-05,2.59086395489856e-06,2.4444160039592e-05,-1.71462527344212e-05,1.42781590196774e-05,-3.79438053435201e-06,-3.46643606631937e-05,3.24904676295628e-05,-2.3927312956875e-05,7.98151542146259e-06,7.6088500924712e-05,-0.000150763372656234,0.000118514898057306,-3.56264403839926e-05,2.11128816544201e-06,-1.21622348549424e-06,-6.12377714096348e-06,-2.58523438131081e-05,0.000128723594929253,-0.00017166387204596,9.19623781048272e-05,-1.75126014630263e-05,7.00840958982356e-07,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,265.833333333333,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-8.52969539486484,0.127431094251659,-0.000659566363188616,-4.00823341567141e-06,2.49641247832034e-06,2.41563531184523e-05,-2.30215159906477e-05,-2.78702419915575e-06,3.50715613271425e-05,-5.92003785152099e-05,1.60810985695732e-05,0.000111202499081855,-0.000261772759131121,0.000259815189596305,-0.000112384219825364,1.23260457341062e-05,-9.07590705839097e-06,1.13168547045438e-05,6.94622428750239e-05,-0.000184460433107662,0.00017048055602989,-5.72227629810322e-05,2.14802784709143e-06,-4.97753208850303e-06,2.08494112639583e-06,2.79958181133194e-05,-4.33227563750058e-05,1.76725767960468e-05,-7.51659800737838e-08,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,72.5,96.6666666666667,265.833333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.3537485870738,-0.163413306905897,0.0101184821070919,-0.000109958282057539,8.62897155594745e-06,0.000177992684985257,-1.50214809407733e-05,-0.0001611538531033,0.000114143341527469,-3.96342515389704e-06,-4.04793924000012e-05,3.97078825296718e-05,-3.49801190754568e-06,-5.91693150632601e-05,8.56919630451594e-05,-3.27624405217091e-05,3.21924090931567e-07,-5.57862384671457e-07,-7.07548579904473e-06,8.34361976118334e-06,-4.09933408782595e-06,1.87678059541498e-06,3.95580037196282e-05,-6.7471180694026e-05,2.90789873348926e-05,-1.30547426477317e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,217.5,241.666666666667,314.166666666667,338.333333333333,362.5,386.666666666667,435,555.833333333333,580,604.166666666667,749.166666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-12.7419204762828,0.00537665053417566,0.015983743643045,-0.000333116460245851,0.00044235573645655,-9.82401270211497e-05,-5.50001629659188e-05,5.87156088657708e-05,-1.13325849845399e-05,-2.08580347223702e-05,1.98630743625718e-05,-4.24560936879136e-06,3.28682123499413e-06,-1.54434738845941e-06,-3.93269633921235e-06,4.89539061751668e-06,-2.06199855787278e-05,7.98578999246537e-06,0.000101568887758113,-0.000168170338567542,9.65750580004249e-05,-1.89002528067769e-05,7.11086352004838e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,120.833333333333,169.166666666667,217.5,241.666666666667,338.333333333333,410.833333333333,483.333333333333,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-12.3873034878321,0.0493759157831465,0.00952407428939251,-0.000189998354412508,0.000222016092937424,2.91771541082729e-07,-7.37200548550346e-06,-0.000109634833806701,0.00014897140601115,-6.82787796136442e-05,2.11218926662428e-06,2.15304207331748e-06,-1.83422758150426e-05,4.31493945847882e-05,-7.54199708164023e-06,-6.52524241821668e-05,6.05954443564157e-05,-2.79208634566212e-06,-1.02780777794065e-05,-1.78237747338221e-05,3.86249086074069e-05,-6.33927800625256e-06,-3.16432992084345e-05,1.73870686093379e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,265.833333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-12.4132955922907,0.107819723591213,0.00458303699780298,-9.21382963834285e-05,9.98456618822902e-05,-1.25490449231937e-06,-3.8910538658839e-06,-5.90529132485072e-07,-1.35908966000155e-05,1.26065749533558e-05,-6.92168443501486e-06,4.3716701534568e-06,4.99322272625626e-05,-0.000126209252582693,0.000100862725336544,-5.24811753312532e-06,-7.60511558851736e-05,0.000105347021071647,-1.56365200926228e-05,-0.00012171391570119,0.000136535113865314,-4.589458995532e-05,5.0079584409117e-07,-3.3175311318973e-06,-4.72863141299131e-05,0.000161188566638564,-0.00019136994690114,9.78860355964516e-05,-1.87635156568603e-05,7.989512317831e-07,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,120.833333333333,193.333333333333,217.5,241.666666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,749.166666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9875707687732,0.00263030159814182,-2.00605214556563e-05,4.23539575678165e-09,7.33402820921295e-08,-1.04251577010726e-06,-1.89946072432472e-05,0.000128062643053206,-0.0002040503210393,2.03916847820484e-05,0.000170330088953247,-9.85337126454991e-05,2.16972703899986e-06,-1.71216528291382e-06,-2.30826353855418e-05,0.000101620556235816,-0.000130194922963232,5.91960366629076e-05,-2.25477534768405e-06,1.6922905630536e-06,-6.41156696357044e-06,-2.65182105436163e-05,0.000143596616401718,-0.000281457358832537,0.00025890830966839,-9.95478292866968e-05,4.3930369285488e-06,3.61938982111799e-06,-1.75044221643612e-07,-5.10325942813633e-06,5.67529173697059e-06,-4.98171947282886e-07,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,1329.16666666667,1353.33333333333,1377.5,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-15.024000384412,0.0100776340917225,-0.000200712168723528,1.41687808825904e-06,-8.44160563120988e-07,1.15513008322321e-06,-4.94079764243784e-06,-2.53135336365455e-05,0.000151784787415109,-0.000264265843018882,0.000177693669185134,-1.58245530302271e-05,-4.41267729109941e-05,2.64383069035445e-05,-3.97514796457534e-06,1.06958031106998e-06,1.48810801795198e-05,-3.57557366178513e-05,2.23795659014055e-05,1.07093731112699e-06,-5.85535478416617e-06,-3.07123803437382e-05,0.000169457738656685,-0.000332133937534675,0.00030361130413011,-0.000116609410358697,5.48539329731439e-06,4.42847907973084e-06,-4.68409966304675e-07,-2.52964144124309e-06,2.9107104316101e-06,-1.20340646544477e-07,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,435,580,604.166666666667,628.333333333333,652.5,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,1111.66666666667,1353.33333333333,1377.5,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1
