"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location"
"0-17",1,-14.7257666694818,-0.0194977199526551,0.0155725612750626,-0.000355251241854067,0.000140586267358282,0.000465487406382331,-0.000265430470049164,2.14259001666394e-05,0.000144610840927484,-0.000474636312726782,0.000557858630007936,-0.000246121936735392,2.11351579408754e-05,0.000103649818906053,-0.000383232004155942,0.00087299465878891,-0.00140785157485452,0.00124833463006435,-0.000493248161987239,3.56811679603299e-05,4.38409394277564e-05,-2.9755173083268e-05,-1.27992875250358e-05,1.37653506251445e-05,-1.47533253164734e-06,-4.85676803761746e-05,0.000112959873583519,-6.51132966933394e-05,1.41663228011847e-06,-2.72515378545534e-07,0,0,14.3030303030303,28.6060606060606,42.9090909090909,114.424242424242,128.727272727273,143.030303030303,157.333333333333,171.636363636364,257.454545454545,271.757575757576,286.060606060606,300.363636363636,314.666666666667,328.969696969697,343.272727272727,357.575757575758,400.484848484848,414.787878787879,543.515151515152,557.818181818182,686.545454545455,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1
"18-49",1,-9.54597454419531,0.765259597915637,-0.0698883331362151,0.00198789605809223,-0.00260267716518288,0.000962900264774447,-0.000406396728539347,2.92085800701874e-05,3.40580107273177e-05,-1.36946400867747e-06,-1.558082000963e-05,1.46857823933232e-05,-3.0613687512782e-06,-2.46400970091531e-05,2.79423800259672e-05,-3.66805947410679e-06,5.89704285259403e-05,-0.000270803354018592,0.000144507241675279,0.000804319005039492,-0.00149700848600314,0.00108324828363698,-0.000402941005852131,8.6811380884129e-05,-6.40020298425443e-06,7.70940290820747e-10,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,85.8181818181818,185.939393939394,200.242424242424,228.848484848485,328.969696969697,343.272727272727,357.575757575758,457.69696969697,600.727272727273,615.030303030303,629.333333333333,643.636363636364,657.939393939394,672.242424242424,686.545454545455,700.848484848485,715.151515151515,1046.51515151515,-1,-1,-1,-1,-1,-1
"50-64",1,-9.43142295367122,0.75276859967953,-0.0655892582158931,0.0018263775551666,-0.0023302431326597,0.000780870427866951,-0.000325036868299406,2.42695838526359e-05,2.93472491054028e-05,-1.38059326564376e-06,-2.19906484305878e-05,2.5662735016478e-05,-7.69314752742169e-06,2.54531903076888e-05,-6.17219631751898e-05,-9.31327531240155e-05,0.000619147525897351,-0.00152161544038346,0.00178374106724616,-0.000294856234498758,-0.00125037459395106,0.00112445236426859,-0.000409360813104531,8.32955375009572e-05,-5.21084893752507e-06,2.39990058884411e-10,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,85.8181818181818,185.939393939394,200.242424242424,228.848484848485,271.757575757576,286.060606060606,300.363636363636,314.666666666667,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,400.484848484848,414.787878787879,429.090909090909,443.393939393939,872.484848484848,-1,-1,-1,-1,-1,-1
"65+",1,-10.6805221503275,0.758454487384262,-0.0600347202627577,0.00167933578149997,-0.00217779792845428,0.000744042208306021,-0.000272390659902109,1.9343022880289e-05,1.13043399293829e-05,-1.54473930691613e-05,1.41295822444639e-05,0.000133753740694335,-0.000458801183293599,0.000697428344721661,-0.000600551848476221,0.000199521962960796,0.000242180802489502,-0.00106703015039458,0.00248913176121299,-0.00293972431717748,0.00179586631204226,-0.000633066876211225,0.000165621912990755,-3.17275835839991e-05,4.87863241334914e-06,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,85.8181818181818,200.242424242424,243.151515151515,257.454545454545,271.757575757576,286.060606060606,300.363636363636,314.666666666667,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,400.484848484848,414.787878787879,429.090909090909,443.393939393939,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.8788360672626,-0.0076491115193459,0.000513968114676429,1.82716970388513e-05,-0.000221396619007391,0.00035336640379273,-0.000151919868872993,-0.00012162121456854,0.000370767050952051,-0.00042212274585277,9.72515143257744e-05,0.000261602998823968,-0.0002113297563422,3.10610233921146e-05,2.54671758577747e-05,0.000214685261126165,-0.00105846612240544,0.00174028272915047,-0.00147340561546155,0.000720514370177829,-0.000186300720905521,1.41297045294144e-05,-1.44888427097146e-06,-8.90435686798284e-06,1.02550439380707e-05,-1.94637304428743e-06,-3.62897263617078e-05,9.35881122293486e-05,-5.72780470991192e-05,1.45419821752285e-06,-2.64603394359593e-07,0,42.9090909090909,57.2121212121212,71.5151515151515,128.727272727273,143.030303030303,157.333333333333,171.636363636364,185.939393939394,200.242424242424,243.151515151515,314.666666666667,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,400.484848484848,414.787878787879,529.212121212121,572.121212121212,586.424242424242,743.757575757576,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1
"18-49",2,-13.3050247935365,-0.166779821624014,0.0186605227392445,-7.80899248253081e-05,-0.00084822763498114,0.00174014910277852,-0.00120241138775429,0.000574360616091712,-0.000214649918629673,1.96748918339422e-05,2.01075814151621e-05,-1.96009687652586e-05,1.00498820830265e-05,-7.96829982489465e-06,8.3628870233213e-06,-2.76235704988811e-06,4.87187776410228e-05,-0.000111509936142542,6.80169493927767e-05,-4.45047565080899e-06,-5.4430510532632e-05,0.000121720646816362,-6.81987408357366e-05,1.39937022017178e-06,-2.61929262060486e-07,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,71.5151515151515,85.8181818181818,143.030303030303,200.242424242424,243.151515151515,371.878787878788,400.484848484848,500.606060606061,615.030303030303,629.333333333333,643.636363636364,715.151515151515,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-13.2954938333365,-0.127608153257914,0.0186753708819261,-0.000146363286117083,-0.000646616461784426,0.00151189185786469,-0.00107707886787996,0.000544765960616862,-0.000210563119824857,3.26333055814194e-05,-7.35998319714173e-06,-1.91210127790471e-05,1.9249136267664e-05,-3.40563140908118e-06,9.10688385785912e-05,-0.000192918810426812,0.000110117078090693,-7.47584952380203e-05,0.000112949996905756,-2.75444435976499e-05,-0.000109759546038747,0.000102888042037523,-3.12859071764024e-05,2.31597536496746e-05,-7.09448594015133e-05,0.000140475241545839,-7.25173185676166e-05,1.28173958920383e-06,-2.439702070503e-07,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,71.5151515151515,114.424242424242,171.636363636364,228.848484848485,243.151515151515,343.272727272727,443.393939393939,457.69696969697,472,572.121212121212,586.424242424242,615.030303030303,629.333333333333,643.636363636364,715.151515151515,729.454545454545,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1
"65+",2,-14.4236638239144,-0.162604883815743,0.0284339309968634,-0.000550712124497396,0.000200490756558243,0.000565976372825329,-0.000213005353576267,-1.88541436107799e-05,1.63128083015737e-05,0.000102794932531039,-0.000254811238489634,0.000164093044270723,-0.000142110382506287,0.000216113743794253,-6.05331754016046e-05,-0.000275999731849463,0.000394407262453957,-0.000144158465539418,9.67344261425303e-05,-0.000341378305573134,0.000406013789255233,-0.000162613804540143,1.54592588917667e-06,-3.20544245606406e-07,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,228.848484848485,243.151515151515,443.393939393939,457.69696969697,472,572.121212121212,586.424242424242,615.030303030303,629.333333333333,643.636363636364,657.939393939394,829.575757575758,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-13.3229578886404,0.00267582243414343,-2.66199310725125e-05,6.80968269769561e-08,-2.08282745332658e-05,0.000107348289784621,-0.000112135594435011,-0.00012797668008203,0.00028041748833825,-0.000136697457998634,7.01068017164803e-06,2.26570718093088e-05,-4.62654299657387e-05,2.87159520093272e-05,-6.41202770690181e-07,-1.32604083557692e-05,1.3705928071314e-05,-2.88693324070935e-06,-5.79118675761482e-05,0.000145992997640787,-0.000145093029694322,6.2134462833755e-05,-5.18925646219327e-06,8.38386344963677e-07,0,0,0,0,0,0,0,0,286.545454545455,310.424242424242,334.30303030303,358.181818181818,382.060606060606,405.939393939394,429.818181818182,477.575757575758,501.454545454545,525.333333333333,644.727272727273,668.606060606061,692.484848484848,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,961.151515151515,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.0996222332268,0.00159853045248601,-2.70744070326152e-05,1.17409344312304e-07,-1.05712820097347e-05,5.4224040424413e-05,-2.03992650405198e-05,-0.000198211661711759,0.00037519156100784,-0.000335336735501927,0.000202193149409243,-9.24177018347594e-05,3.03647267625319e-05,-2.43420245047102e-06,-3.49940489765521e-06,1.17848677407164e-05,-2.37011792694993e-05,1.34226085458235e-05,-1.56410981330456e-06,5.84522113647989e-06,-7.67190543213682e-05,0.000166942884114162,-0.000155048551832082,6.3059029745891e-05,-3.40791388785354e-06,1.68877054893363e-07,0,0,0,0,0,0,167.151515151515,191.030303030303,214.909090909091,238.787878787879,262.666666666667,286.545454545455,310.424242424242,334.30303030303,358.181818181818,382.060606060606,453.69696969697,596.969696969697,620.848484848485,644.727272727273,764.121212121212,788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,985.030303030303,-1,-1,-1,-1,-1,-1
