"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_43coef","knot_44coef","knot_45coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location","knot_43_location","knot_44_location","knot_45_location"
"0-17",1,-14.2341141182908,0.145410576422338,0.00232418695813853,-0.000117928808744515,0.000261135720319882,-0.000211724806225193,7.48994505443041e-05,-5.03141443441755e-06,-2.8536965042159e-05,8.87055093775174e-05,-0.000102379953678256,4.54691330716547e-05,-8.02813496471129e-06,1.01959901415043e-05,4.75476881940417e-05,-0.000174976812389867,0.000215998010820065,-0.000134151031584886,4.56166135773364e-05,-2.99041262851209e-06,-3.6848813904406e-06,-7.43495720709292e-06,1.71377470993711e-06,1.45147587746779e-05,-9.00007371032703e-06,1.20647105397173e-06,-6.570616966453e-06,-5.52552585773134e-05,0.000228683257772106,-0.000313762576671516,0.000200809129558335,-6.80075395379526e-05,1.37753942025524e-05,-8.045995605274e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,459.166666666667,531.666666666667,555.833333333333,580,604.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.15225996123563,0.135748267757776,-0.000929632263012214,-4.5086462479372e-05,0.000147614544175066,-0.000155793154444352,5.3010114400755e-05,6.81427623931835e-06,-8.30244729722119e-07,-1.36303409781793e-05,1.1118812471873e-05,-2.01681680882288e-05,2.29659380128523e-05,-5.77019528535619e-06,7.93363498567441e-06,-1.44466665483923e-05,-7.37880410032954e-05,0.000292610759468372,-0.000395486097646716,0.000250265787283972,-8.41083181238489e-05,1.90833422574497e-05,-2.73733272549893e-06,4.28272004901329e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,169.166666666667,193.333333333333,241.666666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.19907794041105,0.173770706911751,-0.00333699886913874,2.25492221834797e-06,7.5595185922508e-05,-0.000112668729030158,6.63046349980248e-06,5.89893055906879e-05,-3.12214551555619e-05,4.54483331041621e-06,-5.29055877256729e-06,-7.79786956769173e-06,1.17133549546636e-05,1.64906014692269e-05,-7.31332688934223e-05,0.000184242299480028,-0.000442757507904086,0.000697394065462266,-0.000563456798685563,0.000193502018377223,-1.76834284070853e-05,3.44552942395706e-06,-7.93072368131082e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.52235328469977,0.271145837203873,-0.0053227387742372,3.71244748409225e-05,-2.60543830742336e-06,-3.91607735722854e-05,2.57597219792162e-05,-3.54492934285176e-05,2.0281873613091e-05,-3.56308228384157e-06,-3.38043822593634e-05,8.0754331870491e-05,-0.000103407755312654,8.44509526312228e-05,-3.39197445166169e-05,5.1750970194672e-06,2.04817570986269e-05,-4.87694233071922e-05,-5.95008971485125e-05,0.000224477171501992,-0.000149656794682115,-4.76807534545221e-05,8.49826047035315e-05,-3.13174507024803e-05,5.34809117982088e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,362.5,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.6688689060921,-0.0896195505543387,0.00677908963016639,-7.7847249699181e-05,1.60504343131883e-05,0.000140859998110355,-0.000115806490347127,3.63043916192101e-05,-2.55055955023667e-06,2.12290349328373e-06,3.35017611922359e-05,-6.24370435188336e-05,3.43720266807391e-05,-6.69877027416224e-06,9.98848587843387e-06,4.0175582503793e-05,-0.000172175805468791,0.000247143399814549,-0.000204815531144612,0.000120049349376908,-4.03355556169897e-05,1.70004956990016e-06,-3.72553424171087e-06,4.83866883416299e-06,-5.86114673210169e-07,-2.98027391393578e-06,4.87608709929416e-06,-8.82231530687682e-06,-3.79712296994173e-05,0.000176499209791014,-0.000232795630033781,0.000122817118692584,-2.26906560732272e-05,9.35868201093489e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,580,604.166666666667,725,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-13.2561507300985,0.0414650027859107,0.0132653496871882,-0.000272542705178539,0.000336600712954551,-1.18006301999773e-05,-8.55628231080632e-05,3.20744946115843e-05,8.00879339075108e-06,-2.09924764408843e-05,1.43246789846437e-05,3.39284993082936e-06,-1.56447797793275e-06,-2.63783058063199e-05,4.68896363623623e-05,-2.3491017804351e-05,1.04292612387108e-05,-4.07706100077608e-06,-3.95093147158657e-05,5.51827124166779e-05,-2.08157353336824e-05,1.53142310934179e-06,-6.63638226888268e-06,-4.7848511269802e-05,0.000195739179044422,-0.000266930638000122,0.000170912135140827,-5.79953661010757e-05,1.17439976482409e-05,-6.82667412983697e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,145,217.5,241.666666666667,314.166666666667,362.5,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-13.0973509817225,0.0618325007861603,0.0116067374605687,-0.000241253447712625,0.00029767006302964,-8.47025685422114e-06,-7.4185601126142e-05,4.843098221416e-06,4.69706302765707e-05,-2.4061395904617e-05,-6.03946614399391e-06,5.7540657560261e-06,-1.00108490241791e-05,4.46323038827056e-06,5.06843463439956e-05,-0.000104158340542809,7.18570867499316e-05,-3.6035223952408e-06,-4.28995546238548e-05,6.10920124480115e-05,-9.80848303876214e-06,-7.6634160624259e-05,8.671612381148e-05,-2.87209197957315e-05,1.34704412544e-06,-5.36787522326796e-06,-3.78807418643906e-05,0.000148651867770423,-0.000186600815747352,9.66599620386139e-05,-1.77696167090239e-05,7.52888757374665e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,217.5,265.833333333333,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-13.596528664778,0.0104074210018771,0.0142647334980532,-0.000271121429502803,0.00033075894404204,-5.6798126021028e-05,1.4593641052433e-06,-3.35456488068989e-06,-2.77184108783545e-06,4.12598817913299e-06,-1.1629086895226e-05,8.6996409358681e-06,6.85022506004939e-05,-0.000204091259748457,0.000244879407288599,-0.000175554572305018,0.00014788521778356,-0.000176341562523479,0.000172426991475327,-8.25302021118452e-05,-5.51254526393251e-05,9.79062271842502e-05,-3.75735154678293e-05,3.16720154541465e-06,1.77537096305348e-05,-0.000143890996717531,0.000339597327231519,-0.000381048881477424,0.000226657097767652,-7.66960874623125e-05,1.56691524223127e-05,-9.58679322179526e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,145,217.5,314.166666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.0314932675516,0.00309597016729732,-2.41889823864022e-05,1.11502261991627e-08,7.88399283821049e-08,-1.12617515696955e-06,-2.1383051444414e-05,0.000137900347712693,-0.000217091630714343,2.22425655659816e-05,0.000193063829579049,-0.000147456457810096,4.42149947141293e-05,-2.79920808756782e-06,-1.62002214054196e-06,-4.18518112395258e-05,5.71390787900193e-05,-2.16801523203971e-05,1.81419067253295e-07,-8.59831572791133e-07,4.68051286289122e-06,4.80239997250614e-05,-0.000164776289765468,0.000182486727017337,-7.45706954366886e-05,2.81769681410811e-06,3.03027256992325e-06,-9.48783560552418e-07,5.23104967946162e-07,8.3429628714162e-06,-2.08561843980404e-05,1.31944645015016e-05,-9.46950626118198e-08,-2.75479145907352e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,604.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,1015,1160,1305,1329.16666666667,1353.33333333333,1377.5,1546.66666666667,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-15.014262003371,0.00676286976878563,-6.7451497518543e-05,-3.93097988769172e-07,9.70811130753613e-07,-1.70479574547864e-06,-2.47157472308712e-05,0.000131760888890917,-0.00020909604879497,9.05513974596465e-05,6.95142108338083e-05,-8.88976326158547e-05,3.43093507674919e-05,-2.82779612106372e-07,-2.4795000821687e-06,5.5113766536548e-07,8.97667889572284e-06,-2.35441603758747e-05,1.5887904924556e-05,-8.91263322197727e-06,7.99602076331572e-06,7.78837140086166e-05,-0.000231188658999709,0.000241649258869676,-9.4989530635446e-05,3.77985797153994e-06,3.51756319385691e-06,-1.22156369420096e-06,3.49822154396248e-07,-7.93142459450467e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,362.5,459.166666666667,580,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,1015,1087.5,1425.83333333333,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
