"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location"
"0-17",1,-14.3133873343114,0.118176862017358,0.00455408595470788,-0.00015704268418605,0.000300283233015442,-0.000163898399396972,-8.65038181848073e-05,0.000234045716417879,-0.000178237008014109,1.7573432498604e-05,0.000114334380404081,-0.000143503575813387,7.35759251195792e-05,-9.62021731591377e-06,1.16893173188614e-05,3.90815331286049e-05,-0.000190234383724772,0.00027788556206202,-0.000232428448751482,0.000125593905468304,-1.31326702671172e-05,-3.95751733592822e-05,2.30892775520217e-05,-9.31859999412289e-07,-2.96081381212148e-05,4.50555748125558e-05,-4.29756912443455e-06,-2.13512815993551e-05,1.10605210153402e-05,-4.84331338420961e-06,1.8645727885254e-06,-5.58373278020413e-06,-2.72136767508491e-05,0.000137950638621977,-0.000188640823269421,0.000102298724579148,-1.95170727296517e-05,7.78443391406796e-07,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,676.666666666667,749.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1
"18-49",1,-7.76689016322336,0.151224257469659,-0.00564697803473745,5.87136858606234e-05,-4.79474357478157e-06,-9.22181432497032e-05,7.24449191133017e-06,7.99916752396802e-05,-6.1869230805943e-05,4.98972564099948e-06,3.60812839442932e-05,-5.21784601961329e-05,6.1664016853525e-06,4.36209839469974e-05,-2.75370649547693e-05,6.25627934402506e-07,9.5311183325341e-06,-9.27591262204944e-06,5.4998528883316e-06,-1.75117549453397e-06,-1.34671216246363e-05,1.20121954615258e-05,-2.73115955574606e-05,9.73377211785743e-06,0.000124220459231601,-0.000196684498396436,0.000107509642364813,-1.96473964128917e-05,7.91459293792723e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-7.68289660963661,0.16128823553168,-0.00488478401831033,4.6697928013849e-05,-3.06847346593731e-06,-7.10186331229227e-05,6.26852246375778e-06,5.01952579228357e-05,-2.74700245514584e-05,-1.3392316305202e-05,2.8208591463096e-06,2.64362754121392e-05,-1.94947572225719e-05,1.68059490429919e-05,-4.09348187126728e-06,-4.21292197773725e-05,4.02652902939696e-05,-2.23544030359492e-06,-3.92866226259257e-05,6.01866783166077e-05,-6.68169805680276e-06,-6.75090993166723e-05,5.84708548804924e-05,-2.58180845676528e-06,-9.30506037975538e-06,1.23152858458533e-06,-5.5574121345941e-06,-4.31914419305464e-05,0.000171401069742795,-0.000216395543723057,0.000112875982064115,-2.11322162609205e-05,8.83847582763552e-07,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,265.833333333333,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-8.63547633156549,0.188978012305955,0.00195831794941145,-0.000111344258521528,0.000207413707655778,-0.000106365217121334,4.12292038613655e-06,9.42554059926114e-06,-1.18873502446784e-06,-3.88599410894856e-05,8.04013122890224e-05,-6.24977431522834e-05,7.90951700992318e-06,-9.27879637482485e-06,1.67581237054836e-05,0.000158546850466808,-0.00032847376968064,0.000243306816960214,-8.57156270201295e-05,1.66702350270959e-05,-8.30625994385382e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.7867006505968,0.000721274575466807,-0.0023264499837248,0.000108095813338294,-0.000270007509854165,0.00031085654278172,-0.000217817313125314,2.00014893191769e-05,0.000143093888500581,-0.000137455372828591,1.30601989977736e-05,0.000106390862953514,-0.000140531686462629,7.76291139451308e-05,-9.27959408242938e-06,1.0369216724833e-05,1.96880874339338e-05,-0.000150542650756546,0.000243170400323719,-0.000218304559143954,0.000135828078796867,-4.69679104997542e-05,1.79156248259581e-06,1.22190188214786e-06,-1.48089041276914e-05,5.9783560520854e-06,8.01250319455453e-05,-0.000135244712236241,7.82966312643429e-05,-1.52165464040851e-05,5.770743562482e-07,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,604.166666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-13.2243958665598,-0.315156219026708,0.0409153398598765,-0.000787890172219002,0.00104857606315429,-0.000288853207136048,1.47662503040074e-05,-4.16304028757939e-06,4.11576652412261e-05,-2.10085862518733e-05,-2.12898152916475e-05,2.26831846297616e-05,-7.67454428176405e-07,-3.85638744800396e-06,9.75448090730013e-07,-2.9372109082424e-07,-6.41327345884804e-06,7.5797100546714e-06,-2.27914261094502e-05,8.32113703817402e-06,0.000105583125134897,-0.000170269180945235,9.52325968682502e-05,-1.79826875969079e-05,7.00919882956949e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,217.5,241.666666666667,290,314.166666666667,410.833333333333,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-12.9100739937612,-0.264452300088521,0.0364718278514402,-0.000698986625966631,0.000922674794006318,-0.000246020258839005,9.10496766250931e-06,3.8188465683442e-05,-2.34431951641586e-05,-1.9219979664119e-05,2.16791193701923e-05,-5.27409434959502e-06,1.52316217490691e-06,2.48556769831581e-05,-6.48099930277277e-05,5.08947222243552e-05,-3.09398379198116e-06,-4.72901215660505e-05,7.19923252325339e-05,-7.61707269023353e-06,-8.45356638558866e-05,7.98763781270141e-05,-6.35506320242804e-06,-2.85078406741249e-05,1.94162267130791e-05,-1.61403813844441e-05,4.23454196238079e-06,7.43985525896528e-05,-0.00012588652806842,7.0425322563892e-05,-1.2604931803268e-05,5.19641487564685e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,145,217.5,241.666666666667,314.166666666667,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.043850220784,-0.159457358130211,0.0293568308892148,-0.000542519897549347,0.000666219104003578,-0.000121022549385857,5.07362828206556e-06,-5.48486285698226e-06,-5.64212760756975e-07,-1.39420315853292e-05,1.35589802190647e-05,-1.79889751687389e-05,4.6268754218488e-05,-1.07505458879925e-05,-0.000103536656792222,0.000137435009904079,-4.72968219380379e-05,-4.74495568560146e-05,8.1123988698444e-05,-1.08160553927536e-05,-0.00010977455411603,0.000125863051830361,-4.65200159640639e-05,2.38699780994187e-06,-2.36126633000947e-06,7.92397067418987e-06,1.43581694740455e-05,-0.000152887336133848,0.00036556245284581,-0.000409880825108963,0.000244857926319599,-8.54908211289185e-05,2.01713871463214e-05,-3.00364689394529e-06,4.90055036348809e-07,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,193.333333333333,217.5,241.666666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9839077499172,0.00232518519939143,-1.77937181045759e-05,4.38842491870658e-09,6.40496410415257e-08,-9.10909978226455e-07,-1.66804698861557e-05,0.00011183324077641,-0.000177255631092024,1.76664122083704e-05,0.000145301811589414,-8.27313597775245e-05,1.71961567012888e-06,-1.12532047746508e-05,5.82762425901444e-06,6.44492852083012e-05,-0.000107879772605008,5.29174270867065e-05,-7.19515605890096e-07,-4.91065273869919e-06,-2.89599875635071e-06,7.51782838292195e-06,5.64998351404157e-05,-0.000168876478190566,0.00017206905952854,-6.54014087012245e-05,2.12111990188326e-06,-1.11320223744735e-06,5.04476735425354e-06,5.68172459125493e-05,-0.000148551488690205,0.000126427937442858,-3.7935051267216e-05,1.24905152422579e-06,-3.48003079273745e-06,-1.56700670230613e-06,7.27426382526171e-06,2.9068348380765e-05,-0.000137603244031517,0.000325249797848109,-0.00048017085656871,0.000479069401983398,-0.000526794981586826,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,1087.5,1111.66666666667,1135.83333333333,1160,1184.16666666667,1208.33333333333,1232.5,1353.33333333333,1401.66666666667,1425.83333333333,1450,1474.16666666667,1498.33333333333,1522.5,1546.66666666667,1570.83333333333
"18-49",3,-14.8251569892106,-0.00717826293846425,0.000147685078085855,-8.39783108686369e-07,4.80122545974421e-07,-1.70532463927519e-06,5.41379831519746e-06,1.15612793842231e-05,-8.34956191410894e-05,0.000235620438811945,-0.000333026526391488,0.000199896299030453,-1.38895796073529e-05,-2.33111006243132e-05,6.91849024510618e-06,-4.38624250735682e-06,9.19032746616932e-07,1.29753974793106e-05,-3.08631546762529e-05,1.92443975107317e-05,9.05620143895595e-07,-4.93459335982033e-06,-2.17704646247687e-05,0.000138016442810573,-0.000292206452911043,0.000281922016906528,-0.000113608369201629,5.46799356501244e-06,5.73303149746276e-06,-1.09053938321978e-06,-1.57283100798419e-06,2.06884069559609e-06,-9.4298047317663e-08,0,0,0,0,0,0,0,0,0,0,48.3333333333333,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,362.5,435,580,604.166666666667,628.333333333333,652.5,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,1087.5,1353.33333333333,1377.5,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
