"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location"
"0-17",1,-12.9896742060721,0.0607773877004417,-0.000162051563905623,3.21209782172419e-07,-3.72593232186333e-07,1.04205711317782e-05,0.000168949043710527,-0.000563565669793665,0.000592290599912893,-0.000216063372535551,8.07106206300683e-06,-8.43901771197427e-07,1.26663848197569e-05,-1.30494744585504e-05,-9.79527101354675e-06,3.06666051896697e-05,-2.00654310166171e-05,4.70180460036566e-07,-1.80530844207596e-07,5.42611842431014e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6060606060606,286.060606060606,300.363636363636,314.666666666667,328.969696969697,343.272727272727,357.575757575758,557.818181818182,715.151515151515,729.454545454545,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-7.05491055135746,0.0754023655416185,-0.00301825146545775,3.92489780144006e-05,-1.87125390850763e-05,-0.000131668944954624,0.000132271313789208,-6.68820867281747e-06,-1.85705239755241e-05,4.31703010452205e-06,-7.90940671826319e-06,8.17896442006156e-06,-2.39356475752261e-06,-1.22097774955998e-05,3.61455367848012e-05,-2.2407132299165e-05,5.20975110819313e-07,-2.01841140654914e-07,5.62479353195321e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,71.5151515151515,85.8181818181818,128.727272727273,143.030303030303,214.545454545455,629.333333333333,643.636363636364,815.272727272727,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-6.77931154973523,0.0571244582327885,-0.00190477697010464,2.55087661969739e-05,-1.24404723318563e-05,-0.000106414506220656,0.000118933817888639,-7.27198148985551e-06,-1.92798620021212e-05,1.10767978425975e-05,-4.97800841558318e-06,-4.69549369474165e-05,4.58864148448814e-05,-9.26291600916126e-06,-5.22338716800239e-05,8.72475462362703e-05,0.000294279309581563,-0.000826489725208183,0.000640272900693624,-0.000131801479180894,-0.000772526380696083,0.00221670863235367,-0.00238224580155115,0.00113362632518201,-0.000236604015162514,4.17748633635989e-05,-6.81601209378355e-06,2.00577257283929e-09,0,0,0,0,0,14.3030303030303,71.5151515151515,85.8181818181818,114.424242424242,128.727272727273,400.484848484848,443.393939393939,457.69696969697,472,557.818181818182,586.424242424242,600.727272727273,615.030303030303,629.333333333333,643.636363636364,672.242424242424,686.545454545455,700.848484848485,715.151515151515,729.454545454545,743.757575757576,758.060606060606,772.363636363636,1046.51515151515,-1,-1,-1,-1,-1
"65+",1,-9.91329287424338,0.800235194832017,-0.0541652128622344,0.00128707801001872,-0.00132160035344251,2.65104396230577e-05,4.46755771296286e-05,-3.60424264254877e-05,-5.50359282260464e-06,3.00015468186566e-05,-9.1076737780523e-05,-3.20835473835913e-05,0.0007676494833392,-0.00221725020749872,0.00307871657585318,-0.00191401632195374,0.000214036901155127,0.000203647299698029,-3.47427554753597e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,71.5151515151515,85.8181818181818,200.242424242424,214.545454545455,228.848484848485,243.151515151515,257.454545454545,271.757575757576,286.060606060606,300.363636363636,314.666666666667,328.969696969697,343.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9442028974376,0.0606783172401911,7.4875405376407e-05,-1.14525519297506e-06,3.26189213757733e-07,1.78610515637629e-06,-1.67015024421659e-06,-1.39072883718014e-05,1.61576186430376e-05,-2.03863042508947e-06,3.08431576331422e-06,-2.34962938242027e-06,-7.37737058556604e-06,1.62964942506007e-05,-9.40053800938725e-06,3.29474208529992e-07,-1.29943624551455e-07,3.01121128593809e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6060606060606,143.030303030303,328.969696969697,343.272727272727,357.575757575758,486.30303030303,715.151515151515,729.454545454545,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.7179825916056,-0.219636670679287,0.0317117014718931,-0.000578701675541551,0.000174418720254746,0.000511546432016847,-0.000152409315512766,1.86467700551368e-05,4.20921243577126e-05,-1.66130230287515e-05,1.25641246924636e-06,-2.87704467954725e-06,2.35759474596265e-05,-2.2863877454438e-05,-2.6058738071197e-06,2.09803509424375e-05,-1.68146166816791e-05,4.54984760191432e-07,-1.73068752906663e-07,5.60757878867398e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,71.5151515151515,100.121212121212,114.424242424242,157.333333333333,300.363636363636,629.333333333333,715.151515151515,729.454545454545,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.5776186087506,-0.372438421752262,0.065664063603665,-0.00177096604364821,0.0018678016018225,-3.43384680683114e-05,-8.75994895419697e-05,1.12239724843272e-05,4.62712717032084e-05,-3.57301049753162e-05,3.85464560306826e-06,-1.51571525581693e-06,1.14195250642591e-05,-4.66946966199048e-05,3.75665447874324e-05,-5.97221078967752e-05,0.000105883546099718,-2.94400520521068e-05,-1.92254176357223e-05,1.30740965186081e-06,-8.37075835571131e-08,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,71.5151515151515,114.424242424242,128.727272727273,157.333333333333,257.454545454545,457.69696969697,586.424242424242,629.333333333333,643.636363636364,829.575757575758,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1381.75757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.1318320121383,-0.410228252224151,0.0408965653053867,-0.00069370033472898,0.000138833803690679,0.000808184193863408,-0.000254331290619436,1.18531566176167e-05,-1.86744959537982e-06,-9.96981709011862e-06,5.96642912622902e-06,-5.84937539939747e-06,-5.38392616142377e-05,6.24783748195588e-05,7.02216126734379e-06,-4.18929688300832e-05,-0.000323730847835883,0.00093716401110031,-0.000737495828628411,6.51386879774005e-05,8.60389151075369e-05,9.05478354792504e-10,-6.38436535603586e-11,-1.72384838299478e-09,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,114.424242424242,128.727272727273,357.575757575758,443.393939393939,457.69696969697,472,557.818181818182,572.121212121212,586.424242424242,600.727272727273,615.030303030303,629.333333333333,643.636363636364,858.181818181818,1046.51515151515,1381.75757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-12.8083926772154,-0.00535948756818933,4.7095954239912e-05,-9.66735214841818e-08,-2.06485726130503e-08,3.23578318368597e-05,-1.23409784640758e-05,-0.00016919561125529,0.000255265712641953,-0.000109960611788438,3.39252180004578e-06,-1.47542357573662e-06,-1.8161986773904e-05,5.90452092652476e-05,-4.88053214668709e-05,4.90770070451617e-06,7.99973505973538e-05,-0.000193183493284665,0.000207643187163588,-0.000113791324693254,8.25441780025095e-06,6.84779841205413e-05,-9.07313003802702e-05,3.96792010503453e-05,-1.25512812175784e-06,0,0,0,0,0,0,0,0,47.7575757575758,310.424242424242,334.30303030303,358.181818181818,382.060606060606,405.939393939394,429.818181818182,549.212121212121,573.090909090909,596.969696969697,620.848484848485,692.484848484848,716.363636363636,740.242424242424,764.121212121212,788,811.878787878788,859.636363636364,889.515151515151,913.393939393939,937.272727272727,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-13.6287396791126,-0.00878779501910954,0.000123951577311409,-4.39132172876359e-07,-2.96941229014306e-08,2.61836254274762e-05,-9.2232822845358e-06,-0.000117094323248224,0.000184498310633062,-0.000120683013916055,4.13781013383486e-05,-1.80391567000866e-06,-3.34298226286419e-06,7.41985318595844e-07,7.72197136487716e-06,-1.42359189336959e-05,8.23398256024042e-06,-9.62792507139891e-06,4.91911016084896e-05,-7.58265742806889e-05,3.58602811971614e-05,-1.50139650261605e-06,0,0,0,0,0,0,0,0,0,0,0,47.7575757575758,191.030303030303,214.909090909091,238.787878787879,262.666666666667,286.545454545455,310.424242424242,334.30303030303,429.818181818182,573.090909090909,596.969696969697,620.848484848485,668.606060606061,788,859.636363636364,889.515151515151,913.393939393939,937.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
