"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location"
"0-17",1,-14.1908255895251,0.175626812037325,-0.00236161844315767,2.52660212681965e-06,3.12827113043278e-05,-7.00448791328497e-05,3.65803077507588e-05,0.000270109945019557,-0.000747723659373996,0.000811252438229737,-0.000362053696703187,3.01236291394048e-05,0.000235204051503685,-0.00072002612372785,0.000748058039080483,-0.000271320934520291,7.91880304084595e-06,-3.0578880908453e-05,3.22043052687667e-05,-3.71635999966059e-06,-6.26492091759393e-05,0.000140822233144124,-7.9265239837387e-05,1.59394721034285e-06,-3.04232149625992e-07,0,0,0,0,0,0,0,0,0,28.6060606060606,71.5151515151515,114.424242424242,128.727272727273,143.030303030303,157.333333333333,171.636363636364,214.545454545455,300.363636363636,314.666666666667,328.969696969697,343.272727272727,400.484848484848,543.515151515152,557.818181818182,629.333333333333,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-7.95250222976949,0.142239688556074,-0.00460111288740536,5.8686389903725e-05,-3.48333792631397e-05,-0.000100834839976668,8.33394134821325e-05,-2.36757891634086e-05,2.09701383987974e-05,-6.92570377143815e-06,1.7254435400485e-05,-1.40445112902367e-05,-5.88107792653899e-06,6.56688815828501e-06,-9.1274889207052e-05,0.000192330360385838,-0.000103106134934324,1.76568434529203e-06,-3.45022646426275e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,71.5151515151515,85.8181818181818,200.242424242424,228.848484848485,314.666666666667,400.484848484848,414.787878787879,629.333333333333,643.636363636364,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.0247827214612,0.169427129854953,-0.0049283291061483,5.43386102272818e-05,-2.34212134890151e-05,-0.000193752806691623,0.000252978807453505,-8.658169391662e-05,-1.65148444020299e-05,1.59991378017141e-05,-7.45261829949287e-06,1.15736817270349e-05,-2.53742704054445e-05,2.34929179204964e-05,-7.80551844097197e-05,0.000124711436904421,-3.33406410211293e-05,-0.000163802901767349,0.000220177071921785,-7.43908511685251e-05,-7.38347144449599e-05,0.000155345239696727,-8.32991338437062e-05,1.48488366757675e-06,-2.85897893497571e-07,0,0,0,0,0,0,0,0,0,14.3030303030303,71.5151515151515,85.8181818181818,100.121212121212,200.242424242424,228.848484848485,314.666666666667,386.181818181818,457.69696969697,486.30303030303,572.121212121212,586.424242424242,615.030303030303,629.333333333333,643.636363636364,657.939393939394,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.62253252730058,0.510024757912391,-0.0365902372768374,0.00101807132703563,-0.00132734189224252,0.000444837980102195,-0.000138551198872074,5.4095866595613e-06,-1.14443290107754e-05,6.28399771199113e-06,5.85563898054753e-05,-8.1341452183986e-05,1.09334178598177e-05,0.000123864611811597,-0.000167411847229,5.76783057722045e-05,-7.9372088496272e-06,3.06542963543471e-05,0.000110380395417902,-0.000408376163590632,0.000501087984776522,-0.000661016477817099,0.000827365739145522,-0.0001452566446007,-0.000629723827427764,0.000474820874045318,-9.55177190179773e-05,3.97308025064633e-06,-1.94332867354284e-10,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,200.242424242424,243.151515151515,257.454545454545,271.757575757576,314.666666666667,328.969696969697,343.272727272727,357.575757575758,414.787878787879,429.090909090909,443.393939393939,457.69696969697,472,486.30303030303,500.606060606061,514.909090909091,529.212121212121,543.515151515152,557.818181818182,572.121212121212,1046.51515151515,-1,-1,-1,-1,-1
"0-17",2,-17.1338050485808,0.0260318101361334,0.00715435599720994,-0.00013002130702821,3.01503952933353e-05,0.000121550592076418,-2.75042719634199e-05,-0.000193353868502016,0.000656609517955158,-0.000903689289180341,0.000601722922679086,-8.17857989449776e-05,-9.49508009930491e-05,2.51915598994008e-05,2.23496411094592e-05,0.000183840214809736,-0.000903405770565635,0.00140116977138908,-0.000999859527592348,0.000315080716217185,-1.91138770444984e-05,-5.6399710079592e-06,1.8948975886849e-06,-7.47365925103353e-05,0.000162204024047595,-8.91050144483418e-05,1.72574956810817e-06,-3.18596484798255e-07,0,0,0,0,0,0,14.3030303030303,28.6060606060606,85.8181818181818,128.727272727273,143.030303030303,157.333333333333,171.636363636364,185.939393939394,200.242424242424,243.151515151515,314.666666666667,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,400.484848484848,486.30303030303,586.424242424242,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1
"18-49",2,-13.4306034418031,0.307747642821803,-0.0246242239321212,0.00101345167243967,-0.00199389503435889,0.00176229693564979,-0.00117988323074483,0.000626621422020092,-0.00028079717831834,3.07296155365304e-05,2.69979214259324e-05,-3.77798775033101e-05,3.44705574465573e-05,-1.73132802626649e-05,1.64870358480516e-05,-2.2919787943594e-06,4.64281352209539e-05,-0.000107635344332807,6.66032013550275e-05,-4.9765607475082e-06,-5.20309610213064e-05,0.000118896573664625,-6.75436033471625e-05,1.42829020713848e-06,-2.61713910121462e-07,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,71.5151515151515,85.8181818181818,114.424242424242,228.848484848485,243.151515151515,371.878787878788,386.181818181818,500.606060606061,615.030303030303,629.333333333333,643.636363636364,715.151515151515,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-12.9439775992509,0.207437150678069,-0.0111922036029128,0.000541629173523841,-0.0011795407973664,0.00104032137558602,-0.000432405625706585,2.12923439692622e-05,1.37072422607436e-05,-3.72232667499594e-05,3.4561471647634e-05,-4.45198914038093e-06,6.66339686684866e-06,4.24520164379659e-05,-7.9455543700997e-05,3.92281792223416e-05,-7.35510523850708e-05,0.000107161926041367,-2.27975076377337e-05,-9.39485633447782e-05,8.19068174613581e-05,-5.81285815020967e-06,-4.53907575321892e-05,0.000101674070244458,-5.69921257494646e-05,1.19468964007173e-06,-2.24369235214037e-07,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,114.424242424242,228.848484848485,243.151515151515,343.272727272727,429.090909090909,443.393939393939,457.69696969697,486.30303030303,572.121212121212,586.424242424242,615.030303030303,629.333333333333,643.636363636364,715.151515151515,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1
"65+",2,-13.6255555345906,0.0973225472890199,0.00839963824913325,-0.000173743331192715,6.46999290934066e-05,0.000133847106311974,-2.25585818761772e-05,-1.09908267984149e-05,9.32306760124769e-06,9.17048527586753e-05,-0.000235024115421044,0.00015714051120789,-4.15661943316268e-06,-0.000126946785449208,0.000195710996997753,-4.79512910754857e-05,-0.000271117159877297,0.000374404315946039,-0.000134021712624211,-7.09032165173652e-06,3.30132708337232e-05,-0.000160731176685001,0.000227017483911437,-9.29705648234967e-05,5.86935320150837e-07,-2.28243523138664e-07,6.08359450199909e-08,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,71.5151515151515,228.848484848485,257.454545454545,443.393939393939,457.69696969697,472,500.606060606061,572.121212121212,586.424242424242,615.030303030303,629.333333333333,643.636363636364,657.939393939394,800.969696969697,815.272727272727,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,1381.75757575758,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-13.1447454185853,0.00063203712716408,-6.44976457055597e-06,1.69412135632029e-08,-9.565718101377e-06,5.78145749775555e-05,-1.8712812204505e-05,-0.000226277489745338,0.000345732627437987,-0.000164864706030739,9.78675457582704e-06,5.71079496043547e-05,-0.000128894245780525,0.000108927608345882,-1.17564622369703e-05,-5.96993904997088e-05,7.72846738874321e-05,-4.33834884648533e-05,1.49054842406922e-06,6.84986760183453e-06,1.5201302839175e-06,-6.63222286302815e-06,-5.86705787605085e-05,0.000156114906254789,-0.000156148259698412,6.64529887984497e-05,-5.35255944137343e-06,8.6159880353683e-07,0,0,0,0,0,0,286.545454545455,310.424242424242,334.30303030303,358.181818181818,382.060606060606,405.939393939394,429.818181818182,477.575757575758,501.454545454545,525.333333333333,549.212121212121,573.090909090909,596.969696969697,620.848484848485,668.606060606061,692.484848484848,788,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,961.151515151515,-1,-1,-1,-1,-1,-1
"18-49",3,-13.7612775374797,-0.00964349450455595,0.000164154260402948,-9.91812023789212e-07,5.23491334562831e-07,-6.29174631511669e-07,3.58138662759172e-05,-1.74804124342197e-05,-0.00017570174989224,0.000345583487261598,-0.000319526209984795,0.000208148541025034,-0.000111791387246773,4.42406411526587e-05,-3.23879710544214e-06,-5.7044093329126e-06,5.98583293798277e-07,1.37350597916734e-05,-3.09276645956109e-05,1.85218373332444e-05,-2.29511735316738e-06,-5.03914978557933e-05,0.000130970976934583,-0.00013267146134149,5.72304132579193e-05,-4.78817599393232e-06,7.73902808784492e-07,0,0,0,0,0,0,0,23.8787878787879,167.151515151515,191.030303030303,214.909090909091,238.787878787879,262.666666666667,286.545454545455,310.424242424242,334.30303030303,358.181818181818,382.060606060606,429.818181818182,573.090909090909,596.969696969697,620.848484848485,644.727272727273,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,961.151515151515,-1,-1,-1,-1,-1,-1,-1
