"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_43coef","knot_44coef","knot_45coef","knot_46coef","knot_47coef","knot_48coef","knot_49coef","knot_50coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location","knot_43_location","knot_44_location","knot_45_location","knot_46_location","knot_47_location","knot_48_location","knot_49_location","knot_50_location"
"0-17",1,-11.8554203096962,-0.409975904738746,0.0351499081129539,-0.000652503740370759,0.00087789732044125,-0.000269395994311731,1.47889181525933e-05,3.41789045749172e-05,-8.73066822935829e-06,-1.83370821117259e-06,8.50042826550169e-06,7.40282361465472e-05,-0.000242931780112661,0.000309862692135943,-0.00020589988660645,6.99779466938043e-05,-3.96606898432224e-06,-6.41360483931714e-06,3.02137295850632e-06,5.80920589960289e-07,-4.0534378136249e-06,-5.31082249502778e-05,0.000169252810896315,-0.000172484487869766,6.14872707699429e-05,-2.35686549191583e-06,1.04713011374529e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,193.333333333333,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,483.333333333333,580,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.49229205487214,0.197914612179002,-0.00526434425079695,4.15778787467995e-05,-6.6524962939527e-06,-0.000108339578166045,9.76687288777188e-05,-7.42341948700328e-06,-1.87782120681165e-05,2.12705909192528e-06,-1.65752821650093e-07,-4.93259499639304e-06,5.95885692141346e-06,-1.61810089207362e-06,-4.64113334988823e-05,0.00012188594597521,-9.26529097117651e-05,5.38461109418364e-06,1.2375102792183e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,241.666666666667,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.20951570822271,0.363067970054744,-0.0114888163841705,0.000107084193554561,-8.41539174717992e-06,-0.000146502395356409,9.76104702000728e-06,8.48816490812956e-05,-4.96521047482299e-05,1.19943937079818e-06,1.82278879947503e-06,-1.87687285772585e-07,-5.65612655194739e-06,6.84176560726174e-06,-1.38184293718558e-06,-3.9177838254725e-05,0.000100880513001415,-7.61069632409852e-05,4.42848056513156e-06,1.01822552458651e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,241.666666666667,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.5232550483589,0.269746839123359,-0.00342644048735791,1.14837586246528e-05,1.91824124876668e-06,-9.51617108111718e-07,-1.18015936659304e-05,-8.29899386382293e-06,2.86861053934135e-05,-8.37438060661961e-06,-0.00012707952434415,0.00020987226852843,-2.03072986148676e-05,-0.000175010125415456,0.000120661515824477,-2.14237193236904e-05,6.24968301398171e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,193.333333333333,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0408357224752,0.481179272412421,-0.0307272385780055,0.000567289833447215,-0.000805829848032883,0.000378144813449579,-0.000175350597908548,1.28742588687028e-05,2.72466204500588e-05,-7.28398653410976e-06,-1.60068786353939e-06,7.20274733602863e-06,6.06617912194802e-05,-0.000203041229216883,0.000263669303783353,-0.000183418674833243,6.99921595284952e-05,-4.51107186769088e-06,-7.88282426775789e-06,2.38686672804125e-06,5.92722252249043e-07,-3.9808283462068e-06,-5.02942216243941e-05,0.000161676229955951,-0.000165557887219812,5.91751443996833e-05,-2.25839229767497e-06,1.00259805549654e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,217.5,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,483.333333333333,604.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-13.6044720786112,-0.157853237909061,0.0285117748989336,-0.000544409374321835,0.000691603871218785,-0.000138892244435548,4.24612716284351e-06,-4.6878791563598e-05,4.21607414158311e-05,-1.97718692702475e-06,-2.26786159230896e-05,1.81034276099594e-05,-5.17912710308728e-06,1.70958826500404e-06,2.18841255995343e-05,-2.74857263446404e-05,9.53955248198191e-06,-9.12609317551763e-07,-8.04112091209437e-06,8.51730177999443e-06,9.31379248294825e-07,-4.87440383854715e-06,-5.47294282732594e-05,0.000165708100595754,-0.000163166269071683,5.69283387643021e-05,-2.20351365709922e-06,9.79956907927797e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,386.666666666667,435,459.166666666667,483.333333333333,531.666666666667,604.166666666667,628.333333333333,652.5,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-12.9270456288857,-0.158601701366471,0.0251919989710076,-0.000457811054093498,0.000535913416750901,-1.37493796270438e-05,-0.000101259668421671,7.39982143990633e-06,7.42149553759486e-05,-4.80333755159397e-05,5.80977704802889e-07,3.04181160753137e-06,-1.8354938578468e-06,8.59934153857145e-06,-2.35974607933808e-06,-1.97460791611901e-05,1.66145081019334e-05,-1.01998360391896e-06,3.94469195453516e-06,9.7312409144764e-06,-9.74163004341657e-05,0.000195923958238982,-0.000163409836647688,5.27996413210269e-05,-2.22322370169724e-06,1.00176239366603e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,193.333333333333,241.666666666667,507.5,580,604.166666666667,628.333333333333,652.5,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.5061929977739,0.184394827594583,0.00141890636851112,-2.98762890307449e-05,3.06944607074356e-06,4.13420063476146e-05,-1.68305762670464e-06,-1.37028637854922e-05,2.65692934405291e-06,-9.34093707023115e-06,3.30621310328849e-06,5.00479977235445e-05,-0.000111601391801244,0.000109751113643746,-1.49192037833989e-05,-0.000112239398728284,0.000126545650979417,-4.30848721151482e-05,5.04687668687236e-07,-5.7715002629919e-06,2.35150890911255e-06,3.29335403197732e-05,-5.11557157964026e-05,2.09595144987992e-05,-9.01312564783945e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,120.833333333333,338.333333333333,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,725,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9789639426338,0.00234190392517277,-1.6903164486855e-05,-6.33598432048899e-09,7.74222874249183e-08,-1.07066302325842e-06,-1.69725201045125e-05,0.000118128146000119,-0.00018617471623908,1.23517425641711e-05,0.00014584887293872,-1.67642893726367e-05,-0.000178365227125042,0.000267428468662457,-0.000212234350869508,1.92329492841255e-05,0.000124090266516859,-0.000111837403491957,1.20092688400469e-05,9.71315923941405e-05,-0.000126619711538492,5.78304861515797e-05,-1.54636374334766e-06,-1.30321602852944e-06,5.82344882578951e-06,-1.59034583997842e-05,-6.91226667265851e-05,0.000343032934308229,-0.000595895559097669,0.000503105832721254,-0.000192482249314281,1.74609829810093e-05,-5.74047484905852e-06,7.81473994379758e-06,3.00149855672293e-05,-6.52864859642025e-05,1.17452848130007e-05,0.000122114540381592,-0.000165179868878226,7.31096001304331e-05,-1.44548639646783e-05,2.11149234509971e-05,0.000121424066262943,-0.000426277082500738,0.000469742462863901,-0.000196267698978513,1.4949153194905e-05,-4.58722984118735e-06,4.20509400573562e-05,-1.21455482980899e-05,-0.00017938699070624,0.000439096121071544,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1135.83333333333,1160,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1280.83333333333,1305,1329.16666666667,1353.33333333333,1377.5,1401.66666666667,1425.83333333333,1450,1498.33333333333,1522.5,1546.66666666667,1570.83333333333,-1,-1
"18-49",3,-14.9656596703058,0.00984242690741357,-0.000196275512757536,1.38881840122606e-06,-8.30255131404753e-07,1.13577628192524e-06,-4.85482300272192e-06,-2.46373698419033e-05,0.000148081099690373,-0.000255385380768227,0.000166080982967191,-1.31610201979015e-05,-3.122618601551e-05,1.47452132620884e-05,5.26885259257838e-07,8.3845924181295e-06,-1.87474119750341e-05,1.19211967456032e-05,-9.66133795217031e-07,-1.5262026810878e-05,1.46336007270265e-05,-1.65616477517293e-06,6.44833442618754e-06,-1.67174997279413e-05,-5.83339379167825e-05,0.000332385941803669,-0.000630328034415998,0.000599056611917257,-0.000301287999698645,7.78190498807351e-05,-1.22647719812265e-05,4.30312208927658e-06,-8.77477380297424e-07,-2.83176218526211e-07,-3.63275165298793e-06,4.14270220065078e-06,-1.71830461090109e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,435,459.166666666667,483.333333333333,531.666666666667,604.166666666667,628.333333333333,652.5,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1111.66666666667,1353.33333333333,1377.5,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
