"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location"
"0-17",1,-14.4368603280795,0.149252199200736,0.00155483787126233,-7.37749244665588e-05,0.000151420391162966,-0.000254798659398229,0.000198653564761044,-0.000173500026182723,0.000299780868378824,-0.000153894022874992,2.49741588947195e-05,0.000294727657399492,-0.000972805080019649,0.00106606937328717,-0.000445126861362518,2.86952399931901e-05,1.23802335470313e-05,-5.19353415938242e-05,5.98297305092353e-05,-1.08391821918454e-05,-6.78585345997054e-05,0.000151987813953729,-8.53938302097849e-05,1.72984911741083e-06,-3.24685701370043e-07,0,0,0,0,0,0,0,0,0,0,28.6060606060606,71.5151515151515,85.8181818181818,143.030303030303,157.333333333333,171.636363636364,286.060606060606,300.363636363636,314.666666666667,328.969696969697,343.272727272727,357.575757575758,400.484848484848,543.515151515152,557.818181818182,600.727272727273,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-10.7591313395296,1.40776620709267,-0.131619543162036,0.00367586533525276,-0.00465316000471052,0.0014889261036527,-0.000601686896730641,4.9260374017983e-05,4.63527478926591e-05,-1.17603236508292e-05,1.54279572566373e-05,-1.37870272405208e-05,2.43907075679801e-05,-2.03148026628297e-05,9.11476484022212e-05,-0.000262171597113326,0.000250914696302857,-7.88189807182988e-05,-8.29984785084029e-05,0.000175112916211083,-9.40583467526187e-05,1.67234077515355e-06,-3.15213959245841e-07,0,0,0,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,85.8181818181818,200.242424242424,271.757575757576,314.666666666667,400.484848484848,414.787878787879,615.030303030303,629.333333333333,643.636363636364,657.939393939394,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-10.7879067371568,1.40072719535035,-0.128264192351923,0.00354466536896052,-0.00438343760483101,0.00121021734544226,-0.000433761622853842,3.79593356280377e-05,2.91916847130901e-05,-1.16904446403167e-05,3.53848027987798e-05,-3.1181744489491e-05,1.11014229470211e-05,-2.64501188630752e-05,2.24684521017248e-05,-1.46712378090749e-05,2.31524774443279e-05,0.000159232172522757,-0.000461881472391124,0.000411854364850567,-0.000121431925609594,-7.82765711147844e-05,0.000162349840774848,-8.59713976833323e-05,1.45180557093594e-06,-2.79862305209644e-07,0,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,85.8181818181818,200.242424242424,271.757575757576,286.060606060606,400.484848484848,457.69696969697,486.30303030303,557.818181818182,600.727272727273,615.030303030303,629.333333333333,643.636363636364,657.939393939394,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-11.5401078444595,1.06857937668816,-0.08645651630801,0.00230864821275137,-0.0026427325939432,0.000149646161888659,0.000550993070168319,-0.000520743117031186,6.10780532778892e-05,0.000240823656947928,-0.00016784923813279,8.28658954385746e-06,2.40320119365392e-05,-2.60986963999248e-05,1.24397193994443e-05,0.000102421427559393,-0.000226103985184772,0.000140460986454058,5.84242330484216e-05,-0.000152938999873597,-0.000475524553517889,0.0019577370788695,-0.00250549467557432,0.00147675286904445,-0.000473991127344854,0.000115438159647324,-1.64421903255243e-05,7.37260895758984e-07,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,71.5151515151515,85.8181818181818,100.121212121212,114.424242424242,157.333333333333,200.242424242424,243.151515151515,257.454545454545,271.757575757576,286.060606060606,300.363636363636,314.666666666667,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,400.484848484848,414.787878787879,443.393939393939,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.7267267159303,-0.0667447104637694,0.00506377148466217,-5.57534755888679e-05,1.70274500663045e-05,0.000288516514376623,-0.000390823816874824,7.18979613808868e-05,9.61622659475408e-05,-9.07054283314905e-05,0.000218536931489509,-0.000177152916603135,2.42654522909406e-05,2.27219507550274e-05,0.000221145723084073,-0.00103697274297184,0.00162590684610033,-0.0011952175681794,0.000390136048568688,-2.47304036857408e-05,-9.64623493726123e-06,0.000130401531653332,-0.000320330689644895,0.00023553983243775,-9.40719275270805e-05,5.54580708716865e-05,-4.1271436599514e-06,-4.78468454334418e-05,0.000121648762585457,-7.33795959487826e-05,1.70811511211742e-06,-3.14070329290029e-07,0,0,0,14.3030303030303,71.5151515151515,85.8181818181818,100.121212121212,114.424242424242,157.333333333333,185.939393939394,200.242424242424,243.151515151515,314.666666666667,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,400.484848484848,486.30303030303,557.818181818182,572.121212121212,586.424242424242,629.333333333333,643.636363636364,743.757575757576,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1
"18-49",2,-14.8640762976534,0.00249060155290049,0.0271845953848852,-0.000640045423393237,0.000250240603086004,0.000936304867065524,-0.000816577995015601,0.000452475808146443,-0.000211791791282739,3.47103508542041e-05,-1.33454067286856e-05,3.24264574199829e-05,-2.51046313189811e-05,-0.000107905415314942,0.000267910525601335,-0.000244787110004158,8.74071181096399e-05,-3.14623229807714e-06,0.000106322060866892,-0.000301771953712704,0.000290081036725839,-9.29506763168908e-05,-6.74559393022147e-05,0.000143258638252656,-7.74329108846061e-05,1.44811430136172e-06,-2.67459465939819e-07,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,57.2121212121212,71.5151515151515,114.424242424242,228.848484848485,300.363636363636,328.969696969697,343.272727272727,357.575757575758,371.878787878788,386.181818181818,500.606060606061,615.030303030303,629.333333333333,643.636363636364,657.939393939394,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.7616330085244,0.069242526658541,0.0194315218714537,-0.000444944663211066,0.000136300155666579,0.000619700816993374,-0.000309189174270374,-1.36868634684649e-05,1.74493162989779e-05,-8.78573188026173e-06,7.96504258462794e-06,-5.66203866965792e-06,-2.30668787803556e-05,3.07894815514236e-05,-2.37298553407391e-05,2.14522763661264e-05,-5.64084439044201e-05,8.87174942402402e-05,-2.16781611234919e-05,-9.28929947904409e-05,8.36238577330639e-05,-6.04133115766715e-06,-5.09222294803143e-05,0.000110805308321678,-6.07588500671144e-05,1.18482507997769e-06,-2.21816380489849e-07,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,71.5151515151515,114.424242424242,200.242424242424,300.363636363636,357.575757575758,371.878787878788,386.181818181818,457.69696969697,486.30303030303,572.121212121212,586.424242424242,615.030303030303,629.333333333333,643.636363636364,715.151515151515,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-15.1014598921703,-0.0772361960572983,0.0269884505171607,-0.000562190810843031,0.000212633568487369,0.00065684978284735,-0.000338895085697631,4.13823289060503e-05,-1.10769418250268e-05,6.285659587795e-06,-1.01836869547105e-05,1.88730389197783e-05,0.000138699169342194,-0.000411636494629438,0.000315885821713804,-5.87423814979621e-05,1.91978513735346e-05,0.000142629919125716,-0.000497647749405103,0.00050362917939393,-0.000165102619463553,8.97950552375848e-05,-0.000351741583706537,0.000441975783761049,-0.000181945509383514,1.65223710788997e-06,-3.37969457729254e-07,0,0,0,0,0,0,0,0,14.3030303030303,28.6060606060606,42.9090909090909,71.5151515151515,143.030303030303,328.969696969697,371.878787878788,429.090909090909,443.393939393939,457.69696969697,472,500.606060606061,600.727272727273,615.030303030303,629.333333333333,643.636363636364,657.939393939394,829.575757575758,843.878787878788,858.181818181818,872.484848484848,1046.51515151515,1146.63636363636,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-13.0854237919019,0.0024551434184648,-2.44228517852726e-05,6.24739716910782e-08,-1.91055336974184e-05,9.84228138111971e-05,-9.27464973692459e-05,-0.000148453310940306,0.000291064756136036,-0.000142078584043674,8.68823472784926e-06,6.53421007262289e-05,-0.000160263477781235,0.000136781873749423,-1.18839058744516e-05,-6.15952901750043e-05,5.33408118288971e-05,-4.56394885321418e-06,-2.65773328862831e-05,2.34090646977101e-05,-1.52578019793276e-05,6.67878526951984e-06,3.33746079043329e-05,-0.000173178821598988,0.000303746613465001,-0.000285022080894545,0.000143008638211633,-2.73621890090782e-05,4.98747116724832e-06,-8.21468984943219e-07,0,0,0,0,0,286.545454545455,310.424242424242,334.30303030303,358.181818181818,382.060606060606,405.939393939394,429.818181818182,477.575757575758,501.454545454545,525.333333333333,549.212121212121,573.090909090909,596.969696969697,620.848484848485,644.727272727273,692.484848484848,740.242424242424,788,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,961.151515151515,985.030303030303,-1,-1,-1,-1,-1
"18-49",3,-13.5989120042833,-0.00823449254781367,9.78366406294144e-05,-3.40222457771114e-08,-4.46479998766795e-07,3.37515372536292e-05,-1.43725289055627e-05,-0.000174878877223697,0.000331341649185349,-0.000285984134333773,0.000156712191234502,-5.4173580958863e-05,5.07000087616759e-06,1.69080289844296e-05,-1.49936815705042e-05,1.1298249105393e-06,1.81983146889351e-05,-4.09972722737471e-05,2.42383359949313e-05,9.15008111849527e-07,-5.34922330860483e-06,-5.7250258447255e-05,0.000152742099668482,-0.000153636142225786,6.55668493395787e-05,-5.30901580681209e-06,8.55083381330143e-07,0,0,0,0,0,0,0,0,23.8787878787879,191.030303030303,214.909090909091,238.787878787879,262.666666666667,286.545454545455,310.424242424242,334.30303030303,358.181818181818,405.939393939394,429.818181818182,573.090909090909,596.969696969697,620.848484848485,644.727272727273,788,811.878787878788,835.757575757576,859.636363636364,889.515151515151,913.393939393939,937.272727272727,961.151515151515,-1,-1,-1,-1,-1,-1,-1,-1
